# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.949509999999999806e-03,1.467059999999999889e+02
2.037349999999999994e+01,2.921899999999999845e-03,1.471970000000000027e+02
2.075260000000000105e+01,2.985910000000000040e-03,1.470529999999999973e+02
2.114020000000000010e+01,2.881410000000000048e-03,1.460740000000000123e+02
2.153320000000000078e+01,2.941780000000000176e-03,1.455039999999999907e+02
2.193459999999999965e+01,2.857279999999999803e-03,1.498820000000000050e+02
2.234299999999999997e+01,2.979700000000000057e-03,1.482280000000000086e+02
2.275829999999999842e+01,2.772489999999999850e-03,1.505620000000000118e+02
2.318209999999999837e+01,2.875449999999999881e-03,1.489730000000000132e+02
2.361459999999999937e+01,2.869599999999999929e-03,1.507309999999999945e+02
2.405580000000000140e+01,2.762679999999999997e-03,1.525550000000000068e+02
2.450379999999999825e+01,2.766939999999999851e-03,1.516129999999999995e+02
2.496049999999999969e+01,2.770470000000000137e-03,1.515200000000000102e+02
2.542589999999999861e+01,2.800509999999999979e-03,1.520910000000000082e+02
2.589780000000000015e+01,2.757879999999999880e-03,1.520010000000000048e+02
2.638060000000000116e+01,2.794679999999999907e-03,1.499739999999999895e+02
2.687209999999999965e+01,2.755290000000000083e-03,1.525529999999999973e+02
2.737229999999999919e+01,2.781769999999999816e-03,1.515699999999999932e+02
2.788360000000000127e+01,2.724579999999999884e-03,1.533110000000000070e+02
2.840099999999999980e+01,2.630069999999999977e-03,1.561009999999999991e+02
2.893240000000000123e+01,2.712260000000000192e-03,1.560999999999999943e+02
2.946950000000000003e+01,2.727879999999999801e-03,1.544310000000000116e+02
3.001800000000000068e+01,2.620120000000000088e-03,1.531020000000000039e+02
3.057789999999999964e+01,2.696210000000000100e-03,1.547719999999999914e+02
3.114939999999999998e+01,2.645890000000000134e-03,1.551529999999999916e+02
3.172919999999999874e+01,2.588959999999999959e-03,1.569219999999999970e+02
3.232059999999999889e+01,2.590269999999999986e-03,1.597520000000000095e+02
3.292000000000000171e+01,2.555640000000000082e-03,1.521069999999999993e+02
3.353450000000000131e+01,2.449240000000000098e-03,1.621260000000000048e+02
3.416080000000000183e+01,2.770190000000000066e-03,1.541649999999999920e+02
3.479869999999999663e+01,2.554999999999999979e-03,1.601129999999999995e+02
3.544420000000000215e+01,2.507160000000000031e-03,1.586670000000000016e+02
3.610540000000000305e+01,2.470340000000000123e-03,1.572429999999999950e+02
3.677819999999999823e+01,2.618479999999999853e-03,1.555680000000000121e+02
3.746249999999999858e+01,2.575759999999999855e-03,1.589250000000000114e+02
3.815820000000000078e+01,2.599559999999999892e-03,1.597959999999999923e+02
3.887019999999999698e+01,2.710740000000000111e-03,1.602230000000000132e+02
3.959349999999999881e+01,2.697059999999999822e-03,1.527539999999999907e+02
4.033339999999999748e+01,2.820669999999999948e-03,1.558870000000000005e+02
4.108460000000000178e+01,2.550530000000000071e-03,1.633580000000000041e+02
4.185269999999999868e+01,2.581889999999999880e-03,1.650089999999999861e+02
4.263179999999999836e+01,2.594309999999999845e-03,1.604579999999999984e+02
4.342159999999999798e+01,2.580629999999999990e-03,1.543290000000000077e+02
4.423469999999999658e+01,2.467759999999999832e-03,1.616939999999999884e+02
4.505859999999999843e+01,2.525009999999999841e-03,1.590209999999999866e+02
4.589959999999999951e+01,2.450879999999999899e-03,1.619230000000000018e+02
4.675079999999999814e+01,2.481530000000000021e-03,1.558839999999999861e+02
4.761899999999999977e+01,2.575609999999999879e-03,1.641610000000000014e+02
4.851230000000000331e+01,2.471070000000000124e-03,1.494809999999999945e+02
4.941530000000000200e+01,2.735780000000000156e-03,1.607630000000000052e+02
5.033559999999999945e+01,2.403800000000000207e-03,1.650709999999999980e+02
5.127329999999999899e+01,2.277079999999999903e-03,1.635430000000000064e+02
5.222840000000000060e+01,2.393160000000000079e-03,1.609610000000000127e+02
5.320089999999999719e+01,2.339180000000000165e-03,1.585209999999999866e+02
5.419080000000000297e+01,2.365159999999999832e-03,1.602059999999999889e+02
5.519780000000000086e+01,2.636460000000000192e-03,1.572460000000000093e+02
5.623239999999999839e+01,2.507679999999999979e-03,1.618170000000000073e+02
5.727380000000000138e+01,2.528030000000000121e-03,1.610910000000000082e+02
5.834309999999999974e+01,2.488100000000000034e-03,1.631959999999999980e+02
5.942949999999999733e+01,2.637800000000000041e-03,1.572620000000000005e+02
6.054489999999999839e+01,2.492020000000000172e-03,1.690670000000000073e+02
6.166499999999999915e+01,2.098539999999999867e-03,1.670649999999999977e+02
6.281410000000000338e+01,2.486529999999999817e-03,1.604540000000000077e+02
6.397950000000000159e+01,2.691680000000000114e-03,1.680670000000000073e+02
6.517489999999999384e+01,2.258959999999999961e-03,1.669600000000000080e+02
6.638639999999999475e+01,2.576150000000000141e-03,1.504159999999999968e+02
6.762850000000000250e+01,2.532659999999999946e-03,1.642700000000000102e+02
6.888630000000000564e+01,2.335069999999999854e-03,1.614329999999999927e+02
