# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.008, stepNeg=0.008, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.1, rangeI=0.02, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,8.060100000000000597e-03,-1.242759999999999872e-04
5.000000000000000000e-01,1.692250000000000004e-02,-1.070140000000000024e-04
1.000000000000000000e+00,2.414010000000000114e-02,-6.819960000000000345e-05
1.500000000000000000e+00,3.268859999999999821e-02,-1.242759999999999872e-04
2.000000000000000000e+00,4.043650000000000022e-02,-8.976460000000000450e-05
2.500000000000000000e+00,4.829250000000000209e-02,-1.199599999999999966e-04
3.000000000000000000e+00,5.605109999999999953e-02,-8.113379999999999898e-05
3.500000000000000000e+00,6.399370000000000058e-02,-8.976460000000000450e-05
4.000000000000000000e+00,7.281279999999999697e-02,-1.285790000000000034e-04
4.500000000000000000e+00,8.085280000000000244e-02,-1.242759999999999872e-04
5.000000000000000000e+00,8.814610000000000500e-02,-1.285790000000000034e-04
5.500000000000000000e+00,9.629429999999999934e-02,-1.199599999999999966e-04
6.000000000000000000e+00,1.043779999999999986e-01,-9.839539999999999647e-05
6.500000000000000000e+00,1.125909999999999966e-01,-1.113300000000000064e-04
7.000000000000000000e+00,1.203489999999999976e-01,-1.285790000000000034e-04
7.500000000000000000e+00,1.287790000000000046e-01,-6.819960000000000345e-05
8.000000000000000000e+00,1.368729999999999947e-01,-7.681850000000000321e-05
8.500000000000000000e+00,1.445130000000000026e-01,-1.328950000000000075e-04
9.000000000000000000e+00,1.524439999999999962e-01,-1.285790000000000034e-04
9.500000000000000000e+00,1.603980000000000128e-01,-1.026990000000000005e-04
1.000000000000000000e+01,1.685889999999999889e-01,-1.242759999999999872e-04
1.050000000000000000e+01,1.759259999999999990e-01,-1.070140000000000024e-04
1.100000000000000000e+01,1.853400000000000047e-01,-1.156449999999999948e-04
1.150000000000000000e+01,1.924279999999999879e-01,-8.544920000000000174e-05
1.200000000000000000e+01,2.005109999999999948e-01,-1.113300000000000064e-04
1.250000000000000000e+01,2.130070000000000019e-01,-8.544920000000000174e-05
1.300000000000000000e+01,2.182640000000000136e-01,-9.407999999999999371e-05
1.350000000000000000e+01,2.282899999999999929e-01,-1.156449999999999948e-04
1.400000000000000000e+01,2.362710000000000088e-01,-1.026990000000000005e-04
1.450000000000000000e+01,2.441560000000000119e-01,-1.199599999999999966e-04
1.500000000000000000e+01,2.535000000000000031e-01,-1.199599999999999966e-04
1.550000000000000000e+01,2.530209999999999959e-01,5.682709999999999671e-05
1.600000000000000000e+01,2.630239999999999800e-01,5.251170000000000073e-05
1.650000000000000000e+01,2.710850000000000204e-01,2.235170000000000150e-05
1.700000000000000000e+01,2.780779999999999919e-01,3.097059999999999787e-05
1.750000000000000000e+01,2.853609999999999758e-01,1.803639999999999896e-05
1.800000000000000000e+01,2.940050000000000163e-01,4.820819999999999695e-05
1.850000000000000000e+01,3.018710000000000004e-01,4.820819999999999695e-05
1.900000000000000000e+01,3.123600000000000265e-01,8.106230000000000186e-07
1.950000000000000000e+01,3.185760000000000258e-01,-7.796289999999999517e-06
2.000000000000000000e+01,3.273159999999999958e-01,3.958939999999999741e-05
2.050000000000000000e+01,3.346970000000000223e-01,9.417529999999999600e-06
2.100000000000000000e+01,3.414949999999999930e-01,3.097059999999999787e-05
2.150000000000000000e+01,3.500420000000000198e-01,3.958939999999999741e-05
2.200000000000000000e+01,3.571309999999999762e-01,3.097059999999999787e-05
2.250000000000000000e+01,3.661630000000000162e-01,4.389290000000000119e-05
2.300000000000000000e+01,3.729609999999999870e-01,2.665519999999999850e-05
2.350000000000000000e+01,3.832559999999999856e-01,4.389290000000000119e-05
2.400000000000000000e+01,3.895680000000000254e-01,-3.492829999999999811e-06
2.450000000000000000e+01,3.980179999999999829e-01,3.097059999999999787e-05
2.500000000000000000e+01,3.910250000000000115e-01,1.803639999999999896e-05
2.550000000000000000e+01,3.826729999999999854e-01,5.114080000000000171e-06
2.600000000000000000e+01,3.736410000000000009e-01,5.251170000000000073e-05
2.650000000000000000e+01,3.643179999999999752e-01,3.097059999999999787e-05
2.700000000000000000e+01,3.576170000000000182e-01,2.665519999999999850e-05
2.750000000000000000e+01,3.487790000000000057e-01,5.114080000000000171e-06
2.800000000000000000e+01,3.426609999999999934e-01,-3.492829999999999811e-06
2.850000000000000000e+01,3.345029999999999948e-01,4.389290000000000119e-05
2.900000000000000000e+01,3.257619999999999960e-01,2.665519999999999850e-05
2.950000000000000000e+01,3.188670000000000115e-01,2.665519999999999850e-05
3.000000000000000000e+01,3.100289999999999990e-01,3.097059999999999787e-05
