# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=2, Vneg=2, stepPos=0.04, stepNeg=0.04, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.5, pw=0.05, limitI=0.05, rangeI=0.01, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,3.013310000000000155e-01,4.313109999999999774e-05
5.000010000000000288e-01,4.001939999999999664e-02,-3.905299999999999692e-06
1.000000000000000000e+00,3.011360000000000148e-01,4.269960000000000026e-05
1.500000000000000000e+00,8.051609999999999323e-02,-8.845330000000000233e-07
2.000000000000000000e+00,3.000669999999999726e-01,4.442569999999999717e-05
2.500000000000000000e+00,1.193810000000000010e-01,4.292729999999999979e-06
3.000000000000000000e+00,2.990949999999999998e-01,4.183649999999999831e-05
3.500000000000000000e+00,1.600620000000000098e-01,1.119730000000000035e-05
4.000000000000000000e+00,3.009419999999999873e-01,4.140500000000000083e-05
4.500000000000000000e+00,2.001799999999999968e-01,2.025960000000000166e-05
5.000000000000000000e+00,3.008449999999999736e-01,4.356260000000000199e-05
5.500000000000000000e+00,2.416540000000000077e-01,2.759580000000000098e-05
6.000000000000000000e+00,3.017199999999999882e-01,4.744650000000000050e-05
6.500000000000000000e+00,2.814059999999999895e-01,3.665800000000000037e-05
7.000000000000000000e+00,3.001650000000000151e-01,4.830960000000000245e-05
7.500000000000000000e+00,3.202840000000000131e-01,4.787799999999999798e-05
8.000000000000000000e+00,2.993870000000000142e-01,4.744650000000000050e-05
8.500000000000000000e+00,3.611050000000000093e-01,6.211880000000000570e-05
9.000000000000000000e+00,3.015249999999999875e-01,4.356260000000000199e-05
9.500000000000000000e+00,3.991080000000000183e-01,7.247569999999999458e-05
1.000000000000000000e+01,3.029830000000000023e-01,4.572030000000000337e-05
1.050000000000000000e+01,4.417760000000000020e-01,8.930560000000000093e-05
1.100000000000000000e+01,3.018170000000000019e-01,4.744650000000000050e-05
1.150000000000000000e+01,4.807509999999999839e-01,1.074300000000000065e-04
1.200000000000000000e+01,2.993870000000000142e-01,4.744650000000000050e-05
1.250000000000000000e+01,5.212799999999999656e-01,1.268490000000000047e-04
1.300000000000000000e+01,3.008449999999999736e-01,4.658339999999999855e-05
1.350000000000000000e+01,5.617130000000000178e-01,1.415219999999999911e-04
1.400000000000000000e+01,3.009419999999999873e-01,4.744650000000000050e-05
1.450000000000000000e+01,6.001039999999999708e-01,1.579200000000000059e-04
1.500000000000000000e+01,3.025939999999999741e-01,4.356260000000000199e-05
1.550000000000000000e+01,6.402449999999999530e-01,1.756130000000000007e-04
1.600000000000000000e+01,3.017299999999999982e-01,5.301000000000000238e-05
1.650000000000000000e+01,6.830389999999999517e-01,2.004669999999999900e-04
1.700000000000000000e+01,3.022170000000000134e-01,5.257839999999999790e-05
1.750000000000000000e+01,7.232330000000000148e-01,2.241810000000000005e-04
1.800000000000000000e+01,3.017299999999999982e-01,5.128500000000000110e-05
