# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.3, Vneg=0.3, stepPos=0.006, stepNeg=0.006, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.0005, rangeI=0.0001, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,6.273840000000000146e-03,5.712629999999999717e-07
5.000010000000000288e-01,1.257089999999999944e-02,1.208520000000000078e-06
1.000000000000000000e+00,1.808890000000000151e-02,1.539900000000000071e-06
1.500000000000000000e+00,2.453740000000000088e-02,2.240879999999999880e-06
2.000000000000000000e+00,3.060720000000000107e-02,2.890880000000000009e-06
2.500000000000000000e+00,3.612520000000000314e-02,3.379449999999999890e-06
3.000000000000000000e+00,4.214090000000000197e-02,4.059209999999999884e-06
3.500000000000000000e+00,4.817830000000000029e-02,4.692220000000000283e-06
4.000000000000000000e+00,5.388020000000000309e-02,5.371960000000000148e-06
4.500000000000000000e+00,6.012309999999999877e-02,6.038959999999999860e-06
5.000000000000000000e+00,6.644179999999999531e-02,6.722949999999999727e-06
5.500000000000000000e+00,7.294440000000000646e-02,7.474919999999999915e-06
6.000000000000000000e+00,7.859230000000000382e-02,7.942250000000000064e-06
6.500000000000000000e+00,8.466210000000000402e-02,8.774940000000000726e-06
7.000000000000000000e+00,8.952010000000000522e-02,9.382459999999999273e-06
7.500000000000000000e+00,9.669350000000000167e-02,1.032559999999999987e-05
8.000000000000000000e+00,1.020279999999999937e-01,1.110729999999999952e-05
8.500000000000000000e+00,1.082599999999999951e-01,1.193999999999999918e-05
9.000000000000000000e+00,1.146110000000000045e-01,1.271320000000000052e-05
9.500000000000000000e+00,1.205829999999999957e-01,1.362659999999999927e-05
1.000000000000000000e+01,1.262739999999999974e-01,1.462070000000000047e-05
1.050000000000000000e+01,1.327450000000000019e-01,1.552140000000000017e-05
1.100000000000000000e+01,1.391610000000000069e-01,1.656650000000000139e-05
1.150000000000000000e+01,1.444189999999999918e-01,1.742469999999999937e-05
1.200000000000000000e+01,1.503160000000000052e-01,1.852929999999999893e-05
1.250000000000000000e+01,1.560719999999999885e-01,1.936620000000000103e-05
1.300000000000000000e+01,1.627260000000000095e-01,2.042829999999999887e-05
1.350000000000000000e+01,1.681030000000000024e-01,2.160940000000000015e-05
1.400000000000000000e+01,1.744219999999999937e-01,2.287119999999999881e-05
1.450000000000000000e+01,1.807729999999999893e-01,2.403949999999999913e-05
1.500000000000000000e+01,1.865179999999999894e-01,2.518230000000000113e-05
1.550000000000000000e+01,1.923700000000000132e-01,2.633210000000000154e-05
1.600000000000000000e+01,1.981779999999999931e-01,2.762670000000000097e-05
1.650000000000000000e+01,2.061080000000000134e-01,2.885769999999999986e-05
1.700000000000000000e+01,2.105839999999999934e-01,3.019900000000000004e-05
1.750000000000000000e+01,2.176869999999999916e-01,3.148089999999999873e-05
1.800000000000000000e+01,2.237190000000000012e-01,3.295380000000000287e-05
1.850000000000000000e+01,2.296549999999999980e-01,3.421450000000000251e-05
1.900000000000000000e+01,2.350059999999999927e-01,3.559399999999999836e-05
1.950000000000000000e+01,2.397739999999999871e-01,3.721550000000000308e-05
2.000000000000000000e+01,2.463899999999999979e-01,3.869689999999999876e-05
2.050000000000000000e+01,2.516439999999999788e-01,4.013590000000000311e-05
2.100000000000000000e+01,2.581629999999999758e-01,4.138380000000000178e-05
