# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.1, rangeI=0.02, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,1.004430000000000045e-01,-1.589539999999999963e-04
5.000010000000000288e-01,2.004660000000000053e-01,-1.373649999999999969e-04
1.000000000000000000e+00,3.027009999999999978e-01,-1.719120000000000034e-04
1.500000000000000000e+00,4.023260000000000169e-01,-1.157759999999999974e-04
2.000000000000000000e+00,5.021449999999999525e-01,-1.416800000000000123e-04
2.500000000000000000e+00,6.025490000000000013e-01,-1.589539999999999963e-04
3.000000000000000000e+00,6.999360000000000026e-01,-1.330489999999999928e-04
3.500000000000000000e+00,8.010209999999999830e-01,-1.503230000000000039e-04
4.000000000000000000e+00,9.011320000000000441e-01,-1.373649999999999969e-04
4.500000000000000000e+00,1.000950000000000006e+00,-1.416800000000000123e-04
5.000000000000000000e+00,1.102619999999999933e+00,-1.373649999999999969e-04
5.500000000000000000e+00,1.200299999999999923e+00,-1.330489999999999928e-04
6.000000000000000000e+00,1.302550000000000097e+00,-1.330489999999999928e-04
6.500000000000000000e+00,1.402760000000000007e+00,-1.546379999999999923e-04
7.000000000000000000e+00,1.502969999999999917e+00,-1.028180000000000039e-04
7.500000000000000000e+00,1.601329999999999920e+00,-1.416800000000000123e-04
8.000000000000000000e+00,1.702609999999999957e+00,-1.546379999999999923e-04
8.500000000000000000e+00,1.800769999999999982e+00,-1.373649999999999969e-04
9.000000000000000000e+00,1.900300000000000100e+00,-1.330489999999999928e-04
9.500000000000000000e+00,2.003919999999999924e+00,-1.848700000000000104e-04
1.000000000000000000e+01,2.098259999999999792e+00,9.335990000000000174e-04
1.050000000000000000e+01,2.235780000000000101e+00,9.681460000000000239e-04
1.100000000000000000e+01,2.315360000000000085e+00,9.508729999999999743e-04
1.150000000000000000e+01,2.414829999999999810e+00,1.007010000000000023e-03
1.200000000000000000e+01,2.509970000000000034e+00,1.127930000000000078e-03
1.250000000000000000e+01,2.617220000000000102e+00,1.184069999999999958e-03
1.300000000000000000e+01,2.714100000000000179e+00,1.248849999999999917e-03
1.350000000000000000e+01,2.809239999999999959e+00,1.507960000000000030e-03
1.400000000000000000e+01,2.921679999999999833e+00,1.551139999999999897e-03
1.450000000000000000e+01,3.019420000000000215e+00,1.559779999999999977e-03
1.500000000000000000e+01,3.107639999999999958e+00,1.641829999999999939e-03
1.550000000000000000e+01,3.170259999999999856e+00,2.167979999999999907e-03
1.600000000000000000e+01,3.275619999999999976e+00,2.176589999999999948e-03
1.650000000000000000e+01,3.374070000000000125e+00,2.215369999999999926e-03
1.700000000000000000e+01,3.485479999999999912e+00,2.323079999999999937e-03
1.750000000000000000e+01,3.584789999999999921e+00,2.318779999999999886e-03
1.800000000000000000e+01,3.679790000000000116e+00,2.409259999999999874e-03
1.850000000000000000e+01,3.771329999999999849e+00,2.460959999999999884e-03
1.900000000000000000e+01,3.858560000000000212e+00,2.521279999999999875e-03
1.950000000000000000e+01,3.973419999999999952e+00,2.603139999999999881e-03
2.000000000000000000e+01,4.075319999999999609e+00,2.745319999999999878e-03
2.050000000000000000e+01,4.175500000000000433e+00,2.758239999999999911e-03
2.100000000000000000e+01,4.271359999999999602e+00,3.236479999999999912e-03
2.150000000000000000e+01,4.376730000000000231e+00,3.447599999999999883e-03
2.200000000000000000e+01,4.479499999999999815e+00,3.529469999999999830e-03
2.250000000000000000e+01,4.580540000000000056e+00,3.632869999999999849e-03
2.300000000000000000e+01,4.678989999999999760e+00,3.766429999999999865e-03
2.350000000000000000e+01,4.769669999999999632e+00,3.856909999999999852e-03
2.400000000000000000e+01,4.869849999999999568e+00,3.943069999999999908e-03
2.450000000000000000e+01,4.970889999999999809e+00,3.990470000000000302e-03
2.500000000000000000e+01,4.864670000000000272e+00,3.912910000000000346e-03
2.550000000000000000e+01,4.771399999999999864e+00,3.831049999999999907e-03
2.600000000000000000e+01,4.680719999999999992e+00,3.701789999999999942e-03
2.650000000000000000e+01,4.571039999999999992e+00,3.637169999999999900e-03
2.700000000000000000e+01,4.488999999999999879e+00,3.477749999999999939e-03
2.750000000000000000e+01,4.386219999999999786e+00,3.477749999999999939e-03
2.800000000000000000e+01,4.281729999999999592e+00,3.344189999999999923e-03
2.850000000000000000e+01,4.178960000000000008e+00,3.266639999999999908e-03
2.900000000000000000e+01,4.065820000000000434e+00,3.171849999999999930e-03
2.950000000000000000e+01,3.978600000000000136e+00,3.081379999999999883e-03
3.000000000000000000e+01,3.882740000000000080e+00,2.973659999999999932e-03
3.050000000000000000e+01,3.779970000000000052e+00,2.891799999999999926e-03
3.100000000000000000e+01,3.680649999999999977e+00,2.779779999999999925e-03
3.150000000000000000e+01,3.617350000000000065e+00,2.689190000000000157e-03
3.200000000000000000e+01,3.510120000000000129e+00,2.615950000000000133e-03
3.250000000000000000e+01,3.411529999999999951e+00,2.512550000000000113e-03
3.300000000000000000e+01,3.319859999999999811e+00,2.404840000000000103e-03
3.350000000000000000e+01,3.223869999999999791e+00,2.279900000000000069e-03
3.400000000000000000e+01,3.119229999999999947e+00,2.180810000000000040e-03
3.450000000000000000e+01,3.002489999999999881e+00,2.094649999999999984e-03
3.500000000000000000e+01,2.920329999999999870e+00,2.034329999999999992e-03
