# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.008, stepNeg=0.008, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.1, rangeI=0.02, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,7.585070000000000180e-03,-9.413960000000000242e-05
5.000010000000000288e-01,1.532329999999999977e-02,-1.459239999999999940e-04
1.000000000000000000e+00,2.382880000000000068e-02,-1.286629999999999979e-04
1.500000000000000000e+00,3.175080000000000263e-02,-1.070859999999999976e-04
2.000000000000000000e+00,4.019149999999999806e-02,-1.157160000000000014e-04
2.500000000000000000e+00,4.795130000000000225e-02,-9.845500000000000519e-05
3.000000000000000000e+00,5.668379999999999946e-02,-1.416090000000000057e-04
3.500000000000000000e+00,6.414100000000000357e-02,-1.027699999999999935e-04
4.000000000000000000e+00,7.236560000000000215e-02,-1.157160000000000014e-04
4.500000000000000000e+00,8.052529999999999410e-02,-1.372930000000000016e-04
5.000000000000000000e+00,8.793929999999999803e-02,-1.157160000000000014e-04
5.500000000000000000e+00,9.592599999999999738e-02,-1.459239999999999940e-04
6.000000000000000000e+00,1.038160000000000055e-01,-1.243469999999999938e-04
6.500000000000000000e+00,1.123859999999999998e-01,-1.157160000000000014e-04
7.000000000000000000e+00,1.202320000000000055e-01,-1.200320000000000054e-04
7.500000000000000000e+00,1.277330000000000132e-01,-1.286629999999999979e-04
8.000000000000000000e+00,1.356650000000000078e-01,-1.243469999999999938e-04
8.500000000000000000e+00,1.435770000000000102e-01,-7.687809999999999837e-05
9.000000000000000000e+00,1.522010000000000030e-01,-1.329780000000000133e-04
9.500000000000000000e+00,1.605880000000000085e-01,-1.502510000000000087e-04
1.000000000000000000e+01,1.676880000000000037e-01,-1.114009999999999995e-04
1.050000000000000000e+01,1.764749999999999930e-01,-1.416090000000000057e-04
1.100000000000000000e+01,1.837590000000000057e-01,-1.329780000000000133e-04
1.150000000000000000e+01,1.922540000000000082e-01,-1.157160000000000014e-04
1.200000000000000000e+01,2.000029999999999863e-01,-1.459239999999999940e-04
1.250000000000000000e+01,2.080770000000000119e-01,-1.329780000000000133e-04
1.300000000000000000e+01,2.184790000000000065e-01,-8.119350000000000113e-05
1.350000000000000000e+01,2.267430000000000001e-01,-1.027699999999999935e-04
1.400000000000000000e+01,2.339370000000000061e-01,-1.157160000000000014e-04
1.450000000000000000e+01,2.417140000000000122e-01,-1.200320000000000054e-04
1.500000000000000000e+01,2.472550000000000026e-01,-1.545670000000000128e-04
1.550000000000000000e+01,2.572550000000000114e-01,-4.661079999999999764e-05
1.600000000000000000e+01,2.643570000000000086e-01,2.667899999999999986e-05
1.650000000000000000e+01,2.720429999999999793e-01,-3.492829999999999811e-06
1.700000000000000000e+01,2.801179999999999781e-01,-3.799199999999999810e-05
1.750000000000000000e+01,2.887759999999999772e-01,-4.230740000000000087e-05
1.800000000000000000e+01,2.974350000000000049e-01,-3.367660000000000212e-05
1.850000000000000000e+01,3.044390000000000152e-01,-3.799199999999999810e-05
1.900000000000000000e+01,3.145569999999999755e-01,-1.212360000000000027e-05
1.950000000000000000e+01,3.214640000000000275e-01,-1.642700000000000044e-05
2.000000000000000000e+01,3.288579999999999837e-01,-2.936119999999999935e-05
2.050000000000000000e+01,3.369329999999999825e-01,-1.212360000000000027e-05
2.100000000000000000e+01,3.452020000000000088e-01,-2.074239999999999981e-05
2.150000000000000000e+01,3.523040000000000060e-01,-7.808209999999999904e-06
2.200000000000000000e+01,3.605729999999999769e-01,-1.642700000000000044e-05
2.250000000000000000e+01,3.678699999999999748e-01,-1.212360000000000027e-05
2.300000000000000000e+01,3.759440000000000004e-01,-2.936119999999999935e-05
