# Tiempo [s], Voltage [V], Corriente [A]
#  minV=0, maxV=0.4, N=50, pw=0.05, T=0.5, limitI=0.0005, nplc=0.001, remoteSense=0
0.000000000000000000e+00,1.780990000000000090e-03,-3.089900000000000160e-07
5.000010000000000288e-01,8.976700000000000651e-03,-5.214210000000000472e-07
1.000000000000000000e+00,1.656169999999999864e-02,-6.488559999999999969e-07
1.500000000000000000e+00,2.404929999999999915e-02,-4.789830000000000480e-07
2.000000000000000000e+00,3.445410000000000139e-02,-6.064179999999999976e-07
2.500000000000000000e+00,4.048319999999999697e-02,-6.064179999999999976e-07
3.000000000000000000e+00,4.972120000000000012e-02,-7.337330000000000230e-07
3.500000000000000000e+00,5.954269999999999702e-02,-8.187290000000000516e-07
4.000000000000000000e+00,6.644680000000000031e-02,-2.241129999999999899e-07
4.500000000000000000e+00,7.393429999999999447e-02,-7.337330000000000230e-07
5.000000000000000000e+00,8.365870000000000251e-02,-6.064179999999999976e-07
5.500000000000000000e+00,9.056279999999999886e-02,-6.912950000000000237e-07
6.000000000000000000e+00,9.892560000000000242e-02,-8.611679999999999726e-07
6.500000000000000000e+00,1.069969999999999949e-01,-8.187290000000000516e-07
7.000000000000000000e+00,1.141920000000000018e-01,-9.667869999999999868e-08
7.500000000000000000e+00,1.227499999999999980e-01,-6.488559999999999969e-07
8.000000000000000000e+00,1.331549999999999956e-01,-9.461640000000000013e-07
8.500000000000000000e+00,1.408369999999999900e-01,-6.912950000000000237e-07
9.000000000000000000e+00,1.478379999999999972e-01,-7.762910000000000524e-07
9.500000000000000000e+00,1.574649999999999939e-01,-6.912950000000000237e-07
1.000000000000000000e+01,1.640780000000000016e-01,-7.762910000000000524e-07
1.050000000000000000e+01,1.720510000000000095e-01,-4.364250000000000186e-07
1.100000000000000000e+01,1.788589999999999902e-01,-6.912950000000000237e-07
1.150000000000000000e+01,1.875130000000000130e-01,-4.789830000000000480e-07
1.200000000000000000e+01,1.964589999999999947e-01,-3.515479999999999925e-07
1.250000000000000000e+01,2.049189999999999900e-01,-5.638599999999999682e-07
1.300000000000000000e+01,2.142550000000000010e-01,-8.187290000000000516e-07
1.350000000000000000e+01,2.209639999999999938e-01,-6.064179999999999976e-07
1.400000000000000000e+01,2.300079999999999902e-01,-7.337330000000000230e-07
1.450000000000000000e+01,2.394399999999999862e-01,-7.762910000000000524e-07
1.500000000000000000e+01,2.452749999999999930e-01,-9.461640000000000013e-07
1.550000000000000000e+01,2.541240000000000165e-01,-7.337330000000000230e-07
1.600000000000000000e+01,2.609310000000000240e-01,-1.031159999999999924e-06
1.650000000000000000e+01,2.698769999999999780e-01,-5.638599999999999682e-07
1.700000000000000000e+01,2.782399999999999873e-01,-6.488559999999999969e-07
1.750000000000000000e+01,2.863109999999999822e-01,-9.461640000000000013e-07
1.800000000000000000e+01,2.956460000000000199e-01,-5.214210000000000472e-07
1.850000000000000000e+01,3.048839999999999884e-01,-6.488559999999999969e-07
1.900000000000000000e+01,3.118850000000000233e-01,-8.611679999999999726e-07
1.950000000000000000e+01,3.191789999999999905e-01,-3.515479999999999925e-07
2.000000000000000000e+01,3.265689999999999982e-01,-1.073599999999999979e-06
2.050000000000000000e+01,3.358070000000000221e-01,-9.461640000000000013e-07
2.100000000000000000e+01,3.442669999999999897e-01,-7.337330000000000230e-07
2.150000000000000000e+01,3.522410000000000263e-01,-6.488559999999999969e-07
2.200000000000000000e+01,3.598259999999999792e-01,-7.337330000000000230e-07
2.250000000000000000e+01,3.682860000000000023e-01,-6.064179999999999976e-07
2.300000000000000000e+01,3.778150000000000119e-01,-3.515479999999999925e-07
2.350000000000000000e+01,3.843309999999999782e-01,-5.638599999999999682e-07
2.400000000000000000e+01,3.943459999999999743e-01,-7.337330000000000230e-07
2.450000000000000000e+01,4.017370000000000108e-01,-9.886030000000000281e-07
