# Tiempo [s], Voltage [V], Corriente [A]
#  minV=-0.4, maxV=0, N=50, pw=0.05, T=0.5, limitI=5e-06, nplc=0.001, remoteSense=0
0.000000000000000000e+00,-3.993479999999999808e-01,-1.483340000000000099e-06
5.000010000000000288e-01,-3.923470000000000013e-01,-1.454510000000000072e-06
1.000000000000000000e+00,-3.825250000000000039e-01,-1.397280000000000029e-06
1.500000000000000000e+00,-3.758150000000000102e-01,-1.292869999999999956e-06
2.000000000000000000e+00,-3.652159999999999851e-01,-1.256180000000000016e-06
2.500000000000000000e+00,-3.575329999999999897e-01,-1.198949999999999973e-06
3.000000000000000000e+00,-3.488789999999999947e-01,-1.127749999999999917e-06
3.500000000000000000e+00,-3.413910000000000000e-01,-1.073580000000000062e-06
4.000000000000000000e+00,-3.340009999999999923e-01,-1.011980000000000092e-06
4.500000000000000000e+00,-3.255399999999999960e-01,-9.311649999999999607e-07
5.000000000000000000e+00,-3.171780000000000155e-01,-8.949080000000000087e-07
5.500000000000000000e+00,-3.102730000000000210e-01,-8.302529999999999899e-07
6.000000000000000000e+00,-3.017159999999999842e-01,-7.813260000000000177e-07
6.500000000000000000e+00,-2.909220000000000139e-01,-7.101200000000000087e-07
7.000000000000000000e+00,-2.840170000000000194e-01,-6.673100000000000111e-07
7.500000000000000000e+00,-2.768209999999999837e-01,-6.179460000000000463e-07
8.000000000000000000e+00,-2.686529999999999752e-01,-5.742610000000000360e-07
8.500000000000000000e+00,-2.585399999999999920e-01,-5.327609999999999886e-07
9.000000000000000000e+00,-2.527050000000000129e-01,-5.013069999999999506e-07
9.500000000000000000e+00,-2.433700000000000030e-01,-4.628649999999999827e-07
1.000000000000000000e+01,-2.366600000000000092e-01,-4.231119999999999840e-07
1.050000000000000000e+01,-2.266440000000000121e-01,-3.890379999999999927e-07
1.100000000000000000e+01,-2.201289999999999913e-01,-3.597690000000000235e-07
1.150000000000000000e+01,-2.105009999999999937e-01,-3.252579999999999867e-07
1.200000000000000000e+01,-2.034030000000000005e-01,-2.994850000000000113e-07
1.250000000000000000e+01,-1.954289999999999916e-01,-2.697789999999999966e-07
1.300000000000000000e+01,-1.862880000000000091e-01,-2.448789999999999788e-07
1.350000000000000000e+01,-1.793839999999999879e-01,-2.274049999999999905e-07
1.400000000000000000e+01,-1.715069999999999928e-01,-1.998829999999999906e-07
1.450000000000000000e+01,-1.643110000000000126e-01,-1.859029999999999938e-07
1.500000000000000000e+01,-1.532250000000000001e-01,-1.693029999999999908e-07
1.550000000000000000e+01,-1.455430000000000057e-01,-1.540139999999999920e-07
1.600000000000000000e+01,-1.376660000000000106e-01,-1.352300000000000006e-07
1.650000000000000000e+01,-1.286219999999999863e-01,-1.260549999999999995e-07
1.700000000000000000e+01,-1.205510000000000054e-01,-1.077080000000000007e-07
1.750000000000000000e+01,-1.131609999999999977e-01,-9.678720000000000260e-08
1.800000000000000000e+01,-1.046030000000000015e-01,-8.542900000000000350e-08
1.850000000000000000e+01,-9.760169999999999957e-02,-7.931350000000000410e-08
1.900000000000000000e+01,-8.846070000000000322e-02,-6.839159999999999945e-08
1.950000000000000000e+01,-8.107019999999999504e-02,-5.965469999999999750e-08
2.000000000000000000e+01,-7.377699999999999536e-02,-5.310179999999999710e-08
2.050000000000000000e+01,-6.580310000000000326e-02,-4.742379999999999747e-08
2.100000000000000000e+01,-5.695390000000000175e-02,-4.130719999999999814e-08
2.150000000000000000e+01,-4.761859999999999704e-02,-3.606559999999999838e-08
2.200000000000000000e+01,-3.993630000000000096e-02,-2.689119999999999995e-08
2.250000000000000000e+01,-3.147599999999999704e-02,-2.732869999999999973e-08
2.300000000000000000e+01,-2.252960000000000032e-02,-2.470730000000000049e-08
2.350000000000000000e+01,-1.455569999999999954e-02,-2.077579999999999933e-08
2.400000000000000000e+01,-6.387229999999999817e-03,-1.640679999999999839e-08
2.450000000000000000e+01,-3.581050000000000010e-04,-7.233620000000000090e-09
