# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=3, Vneg=3, stepPos=0.15, stepNeg=0.15, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,1.499880000000000102e-01,1.573159999999999973e-09
2.027700000000000058e-01,3.000209999999999821e-01,2.109580000000000071e-09
4.527700000000000058e-01,4.500770000000000048e-01,4.701470000000000309e-09
7.027700000000000058e-01,6.000900000000000123e-01,8.649439999999999860e-09
9.527700000000000058e-01,7.500930000000000097e-01,9.663410000000000237e-09
1.202769999999999895e+00,9.001190000000000024e-01,1.627269999999999986e-08
1.452769999999999895e+00,1.050119999999999942e+00,1.666239999999999904e-08
1.702769999999999895e+00,1.200110000000000010e+00,2.477430000000000036e-08
1.952769999999999895e+00,1.350090000000000012e+00,2.786439999999999903e-08
2.202770000000000117e+00,1.500070000000000014e+00,3.761599999999999749e-08
2.452770000000000117e+00,1.650079999999999991e+00,4.125050000000000267e-08
2.702770000000000117e+00,1.800100000000000033e+00,5.134749999999999706e-08
2.952770000000000117e+00,1.950080000000000036e+00,5.981800000000000002e-08
3.202770000000000117e+00,2.100470000000000059e+00,7.112070000000000236e-08
3.452770000000000117e+00,2.250729999999999897e+00,7.744400000000000181e-08
3.702770000000000117e+00,2.400619999999999976e+00,9.693179999999999980e-08
3.955309999999999881e+00,2.550780000000000047e+00,2.204749999999999940e-07
4.202770000000000117e+00,2.701039999999999885e+00,1.664539999999999895e-07
4.452770000000000117e+00,2.851109999999999811e+00,1.907930000000000065e-07
4.707659999999999734e+00,3.000319999999999876e+00,1.199370000000000004e-05
4.955280000000000129e+00,2.850779999999999870e+00,9.730950000000000404e-06
5.202770000000000117e+00,2.700950000000000184e+00,8.899199999999999431e-06
5.452770000000000117e+00,2.550670000000000215e+00,7.341109999999999751e-06
5.702770000000000117e+00,2.400729999999999809e+00,6.632819999999999965e-06
5.952770000000000117e+00,2.250649999999999817e+00,5.656190000000000305e-06
6.202770000000000117e+00,2.100630000000000219e+00,5.020460000000000210e-06
6.452770000000000117e+00,1.950069999999999970e+00,3.889379999999999852e-06
6.702770000000000117e+00,1.800089999999999968e+00,3.030589999999999981e-06
6.952770000000000117e+00,1.650109999999999966e+00,2.391869999999999937e-06
7.202770000000000117e+00,1.500080000000000080e+00,1.733359999999999952e-06
7.452770000000000117e+00,1.350100000000000078e+00,1.390990000000000043e-06
7.702770000000000117e+00,1.200129999999999919e+00,1.145999999999999912e-06
7.999990000000000379e+00,1.050110000000000099e+00,6.709949999999999809e-08
8.202769999999999229e+00,9.000960000000000072e-01,5.134239999999999922e-08
8.455289999999999750e+00,7.501100000000000545e-01,3.874819999999999753e-07
8.702769999999999229e+00,6.000969999999999915e-01,1.576349999999999951e-07
8.952769999999999229e+00,4.500750000000000028e-01,1.238940000000000108e-07
9.249980000000000757e+00,3.000090000000000257e-01,4.689489999999999861e-08
9.452769999999999229e+00,1.499790000000000012e-01,1.974130000000000089e-08
9.702769999999999229e+00,-1.354220000000000055e-05,-9.113790000000000020e-10
9.952769999999999229e+00,-2.505779999999999919e-05,5.803940000000000329e-10
1.020279999999999987e+01,-1.500319999999999987e-01,-1.806309999999999980e-08
1.045279999999999987e+01,-3.000519999999999854e-01,-3.863540000000000330e-08
1.070279999999999987e+01,-4.500580000000000136e-01,-5.882640000000000192e-08
1.095279999999999987e+01,-6.001290000000000235e-01,-6.835969999999999504e-08
1.120780000000000065e+01,-7.501250000000000417e-01,-9.290899999999999637e-07
1.145529999999999937e+01,-9.001390000000000224e-01,-1.496959999999999926e-07
1.170279999999999987e+01,-1.050140000000000073e+00,-1.625480000000000074e-07
1.195529999999999937e+01,-1.200020000000000087e+00,-1.893899999999999985e-06
1.220279999999999987e+01,-1.350170000000000092e+00,-9.167419999999999381e-06
1.245279999999999987e+01,-1.500070000000000014e+00,-5.404240000000000117e-06
1.270279999999999987e+01,-1.650150000000000006e+00,-6.069469999999999675e-06
1.295279999999999987e+01,-1.800089999999999968e+00,-8.154050000000000306e-06
1.320509999999999984e+01,-1.950059999999999905e+00,-1.532670000000000015e-05
1.345279999999999987e+01,-2.099810000000000176e+00,-1.887470000000000074e-05
1.370279999999999987e+01,-2.250169999999999781e+00,-2.116859999999999922e-05
1.395279999999999987e+01,-2.400209999999999955e+00,-2.162569999999999862e-05
1.420279999999999987e+01,-2.549830000000000041e+00,-2.374459999999999963e-05
1.445279999999999987e+01,-2.699899999999999967e+00,-2.645870000000000131e-05
1.470279999999999987e+01,-2.849979999999999958e+00,-3.010719999999999865e-05
1.495279999999999987e+01,-2.999870000000000037e+00,-3.278640000000000173e-05
1.520279999999999987e+01,-2.849990000000000023e+00,-3.227040000000000193e-05
1.545279999999999987e+01,-2.699930000000000163e+00,-2.921469999999999999e-05
1.570279999999999987e+01,-2.549900000000000055e+00,-2.566049999999999936e-05
1.595279999999999987e+01,-2.400170000000000137e+00,-2.268429999999999896e-05
1.620279999999999987e+01,-2.250259999999999927e+00,-1.968630000000000157e-05
1.645279999999999987e+01,-2.099779999999999980e+00,-1.295379999999999954e-05
1.670279999999999987e+01,-1.950099999999999945e+00,-1.101020000000000006e-05
1.695530000000000115e+01,-1.800100000000000033e+00,-7.570729999999999765e-06
1.720279999999999987e+01,-1.650160000000000071e+00,-5.934050000000000385e-06
1.745279999999999987e+01,-1.500119999999999898e+00,-4.327429999999999833e-06
1.770279999999999987e+01,-1.350190000000000001e+00,-3.056800000000000108e-06
1.795279999999999987e+01,-1.200139999999999985e+00,-1.969009999999999974e-06
1.820279999999999987e+01,-1.050140000000000073e+00,-1.006630000000000008e-06
1.845530000000000115e+01,-9.001430000000000264e-01,-6.130869999999999629e-07
1.870279999999999987e+01,-7.501400000000000290e-01,-3.316840000000000205e-07
1.895279999999999987e+01,-6.001119999999999788e-01,-1.572159999999999964e-07
1.925000000000000000e+01,-4.500739999999999741e-01,-6.217519999999999680e-08
1.945279999999999987e+01,-3.000709999999999766e-01,-1.955689999999999892e-08
1.970279999999999987e+01,-1.500370000000000037e-01,-2.898650000000000118e-09
