# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.05, stepNeg=0.05, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,4.998190000000000272e-02,6.430749999999999739e-10
2.027549999999999908e-01,9.998920000000000030e-02,5.764370000000000020e-10
4.527550000000000185e-01,1.499719999999999942e-01,1.478159999999999991e-09
7.027550000000000185e-01,1.999819999999999931e-01,3.089579999999999995e-09
9.527550000000000185e-01,2.500149999999999872e-01,4.132880000000000311e-09
1.202760000000000051e+00,3.000140000000000029e-01,5.952420000000000007e-09
1.452760000000000051e+00,3.499940000000000273e-01,8.142789999999999754e-09
1.702760000000000051e+00,4.000420000000000087e-01,1.012649999999999972e-08
1.952760000000000051e+00,4.500629999999999908e-01,1.382620000000000009e-08
2.202749999999999986e+00,5.000480000000000480e-01,1.691989999999999986e-08
2.452749999999999986e+00,5.500359999999999694e-01,2.346389999999999877e-08
2.702749999999999986e+00,6.000910000000000410e-01,2.630719999999999948e-08
2.952749999999999986e+00,6.500730000000000119e-01,3.466079999999999760e-08
3.202749999999999986e+00,7.000729999999999453e-01,4.096720000000000304e-08
3.452749999999999986e+00,7.500660000000000105e-01,5.140309999999999923e-08
3.702749999999999986e+00,8.001239999999999464e-01,5.477899999999999705e-08
3.952749999999999986e+00,8.500969999999999915e-01,6.251959999999999822e-08
4.202749999999999986e+00,9.000939999999999497e-01,7.390880000000000600e-08
4.452749999999999986e+00,9.500750000000000028e-01,9.073950000000000331e-08
4.702749999999999986e+00,1.000110000000000054e+00,9.309879999999999453e-08
4.955289999999999750e+00,1.050130000000000008e+00,2.237639999999999912e-07
5.202749999999999986e+00,1.100109999999999921e+00,1.543080000000000077e-07
5.452749999999999986e+00,1.150099999999999900e+00,1.947949999999999917e-07
5.702749999999999986e+00,1.200110000000000010e+00,2.055319999999999905e-07
5.952749999999999986e+00,1.250119999999999898e+00,2.462690000000000197e-07
6.202749999999999986e+00,1.300110000000000099e+00,2.761580000000000036e-07
6.452749999999999986e+00,1.350090000000000012e+00,3.563760000000000143e-07
6.702749999999999986e+00,1.400099999999999900e+00,3.999079999999999835e-07
6.952749999999999986e+00,1.450099999999999945e+00,5.206490000000000189e-07
7.202749999999999986e+00,1.500070000000000014e+00,7.354050000000000130e-07
7.452749999999999986e+00,1.550089999999999968e+00,8.996589999999999697e-07
7.702749999999999986e+00,1.600119999999999987e+00,9.644550000000000689e-07
7.955280000000000129e+00,1.650079999999999991e+00,1.125460000000000021e-06
8.202749999999999986e+00,1.700069999999999970e+00,1.808379999999999998e-06
8.452749999999999986e+00,1.750080000000000080e+00,1.653820000000000075e-06
8.702749999999999986e+00,1.800079999999999902e+00,2.060399999999999789e-06
8.952749999999999986e+00,1.850060000000000038e+00,6.722630000000000211e-06
9.202749999999999986e+00,1.900039999999999951e+00,2.334650000000000170e-06
9.452749999999999986e+00,1.950020000000000087e+00,2.829809999999999847e-06
9.702749999999999986e+00,2.000049999999999883e+00,2.814540000000000161e-06
9.952749999999999986e+00,2.050419999999999909e+00,2.877249999999999854e-06
1.020279999999999987e+01,2.100499999999999812e+00,2.998339999999999994e-06
1.045279999999999987e+01,2.150840000000000085e+00,6.004799999999999666e-06
1.070279999999999987e+01,2.199310000000000098e+00,6.528889999999999589e-06
1.095279999999999987e+01,2.250649999999999817e+00,5.591369999999999966e-06
1.120279999999999987e+01,2.300780000000000047e+00,6.010620000000000230e-06
1.145279999999999987e+01,2.350610000000000088e+00,5.826150000000000114e-06
1.170279999999999987e+01,2.400479999999999947e+00,5.675710000000000416e-06
1.195279999999999987e+01,2.450800000000000090e+00,5.932100000000000345e-06
1.220279999999999987e+01,2.500280000000000058e+00,8.356249999999999827e-06
1.245279999999999987e+01,2.550180000000000113e+00,9.350680000000000401e-06
1.270509999999999984e+01,2.600509999999999877e+00,1.024470000000000036e-05
1.295279999999999987e+01,2.650819999999999954e+00,1.072470000000000084e-05
1.320529999999999937e+01,2.700870000000000104e+00,9.795839999999999710e-06
1.345279999999999987e+01,2.750469999999999970e+00,9.480040000000000125e-06
1.370509999999999984e+01,2.800530000000000186e+00,1.037939999999999925e-05
1.395529999999999937e+01,2.850950000000000095e+00,9.299800000000000305e-06
1.420509999999999984e+01,2.900430000000000064e+00,1.164700000000000047e-05
1.445279999999999987e+01,2.950610000000000177e+00,1.557379999999999987e-05
1.470279999999999987e+01,3.002029999999999976e+00,1.519020000000000069e-05
1.495279999999999987e+01,3.051159999999999872e+00,1.758470000000000123e-05
1.520279999999999987e+01,3.100769999999999804e+00,1.770429999999999920e-05
1.545279999999999987e+01,3.151009999999999867e+00,1.835669999999999994e-05
1.570279999999999987e+01,3.201049999999999951e+00,1.897670000000000078e-05
1.595279999999999987e+01,3.250830000000000108e+00,1.944210000000000144e-05
1.620279999999999987e+01,3.300940000000000207e+00,1.833050000000000009e-05
1.645279999999999987e+01,3.351259999999999906e+00,2.159880000000000063e-05
1.670279999999999987e+01,3.401219999999999910e+00,2.087189999999999917e-05
1.695279999999999987e+01,3.450820000000000221e+00,2.401410000000000103e-05
1.720279999999999987e+01,3.501090000000000035e+00,2.225049999999999982e-05
1.745279999999999987e+01,3.551229999999999887e+00,2.333179999999999911e-05
1.770279999999999987e+01,3.601329999999999920e+00,2.414670000000000041e-05
1.795279999999999987e+01,3.651139999999999830e+00,2.570659999999999880e-05
1.820279999999999987e+01,3.701229999999999798e+00,2.682340000000000139e-05
1.845279999999999987e+01,3.751320000000000210e+00,2.613890000000000142e-05
1.870279999999999987e+01,3.800930000000000142e+00,2.875810000000000169e-05
1.895279999999999987e+01,3.851039999999999797e+00,2.688879999999999911e-05
1.920279999999999987e+01,3.901260000000000172e+00,2.628019999999999955e-05
