# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=0.01, stepPos=0.2, stepNeg=0.0004, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,1.999980000000000091e-01,4.078659999999999645e-09
2.027599999999999958e-01,4.000630000000000019e-01,1.121070000000000059e-08
4.527599999999999958e-01,6.001309999999999700e-01,2.583369999999999859e-08
7.027600000000000513e-01,8.001179999999999959e-01,5.140139999999999995e-08
9.527600000000000513e-01,1.000140000000000029e+00,5.815870000000000183e-08
1.202760000000000051e+00,1.200129999999999919e+00,8.222379999999999807e-08
1.452760000000000051e+00,1.400150000000000006e+00,9.832550000000000255e-08
1.705289999999999973e+00,1.600149999999999961e+00,2.733399999999999846e-07
1.952760000000000051e+00,1.800130000000000008e+00,1.921650000000000005e-07
2.202760000000000051e+00,2.000080000000000080e+00,2.536030000000000243e-07
2.452760000000000051e+00,2.200639999999999930e+00,3.629790000000000106e-07
2.702760000000000051e+00,2.400990000000000180e+00,5.200860000000000422e-07
2.952760000000000051e+00,2.600800000000000001e+00,7.022110000000000137e-07
3.205290000000000195e+00,2.800910000000000011e+00,1.000029999999999936e-06
3.452760000000000051e+00,3.001040000000000152e+00,1.462469999999999992e-06
3.702760000000000051e+00,3.201560000000000183e+00,2.125190000000000146e-06
3.952760000000000051e+00,3.401349999999999874e+00,2.780329999999999857e-06
4.202759999999999607e+00,3.601620000000000044e+00,4.056969999999999885e-06
4.452759999999999607e+00,3.801180000000000003e+00,5.787679999999999955e-06
4.702759999999999607e+00,4.001310000000000144e+00,9.199590000000000125e-06
4.955099999999999838e+00,4.201100000000000279e+00,1.454180000000000026e-05
5.202759999999999607e+00,4.401609999999999800e+00,1.835159999999999892e-05
5.452759999999999607e+00,4.601580000000000226e+00,2.934650000000000100e-05
5.702759999999999607e+00,4.801890000000000214e+00,4.186340000000000308e-05
5.952759999999999607e+00,5.001610000000000333e+00,5.799539999999999703e-05
6.202759999999999607e+00,4.801720000000000432e+00,5.679069999999999821e-05
6.452759999999999607e+00,4.601619999999999600e+00,4.799710000000000163e-05
6.702759999999999607e+00,4.401500000000000412e+00,4.229510000000000100e-05
6.952759999999999607e+00,4.201329999999999565e+00,3.920440000000000025e-05
7.202759999999999607e+00,4.001520000000000188e+00,3.090120000000000155e-05
7.452759999999999607e+00,3.801359999999999850e+00,2.223270000000000145e-05
7.702759999999999607e+00,3.601399999999999935e+00,1.803880000000000083e-05
7.952759999999999607e+00,3.401539999999999786e+00,1.520630000000000042e-05
8.202759999999999607e+00,3.201340000000000074e+00,1.167829999999999964e-05
8.455280000000000129e+00,3.000739999999999963e+00,9.086700000000000601e-06
8.702759999999999607e+00,2.800940000000000207e+00,7.115470000000000333e-06
8.952759999999999607e+00,2.601100000000000190e+00,5.335219999999999886e-06
9.202759999999999607e+00,2.400840000000000085e+00,3.984659999999999895e-06
9.452759999999999607e+00,2.200579999999999981e+00,3.052210000000000039e-06
9.702759999999999607e+00,2.000100000000000211e+00,2.217639999999999998e-06
9.952759999999999607e+00,1.800119999999999942e+00,1.607800000000000090e-06
1.020279999999999987e+01,1.600119999999999987e+00,1.152789999999999935e-06
1.045529999999999937e+01,1.400120000000000031e+00,7.898340000000000301e-07
1.070279999999999987e+01,1.200159999999999894e+00,5.562600000000000325e-07
1.095279999999999987e+01,1.000129999999999963e+00,3.443159999999999976e-07
1.120279999999999987e+01,8.001390000000000446e-01,2.372750000000000121e-07
1.145279999999999987e+01,6.001100000000000323e-01,1.170840000000000047e-07
1.175000000000000000e+01,4.000770000000000159e-01,6.246249999999999435e-08
1.195279999999999987e+01,1.999670000000000059e-01,1.593529999999999976e-08
1.220279999999999987e+01,-1.173019999999999994e-05,7.835029999999999568e-10
1.245279999999999987e+01,-1.921650000000000143e-05,-1.128720000000000007e-09
1.270279999999999987e+01,-4.364009999999999981e-04,7.451299999999999901e-10
1.295279999999999987e+01,-8.238079999999999839e-04,-1.084739999999999916e-09
1.320279999999999987e+01,-1.237959999999999972e-03,7.844809999999999714e-10
1.345279999999999987e+01,-1.629809999999999983e-03,-1.063839999999999916e-09
1.370279999999999987e+01,-2.044610000000000091e-03,7.866379999999999671e-10
1.395279999999999987e+01,-2.434710000000000086e-03,-1.053460000000000000e-09
1.420279999999999987e+01,-2.833909999999999815e-03,7.658239999999999809e-10
1.445279999999999987e+01,-3.230980000000000050e-03,-1.051900000000000059e-09
1.470279999999999987e+01,-3.639820000000000208e-03,7.335660000000000495e-10
1.495279999999999987e+01,-4.032370000000000398e-03,-1.038599999999999908e-09
1.520279999999999987e+01,-4.423859999999999945e-03,6.980900000000000161e-10
1.545279999999999987e+01,-4.831170000000000082e-03,-1.007520000000000053e-09
1.570279999999999987e+01,-5.235079999999999595e-03,6.570819999999999856e-10
1.595279999999999987e+01,-5.636719999999999578e-03,-9.811760000000000868e-10
1.620279999999999987e+01,-6.034920000000000041e-03,6.124259999999999901e-10
1.645279999999999987e+01,-6.441429999999999725e-03,-9.528760000000000914e-10
1.670279999999999987e+01,-6.839729999999999595e-03,5.559559999999999773e-10
1.695279999999999987e+01,-7.232449999999999643e-03,-9.129409999999999600e-10
1.720279999999999987e+01,-7.637429999999999740e-03,4.904270000000000064e-10
1.745279999999999987e+01,-8.036540000000000003e-03,-8.585449999999999547e-10
1.770279999999999987e+01,-8.437820000000000389e-03,4.130960000000000177e-10
1.795279999999999987e+01,-8.841800000000000354e-03,-7.894160000000000169e-10
1.820279999999999987e+01,-9.235500000000000653e-03,3.360630000000000005e-10
1.845279999999999987e+01,-9.631850000000000828e-03,-7.205369999999999490e-10
1.870279999999999987e+01,-1.003680000000000024e-02,2.389669999999999773e-10
1.895279999999999987e+01,-9.628869999999999443e-03,-6.381390000000000232e-10
1.920279999999999987e+01,-9.227229999999999460e-03,1.612899999999999931e-10
1.945279999999999987e+01,-8.836220000000000532e-03,-5.288479999999999712e-10
1.970279999999999987e+01,-8.432870000000000296e-03,7.699729999999999787e-11
1.995279999999999987e+01,-8.035280000000000547e-03,-4.111409999999999971e-10
2.020279999999999987e+01,-7.630129999999999725e-03,-1.397130000000000046e-11
2.045279999999999987e+01,-7.234619999999999766e-03,-3.059390000000000227e-10
2.070279999999999987e+01,-6.831359999999999863e-03,-9.721519999999999636e-11
2.095279999999999987e+01,-6.435040000000000378e-03,-1.863239999999999916e-10
2.120279999999999987e+01,-6.025550000000000177e-03,-1.867410000000000017e-10
2.145279999999999987e+01,-5.646970000000000288e-03,-8.059739999999999663e-11
2.170279999999999987e+01,-5.231480000000000158e-03,-2.675180000000000062e-10
2.195279999999999987e+01,-4.837389999999999572e-03,2.800229999999999994e-11
2.220279999999999987e+01,-4.428549999999999848e-03,-3.481269999999999911e-10
2.245279999999999987e+01,-4.043480000000000338e-03,1.345629999999999984e-10
2.270279999999999987e+01,-3.635189999999999949e-03,-4.386780000000000127e-10
2.295279999999999987e+01,-3.244519999999999869e-03,2.355689999999999855e-10
2.320279999999999987e+01,-2.838919999999999985e-03,-5.060309999999999662e-10
2.345279999999999987e+01,-2.440710000000000015e-03,3.241659999999999950e-10
2.370279999999999987e+01,-2.044649999999999853e-03,-5.676510000000000077e-10
2.395279999999999987e+01,-1.648879999999999920e-03,4.052759999999999868e-10
2.420279999999999987e+01,-1.233719999999999999e-03,-6.310459999999999734e-10
2.445279999999999987e+01,-8.447889999999999783e-04,4.891160000000000303e-10
2.470279999999999987e+01,-4.342319999999999991e-04,-6.840350000000000062e-10
