# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.008, stepNeg=0.008, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.0005, rangeI=0.0001, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,7.879189999999999458e-03,6.094690000000000426e-07
5.000000000000000000e-01,1.601959999999999842e-02,1.357160000000000064e-06
1.000000000000000000e+00,2.452810000000000060e-02,2.219560000000000057e-06
1.500000000000000000e+00,3.270089999999999802e-02,3.162659999999999972e-06
2.000000000000000000e+00,3.981289999999999829e-02,3.872120000000000291e-06
2.500000000000000000e+00,4.837550000000000183e-02,4.513600000000000289e-06
3.000000000000000000e+00,5.638599999999999862e-02,5.418480000000000170e-06
3.500000000000000000e+00,6.436409999999999354e-02,6.523009999999999910e-06
4.000000000000000000e+00,7.272099999999999398e-02,7.300439999999999851e-06
4.500000000000000000e+00,7.955160000000000009e-02,8.196820000000000576e-06
5.000000000000000000e+00,8.888269999999999504e-02,9.322599999999999477e-06
5.500000000000000000e+00,9.588649999999999951e-02,1.013830000000000083e-05
6.000000000000000000e+00,1.048280000000000045e-01,1.156990000000000081e-05
6.500000000000000000e+00,1.126110000000000028e-01,1.263619999999999940e-05
7.000000000000000000e+00,1.207300000000000040e-01,1.368130000000000062e-05
7.500000000000000000e+00,1.279180000000000039e-01,1.478159999999999922e-05
8.000000000000000000e+00,1.359609999999999985e-01,1.595829999999999932e-05
8.500000000000000000e+00,1.436250000000000027e-01,1.733479999999999876e-05
9.000000000000000000e+00,1.530749999999999889e-01,1.891510000000000123e-05
9.500000000000000000e+00,1.605769999999999975e-01,2.017260000000000063e-05
1.000000000000000000e+01,1.688469999999999971e-01,2.158299999999999986e-05
1.050000000000000000e+01,1.760670000000000013e-01,2.305290000000000082e-05
1.100000000000000000e+01,1.846949999999999981e-01,2.470119999999999993e-05
1.150000000000000000e+01,1.928570000000000007e-01,2.631549999999999902e-05
1.200000000000000000e+01,2.002720000000000056e-01,2.785340000000000000e-05
1.250000000000000000e+01,2.106530000000000069e-01,2.984580000000000146e-05
1.300000000000000000e+01,2.190269999999999995e-01,3.147290000000000151e-05
1.350000000000000000e+01,2.251610000000000000e-01,3.326989999999999803e-05
1.400000000000000000e+01,2.345089999999999952e-01,3.496919999999999716e-05
1.450000000000000000e+01,2.420069999999999999e-01,3.691909999999999691e-05
1.500000000000000000e+01,2.508679999999999799e-01,3.886909999999999687e-05
1.550000000000000000e+01,2.581709999999999838e-01,4.086150000000000172e-05
1.600000000000000000e+01,2.657079999999999997e-01,4.304710000000000329e-05
1.650000000000000000e+01,2.740750000000000131e-01,4.504230000000000072e-05
1.700000000000000000e+01,2.790360000000000062e-01,4.719879999999999947e-05
1.750000000000000000e+01,2.894450000000000078e-01,4.952080000000000197e-05
1.800000000000000000e+01,2.950869999999999882e-01,5.185140000000000300e-05
1.850000000000000000e+01,3.043290000000000162e-01,5.399089999999999836e-05
1.900000000000000000e+01,3.102630000000000110e-01,5.637240000000000257e-05
1.950000000000000000e+01,3.201860000000000261e-01,5.880050000000000055e-05
2.000000000000000000e+01,3.288440000000000252e-01,6.098250000000000101e-05
2.050000000000000000e+01,3.374050000000000105e-01,6.364839999999999864e-05
2.100000000000000000e+01,3.447990000000000221e-01,6.616569999999999570e-05
2.150000000000000000e+01,3.526790000000000203e-01,6.869579999999999372e-05
2.200000000000000000e+01,3.616280000000000050e-01,7.136170000000000490e-05
2.250000000000000000e+01,3.693139999999999756e-01,7.388750000000000027e-05
2.300000000000000000e+01,3.763179999999999858e-01,7.647279999999999735e-05
2.350000000000000000e+01,3.851709999999999856e-01,7.930000000000000308e-05
2.400000000000000000e+01,3.908130000000000215e-01,8.197439999999999902e-05
2.450000000000000000e+01,4.002490000000000214e-01,8.483559999999999799e-05
2.500000000000000000e+01,3.928559999999999830e-01,8.213569999999999357e-05
2.550000000000000000e+01,3.832249999999999823e-01,7.939340000000000459e-05
2.600000000000000000e+01,3.778750000000000164e-01,7.662130000000000449e-05
2.650000000000000000e+01,3.695080000000000031e-01,7.391720000000000441e-05
2.700000000000000000e+01,3.608500000000000041e-01,7.119189999999999850e-05
2.750000000000000000e+01,3.522890000000000188e-01,6.858969999999999824e-05
2.800000000000000000e+01,3.450900000000000079e-01,6.612329999999999759e-05
2.850000000000000000e+01,3.365290000000000226e-01,6.369940000000000205e-05
2.900000000000000000e+01,3.268989999999999951e-01,6.111830000000000062e-05
2.950000000000000000e+01,3.207699999999999996e-01,5.857979999999999774e-05
3.000000000000000000e+01,3.118199999999999861e-01,5.616440000000000050e-05
3.050000000000000000e+01,3.041349999999999887e-01,5.394419999999999760e-05
3.100000000000000000e+01,2.964490000000000181e-01,5.170699999999999808e-05
3.150000000000000000e+01,2.876940000000000053e-01,4.955899999999999764e-05
3.200000000000000000e+01,2.824130000000000251e-01,4.710960000000000039e-05
3.250000000000000000e+01,2.748240000000000127e-01,4.508050000000000316e-05
3.300000000000000000e+01,2.653849999999999820e-01,4.321690000000000291e-05
3.350000000000000000e+01,2.568219999999999947e-01,4.089910000000000285e-05
3.400000000000000000e+01,2.502050000000000107e-01,3.891239999999999695e-05
3.450000000000000000e+01,2.431020000000000125e-01,3.702330000000000177e-05
3.500000000000000000e+01,2.323979999999999935e-01,3.496450000000000041e-05
3.550000000000000000e+01,2.249049999999999938e-01,3.324950000000000073e-05
3.600000000000000000e+01,2.172179999999999944e-01,3.141559999999999785e-05
3.650000000000000000e+01,2.105039999999999967e-01,2.945010000000000116e-05
3.700000000000000000e+01,2.006719999999999893e-01,2.798980000000000093e-05
3.750000000000000000e+01,1.922449999999999992e-01,2.620259999999999880e-05
3.800000000000000000e+01,1.850519999999999943e-01,2.498010000000000161e-05
3.850000000000000000e+01,1.759320000000000050e-01,2.300609999999999984e-05
3.900000000000000000e+01,1.687609999999999943e-01,2.160099999999999867e-05
3.950000000000000000e+01,1.606480000000000130e-01,2.029350000000000145e-05
4.000000000000000000e+01,1.527290000000000036e-01,1.886289999999999858e-05
4.050000000000000000e+01,1.451349999999999862e-01,1.762330000000000117e-05
4.100000000000000000e+01,1.364920000000000022e-01,1.626920000000000002e-05
4.150000000000000000e+01,1.283900000000000041e-01,1.484710000000000054e-05
4.200000000000000000e+01,1.204500000000000015e-01,1.376460000000000032e-05
4.250000000000000000e+01,1.121530000000000027e-01,1.243159999999999970e-05
4.300000000000000000e+01,1.043970000000000037e-01,1.139159999999999949e-05
4.350000000000000000e+01,9.661939999999999418e-02,1.041950000000000078e-05
4.400000000000000000e+01,8.847389999999999421e-02,9.281780000000000095e-06
4.450000000000000000e+01,8.045819999999999361e-02,8.207769999999999175e-06
4.500000000000000000e+01,7.211789999999999867e-02,7.295080000000000126e-06
4.550000000000000000e+01,6.385349999999999360e-02,6.378150000000000081e-06
4.600000000000000000e+01,5.595680000000000098e-02,5.482429999999999786e-06
4.650000000000000000e+01,4.800600000000000006e-02,4.637670000000000102e-06
4.700000000000000000e+01,4.020660000000000206e-02,3.894779999999999834e-06
4.750000000000000000e+01,3.242889999999999662e-02,3.113690000000000084e-06
4.800000000000000000e+01,2.410609999999999836e-02,2.269100000000000010e-06
4.850000000000000000e+01,1.595480000000000162e-02,1.555870000000000021e-06
4.900000000000000000e+01,8.192730000000000498e-03,6.685730000000000403e-07
4.950000000000000000e+01,1.387829999999999891e-04,2.050399999999999868e-09
5.000000000000000000e+01,1.387829999999999891e-04,-1.492499999999999964e-08
5.050000000000000000e+01,-7.786129999999999614e-03,-6.814600000000000154e-07
5.100000000000000000e+01,-1.634899999999999895e-02,-1.606970000000000049e-06
