# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0, hslF=0, cycles=1, T=0.1, pw=0.05, limitI=0.5, rangeI=0.1, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,9.983430000000000082e-02,5.683900000000000248e-05
1.000010000000000066e-01,1.995510000000000062e-01,2.666710000000000087e-05
2.000010000000000121e-01,3.009069999999999800e-01,2.235170000000000150e-05
3.000010000000000177e-01,4.004539999999999766e-01,3.098249999999999686e-05
4.000009999999999954e-01,5.006819999999999604e-01,6.115440000000000524e-05
5.000010000000000288e-01,5.976040000000000241e-01,7.839200000000000432e-05
6.000010000000000066e-01,7.008450000000000513e-01,7.407669999999999500e-05
7.000009999999999843e-01,8.017530000000000490e-01,6.545779999999999524e-05
8.000009999999999621e-01,9.011050000000000448e-01,1.258130000000000099e-04
9.000010000000000510e-01,1.000070000000000014e+00,9.562969999999999685e-05
1.000000000000000000e+00,1.099909999999999943e+00,9.994509999999999961e-05
1.100000000000000089e+00,1.200229999999999908e+00,1.301169999999999877e-04
1.199999999999999956e+00,1.299679999999999946e+00,1.387360000000000080e-04
1.300000000000000044e+00,1.399029999999999996e+00,1.344320000000000031e-04
1.399999999999999911e+00,1.500429999999999930e+00,1.171830000000000061e-04
1.500000000000000000e+00,1.599490000000000078e+00,1.602890000000000098e-04
1.600000000000000089e+00,1.698649999999999993e+00,1.646039999999999981e-04
1.699999999999999956e+00,1.799560000000000048e+00,1.775380000000000068e-04
1.800000000000000044e+00,1.898419999999999996e+00,1.990799999999999981e-04
1.899999999999999911e+00,1.999430000000000041e+00,2.206329999999999999e-04
2.000000000000000000e+00,2.093160000000000132e+00,2.508160000000000055e-04
2.100000000000000089e+00,2.194280000000000008e+00,2.508160000000000055e-04
2.200000000000000178e+00,2.299710000000000143e+00,2.508160000000000055e-04
2.299999999999999822e+00,2.388729999999999798e+00,2.680539999999999919e-04
2.399999999999999911e+00,2.487260000000000026e+00,2.852919999999999783e-04
2.500000000000000000e+00,2.590110000000000134e+00,3.025409999999999753e-04
2.600000000000000089e+00,2.705909999999999815e+00,3.197790000000000159e-04
2.700000000000000178e+00,2.798389999999999933e+00,3.154640000000000005e-04
2.799999999999999822e+00,2.890000000000000124e+00,3.499509999999999839e-04
2.899999999999999911e+00,3.002359999999999918e+00,3.370170000000000023e-04
3.000000000000000000e+00,3.095689999999999831e+00,3.671880000000000087e-04
3.100000000000000089e+00,3.196810000000000151e+00,3.715039999999999857e-04
3.200000000000000178e+00,3.298799999999999955e+00,3.887410000000000106e-04
3.299999999999999822e+00,3.392999999999999794e+00,3.930569999999999876e-04
3.399999999999999911e+00,3.487200000000000077e+00,4.059910000000000233e-04
3.500000000000000000e+00,3.606469999999999843e+00,4.232290000000000097e-04
3.600000000000000089e+00,3.704130000000000145e+00,4.318479999999999758e-04
3.700000000000000178e+00,3.790560000000000151e+00,4.361629999999999912e-04
3.799999999999999822e+00,3.900319999999999787e+00,4.534009999999999777e-04
3.899999999999999911e+00,4.003160000000000274e+00,4.620189999999999822e-04
4.000000000000000000e+00,4.092179999999999929e+00,4.878880000000000152e-04
4.099999999999999645e+00,4.191569999999999574e+00,4.749539999999999795e-04
4.200000000000000178e+00,4.300469999999999793e+00,4.835719999999999841e-04
4.299999999999999822e+00,4.386890000000000178e+00,4.965069999999999813e-04
4.400000000000000355e+00,4.501839999999999620e+00,4.878880000000000152e-04
4.500000000000000000e+00,4.613330000000000375e+00,5.137440000000000062e-04
4.599999999999999645e+00,4.710130000000000372e+00,4.921910000000000044e-04
4.700000000000000178e+00,4.783590000000000231e+00,5.525470000000000208e-04
4.799999999999999822e+00,4.903719999999999857e+00,5.784030000000000117e-04
4.900000000000000355e+00,5.011400000000000077e+00,5.869510000000000526e-04
5.000000000000000000e+00,4.902440000000000353e+00,5.610940000000000458e-04
5.099999999999999645e+00,4.810769999999999769e+00,5.438570000000000210e-04
5.200000000000000178e+00,4.705259999999999998e+00,5.266189999999999804e-04
5.299999999999999822e+00,4.614460000000000228e+00,5.050659999999999785e-04
5.400000000000000355e+00,4.522789999999999644e+00,4.619720000000000011e-04
5.500000000000000000e+00,4.411229999999999762e+00,4.662749999999999903e-04
5.599999999999999645e+00,4.304000000000000270e+00,5.007510000000000173e-04
5.700000000000000178e+00,4.208009999999999806e+00,4.792090000000000260e-04
5.799999999999999822e+00,4.108559999999999768e+00,4.835129999999999767e-04
5.900000000000000355e+00,3.996129999999999960e+00,4.533410000000000087e-04
