# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.09333333333333334, stepNeg=0.09333333333333334, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,2.999729999999999897e-01,1.267080000000000073e-05
2.495179999999999898e-01,9.327889999999999793e-02,3.625749999999999972e-06
4.992929999999999868e-01,3.001759999999999984e-01,1.258689999999999972e-05
7.494960000000000511e-01,1.865839999999999999e-01,7.241600000000000258e-06
9.992980000000000196e-01,2.998919999999999919e-01,1.256000000000000002e-05
1.248780000000000001e+00,2.802120000000000166e-01,1.159850000000000084e-05
1.498780000000000001e+00,3.001759999999999984e-01,1.241389999999999985e-05
1.748780000000000001e+00,3.734779999999999767e-01,1.547319999999999951e-05
1.998780000000000001e+00,3.001679999999999904e-01,1.240720000000000040e-05
2.248780000000000001e+00,4.670290000000000274e-01,1.935250000000000148e-05
2.498780000000000001e+00,3.000709999999999766e-01,1.241570000000000041e-05
2.748780000000000001e+00,5.603930000000000300e-01,2.323569999999999846e-05
2.998780000000000001e+00,3.001759999999999984e-01,1.241069999999999961e-05
3.248780000000000001e+00,6.536110000000000531e-01,2.713050000000000054e-05
3.498780000000000001e+00,3.001440000000000219e-01,1.242420000000000041e-05
3.748780000000000001e+00,7.469590000000000396e-01,3.102679999999999913e-05
3.998780000000000001e+00,3.000140000000000029e-01,1.240580000000000072e-05
4.248780000000000001e+00,8.402420000000000444e-01,3.493509999999999693e-05
4.498780000000000001e+00,3.002810000000000201e-01,1.241389999999999985e-05
4.748780000000000001e+00,9.336060000000000469e-01,3.884380000000000238e-05
4.998780000000000001e+00,3.000950000000000006e-01,1.241180000000000033e-05
5.248780000000000001e+00,1.026990000000000069e+00,4.277859999999999730e-05
5.498780000000000001e+00,3.002159999999999829e-01,1.241149999999999967e-05
5.748780000000000001e+00,1.120160000000000045e+00,4.669149999999999841e-05
5.998780000000000001e+00,3.001599999999999824e-01,1.239550000000000016e-05
6.248780000000000001e+00,1.213619999999999921e+00,5.057150000000000192e-05
6.498780000000000001e+00,3.003140000000000254e-01,1.239730000000000072e-05
6.748780000000000001e+00,1.307039999999999980e+00,5.449920000000000160e-05
6.998780000000000001e+00,3.002330000000000276e-01,1.239800000000000056e-05
7.248780000000000001e+00,1.400349999999999984e+00,5.845629999999999799e-05
7.498780000000000001e+00,3.000220000000000109e-01,1.239940000000000024e-05
7.748780000000000001e+00,1.493640000000000079e+00,6.237950000000000135e-05
