# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.09333333333333334, stepNeg=0.09333333333333334, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.001359999999999917e-01,4.007100000000000049e-10
2.038729999999999987e-01,9.331770000000000342e-02,-1.828430000000000116e-10
4.538730000000000264e-01,4.000230000000000175e-01,6.587030000000000362e-10
7.038729999999999709e-01,1.866470000000000073e-01,-1.373649999999999956e-10
9.538729999999999709e-01,4.002009999999999734e-01,6.433960000000000393e-10
1.203869999999999996e+00,2.802060000000000106e-01,-6.383659999999999802e-11
1.453869999999999996e+00,4.003869999999999929e-01,5.987640000000000429e-10
1.703869999999999996e+00,3.736229999999999829e-01,4.836320000000000056e-11
1.953869999999999996e+00,4.001279999999999837e-01,5.558369999999999904e-10
2.203870000000000218e+00,4.668120000000000047e-01,1.784209999999999984e-10
2.453870000000000218e+00,4.002490000000000214e-01,5.073909999999999491e-10
2.703870000000000218e+00,5.602850000000000330e-01,3.114580000000000116e-10
2.953870000000000218e+00,4.000949999999999784e-01,4.466059999999999878e-10
3.203870000000000218e+00,6.535720000000000418e-01,4.644629999999999914e-10
3.453870000000000218e+00,4.001040000000000152e-01,4.011390000000000145e-10
3.703870000000000218e+00,7.469149999999999956e-01,6.225699999999999501e-10
3.953870000000000218e+00,4.001359999999999917e-01,3.569359999999999759e-10
4.203870000000000218e+00,8.402819999999999734e-01,8.197780000000000202e-10
4.453870000000000218e+00,4.002009999999999734e-01,2.969979999999999912e-10
4.703870000000000218e+00,9.338849999999999651e-01,1.181900000000000024e-09
4.953870000000000218e+00,4.001850000000000129e-01,2.234700000000000048e-10
5.203870000000000218e+00,1.027199999999999891e+00,1.539769999999999947e-09
5.453870000000000218e+00,4.002660000000000107e-01,1.537680000000000112e-10
5.703870000000000218e+00,1.120200000000000085e+00,2.022169999999999853e-09
5.953870000000000218e+00,4.002089999999999814e-01,3.263949999999999880e-11
6.203870000000000218e+00,1.213680000000000092e+00,2.495219999999999992e-09
6.453870000000000218e+00,4.001120000000000232e-01,-3.492829999999999689e-11
6.703870000000000218e+00,1.307099999999999929e+00,3.260679999999999953e-09
6.953870000000000218e+00,4.003309999999999924e-01,-7.657999999999999560e-11
7.203870000000000218e+00,1.400470000000000104e+00,3.023529999999999794e-09
7.453870000000000218e+00,4.002490000000000214e-01,-1.186609999999999897e-10
7.703870000000000218e+00,1.493740000000000068e+00,3.600290000000000189e-09
7.953870000000000218e+00,4.002580000000000027e-01,-1.220579999999999987e-10
8.203870000000000218e+00,1.587080000000000046e+00,3.158259999999999804e-09
8.453870000000000218e+00,4.002249999999999974e-01,-1.322629999999999909e-10
8.703870000000000218e+00,1.680509999999999948e+00,3.230509999999999839e-09
8.953870000000000218e+00,4.001680000000000237e-01,-1.250390000000000063e-10
9.203870000000000218e+00,1.773630000000000040e+00,3.543330000000000005e-09
9.453870000000000218e+00,4.003709999999999769e-01,-1.178149999999999959e-10
9.703870000000000218e+00,1.867199999999999971e+00,3.965379999999999804e-09
9.953870000000000218e+00,4.001600000000000157e-01,-8.125309999999999676e-11
1.020390000000000086e+01,1.960259999999999891e+00,4.151119999999999620e-09
1.045390000000000086e+01,4.002249999999999974e-01,-7.785559999999999634e-11
1.070390000000000086e+01,2.056599999999999984e+00,4.306669999999999977e-09
1.095390000000000086e+01,4.002490000000000214e-01,-5.065199999999999864e-11
1.120390000000000086e+01,2.148620000000000196e+00,6.989419999999999631e-09
1.145390000000000086e+01,4.002580000000000027e-01,4.160399999999999923e-12
1.170390000000000086e+01,2.242440000000000211e+00,1.025229999999999943e-08
1.195390000000000086e+01,4.000949999999999784e-01,7.174009999999999559e-11
1.220390000000000086e+01,2.335189999999999877e+00,9.415029999999999902e-09
1.245390000000000086e+01,4.003220000000000112e-01,7.641319999999999675e-11
1.270390000000000086e+01,2.428069999999999951e+00,1.026930000000000051e-08
1.295390000000000086e+01,4.001680000000000237e-01,1.091480000000000014e-10
1.320390000000000086e+01,2.521749999999999936e+00,1.241870000000000055e-08
1.345390000000000086e+01,4.000549999999999939e-01,1.745939999999999970e-10
1.370390000000000086e+01,2.615930000000000089e+00,1.607559999999999937e-08
1.395390000000000086e+01,4.002740000000000187e-01,2.328279999999999946e-10
1.420390000000000086e+01,2.708099999999999952e+00,1.197410000000000066e-08
1.445390000000000086e+01,4.001359999999999917e-01,2.404809999999999888e-10
1.470390000000000086e+01,2.802709999999999813e+00,1.041940000000000064e-08
1.495390000000000086e+01,4.002979999999999872e-01,2.829789999999999800e-10
1.520390000000000086e+01,2.895309999999999828e+00,1.036959999999999943e-08
1.545390000000000086e+01,3.999820000000000042e-01,3.169770000000000005e-10
1.570390000000000086e+01,2.985700000000000021e+00,2.774150000000000062e-08
1.595390000000000086e+01,3.999800000000000022e-01,6.850000000000000127e-10
1.620390000000000086e+01,3.078349999999999920e+00,5.965349999999999878e-08
1.645390000000000086e+01,3.998099999999999987e-01,9.225729999999999739e-10
1.670390000000000086e+01,3.173740000000000006e+00,1.239869999999999938e-08
1.695390000000000086e+01,3.998269999999999880e-01,3.921869999999999920e-10
1.720390000000000086e+01,3.266099999999999781e+00,4.086959999999999957e-08
1.745390000000000086e+01,3.998749999999999805e-01,8.103729999999999891e-10
1.770390000000000086e+01,3.359329999999999927e+00,5.269250000000000018e-08
1.795390000000000086e+01,3.998510000000000120e-01,9.115219999999999879e-10
1.820390000000000086e+01,3.453640000000000043e+00,6.927459999999999485e-08
1.845390000000000086e+01,3.998510000000000120e-01,9.927030000000000202e-10
1.870619999999999905e+01,3.545720000000000205e+00,1.465709999999999897e-04
1.895589999999999975e+01,3.999400000000000177e-01,1.102240000000000055e-06
1.920489999999999853e+01,3.639450000000000074e+00,1.541629999999999943e-04
1.945459999999999923e+01,3.999150000000000205e-01,1.324719999999999914e-06
1.970489999999999853e+01,3.732899999999999885e+00,1.831210000000000108e-04
1.995459999999999923e+01,3.997780000000000222e-01,2.163249999999999998e-06
2.020489999999999853e+01,3.824969999999999981e+00,1.868849999999999971e-04
2.045459999999999923e+01,3.998180000000000067e-01,1.440229999999999973e-06
2.070489999999999853e+01,3.919999999999999929e+00,2.077980000000000051e-04
2.095459999999999923e+01,3.997700000000000142e-01,2.502809999999999844e-06
2.120489999999999853e+01,4.012940000000000396e+00,2.123969999999999927e-04
2.145459999999999923e+01,3.998990000000000045e-01,2.368699999999999869e-06
2.170489999999999853e+01,4.106889999999999930e+00,2.260619999999999915e-04
2.195459999999999923e+01,3.995909999999999740e-01,1.406830000000000005e-06
2.220489999999999853e+01,4.200120000000000076e+00,2.432079999999999930e-04
2.245459999999999923e+01,3.998269999999999880e-01,1.546580000000000022e-06
2.270489999999999853e+01,4.293199999999999683e+00,2.543940000000000177e-04
2.295459999999999923e+01,3.996970000000000245e-01,1.553449999999999924e-06
2.320489999999999853e+01,4.386650000000000382e+00,2.984609999999999737e-04
2.345459999999999923e+01,3.997700000000000142e-01,2.219569999999999910e-06
2.370489999999999853e+01,4.480019999999999669e+00,3.045340000000000221e-04
2.395459999999999923e+01,3.998590000000000200e-01,1.664200000000000092e-06
2.420489999999999853e+01,4.573179999999999801e+00,3.294770000000000034e-04
2.445459999999999923e+01,3.999719999999999942e-01,1.971810000000000184e-06
2.470489999999999853e+01,4.667130000000000223e+00,3.314829999999999838e-04
2.495459999999999923e+01,3.998669999999999725e-01,1.526599999999999919e-06
2.520489999999999853e+01,4.760500000000000398e+00,3.396370000000000010e-04
2.545459999999999923e+01,3.996560000000000112e-01,8.559819999999999684e-07
2.570560000000000045e+01,4.852789999999999715e+00,3.576820000000000086e-04
2.595459999999999923e+01,3.997780000000000222e-01,8.765240000000000209e-07
2.620560000000000045e+01,4.947320000000000384e+00,3.858609999999999839e-04
2.645459999999999923e+01,4.000130000000000075e-01,1.032170000000000063e-06
2.670489999999999853e+01,5.040329999999999977e+00,4.196760000000000117e-04
2.695459999999999923e+01,3.998430000000000040e-01,1.028099999999999948e-06
2.720489999999999853e+01,5.133989999999999831e+00,4.465650000000000045e-04
2.745459999999999923e+01,3.997370000000000090e-01,1.409449999999999905e-06
2.770489999999999853e+01,5.226210000000000022e+00,4.769229999999999737e-04
2.795459999999999923e+01,3.998099999999999987e-01,1.163580000000000047e-06
2.820489999999999853e+01,5.319079999999999586e+00,5.068680000000000537e-04
2.845589999999999975e+01,3.997290000000000010e-01,1.090710000000000057e-06
2.870489999999999853e+01,5.413249999999999673e+00,5.310999999999999532e-04
2.895589999999999975e+01,3.997129999999999850e-01,1.063530000000000048e-06
2.920489999999999853e+01,5.508200000000000429e+00,5.600759999999999550e-04
2.945589999999999975e+01,3.998829999999999885e-01,1.087180000000000025e-06
2.970489999999999853e+01,5.599560000000000315e+00,5.632910000000000521e-04
2.995459999999999923e+01,3.997539999999999982e-01,7.810230000000000183e-07
3.020560000000000045e+01,5.694079999999999586e+00,6.194879999999999614e-04
3.045459999999999923e+01,3.998990000000000045e-01,1.539410000000000098e-06
3.070489999999999853e+01,5.781259999999999621e+00,7.197230000000000207e-04
3.095459999999999923e+01,3.996640000000000192e-01,2.501319999999999795e-06
3.120489999999999853e+01,5.880539999999999878e+00,7.593419999999999814e-04
3.145459999999999923e+01,3.997780000000000222e-01,4.268180000000000358e-06
3.170540000000000092e+01,5.972780000000000200e+00,8.172070000000000245e-04
3.195459999999999923e+01,4.000040000000000262e-01,3.703839999999999846e-06
3.220490000000000208e+01,6.067750000000000199e+00,7.702679999999999510e-04
3.245459999999999923e+01,3.997370000000000090e-01,3.590799999999999993e-06
3.270490000000000208e+01,6.161129999999999995e+00,8.061630000000000401e-04
3.295459999999999923e+01,3.998829999999999885e-01,3.261799999999999839e-06
3.320490000000000208e+01,6.253219999999999779e+00,7.650400000000000342e-04
3.345459999999999923e+01,3.999960000000000182e-01,1.443479999999999900e-06
3.370490000000000208e+01,6.347249999999999837e+00,7.892860000000000457e-04
3.395459999999999923e+01,3.997120000000000117e-01,1.348560000000000053e-06
3.420490000000000208e+01,6.440269999999999939e+00,8.225490000000000015e-04
3.445459999999999923e+01,3.998010000000000175e-01,1.977610000000000197e-06
3.470490000000000208e+01,6.534299999999999997e+00,8.681049999999999834e-04
3.495459999999999923e+01,3.997689999999999855e-01,2.858970000000000090e-06
3.520490000000000208e+01,6.626019999999999577e+00,9.019170000000000182e-04
3.545459999999999923e+01,4.000119999999999787e-01,2.711839999999999857e-06
