# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.07, stepNeg=0.07, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.002619999999999734e-01,1.647370000000000052e-04
2.499770000000000048e-01,7.007199999999999540e-02,2.856950000000000150e-05
4.999709999999999988e-01,3.001889999999999836e-01,1.650730000000000101e-04
7.499660000000000215e-01,1.400069999999999926e-01,6.210500000000000254e-05
9.999679999999999680e-01,3.001329999999999831e-01,1.651479999999999984e-04
1.249440000000000106e+00,2.100219999999999865e-01,1.025590000000000052e-04
1.499440000000000106e+00,3.001570000000000071e-01,1.649280000000000039e-04
1.749440000000000106e+00,2.802160000000000206e-01,1.501910000000000126e-04
1.999440000000000106e+00,3.001329999999999831e-01,1.650520000000000047e-04
2.249439999999999884e+00,3.501020000000000243e-01,2.040180000000000108e-04
2.499439999999999884e+00,3.001809999999999756e-01,1.650520000000000047e-04
2.749439999999999884e+00,4.201829999999999732e-01,2.633070000000000050e-04
2.999439999999999884e+00,3.001730000000000231e-01,1.649529999999999909e-04
3.249439999999999884e+00,4.903210000000000068e-01,3.273430000000000133e-04
3.499439999999999884e+00,3.002299999999999969e-01,1.649569999999999997e-04
3.749439999999999884e+00,5.603690000000000060e-01,3.952699999999999747e-04
3.999439999999999884e+00,3.002460000000000129e-01,1.649320000000000126e-04
4.249439999999999884e+00,6.304659999999999709e-01,4.669049999999999893e-04
4.499439999999999884e+00,3.002460000000000129e-01,1.647689999999999940e-04
4.749439999999999884e+00,7.002559999999999896e-01,5.418470000000000317e-04
4.999439999999999884e+00,3.003600000000000159e-01,1.647829999999999976e-04
5.249439999999999884e+00,7.704990000000000450e-01,6.192199999999999701e-04
5.499439999999999884e+00,3.000760000000000094e-01,1.647940000000000082e-04
5.749439999999999884e+00,8.402469999999999661e-01,7.001829999999999469e-04
5.999439999999999884e+00,3.003350000000000186e-01,1.651300000000000131e-04
6.249439999999999884e+00,9.103360000000000340e-01,7.834699999999999781e-04
6.499439999999999884e+00,3.001730000000000231e-01,1.650520000000000047e-04
6.749439999999999884e+00,9.803119999999999612e-01,8.676209999999999522e-04
6.999439999999999884e+00,3.001249999999999751e-01,1.650810000000000005e-04
7.249439999999999884e+00,1.050480000000000080e+00,9.541690000000000458e-04
7.499439999999999884e+00,3.002710000000000101e-01,1.644399999999999909e-04
7.749970000000000248e+00,1.120349999999999957e+00,1.043180000000000105e-03
7.999970000000000248e+00,3.002619999999999734e-01,1.640939999999999912e-04
8.249959999999999738e+00,1.190069999999999961e+00,1.133930000000000007e-03
8.499969999999999359e+00,3.004490000000000216e-01,1.641500000000000055e-04
8.749969999999999359e+00,1.260259999999999936e+00,1.226869999999999914e-03
8.999969999999999359e+00,3.003759999999999764e-01,1.641430000000000037e-04
9.249959999999999738e+00,1.330119999999999969e+00,1.322789999999999903e-03
9.499959999999999738e+00,3.001079999999999859e-01,1.641640000000000091e-04
9.749969999999999359e+00,1.400400000000000089e+00,1.415980000000000060e-03
9.999959999999999738e+00,3.003029999999999866e-01,1.637649999999999881e-04
1.025000000000000000e+01,1.470339999999999980e+00,1.512689999999999911e-03
