# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=7, Vneg=7, stepPos=0.09333333333333334, stepNeg=0.09333333333333334, rev=0, hslV=0.3, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,3.001980000000000204e-01,2.437879999999999857e-07
2.942029999999999923e-01,9.339119999999999366e-02,-1.502550000000000110e-08
4.987719999999999931e-01,3.000110000000000277e-01,2.059649999999999851e-08
7.487719999999999931e-01,1.868049999999999988e-01,1.763219999999999956e-08
9.987719999999999931e-01,3.002619999999999734e-01,2.565729999999999907e-08
1.248769999999999936e+00,2.802080000000000126e-01,2.159529999999999883e-08
1.498769999999999936e+00,3.001079999999999859e-01,3.059479999999999944e-08
1.748769999999999936e+00,3.736900000000000222e-01,2.553229999999999961e-08
1.998769999999999936e+00,3.001570000000000071e-01,3.514639999999999766e-08
2.248769999999999936e+00,4.670579999999999732e-01,2.942779999999999965e-08
2.498769999999999936e+00,3.000999999999999779e-01,3.910480000000000087e-08
2.748769999999999936e+00,5.604179999999999717e-01,3.382939999999999983e-08
2.998769999999999936e+00,3.000599999999999934e-01,4.250720000000000227e-08
3.248769999999999936e+00,6.538350000000000550e-01,3.896370000000000101e-08
3.498769999999999936e+00,3.001570000000000071e-01,4.502739999999999859e-08
3.748769999999999936e+00,7.469679999999999653e-01,4.471760000000000200e-08
3.998769999999999936e+00,3.001249999999999751e-01,4.691220000000000102e-08
4.248770000000000380e+00,8.404249999999999776e-01,5.083570000000000303e-08
4.498770000000000380e+00,3.002790000000000181e-01,4.923560000000000315e-08
4.748770000000000380e+00,9.338100000000000289e-01,5.704650000000000065e-08
4.998770000000000380e+00,3.002219999999999889e-01,5.113060000000000126e-08
5.248770000000000380e+00,1.027320000000000011e+00,6.369029999999999957e-08
5.498770000000000380e+00,3.002460000000000129e-01,5.233509999999999725e-08
5.748770000000000380e+00,1.120489999999999986e+00,7.108259999999999357e-08
5.998770000000000380e+00,3.002299999999999969e-01,5.336950000000000022e-08
6.248770000000000380e+00,1.213780000000000081e+00,7.926489999999999663e-08
6.498770000000000380e+00,3.003520000000000079e-01,5.349950000000000204e-08
6.748770000000000380e+00,1.307239999999999958e+00,8.738170000000000483e-08
6.998770000000000380e+00,3.000189999999999801e-01,5.384969999999999945e-08
7.248770000000000380e+00,1.400490000000000013e+00,9.178970000000000037e-08
7.498770000000000380e+00,3.001730000000000231e-01,5.433549999999999709e-08
7.749500000000000277e+00,1.493900000000000006e+00,2.476699999999999936e-07
7.998770000000000380e+00,3.001079999999999859e-01,1.902120000000000094e-07
8.294859999999999900e+00,1.587229999999999919e+00,4.767059999999999807e-07
8.498770000000000380e+00,3.001889999999999836e-01,1.968449999999999869e-07
8.794859999999999900e+00,1.680620000000000003e+00,5.173470000000000334e-07
8.998770000000000380e+00,3.002710000000000101e-01,1.731010000000000093e-07
9.294859999999999900e+00,1.773979999999999890e+00,5.488730000000000471e-07
9.498770000000000380e+00,3.001809999999999756e-01,1.737919999999999987e-07
9.794859999999999900e+00,1.867159999999999931e+00,5.677959999999999844e-07
9.998770000000000380e+00,3.002790000000000181e-01,1.736140000000000087e-07
1.029490000000000016e+01,1.960369999999999946e+00,5.728140000000000099e-07
1.049879999999999924e+01,3.000760000000000094e-01,1.736110000000000053e-07
1.079490000000000016e+01,2.056690000000000129e+00,5.948109999999999917e-07
1.099879999999999924e+01,3.002219999999999889e-01,1.748369999999999925e-07
1.129490000000000016e+01,2.149830000000000130e+00,6.049589999999999579e-07
1.149879999999999924e+01,3.001889999999999836e-01,1.752839999999999965e-07
