# Tiempo [s], Voltage [V], Corriente [A]
#  minV=0, maxV=-0.4, N=50, pw=0.05, T=0.5, limitI=0.0005, nplc=0.001, remoteSense=0
0.000000000000000000e+00,5.166529999999999474e-04,-7.337330000000000230e-07
5.000010000000000288e-01,-5.123139999999999986e-03,-8.611679999999999726e-07
1.000000000000000000e+00,-1.368049999999999995e-02,-9.461640000000000013e-07
1.500000000000000000e+00,-2.126549999999999968e-02,-8.611679999999999726e-07
2.000000000000000000e+00,-3.157329999999999859e-02,-9.461640000000000013e-07
2.500000000000000000e+00,-4.061700000000000033e-02,-6.064179999999999976e-07
3.000000000000000000e+00,-4.781289999999999846e-02,-8.611679999999999726e-07
3.500000000000000000e+00,-5.675940000000000152e-02,-7.337330000000000230e-07
4.000000000000000000e+00,-6.444170000000000453e-02,-6.488559999999999969e-07
4.500000000000000000e+00,-7.397149999999999559e-02,-5.638599999999999682e-07
5.000000000000000000e+00,-7.922269999999999313e-02,-8.611679999999999726e-07
5.500000000000000000e+00,-8.923860000000000126e-02,-8.187290000000000516e-07
6.000000000000000000e+00,-9.633759999999999546e-02,-6.488559999999999969e-07
6.500000000000000000e+00,-1.033390000000000003e-01,-5.214210000000000472e-07
7.000000000000000000e+00,-1.150079999999999991e-01,-6.488559999999999969e-07
7.500000000000000000e+00,-1.223989999999999939e-01,-4.789830000000000480e-07
8.000000000000000000e+00,-1.306640000000000024e-01,-9.037260000000000020e-07
8.500000000000000000e+00,-1.383469999999999978e-01,-6.064179999999999976e-07
9.000000000000000000e+00,-1.470009999999999928e-01,-1.158480000000000087e-06
9.500000000000000000e+00,-1.534189999999999998e-01,-8.611679999999999726e-07
1.000000000000000000e+01,-1.617820000000000091e-01,-7.337330000000000230e-07
1.050000000000000000e+01,-1.694650000000000045e-01,-6.912950000000000237e-07
1.100000000000000000e+01,-1.794810000000000016e-01,-6.912950000000000237e-07
1.150000000000000000e+01,-1.858019999999999949e-01,-5.638599999999999682e-07
1.200000000000000000e+01,-1.962069999999999925e-01,-5.214210000000000472e-07
1.250000000000000000e+01,-2.028189999999999993e-01,-6.912950000000000237e-07
1.300000000000000000e+01,-2.113760000000000083e-01,-1.073599999999999979e-06
1.350000000000000000e+01,-2.200310000000000044e-01,-6.488559999999999969e-07
1.400000000000000000e+01,-2.281999999999999862e-01,-1.158480000000000087e-06
1.450000000000000000e+01,-2.365619999999999945e-01,-5.214210000000000472e-07
1.500000000000000000e+01,-2.417169999999999874e-01,-1.031159999999999924e-06
1.550000000000000000e+01,-2.520240000000000258e-01,-6.064179999999999976e-07
1.600000000000000000e+01,-2.588309999999999778e-01,-4.364250000000000186e-07
1.650000000000000000e+01,-2.689449999999999896e-01,-8.611679999999999726e-07
1.700000000000000000e+01,-2.760429999999999828e-01,-9.461640000000000013e-07
1.750000000000000000e+01,-2.873240000000000238e-01,-9.037260000000000020e-07
1.800000000000000000e+01,-2.947139999999999760e-01,-6.064179999999999976e-07
1.850000000000000000e+01,-3.014240000000000252e-01,-8.187290000000000516e-07
1.900000000000000000e+01,-3.094950000000000201e-01,-5.638599999999999682e-07
1.950000000000000000e+01,-3.168860000000000010e-01,-9.037260000000000020e-07
2.000000000000000000e+01,-3.252490000000000103e-01,-6.064179999999999976e-07
2.050000000000000000e+01,-3.322499999999999898e-01,-6.064179999999999976e-07
2.100000000000000000e+01,-3.410989999999999855e-01,-3.939870000000000193e-07
2.150000000000000000e+01,-3.505320000000000102e-01,-6.912950000000000237e-07
2.200000000000000000e+01,-3.579229999999999912e-01,-9.037260000000000020e-07
2.250000000000000000e+01,-3.681329999999999880e-01,-3.515479999999999925e-07
2.300000000000000000e+01,-3.752320000000000100e-01,-9.886030000000000281e-07
2.350000000000000000e+01,-3.831089999999999773e-01,-6.912950000000000237e-07
2.400000000000000000e+01,-3.923470000000000013e-01,-3.939870000000000193e-07
2.450000000000000000e+01,-3.975980000000000070e-01,-6.064179999999999976e-07
