# Tiempo [s], Voltage [V], Corriente [A]
0.000000000000000000e+00,1.981739999999999891e-02,-5.953310000000000096e-05
5.000099999999999684e-02,9.851690000000000447e-02,-3.366470000000000313e-05
1.000010000000000066e-01,2.092150000000000121e-01,-3.366470000000000313e-05
1.500009999999999954e-01,3.155879999999999797e-01,-3.366470000000000313e-05
2.000010000000000121e-01,4.159089999999999732e-01,-2.936119999999999935e-05
2.500009999999999732e-01,5.387140000000000262e-01,-1.211169999999999959e-05
3.000010000000000177e-01,6.234669999999999934e-01,1.804830000000000133e-05
3.500010000000000066e-01,7.134099999999999886e-01,3.528590000000000041e-05
4.000009999999999954e-01,8.007570000000000521e-01,3.528590000000000041e-05
4.500009999999999843e-01,9.244280000000000275e-01,4.391669999999999916e-05
5.000010000000000288e-01,1.017830000000000013e+00,5.253549999999999870e-05
5.500009999999999621e-01,1.125930000000000097e+00,4.822020000000000294e-05
6.000010000000000066e-01,1.228849999999999998e+00,9.429449999999999987e-06
6.500010000000000510e-01,1.330899999999999972e+00,6.546970000000000101e-05
7.000009999999999843e-01,1.437270000000000048e+00,6.546970000000000101e-05
7.500010000000000288e-01,1.538459999999999939e+00,7.840400000000000353e-05
8.000009999999999621e-01,1.618889999999999940e+00,7.840400000000000353e-05
8.500010000000000066e-01,1.726120000000000099e+00,5.685090000000000147e-05
9.000010000000000510e-01,1.834230000000000027e+00,8.270739999999999353e-05
9.500009999999999843e-01,1.916390000000000038e+00,6.546970000000000101e-05
1.000000000000000000e+00,2.039190000000000058e+00,1.085759999999999986e-04
1.050000000000000044e+00,2.129129999999999967e+00,1.344440000000000023e-04
1.100000000000000089e+00,2.219939999999999802e+00,1.646159999999999974e-04
1.149999999999999911e+00,2.348800000000000221e+00,1.559970000000000042e-04
1.199999999999999956e+00,2.426629999999999843e+00,1.732349999999999906e-04
1.250000000000000000e+00,2.530419999999999892e+00,1.732349999999999906e-04
1.300000000000000044e+00,2.635060000000000180e+00,1.818540000000000109e-04
1.350000000000000089e+00,2.741429999999999811e+00,1.732349999999999906e-04
1.399999999999999911e+00,2.845209999999999795e+00,1.689310000000000128e-04
1.449999999999999956e+00,2.951589999999999936e+00,1.732349999999999906e-04
1.500000000000000000e+00,3.050180000000000113e+00,1.732349999999999906e-04
1.550000000000000044e+00,3.141849999999999810e+00,1.732349999999999906e-04
1.600000000000000089e+00,3.245629999999999793e+00,1.861689999999999992e-04
1.649999999999999911e+00,3.346810000000000063e+00,1.818540000000000109e-04
1.699999999999999956e+00,3.449730000000000185e+00,2.034070000000000127e-04
1.750000000000000000e+00,3.558699999999999974e+00,1.904850000000000033e-04
1.800000000000000044e+00,3.649500000000000188e+00,2.120380000000000051e-04
1.850000000000000089e+00,3.751549999999999940e+00,2.163409999999999942e-04
1.899999999999999911e+00,3.850140000000000118e+00,2.551440000000000088e-04
1.949999999999999956e+00,3.944409999999999972e+00,2.637620000000000134e-04
2.000000000000000000e+00,4.046459999999999724e+00,2.594590000000000242e-04
2.049999999999999822e+00,4.153699999999999726e+00,2.508279999999999776e-04
2.100000000000000089e+00,4.249690000000000190e+00,2.723809999999999795e-04
2.149999999999999911e+00,4.359530000000000349e+00,2.723809999999999795e-04
2.200000000000000178e+00,4.457250000000000156e+00,2.853159999999999768e-04
2.250000000000000000e+00,4.566220000000000390e+00,2.594590000000000242e-04
2.299999999999999822e+00,4.655300000000000438e+00,2.810120000000000261e-04
2.350000000000000089e+00,4.760810000000000208e+00,2.896309999999999922e-04
2.399999999999999911e+00,4.865450000000000053e+00,2.939339999999999813e-04
2.450000000000000178e+00,4.961450000000000138e+00,3.025649999999999737e-04
2.500000000000000000e+00,5.060900000000000176e+00,3.154990000000000095e-04
2.549999999999999822e+00,5.165549999999999642e+00,2.853159999999999768e-04
2.600000000000000089e+00,5.261540000000000106e+00,3.499749999999999823e-04
2.649999999999999911e+00,5.360999999999999766e+00,3.542899999999999977e-04
2.700000000000000178e+00,5.463910000000000267e+00,3.672239999999999793e-04
2.750000000000000000e+00,5.558180000000000121e+00,3.844620000000000199e-04
