# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.4, Vneg=0.4, stepPos=0.01, stepNeg=0.01, rev=0, hslV=0, hslF=0, cycles=1, T=0.1, pw=0.05, limitI=0.1, rangeI=0.02, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,9.622189999999999216e-03,-9.410380000000000524e-05
1.000010000000000066e-01,1.973269999999999885e-02,-1.156810000000000059e-04
2.000010000000000121e-01,3.015680000000000097e-02,-1.070500000000000000e-04
3.000010000000000177e-01,4.047270000000000034e-02,-9.410380000000000524e-05
4.000009999999999954e-01,5.028049999999999881e-02,-1.070500000000000000e-04
5.000010000000000288e-01,5.995840000000000197e-02,-1.372579999999999926e-04
6.000010000000000066e-01,7.005809999999999815e-02,-1.243109999999999962e-04
7.000009999999999843e-01,8.092549999999999744e-02,-8.980040000000000168e-05
8.000009999999999621e-01,8.958699999999999997e-02,-6.390810000000000566e-05
9.000010000000000510e-01,1.004440000000000055e-01,-9.841919999999999445e-05
1.000000000000000000e+00,1.111380000000000007e-01,-1.286270000000000002e-04
1.100000000000000089e+00,1.205019999999999980e-01,-1.415730000000000081e-04
1.199999999999999956e+00,1.305159999999999931e-01,-1.113650000000000019e-04
1.300000000000000044e+00,1.402039999999999953e-01,-9.410380000000000524e-05
1.399999999999999911e+00,1.502280000000000004e-01,-8.980040000000000168e-05
1.500000000000000000e+00,1.607929999999999915e-01,-1.372579999999999926e-04
1.600000000000000089e+00,1.709469999999999879e-01,-1.372579999999999926e-04
1.699999999999999956e+00,1.805710000000000093e-01,-1.243109999999999962e-04
1.800000000000000044e+00,1.905409999999999882e-01,-1.027349999999999981e-04
1.899999999999999911e+00,2.006189999999999918e-01,-8.116959999999999616e-05
2.000000000000000000e+00,2.118849999999999900e-01,-8.548499999999999892e-05
2.100000000000000089e+00,2.215149999999999897e-01,-1.113650000000000019e-04
2.200000000000000178e+00,2.321169999999999900e-01,-9.410380000000000524e-05
2.299999999999999822e+00,2.412610000000000032e-01,-1.070500000000000000e-04
2.399999999999999911e+00,2.518630000000000035e-01,-9.841919999999999445e-05
2.500000000000000000e+00,2.634380000000000055e-01,-1.199959999999999943e-04
2.600000000000000089e+00,2.734570000000000056e-01,-1.156810000000000059e-04
2.700000000000000178e+00,2.809459999999999735e-01,-1.156810000000000059e-04
2.799999999999999822e+00,2.925220000000000042e-01,-1.113650000000000019e-04
2.899999999999999911e+00,3.033190000000000053e-01,-8.980040000000000168e-05
3.000000000000000000e+00,3.112949999999999884e-01,-1.113650000000000019e-04
3.100000000000000089e+00,3.217999999999999750e-01,-1.329419999999999886e-04
3.200000000000000178e+00,3.333749999999999769e-01,-1.113650000000000019e-04
3.299999999999999822e+00,3.433939999999999770e-01,-1.156810000000000059e-04
3.399999999999999911e+00,3.543859999999999788e-01,-9.410380000000000524e-05
3.500000000000000000e+00,3.642099999999999782e-01,-1.286270000000000002e-04
3.600000000000000089e+00,3.721860000000000168e-01,-1.199959999999999943e-04
3.700000000000000178e+00,3.819130000000000025e-01,-1.027349999999999981e-04
3.799999999999999822e+00,3.933909999999999907e-01,-1.113650000000000019e-04
3.899999999999999911e+00,4.018530000000000157e-01,-9.841919999999999445e-05
4.000000000000000000e+00,3.902780000000000138e-01,-7.685419999999999340e-05
4.099999999999999645e+00,3.823019999999999752e-01,-8.116959999999999616e-05
4.200000000000000178e+00,3.726720000000000033e-01,-8.116959999999999616e-05
4.299999999999999822e+00,3.626530000000000031e-01,-8.116959999999999616e-05
4.400000000000000355e+00,3.540940000000000198e-01,-8.116959999999999616e-05
4.500000000000000000e+00,3.409619999999999873e-01,-9.410380000000000524e-05
4.599999999999999645e+00,3.316239999999999744e-01,-1.199959999999999943e-04
4.700000000000000178e+00,3.232590000000000185e-01,-1.199959999999999943e-04
4.799999999999999822e+00,3.137269999999999781e-01,-1.243109999999999962e-04
4.900000000000000355e+00,3.016650000000000165e-01,-1.199959999999999943e-04
5.000000000000000000e+00,2.914519999999999889e-01,-8.548499999999999892e-05
5.099999999999999645e+00,2.831839999999999913e-01,-9.841919999999999445e-05
5.200000000000000178e+00,2.727760000000000185e-01,-9.410380000000000524e-05
5.299999999999999822e+00,2.625629999999999908e-01,-1.113650000000000019e-04
5.400000000000000355e+00,2.514739999999999753e-01,-1.027349999999999981e-04
5.500000000000000000e+00,2.422330000000000039e-01,-9.841919999999999445e-05
5.599999999999999645e+00,2.336729999999999918e-01,-1.329419999999999886e-04
5.700000000000000178e+00,2.229740000000000055e-01,-1.286270000000000002e-04
5.799999999999999822e+00,2.124679999999999902e-01,-1.286270000000000002e-04
5.900000000000000355e+00,1.997319999999999929e-01,-1.199959999999999943e-04
6.000000000000000000e+00,1.910600000000000076e-01,-1.070500000000000000e-04
6.099999999999999645e+00,1.802030000000000021e-01,-1.070500000000000000e-04
6.200000000000000178e+00,1.702329999999999954e-01,-1.156810000000000059e-04
6.299999999999999822e+00,1.598420000000000119e-01,-7.685419999999999340e-05
6.400000000000000355e+00,1.497419999999999862e-01,-8.116959999999999616e-05
6.500000000000000000e+00,1.398260000000000058e-01,-8.548499999999999892e-05
6.599999999999999645e+00,1.307750000000000024e-01,-6.822349999999999487e-05
6.700000000000000178e+00,1.197779999999999956e-01,-5.959270000000000290e-05
6.799999999999999822e+00,1.100890000000000063e-01,-7.253889999999999763e-05
6.900000000000000355e+00,1.005520000000000025e-01,-9.841919999999999445e-05
7.000000000000000000e+00,8.967360000000000608e-02,-7.253889999999999763e-05
7.099999999999999645e+00,8.028760000000000063e-02,-9.841919999999999445e-05
7.200000000000000178e+00,6.977700000000000569e-02,-8.980040000000000168e-05
7.299999999999999822e+00,6.050989999999999841e-02,-7.253889999999999763e-05
7.400000000000000355e+00,5.016149999999999776e-02,-8.980040000000000168e-05
7.500000000000000000e+00,4.039700000000000235e-02,-8.980040000000000168e-05
7.599999999999999645e+00,3.068660000000000138e-02,-9.410380000000000524e-05
7.700000000000000178e+00,2.035990000000000022e-02,-6.390810000000000566e-05
7.799999999999999822e+00,1.075760000000000084e-02,-9.841919999999999445e-05
7.900000000000000355e+00,5.497689999999999739e-04,-1.027349999999999981e-04
8.000000000000000000e+00,2.037530000000000124e-04,-8.548499999999999892e-05
8.099999999999999645e+00,-1.017799999999999955e-02,-5.959270000000000290e-05
8.199999999999999289e+00,-1.995419999999999833e-02,-6.822349999999999487e-05
8.300000000000000711e+00,-2.976279999999999898e-02,-8.980040000000000168e-05
8.400000000000000355e+00,-4.020950000000000218e-02,-9.410380000000000524e-05
8.500000000000000000e+00,-4.988839999999999941e-02,-6.390810000000000566e-05
8.599999999999999645e+00,-5.985929999999999723e-02,-9.841919999999999445e-05
8.699999999999999289e+00,-7.011130000000000140e-02,-7.253889999999999763e-05
8.800000000000000711e+00,-7.988750000000000018e-02,-8.980040000000000168e-05
8.900000000000000355e+00,-8.949060000000000348e-02,-1.027349999999999981e-04
9.000000000000000000e+00,-1.001640000000000030e-01,-9.841919999999999445e-05
9.099999999999999645e+00,-1.093350000000000016e-01,-1.113650000000000019e-04
9.199999999999999289e+00,-1.197819999999999996e-01,-1.286270000000000002e-04
9.300000000000000711e+00,-1.300880000000000092e-01,-1.415730000000000081e-04
9.400000000000000355e+00,-1.396040000000000059e-01,-1.243109999999999962e-04
9.500000000000000000e+00,-1.494890000000000108e-01,-9.841919999999999445e-05
9.599999999999999645e+00,-1.600979999999999903e-01,-9.841919999999999445e-05
9.699999999999999289e+00,-1.702200000000000102e-01,-1.070500000000000000e-04
9.800000000000000711e+00,-1.795960000000000056e-01,-1.243109999999999962e-04
9.900000000000000355e+00,-1.901730000000000087e-01,-1.502040000000000005e-04
1.000000000000000000e+01,-1.997220000000000106e-01,-1.372579999999999926e-04
1.009999999999999964e+01,-2.082279999999999964e-01,-6.390810000000000566e-05
1.019999999999999929e+01,-2.188299999999999967e-01,-8.548499999999999892e-05
1.030000000000000071e+01,-2.274879999999999958e-01,-1.156810000000000059e-04
1.040000000000000036e+01,-2.380899999999999961e-01,-9.841919999999999445e-05
1.050000000000000000e+01,-2.491790000000000116e-01,-1.156810000000000059e-04
1.059999999999999964e+01,-2.591010000000000257e-01,-9.841919999999999445e-05
1.069999999999999929e+01,-2.671740000000000226e-01,-8.980040000000000168e-05
1.080000000000000071e+01,-2.774849999999999817e-01,-1.156810000000000059e-04
1.090000000000000036e+01,-2.901299999999999990e-01,-1.027349999999999981e-04
1.100000000000000000e+01,-2.983979999999999966e-01,-9.410380000000000524e-05
1.109999999999999964e+01,-3.065689999999999804e-01,-1.199959999999999943e-04
1.119999999999999929e+01,-3.192150000000000265e-01,-7.685419999999999340e-05
1.130000000000000071e+01,-3.276769999999999960e-01,-9.410380000000000524e-05
1.140000000000000036e+01,-3.379880000000000106e-01,-1.329419999999999886e-04
1.150000000000000000e+01,-3.474229999999999818e-01,-7.253889999999999763e-05
1.159999999999999964e+01,-3.570530000000000093e-01,-1.070500000000000000e-04
1.169999999999999929e+01,-3.676559999999999828e-01,-1.243109999999999962e-04
1.180000000000000071e+01,-3.790370000000000128e-01,-9.841919999999999445e-05
1.190000000000000036e+01,-3.902229999999999865e-01,-1.070500000000000000e-04
1.200000000000000000e+01,-3.981990000000000252e-01,-6.390810000000000566e-05
1.209999999999999964e+01,-3.881800000000000250e-01,-1.070500000000000000e-04
1.219999999999999929e+01,-3.779669999999999974e-01,-1.199959999999999943e-04
1.230000000000000071e+01,-3.696010000000000129e-01,-1.113650000000000019e-04
1.240000000000000036e+01,-3.573450000000000237e-01,-1.199959999999999943e-04
1.250000000000000000e+01,-3.482020000000000115e-01,-7.685419999999999340e-05
1.259999999999999964e+01,-3.357510000000000217e-01,-1.113650000000000019e-04
1.269999999999999929e+01,-3.304010000000000002e-01,-1.027349999999999981e-04
1.280000000000000071e+01,-3.195060000000000122e-01,-1.027349999999999981e-04
1.290000000000000036e+01,-3.075419999999999821e-01,-1.027349999999999981e-04
1.300000000000000000e+01,-2.975229999999999819e-01,-6.390810000000000566e-05
1.309999999999999964e+01,-2.882819999999999827e-01,-1.199959999999999943e-04
1.319999999999999929e+01,-2.780690000000000106e-01,-1.545189999999999888e-04
1.330000000000000071e+01,-2.672720000000000096e-01,-1.243109999999999962e-04
1.340000000000000036e+01,-2.572530000000000094e-01,-1.329419999999999886e-04
1.350000000000000000e+01,-2.474280000000000090e-01,-8.980040000000000168e-05
1.359999999999999964e+01,-2.378949999999999954e-01,-1.070500000000000000e-04
1.369999999999999929e+01,-2.284599999999999964e-01,-1.113650000000000019e-04
1.380000000000000071e+01,-2.191220000000000112e-01,-1.070500000000000000e-04
1.390000000000000036e+01,-2.076439999999999952e-01,-1.372579999999999926e-04
1.400000000000000000e+01,-1.999160000000000104e-01,-7.253889999999999763e-05
1.409999999999999964e+01,-1.894800000000000095e-01,-1.113650000000000019e-04
1.419999999999999929e+01,-1.795960000000000056e-01,-1.286270000000000002e-04
1.430000000000000071e+01,-1.702309999999999934e-01,-1.329419999999999886e-04
1.440000000000000036e+01,-1.600979999999999903e-01,-1.070500000000000000e-04
1.450000000000000000e+01,-1.504729999999999956e-01,-9.841919999999999445e-05
1.459999999999999964e+01,-1.394749999999999879e-01,-1.502040000000000005e-04
1.469999999999999929e+01,-1.301200000000000134e-01,-9.841919999999999445e-05
1.480000000000000071e+01,-1.196300000000000002e-01,-1.113650000000000019e-04
1.490000000000000036e+01,-1.101030000000000064e-01,-6.822349999999999487e-05
1.500000000000000000e+01,-9.976430000000000020e-02,-1.070500000000000000e-04
1.509999999999999964e+01,-8.990159999999999818e-02,-1.545189999999999888e-04
1.519999999999999929e+01,-8.022269999999999401e-02,-1.027349999999999981e-04
1.530000000000000071e+01,-6.984089999999999743e-02,-1.113650000000000019e-04
1.540000000000000036e+01,-5.965379999999999988e-02,-8.116959999999999616e-05
1.550000000000000000e+01,-4.989919999999999772e-02,-1.286270000000000002e-04
1.559999999999999964e+01,-4.030029999999999724e-02,1.373290000000000026e-05
1.569999999999999929e+01,-2.937470000000000012e-02,-7.796289999999999517e-06
1.580000000000000071e+01,-1.962699999999999861e-02,2.235170000000000150e-05
1.590000000000000036e+01,-9.998109999999999289e-03,-3.492829999999999811e-06
