# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.2, stepNeg=0.2, rev=0, hslV=0.3, hslF=1, cycles=2, T=0.25, pw=0.05, limitI=0.05, rangeI=0.01, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,3.017750000000000155e-01,-1.857759999999999980e-05
2.500009999999999732e-01,1.996209999999999929e-01,-1.426220000000000043e-05
5.000010000000000288e-01,3.013859999999999872e-01,-1.685139999999999929e-05
7.500010000000000288e-01,4.016750000000000043e-01,-1.124140000000000049e-05
1.000000000000000000e+00,3.016780000000000017e-01,-3.042219999999999987e-06
1.250000000000000000e+00,6.015740000000000531e-01,-8.845330000000000233e-07
1.500000000000000000e+00,3.024560000000000026e-01,-2.610680000000000134e-06
1.750000000000000000e+00,8.037090000000000067e-01,-1.253599999999999992e-05
2.000000000000000000e+00,3.028449999999999753e-01,-1.210450000000000074e-05
2.250000000000000000e+00,1.004580000000000028e+00,-2.116679999999999866e-05
2.500000000000000000e+00,3.023589999999999889e-01,-1.469369999999999960e-05
2.750000000000000000e+00,1.203410000000000091e+00,-1.210450000000000074e-05
3.000000000000000000e+00,3.028449999999999753e-01,-1.512530000000000069e-05
3.250000000000000000e+00,1.402919999999999945e+00,-1.728300000000000038e-05
3.500000000000000000e+00,3.019700000000000162e-01,-8.220670000000000356e-06
3.750000000000000000e+00,1.604079999999999950e+00,-1.641989999999999842e-05
4.000000000000000000e+00,3.047900000000000054e-01,-1.598830000000000073e-05
4.250000000000000000e+00,1.803199999999999914e+00,-6.926060000000000227e-06
4.500000000000000000e+00,3.007050000000000001e-01,-4.541869999999999893e-07
4.750000000000000000e+00,2.002899999999999903e+00,1.271960000000000016e-06
5.000000000000000000e+00,3.029419999999999891e-01,-6.062979999999999674e-06
5.250000000000000000e+00,2.215530000000000221e+00,-7.789130000000000080e-06
5.500000000000000000e+00,3.008020000000000138e-01,-9.946820000000000761e-06
5.750000000000000000e+00,2.435179999999999900e+00,-5.631450000000000098e-06
6.000000000000000000e+00,3.004129999999999856e-01,-1.383069999999999956e-05
6.250000000000000000e+00,2.610739999999999839e+00,-1.598830000000000073e-05
6.500000000000000000e+00,3.028449999999999753e-01,-8.652210000000000632e-06
6.750000000000000000e+00,2.808769999999999989e+00,-8.220670000000000356e-06
7.000000000000000000e+00,3.029419999999999891e-01,-1.771450000000000124e-05
7.250000000000000000e+00,3.031019999999999825e+00,1.891920000000000060e-03
7.500000000000000000e+00,3.029419999999999891e-01,5.305769999999999855e-05
7.750000000000000000e+00,3.217820000000000125e+00,2.061949999999999894e-03
8.000000000000000000e+00,3.018719999999999737e-01,5.866890000000000337e-05
8.250000000000000000e+00,3.445260000000000211e+00,2.237589999999999805e-03
8.500000000000000000e+00,3.037199999999999900e-01,5.521539999999999993e-05
8.750000000000000000e+00,3.625999999999999890e+00,2.417550000000000081e-03
9.000000000000000000e+00,3.045959999999999779e-01,5.694269999999999947e-05
9.250000000000000000e+00,3.823179999999999801e+00,2.600530000000000203e-03
9.500000000000000000e+00,3.017750000000000155e-01,5.650999999999999936e-05
9.750000000000000000e+00,4.012559999999999683e+00,2.775740000000000065e-03
1.000000000000000000e+01,3.030399999999999761e-01,5.262610000000000085e-05
1.025000000000000000e+01,4.199360000000000426e+00,2.956999999999999993e-03
1.050000000000000000e+01,3.018719999999999737e-01,6.082649999999999776e-05
1.075000000000000000e+01,4.420749999999999957e+00,3.139980000000000115e-03
1.100000000000000000e+01,3.018719999999999737e-01,5.780580000000000142e-05
1.125000000000000000e+01,4.612729999999999997e+00,3.324249999999999948e-03
1.150000000000000000e+01,3.030399999999999761e-01,6.168959999999999971e-05
1.175000000000000000e+01,4.819420000000000037e+00,3.515859999999999992e-03
1.200000000000000000e+01,3.014830000000000010e-01,6.125809999999999545e-05
1.225000000000000000e+01,5.026970000000000383e+00,3.705739999999999902e-03
1.250000000000000000e+01,3.027480000000000171e-01,5.780580000000000142e-05
1.275000000000000000e+01,4.821150000000000269e+00,3.526220000000000049e-03
1.300000000000000000e+01,3.028449999999999753e-01,6.125809999999999545e-05
1.325000000000000000e+01,4.630029999999999646e+00,3.347119999999999870e-03
1.350000000000000000e+01,3.021639999999999882e-01,5.953189999999999833e-05
1.375000000000000000e+01,4.411229999999999762e+00,3.159400000000000142e-03
1.400000000000000000e+01,3.024560000000000026e-01,6.384729999999999431e-05
1.425000000000000000e+01,4.227899999999999991e+00,2.984179999999999906e-03
1.450000000000000000e+01,3.026499999999999746e-01,6.125809999999999545e-05
1.475000000000000000e+01,4.029860000000000220e+00,2.799049999999999976e-03
1.500000000000000000e+01,3.026499999999999746e-01,6.471039999999999627e-05
1.525000000000000000e+01,3.824040000000000106e+00,2.628150000000000104e-03
1.550000000000000000e+01,3.009970000000000145e-01,6.643650000000000673e-05
1.575000000000000000e+01,3.624270000000000103e+00,2.447330000000000165e-03
1.600000000000000000e+01,2.984979999999999856e-01,7.498979999999999817e-05
1.625000000000000000e+01,3.368580000000000130e+00,2.277529999999999832e-03
1.650000000000000000e+01,2.993730000000000002e-01,7.369639999999999459e-05
1.675000000000000000e+01,3.182010000000000005e+00,2.116289999999999838e-03
1.700000000000000000e+01,2.986929999999999863e-01,7.024759999999999468e-05
1.725000000000000000e+01,2.995439999999999880e+00,1.939540000000000014e-03
1.750000000000000000e+01,2.998589999999999867e-01,7.455829999999999391e-05
1.775000000000000000e+01,2.783819999999999961e+00,1.777869999999999971e-03
1.800000000000000000e+01,2.959720000000000129e-01,7.067800000000000330e-05
1.825000000000000000e+01,2.597249999999999837e+00,1.612329999999999926e-03
1.850000000000000000e+01,2.979149999999999854e-01,7.671359999999999681e-05
1.875000000000000000e+01,2.404630000000000045e+00,1.450230000000000052e-03
1.900000000000000000e+01,2.997619999999999729e-01,7.110949999999999400e-05
1.925000000000000000e+01,2.180909999999999904e+00,1.291150000000000023e-03
1.950000000000000000e+01,2.991789999999999727e-01,7.455829999999999391e-05
1.975000000000000000e+01,1.996620000000000061e+00,1.137240000000000082e-03
2.000000000000000000e+01,2.977210000000000134e-01,7.326479999999999690e-05
2.025000000000000000e+01,1.797060000000000102e+00,9.850609999999999662e-04
2.050000000000000000e+01,2.990809999999999858e-01,7.024759999999999468e-05
2.075000000000000000e+01,1.596519999999999939e+00,8.367599999999999778e-04
2.100000000000000000e+01,2.989840000000000275e-01,7.326479999999999690e-05
2.125000000000000000e+01,1.397839999999999971e+00,6.927689999999999803e-04
2.150000000000000000e+01,2.974300000000000277e-01,7.240300000000000457e-05
2.175000000000000000e+01,1.198180000000000023e+00,5.591250000000000516e-04
2.200000000000000000e+01,2.982069999999999999e-01,6.895420000000000466e-05
2.225000000000000000e+01,9.988099999999999756e-01,4.349660000000000093e-04
2.250000000000000000e+01,2.976239999999999997e-01,7.024759999999999468e-05
2.275000000000000000e+01,7.995400000000000285e-01,3.133930000000000266e-04
