# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.3, Vneg=0.3, stepPos=0.006, stepNeg=0.006, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.0005, rangeI=0.0001, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,6.426409999999999588e-03,4.267570000000000143e-07
5.000000000000000000e-01,1.192370000000000062e-02,1.097890000000000046e-06
1.000000000000000000e+00,1.790800000000000031e-02,1.679840000000000039e-06
1.500000000000000000e+00,2.409779999999999908e-02,2.384949999999999925e-06
2.000000000000000000e+00,3.033090000000000092e-02,2.720520000000000170e-06
2.500000000000000000e+00,3.560100000000000070e-02,3.425629999999999845e-06
3.000000000000000000e+00,4.208300000000000235e-02,3.977850000000000378e-06
3.500000000000000000e+00,4.791569999999999857e-02,4.678709999999999628e-06
4.000000000000000000e+00,5.408400000000000013e-02,5.294629999999999653e-06
4.500000000000000000e+00,5.958120000000000083e-02,5.868070000000000214e-06
5.000000000000000000e+00,6.570620000000000627e-02,6.670890000000000093e-06
5.500000000000000000e+00,7.244789999999999563e-02,7.359019999999999890e-06
6.000000000000000000e+00,7.782619999999999816e-02,8.068380000000000837e-06
6.500000000000000000e+00,8.415670000000000095e-02,8.701290000000000169e-06
7.000000000000000000e+00,9.022750000000000214e-02,9.448889999999999584e-06
7.500000000000000000e+00,9.633079999999999421e-02,1.022620000000000045e-05
8.000000000000000000e+00,1.026070000000000038e-01,1.115219999999999971e-05
8.500000000000000000e+00,1.082449999999999940e-01,1.186160000000000007e-05
9.000000000000000000e+00,1.142729999999999996e-01,1.277059999999999933e-05
9.500000000000000000e+00,1.199209999999999998e-01,1.364989999999999953e-05
1.000000000000000000e+01,1.266420000000000046e-01,1.442719999999999970e-05
1.050000000000000000e+01,1.327019999999999866e-01,1.565480000000000129e-05
1.100000000000000000e+01,1.382420000000000038e-01,1.636420000000000165e-05
1.150000000000000000e+01,1.440859999999999919e-01,1.740060000000000074e-05
1.200000000000000000e+01,1.512390000000000123e-01,1.850499999999999986e-05
1.250000000000000000e+01,1.565300000000000025e-01,1.950319999999999989e-05
1.300000000000000000e+01,1.611619999999999997e-01,2.034850000000000008e-05
1.350000000000000000e+01,1.679150000000000087e-01,2.140619999999999844e-05
1.400000000000000000e+01,1.746020000000000072e-01,2.291410000000000140e-05
1.450000000000000000e+01,1.804459999999999953e-01,2.399299999999999881e-05
1.500000000000000000e+01,1.859649999999999914e-01,2.499550000000000150e-05
1.550000000000000000e+01,1.919909999999999950e-01,2.629079999999999907e-05
1.600000000000000000e+01,1.984599999999999975e-01,2.751350000000000009e-05
1.650000000000000000e+01,2.051350000000000118e-01,2.872350000000000036e-05
1.700000000000000000e+01,2.101949999999999930e-01,2.992079999999999989e-05
1.750000000000000000e+01,2.169079999999999897e-01,3.124959999999999977e-05
1.800000000000000000e+01,2.225519999999999998e-01,3.271860000000000214e-05
