# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0, hslF=0, cycles=1, T=0.5, pw=0.05, limitI=0.1, rangeI=0.02, limitV=0.5, rangeV=20, nlpc=0.001
0.000000000000000000e+00,1.000769999999999993e-01,-5.093809999999999939e-05
5.000000000000000000e-01,2.001989999999999881e-01,5.114080000000000171e-06
1.000000000000000000e+00,3.023810000000000109e-01,6.982090000000000095e-05
1.500000000000000000e+00,4.009920000000000151e-01,1.302119999999999927e-04
2.000000000000000000e+00,5.023269999999999680e-01,1.690270000000000065e-04
2.500000000000000000e+00,5.996740000000000403e-01,2.337340000000000088e-04
3.000000000000000000e+00,7.023700000000000498e-01,2.984400000000000225e-04
3.500000000000000000e+00,8.006900000000000128e-01,4.019620000000000116e-04
4.000000000000000000e+00,9.002740000000000187e-01,4.105809999999999777e-04
4.500000000000000000e+00,1.000340000000000007e+00,5.141139999999999773e-04
5.000000000000000000e+00,1.102360000000000007e+00,5.615589999999999948e-04
5.500000000000000000e+00,1.202139999999999986e+00,6.650809999999999838e-04
6.000000000000000000e+00,1.301619999999999999e+00,7.168409999999999626e-04
6.500000000000000000e+00,1.403149999999999897e+00,7.470369999999999832e-04
7.000000000000000000e+00,1.502539999999999987e+00,8.807539999999999770e-04
7.500000000000000000e+00,1.602219999999999978e+00,9.497760000000000490e-04
8.000000000000000000e+00,1.701910000000000034e+00,9.885910000000000357e-04
8.500000000000000000e+00,1.803239999999999954e+00,1.048979999999999921e-03
9.000000000000000000e+00,1.901850000000000041e+00,1.135249999999999974e-03
9.500000000000000000e+00,2.002019999999999911e+00,1.212890000000000105e-03
1.000000000000000000e+01,2.107769999999999921e+00,1.277600000000000046e-03
1.050000000000000000e+01,2.212380000000000013e+00,1.372490000000000081e-03
1.100000000000000000e+01,2.300570000000000004e+00,1.476010000000000039e-03
1.150000000000000000e+01,2.412970000000000059e+00,1.557970000000000101e-03
1.200000000000000000e+01,2.519309999999999938e+00,1.648560000000000086e-03
1.250000000000000000e+01,2.605760000000000076e+00,1.730509999999999991e-03
1.300000000000000000e+01,2.726809999999999956e+00,1.786590000000000010e-03
1.350000000000000000e+01,2.805480000000000196e+00,1.864229999999999924e-03
1.400000000000000000e+01,2.901450000000000085e+00,1.980700000000000169e-03
1.450000000000000000e+01,2.991369999999999862e+00,2.049710000000000160e-03
1.500000000000000000e+01,3.089799999999999880e+00,2.221330000000000093e-03
1.550000000000000000e+01,3.190949999999999953e+00,2.303250000000000176e-03
1.600000000000000000e+01,3.288650000000000073e+00,2.372239999999999852e-03
