# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=3, stepPos=0.25, stepNeg=0.15, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,2.499869999999999870e-01,9.085910000000000525e-09
2.002829999999999888e-01,5.000520000000000520e-01,3.869639999999999967e-08
4.528090000000000170e-01,7.500670000000000393e-01,2.110610000000000130e-07
7.002829999999999888e-01,1.000119999999999898e+00,2.992260000000000087e-07
9.502829999999999888e-01,1.250129999999999963e+00,7.008850000000000454e-07
1.202809999999999935e+00,1.500029999999999974e+00,1.326950000000000060e-06
1.450280000000000014e+00,1.750080000000000080e+00,1.835640000000000097e-06
1.700280000000000014e+00,2.000049999999999883e+00,2.474629999999999971e-06
1.950280000000000014e+00,2.250589999999999868e+00,3.822560000000000210e-06
2.200279999999999792e+00,2.500840000000000174e+00,4.589580000000000364e-06
2.450279999999999792e+00,2.750609999999999999e+00,6.883579999999999915e-06
2.700279999999999792e+00,3.001199999999999868e+00,9.724600000000000033e-06
2.952609999999999957e+00,3.250840000000000174e+00,1.276069999999999964e-05
3.200279999999999792e+00,3.500910000000000188e+00,1.904760000000000039e-05
3.450279999999999792e+00,3.751320000000000210e+00,2.065429999999999976e-05
3.700279999999999792e+00,4.000919999999999810e+00,4.194099999999999705e-05
3.950279999999999792e+00,4.250939999999999941e+00,2.961810000000000023e-05
4.200280000000000236e+00,4.501490000000000435e+00,3.525409999999999845e-05
4.450280000000000236e+00,4.751369999999999649e+00,3.563570000000000171e-05
4.700280000000000236e+00,5.001280000000000392e+00,4.474819999999999959e-05
4.950280000000000236e+00,4.751389999999999780e+00,4.047119999999999971e-05
5.200280000000000236e+00,4.501339999999999897e+00,3.774660000000000211e-05
5.450280000000000236e+00,4.250910000000000188e+00,3.355890000000000153e-05
5.700280000000000236e+00,4.001019999999999577e+00,2.863009999999999885e-05
5.950280000000000236e+00,3.751269999999999882e+00,2.434810000000000156e-05
6.200280000000000236e+00,3.500970000000000137e+00,2.084439999999999985e-05
6.450280000000000236e+00,3.250830000000000108e+00,1.800219999999999850e-05
6.700280000000000236e+00,3.001009999999999955e+00,1.452400000000000019e-05
6.950280000000000236e+00,2.750680000000000014e+00,1.211840000000000073e-05
7.202799999999999869e+00,2.500430000000000152e+00,9.687240000000000445e-06
7.450280000000000236e+00,2.250630000000000130e+00,7.918799999999999467e-06
7.700280000000000236e+00,2.000020000000000131e+00,6.196300000000000288e-06
7.950280000000000236e+00,1.750070000000000014e+00,4.594379999999999878e-06
8.200279999999999347e+00,1.500059999999999949e+00,3.309899999999999853e-06
8.450279999999999347e+00,1.250110000000000054e+00,2.319569999999999799e-06
8.700279999999999347e+00,1.000099999999999989e+00,1.510740000000000040e-06
8.952799999999999869e+00,7.500539999999999985e-01,8.642779999999999521e-07
9.200279999999999347e+00,5.000350000000000072e-01,4.087020000000000025e-07
9.450279999999999347e+00,2.499899999999999900e-01,1.429190000000000107e-07
9.747500000000000497e+00,-3.299710000000000295e-05,-1.192690000000000097e-10
9.950279999999999347e+00,-2.272129999999999877e-05,5.307560000000000023e-10
1.020030000000000037e+01,-1.500430000000000097e-01,-6.217789999999999722e-08
1.045279999999999987e+01,-3.000749999999999806e-01,-3.383000000000000051e-07
1.070030000000000037e+01,-4.500759999999999761e-01,-4.081429999999999775e-07
1.095030000000000037e+01,-6.001260000000000483e-01,-6.734179999999999491e-07
1.120279999999999987e+01,-7.501400000000000290e-01,-1.005780000000000050e-06
1.145030000000000037e+01,-9.001409999999999689e-01,-1.378519999999999932e-06
1.170030000000000037e+01,-1.050119999999999942e+00,-1.769310000000000006e-06
1.195030000000000037e+01,-1.200169999999999959e+00,-2.285640000000000024e-06
1.220030000000000037e+01,-1.350160000000000027e+00,-2.864589999999999792e-06
1.245030000000000037e+01,-1.500110000000000054e+00,-3.490510000000000145e-06
1.270030000000000037e+01,-1.650139999999999940e+00,-4.195810000000000406e-06
1.295030000000000037e+01,-1.800119999999999942e+00,-5.092660000000000128e-06
1.320030000000000037e+01,-1.950099999999999945e+00,-6.088979999999999934e-06
1.345030000000000037e+01,-2.100169999999999870e+00,-7.098629999999999660e-06
1.370030000000000037e+01,-2.250300000000000189e+00,-8.394439999999999880e-06
1.395030000000000037e+01,-2.400300000000000100e+00,-9.147920000000000668e-06
1.420260000000000034e+01,-2.550129999999999786e+00,-1.051890000000000020e-05
1.445030000000000037e+01,-2.700390000000000068e+00,-1.140060000000000059e-05
1.470030000000000037e+01,-2.850210000000000132e+00,-1.324850000000000029e-05
1.495030000000000037e+01,-3.000210000000000043e+00,-1.465979999999999981e-05
1.520030000000000037e+01,-2.850389999999999979e+00,-1.319009999999999929e-05
1.545030000000000037e+01,-2.700169999999999959e+00,-1.186609999999999977e-05
1.570030000000000037e+01,-2.550079999999999902e+00,-1.022039999999999959e-05
1.595279999999999987e+01,-2.400110000000000188e+00,-9.103029999999999477e-06
1.620029999999999859e+01,-2.250169999999999781e+00,-8.455010000000000216e-06
1.645029999999999859e+01,-2.099779999999999980e+00,-7.291129999999999935e-06
1.670029999999999859e+01,-1.950080000000000036e+00,-6.420679999999999655e-06
1.695029999999999859e+01,-1.800110000000000099e+00,-5.423339999999999646e-06
1.720029999999999859e+01,-1.650130000000000097e+00,-4.574459999999999737e-06
1.745029999999999859e+01,-1.500119999999999898e+00,-3.763330000000000017e-06
1.770029999999999859e+01,-1.350170000000000092e+00,-2.980810000000000180e-06
1.795029999999999859e+01,-1.200150000000000050e+00,-2.420649999999999855e-06
1.820029999999999859e+01,-1.050110000000000099e+00,-1.821059999999999976e-06
1.845029999999999859e+01,-9.001419999999999977e-01,-1.230660000000000089e-06
1.870279999999999987e+01,-7.501280000000000170e-01,-9.775860000000000030e-07
1.895029999999999859e+01,-6.001250000000000195e-01,-6.550719999999999514e-07
1.920029999999999859e+01,-4.500689999999999968e-01,-3.668150000000000193e-07
1.945029999999999859e+01,-3.000749999999999806e-01,-2.020369999999999979e-07
1.974749999999999872e+01,-1.500450000000000117e-01,-6.814230000000000528e-08
