# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.2, stepNeg=0.2, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,1.999809999999999921e-01,4.500559999999999770e-08
2.002800000000000136e-01,4.000170000000000115e-01,7.413039999999999787e-08
4.528150000000000230e-01,6.000910000000000410e-01,2.858409999999999984e-07
7.002800000000000136e-01,8.000680000000000014e-01,1.905350000000000051e-07
9.502800000000000136e-01,1.000129999999999963e+00,2.931969999999999751e-07
1.200280000000000014e+00,1.200090000000000101e+00,3.613649999999999804e-07
1.450280000000000014e+00,1.400109999999999966e+00,4.195570000000000028e-07
1.700280000000000014e+00,1.600090000000000012e+00,4.931430000000000107e-07
1.950280000000000014e+00,1.800079999999999902e+00,6.295640000000000383e-07
2.200279999999999792e+00,2.000020000000000131e+00,7.930809999999999797e-07
2.450279999999999792e+00,2.200559999999999850e+00,9.677099999999999217e-07
2.702910000000000146e+00,2.400560000000000027e+00,3.107860000000000090e-06
2.957230000000000025e+00,2.600309999999999899e+00,1.855840000000000094e-03
3.200279999999999792e+00,2.800800000000000178e+00,1.809559999999999988e-03
3.450279999999999792e+00,3.001230000000000064e+00,2.210300000000000112e-03
3.700279999999999792e+00,3.201090000000000213e+00,3.166930000000000092e-03
3.950279999999999792e+00,3.401219999999999910e+00,3.671939999999999839e-03
4.200280000000000236e+00,3.601249999999999840e+00,4.154240000000000016e-03
4.450280000000000236e+00,3.801190000000000069e+00,4.630170000000000292e-03
4.700280000000000236e+00,4.001009999999999955e+00,5.037719999999999872e-03
4.950280000000000236e+00,4.201209999999999667e+00,5.480959999999999999e-03
5.200280000000000236e+00,4.401189999999999714e+00,5.784740000000000021e-03
5.450280000000000236e+00,4.601409999999999556e+00,6.294779999999999820e-03
5.700280000000000236e+00,4.801350000000000229e+00,6.699509999999999667e-03
5.950280000000000236e+00,5.001730000000000231e+00,7.209580000000000155e-03
6.200280000000000236e+00,4.801330000000000098e+00,6.923679999999999765e-03
6.450280000000000236e+00,4.601490000000000080e+00,6.650360000000000125e-03
6.700280000000000236e+00,4.401430000000000398e+00,6.351790000000000387e-03
6.950280000000000236e+00,4.201069999999999638e+00,6.034509999999999874e-03
7.200280000000000236e+00,4.001219999999999999e+00,5.702340000000000186e-03
7.450280000000000236e+00,3.800959999999999894e+00,5.366550000000000313e-03
7.700280000000000236e+00,3.601490000000000080e+00,5.039519999999999590e-03
7.950280000000000236e+00,3.401050000000000129e+00,4.711719999999999971e-03
8.200279999999999347e+00,3.201159999999999783e+00,4.386900000000000001e-03
8.450279999999999347e+00,3.001030000000000086e+00,4.064980000000000156e-03
8.700279999999999347e+00,2.800899999999999945e+00,3.743929999999999914e-03
8.950279999999999347e+00,2.600690000000000168e+00,3.425089999999999992e-03
9.200279999999999347e+00,2.400580000000000158e+00,3.109030000000000040e-03
9.450279999999999347e+00,2.200439999999999952e+00,2.796020000000000189e-03
9.700279999999999347e+00,2.000030000000000197e+00,2.487300000000000014e-03
9.950279999999999347e+00,1.800059999999999993e+00,2.184329999999999952e-03
1.020030000000000037e+01,1.600079999999999947e+00,1.887709999999999909e-03
1.045030000000000037e+01,1.400090000000000057e+00,1.599359999999999974e-03
1.070030000000000037e+01,1.200139999999999985e+00,1.319709999999999980e-03
1.095030000000000037e+01,1.000099999999999989e+00,1.053249999999999933e-03
1.120260000000000034e+01,8.001270000000000326e-01,7.973669999999999976e-04
1.145030000000000037e+01,6.000520000000000298e-01,5.614759999999999890e-04
1.170030000000000037e+01,4.000929999999999764e-01,3.471799999999999930e-04
1.195030000000000037e+01,1.999759999999999871e-01,1.598559999999999955e-04
1.224750000000000050e+01,-1.866819999999999856e-05,-6.523190000000000590e-08
1.245030000000000037e+01,-1.480579999999999977e-05,-5.161209999999999799e-08
1.270989999999999931e+01,-2.000349999999999906e-01,-1.609640000000000127e-04
1.295030000000000037e+01,-4.001160000000000272e-01,-3.476339999999999856e-04
1.320030000000000037e+01,-6.001419999999999533e-01,-5.581479999999999558e-04
1.345030000000000037e+01,-8.001500000000000279e-01,-7.886990000000000190e-04
1.370260000000000034e+01,-1.000129999999999963e+00,-1.036449999999999958e-03
1.395030000000000037e+01,-1.200139999999999985e+00,-1.297860000000000073e-03
1.420030000000000037e+01,-1.400160000000000071e+00,-1.571469999999999942e-03
