# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.06666666666666667, stepNeg=0.06666666666666667, rev=0, hslV=0.4, hslF=1, cycles=5, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.000369999999999759e-01,3.742780000000000239e-04
2.499879999999999880e-01,6.671249999999999403e-02,5.385020000000000155e-05
5.000010000000000288e-01,4.002149999999999874e-01,3.743630000000000070e-04
7.494530000000000358e-01,1.333439999999999903e-01,1.097760000000000006e-04
9.994530000000000358e-01,4.000449999999999839e-01,3.742460000000000079e-04
1.249449999999999950e+00,2.000480000000000036e-01,1.694540000000000076e-04
1.499449999999999950e+00,4.002069999999999794e-01,3.743630000000000070e-04
1.749449999999999950e+00,2.666799999999999726e-01,2.335279999999999908e-04
1.999449999999999950e+00,4.002310000000000034e-01,3.742850000000000257e-04
2.249449999999999950e+00,3.332160000000000122e-01,3.017809999999999894e-04
2.499449999999999950e+00,4.001100000000000212e-01,3.742850000000000257e-04
2.749449999999999950e+00,4.000770000000000159e-01,3.743840000000000123e-04
2.999449999999999950e+00,4.001580000000000137e-01,3.742710000000000221e-04
3.249449999999999950e+00,4.666870000000000185e-01,4.506590000000000097e-04
3.499449999999999950e+00,4.001339999999999897e-01,3.743239999999999892e-04
3.749449999999999950e+00,5.335320000000000062e-01,5.305279999999999458e-04
3.999449999999999950e+00,3.999719999999999942e-01,3.743379999999999928e-04
4.249450000000000394e+00,6.000849999999999795e-01,6.138209999999999630e-04
4.499450000000000394e+00,4.000940000000000052e-01,3.743379999999999928e-04
4.749450000000000394e+00,6.665969999999999951e-01,7.002409999999999928e-04
4.999450000000000394e+00,4.000290000000000235e-01,3.742390000000000061e-04
5.249450000000000394e+00,7.334979999999999833e-01,7.896290000000000253e-04
5.499450000000000394e+00,3.999309999999999810e-01,3.742570000000000185e-04
5.749450000000000394e+00,8.001000000000000334e-01,8.818110000000000314e-04
5.999450000000000394e+00,4.001500000000000057e-01,3.742500000000000167e-04
6.249450000000000394e+00,8.668069999999999942e-01,9.765999999999999941e-04
6.499450000000000394e+00,4.002390000000000114e-01,3.743099999999999856e-04
6.749979999999999869e+00,9.333599999999999675e-01,1.075419999999999892e-03
6.999970000000000248e+00,4.000770000000000159e-01,3.743630000000000070e-04
7.249970000000000248e+00,1.000199999999999978e+00,1.174209999999999967e-03
7.499970000000000248e+00,4.000850000000000239e-01,3.743840000000000123e-04
7.749959999999999738e+00,1.066719999999999891e+00,1.276229999999999943e-03
7.999979999999999869e+00,4.001669999999999949e-01,3.743730000000000018e-04
8.249969999999999359e+00,1.133569999999999967e+00,1.380010000000000091e-03
8.499980000000000757e+00,4.000449999999999839e-01,3.743519999999999964e-04
8.749969999999999359e+00,1.199999999999999956e+00,1.485119999999999930e-03
8.999969999999999359e+00,4.002149999999999874e-01,3.743449999999999946e-04
9.249980000000000757e+00,1.266699999999999937e+00,1.592429999999999931e-03
9.499969999999999359e+00,4.001830000000000109e-01,3.743490000000000034e-04
9.749980000000000757e+00,1.333280000000000021e+00,1.700990000000000097e-03
9.999969999999999359e+00,4.001830000000000109e-01,3.744579999999999849e-04
1.025000000000000000e+01,1.399980000000000002e+00,1.811340000000000042e-03
1.050000000000000000e+01,4.001259999999999817e-01,3.745220000000000168e-04
1.075000000000000000e+01,1.466699999999999893e+00,1.924719999999999990e-03
1.100000000000000000e+01,4.000449999999999839e-01,3.743700000000000088e-04
1.125000000000000000e+01,1.533430000000000071e+00,2.038630000000000043e-03
1.150000000000000000e+01,4.000690000000000079e-01,3.745789999999999927e-04
1.175000000000000000e+01,1.599879999999999969e+00,2.153659999999999949e-03
1.200000000000000000e+01,4.000690000000000079e-01,3.744649999999999867e-04
1.225000000000000000e+01,1.666719999999999979e+00,2.270439999999999871e-03
1.250000000000000000e+01,4.002229999999999954e-01,3.747910000000000239e-04
1.275000000000000000e+01,1.733570000000000055e+00,2.389280000000000136e-03
1.300000000000000000e+01,3.998579999999999912e-01,3.747870000000000151e-04
1.325000000000000000e+01,1.800159999999999982e+00,2.507759999999999937e-03
1.350000000000000000e+01,4.001259999999999817e-01,3.746919999999999830e-04
1.375000000000000000e+01,1.866829999999999989e+00,2.627200000000000108e-03
1.400000000000000000e+01,4.000940000000000052e-01,3.748860000000000018e-04
1.425000000000000000e+01,1.933419999999999916e+00,2.749989999999999900e-03
1.450000000000000000e+01,4.003200000000000092e-01,3.749609999999999901e-04
1.475000000000000000e+01,2.000059999999999949e+00,2.872340000000000136e-03
1.500000000000000000e+01,4.001500000000000057e-01,3.752970000000000221e-04
1.525000000000000000e+01,2.065809999999999924e+00,2.994450000000000063e-03
1.550050000000000061e+01,4.002600000000000047e-01,3.755300000000000044e-04
1.575000000000000000e+01,2.132810000000000095e+00,3.119990000000000003e-03
1.600000000000000000e+01,4.001140000000000252e-01,3.755119999999999921e-04
1.625000000000000000e+01,2.200889999999999791e+00,3.245720000000000115e-03
1.650000000000000000e+01,4.002519999999999967e-01,3.757139999999999742e-04
1.675000000000000000e+01,2.269179999999999975e+00,3.373199999999999810e-03
1.700000000000000000e+01,4.002760000000000207e-01,3.759999999999999779e-04
1.725000000000000000e+01,2.333870000000000111e+00,3.503200000000000151e-03
1.750000000000000000e+01,4.001629999999999909e-01,3.761770000000000001e-04
1.775000000000000000e+01,2.400790000000000202e+00,3.632810000000000206e-03
1.800000000000000000e+01,4.001709999999999989e-01,3.765589999999999975e-04
1.825000000000000000e+01,2.465990000000000126e+00,3.761050000000000157e-03
1.850000000000000000e+01,4.003010000000000179e-01,3.764209999999999930e-04
1.875000000000000000e+01,2.534419999999999895e+00,3.893890000000000112e-03
1.900000000000000000e+01,4.003169999999999784e-01,3.765239999999999885e-04
1.925000000000000000e+01,2.600119999999999987e+00,4.026189999999999804e-03
1.950000000000000000e+01,4.003659999999999997e-01,3.767500000000000232e-04
1.975000000000000000e+01,2.666469999999999896e+00,4.159389999999999789e-03
2.000000000000000000e+01,4.003490000000000104e-01,3.770080000000000198e-04
