# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=-2, Vneg=-7, stepPos=-0.08, stepNeg=-0.28, rev=0, hslV=0.3, hslF=0, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.1
0.000000000000000000e+00,-8.004930000000000379e-02,-5.337360000000000089e-07
2.499800000000000078e-01,-1.600489999999999968e-01,-1.089990000000000088e-06
4.974549999999999805e-01,-2.400239999999999874e-01,-1.678850000000000028e-06
7.474549999999999805e-01,-3.200740000000000252e-01,-2.267480000000000184e-06
9.974549999999999805e-01,-4.000650000000000039e-01,-2.905840000000000032e-06
1.247449999999999948e+00,-4.800789999999999780e-01,-3.536789999999999895e-06
1.497460000000000013e+00,-5.601129999999999720e-01,-4.213870000000000026e-06
1.747460000000000013e+00,-6.401200000000000223e-01,-4.875019999999999617e-06
1.997460000000000013e+00,-7.201079999999999703e-01,-5.584410000000000121e-06
2.247450000000000170e+00,-8.001340000000000119e-01,-6.279460000000000353e-06
2.497459999999999791e+00,-8.801409999999999512e-01,-7.019189999999999791e-06
2.747459999999999791e+00,-9.601530000000000342e-01,-7.728649999999999263e-06
2.997459999999999791e+00,-1.040140000000000065e+00,-8.495720000000000374e-06
3.247450000000000170e+00,-1.120170000000000110e+00,-9.240090000000000838e-06
3.499789999999999957e+00,-1.200150000000000050e+00,-1.006250000000000064e-05
3.747459999999999791e+00,-1.280149999999999899e+00,-1.081079999999999990e-05
3.997459999999999791e+00,-1.360149999999999970e+00,-1.161169999999999930e-05
4.247449999999999726e+00,-1.440139999999999976e+00,-1.239800000000000056e-05
4.497449999999999726e+00,-1.520110000000000072e+00,-1.320770000000000062e-05
4.747449999999999726e+00,-1.600090000000000012e+00,-1.401209999999999922e-05
4.997449999999999726e+00,-1.680139999999999967e+00,-1.485809999999999925e-05
5.247449999999999726e+00,-1.760140000000000038e+00,-1.566200000000000014e-05
5.497449999999999726e+00,-1.840140000000000109e+00,-1.652420000000000012e-05
5.747449999999999726e+00,-1.920120000000000049e+00,-1.739659999999999875e-05
5.997449999999999726e+00,-2.000090000000000146e+00,-1.827299999999999937e-05
6.247449999999999726e+00,-1.920080000000000009e+00,-1.739130000000000068e-05
6.497449999999999726e+00,-1.840130000000000043e+00,-1.656280000000000005e-05
6.747449999999999726e+00,-1.760110000000000063e+00,-1.569040000000000143e-05
6.997449999999999726e+00,-1.680109999999999992e+00,-1.486780000000000019e-05
7.247449999999999726e+00,-1.600119999999999987e+00,-1.403469999999999964e-05
7.497449999999999726e+00,-1.520119999999999916e+00,-1.321310000000000060e-05
7.747449999999999726e+00,-1.440129999999999910e+00,-1.240250000000000026e-05
7.997449999999999726e+00,-1.360139999999999905e+00,-1.160990000000000043e-05
8.247460000000000235e+00,-1.280159999999999965e+00,-1.082030000000000040e-05
8.497460000000000235e+00,-1.200169999999999959e+00,-1.004680000000000010e-05
8.749980000000000757e+00,-1.120160000000000045e+00,-9.162960000000000782e-06
8.997460000000000235e+00,-1.040159999999999973e+00,-8.498920000000000614e-06
