# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.4, hslF=1, cycles=1, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.004220000000000002e-01,-6.146309999999999841e-10
2.038659999999999917e-01,1.000039999999999957e-01,-6.142020000000000262e-10
4.538659999999999917e-01,4.003889999999999949e-01,3.643759999999999833e-09
7.038659999999999917e-01,2.000689999999999968e-01,-3.273250000000000045e-10
9.538659999999999917e-01,4.005110000000000059e-01,3.809500000000000131e-09
1.203869999999999996e+00,3.004680000000000129e-01,2.251510000000000014e-10
1.453869999999999996e+00,4.001870000000000149e-01,3.630589999999999971e-09
1.703869999999999996e+00,4.003490000000000104e-01,1.081500000000000039e-09
1.953869999999999996e+00,4.003570000000000184e-01,3.277849999999999801e-09
2.203870000000000218e+00,5.004979999999999984e-01,2.037730000000000159e-09
2.453870000000000218e+00,4.002839999999999732e-01,3.037299999999999841e-09
2.703870000000000218e+00,6.003950000000000120e-01,3.145669999999999954e-09
2.953870000000000218e+00,4.001460000000000017e-01,2.886010000000000046e-09
3.203870000000000218e+00,7.004460000000000131e-01,4.374310000000000376e-09
3.453870000000000218e+00,4.005190000000000139e-01,2.774660000000000012e-09
3.703870000000000218e+00,8.003839999999999844e-01,5.708349999999999628e-09
3.953870000000000218e+00,4.002029999999999754e-01,2.637819999999999893e-09
4.203870000000000218e+00,9.004839999999999511e-01,7.273159999999999728e-09
4.453870000000000218e+00,4.003809999999999869e-01,2.482689999999999830e-09
4.703870000000000218e+00,1.000629999999999908e+00,8.958660000000000164e-09
4.953870000000000218e+00,4.002919999999999812e-01,2.352639999999999850e-09
5.203870000000000218e+00,1.100649999999999906e+00,1.085920000000000072e-08
5.453870000000000218e+00,4.003979999999999762e-01,2.186480000000000084e-09
5.703870000000000218e+00,1.200439999999999952e+00,1.299859999999999935e-08
5.953870000000000218e+00,4.003249999999999864e-01,2.035179999999999997e-09
6.203870000000000218e+00,1.300489999999999924e+00,1.534920000000000155e-08
6.453870000000000218e+00,4.002029999999999754e-01,1.888559999999999939e-09
6.703870000000000218e+00,1.400670000000000082e+00,1.808059999999999979e-08
6.953870000000000218e+00,4.002919999999999812e-01,1.751290000000000060e-09
7.203870000000000218e+00,1.500320000000000098e+00,2.102150000000000066e-08
7.453870000000000218e+00,4.003570000000000184e-01,1.614019999999999975e-09
7.703870000000000218e+00,1.600519999999999943e+00,2.413500000000000072e-08
7.953870000000000218e+00,4.003160000000000052e-01,1.483959999999999909e-09
8.203870000000000218e+00,1.700420000000000043e+00,2.749540000000000082e-08
8.453870000000000218e+00,4.003160000000000052e-01,1.358179999999999957e-09
8.703870000000000218e+00,1.800570000000000004e+00,3.172100000000000327e-08
8.953870000000000218e+00,4.003249999999999864e-01,1.263820000000000088e-09
9.203870000000000218e+00,1.900449999999999973e+00,3.549579999999999813e-08
9.453870000000000218e+00,4.005679999999999796e-01,1.126129999999999915e-09
9.703870000000000218e+00,2.000509999999999788e+00,4.130960000000000219e-08
9.953870000000000218e+00,4.003889999999999949e-01,1.044949999999999995e-09
1.020390000000000086e+01,2.102399999999999824e+00,4.727520000000000235e-08
1.045390000000000086e+01,4.002439999999999887e-01,9.361620000000000187e-10
1.070390000000000086e+01,2.204180000000000028e+00,5.499510000000000254e-08
1.095390000000000086e+01,4.005759999999999876e-01,8.469100000000000254e-10
1.120390000000000086e+01,2.302290000000000170e+00,6.326829999999999751e-08
1.145390000000000086e+01,4.004460000000000242e-01,7.674460000000000400e-10
1.170390000000000086e+01,2.402709999999999901e+00,7.233500000000000550e-08
1.195390000000000086e+01,4.003729999999999789e-01,6.709700000000000105e-10
1.220390000000000086e+01,2.503559999999999786e+00,8.259760000000000106e-08
1.245390000000000086e+01,4.004789999999999739e-01,6.110430000000000167e-10
1.270459999999999923e+01,2.604550000000000143e+00,4.474790000000000062e-07
1.299929999999999986e+01,4.003249999999999864e-01,3.373499999999999776e-10
1.320459999999999923e+01,2.706049999999999844e+00,5.803849999999999921e-07
1.349929999999999986e+01,4.002519999999999967e-01,2.370600000000000065e-10
1.370459999999999923e+01,2.803510000000000169e+00,6.595200000000000188e-07
1.399929999999999986e+01,4.003410000000000024e-01,3.177999999999999779e-10
1.420459999999999923e+01,2.905149999999999899e+00,7.470299999999999865e-07
1.449929999999999986e+01,4.003650000000000264e-01,3.896239999999999772e-10
1.470459999999999923e+01,3.005139999999999922e+00,7.669719999999999939e-07
1.499929999999999986e+01,4.000299999999999967e-01,4.537699999999999747e-10
1.520459999999999923e+01,3.103310000000000013e+00,8.472169999999999557e-07
1.549929999999999986e+01,3.999570000000000070e-01,5.149600000000000498e-10
1.570459999999999923e+01,3.204159999999999897e+00,8.669580000000000264e-07
1.599929999999999986e+01,3.998920000000000252e-01,5.731819999999999962e-10
1.620459999999999923e+01,3.301330000000000098e+00,8.937230000000000150e-07
1.649930000000000163e+01,4.001430000000000264e-01,6.245969999999999680e-10
1.670459999999999923e+01,3.402820000000000178e+00,9.371660000000000156e-07
1.699930000000000163e+01,4.000949999999999784e-01,6.607170000000000460e-10
1.720530000000000115e+01,3.500059999999999949e+00,4.379749999999999762e-07
1.749930000000000163e+01,3.999809999999999754e-01,6.879210000000000484e-10
1.770520000000000138e+01,3.601339999999999986e+00,5.316869999999999884e-07
1.799930000000000163e+01,4.000059999999999727e-01,7.287139999999999922e-10
1.820520000000000138e+01,3.700450000000000017e+00,6.195779999999999911e-07
1.849930000000000163e+01,4.001029999999999864e-01,7.771610000000000421e-10
1.870530000000000115e+01,3.800720000000000098e+00,6.158670000000000447e-07
1.899930000000000163e+01,4.001029999999999864e-01,7.882120000000000281e-10
1.920520000000000138e+01,3.901349999999999874e+00,7.635649999999999687e-07
1.949930000000000163e+01,4.000059999999999727e-01,8.540749999999999691e-10
1.970530000000000115e+01,4.001470000000000304e+00,1.036009999999999971e-06
1.999930000000000163e+01,4.001430000000000264e-01,8.655550000000000163e-10
2.020520000000000138e+01,4.101090000000000124e+00,1.161589999999999961e-06
2.049930000000000163e+01,3.999409999999999910e-01,9.020919999999999492e-10
2.070530000000000115e+01,4.202510000000000190e+00,1.626359999999999960e-06
2.099930000000000163e+01,3.999969999999999914e-01,9.870890000000000435e-10
2.120530000000000115e+01,4.301840000000000330e+00,1.943399999999999892e-06
2.149930000000000163e+01,4.000219999999999887e-01,1.248430000000000000e-09
2.170530000000000115e+01,4.401600000000000179e+00,2.582329999999999804e-06
2.199930000000000163e+01,4.000699999999999812e-01,1.814900000000000009e-09
2.220530000000000115e+01,4.503090000000000259e+00,2.878380000000000129e-06
2.249930000000000163e+01,3.999969999999999914e-01,1.119239999999999952e-09
2.270530000000000115e+01,4.602420000000000400e+00,3.577539999999999886e-06
2.299930000000000163e+01,4.000460000000000127e-01,2.707739999999999999e-09
2.320530000000000115e+01,4.702549999999999564e+00,3.549169999999999851e-06
2.349930000000000163e+01,3.999079999999999857e-01,1.179599999999999938e-09
2.370530000000000115e+01,4.801520000000000010e+00,4.005469999999999616e-06
2.399930000000000163e+01,4.001509999999999789e-01,1.238240000000000058e-09
2.420530000000000115e+01,4.902790000000000425e+00,5.656590000000000335e-06
2.449930000000000163e+01,3.999079999999999857e-01,1.360199999999999914e-09
2.470530000000000115e+01,5.006520000000000081e+00,6.783970000000000203e-06
2.499930000000000163e+01,4.001430000000000264e-01,1.409490000000000062e-09
2.520530000000000115e+01,4.901209999999999845e+00,8.457070000000000329e-06
2.549930000000000163e+01,4.000460000000000127e-01,4.395679999999999859e-09
2.570530000000000115e+01,4.801300000000000345e+00,7.387610000000000068e-06
2.599930000000000163e+01,4.000380000000000047e-01,1.252259999999999975e-09
2.620530000000000115e+01,4.699519999999999698e+00,8.628239999999999234e-06
