# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=5, Vneg=5, stepPos=0.1, stepNeg=0.1, rev=0, hslV=0.4, hslF=1, cycles=2, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,4.002299999999999747e-01,5.669660000000000491e-07
2.487790000000000001e-01,9.999650000000000205e-02,1.592479999999999977e-07
4.987789999999999724e-01,4.001239999999999797e-01,6.415589999999999548e-07
7.487789999999999724e-01,1.999829999999999941e-01,3.092780000000000249e-07
9.987789999999999724e-01,4.000839999999999952e-01,6.294980000000000164e-07
1.248780000000000001e+00,3.001269999999999771e-01,4.856680000000000314e-07
1.498780000000000001e+00,4.000920000000000032e-01,5.678900000000000380e-07
1.748780000000000001e+00,4.000839999999999952e-01,6.673150000000000432e-07
1.998780000000000001e+00,4.001489999999999769e-01,6.406100000000000169e-07
2.248780000000000001e+00,5.002590000000000092e-01,8.897659999999999485e-07
2.498780000000000001e+00,4.002129999999999854e-01,6.131879999999999980e-07
2.749509999999999899e+00,6.001429999999999820e-01,1.012530000000000028e-06
2.999499999999999833e+00,4.003109999999999724e-01,6.536569999999999616e-07
3.249499999999999833e+00,7.001560000000000006e-01,1.232449999999999948e-06
3.499499999999999833e+00,4.002459999999999907e-01,6.021599999999999869e-07
3.749499999999999833e+00,8.003230000000000066e-01,1.410060000000000015e-06
3.999509999999999899e+00,4.002049999999999774e-01,6.569380000000000027e-07
4.249500000000000277e+00,9.002799999999999692e-01,1.688919999999999959e-06
4.499509999999999899e+00,4.001569999999999849e-01,6.273660000000000341e-07
4.749509999999999899e+00,1.000250000000000083e+00,2.082060000000000103e-06
4.999489999999999768e+00,4.001569999999999849e-01,6.078469999999999504e-07
5.250469999999999970e+00,1.100139999999999896e+00,9.201460000000000498e-04
5.498780000000000001e+00,4.000679999999999792e-01,2.840219999999999854e-04
5.749299999999999855e+00,1.200110000000000010e+00,1.055570000000000033e-03
5.999299999999999855e+00,4.002379999999999827e-01,2.908249999999999811e-04
6.249299999999999855e+00,1.300200000000000022e+00,1.196830000000000073e-03
6.499290000000000234e+00,4.000589999999999979e-01,2.972240000000000125e-04
6.749290000000000234e+00,1.400290000000000035e+00,1.323710000000000078e-03
6.999299999999999855e+00,4.002220000000000222e-01,2.992970000000000179e-04
7.249299999999999855e+00,1.499970000000000026e+00,1.478109999999999927e-03
7.499299999999999855e+00,4.003920000000000257e-01,3.050589999999999942e-04
7.749299999999999855e+00,1.600109999999999921e+00,1.612579999999999960e-03
7.999299999999999855e+00,4.001890000000000169e-01,3.069449999999999826e-04
8.249299999999999855e+00,1.700099999999999945e+00,1.747939999999999910e-03
8.499299999999999855e+00,4.002220000000000222e-01,3.084340000000000085e-04
8.749299999999999855e+00,1.800179999999999891e+00,1.890409999999999920e-03
8.999299999999999855e+00,4.002459999999999907e-01,3.101070000000000042e-04
9.249299999999999855e+00,1.900230000000000086e+00,2.029509999999999995e-03
9.499290000000000234e+00,4.002220000000000222e-01,3.112880000000000052e-04
9.749299999999999855e+00,1.999970000000000026e+00,2.180829999999999921e-03
9.999299999999999855e+00,4.003030000000000199e-01,3.134459999999999937e-04
1.024929999999999986e+01,2.099260000000000126e+00,2.339069999999999951e-03
1.049929999999999986e+01,4.001489999999999769e-01,3.157100000000000249e-04
1.074929999999999986e+01,2.199959999999999916e+00,2.484670000000000021e-03
1.099929999999999986e+01,4.001000000000000112e-01,3.164919999999999778e-04
1.124929999999999986e+01,2.300730000000000164e+00,2.641269999999999816e-03
1.149929999999999986e+01,4.001410000000000244e-01,3.180479999999999744e-04
1.174929999999999986e+01,2.399550000000000072e+00,2.788730000000000115e-03
1.199929999999999986e+01,4.001730000000000009e-01,3.185819999999999798e-04
1.224929999999999986e+01,2.500109999999999832e+00,2.967570000000000104e-03
1.249929999999999986e+01,4.002859999999999752e-01,3.212110000000000117e-04
1.274929999999999986e+01,2.599009999999999820e+00,3.121500000000000143e-03
1.299929999999999986e+01,4.002220000000000222e-01,3.218229999999999984e-04
1.324929999999999986e+01,2.699990000000000112e+00,3.276439999999999821e-03
1.349929999999999986e+01,4.001730000000000009e-01,3.224100000000000251e-04
1.374929999999999986e+01,2.800910000000000011e+00,3.430449999999999819e-03
1.399929999999999986e+01,4.002299999999999747e-01,3.231670000000000180e-04
1.424929999999999986e+01,2.900090000000000057e+00,3.584780000000000084e-03
1.449929999999999986e+01,4.001319999999999877e-01,3.236229999999999879e-04
1.474929999999999986e+01,3.000789999999999846e+00,3.740980000000000086e-03
1.499929999999999986e+01,4.001890000000000169e-01,3.241650000000000109e-04
