# Tiempo [s], Voltage [V], Corriente [A]
#  Vpos=0.1, Vneg=0.1, stepPos=0.004, stepNeg=0.004, rev=0, hslV=0.1, hslF=1, cycles=2, T=0.25, pw=0.025, limitI=0.0005, rangeI=1e-08, limitV=0.5, rangeV=20, nlpc=0.01
0.000000000000000000e+00,1.000459999999999960e-01,5.540729999999999539e-10
2.038609999999999867e-01,3.987309999999999986e-03,5.927439999999999954e-10
4.538610000000000144e-01,1.000260000000000038e-01,-6.243819999999999848e-10
7.038609999999999589e-01,7.940340000000000592e-03,6.178259999999999921e-10
9.538609999999999589e-01,1.000650000000000012e-01,-6.638999999999999511e-10
1.203859999999999930e+00,1.201860000000000081e-02,6.454469999999999529e-10
1.453859999999999930e+00,1.000810000000000033e-01,-6.817580000000000150e-10
1.703859999999999930e+00,1.593469999999999956e-02,6.552219999999999528e-10
1.953859999999999930e+00,1.000579999999999942e-01,-6.826040000000000346e-10
2.203860000000000152e+00,1.999760000000000079e-02,6.607410000000000451e-10
2.453860000000000152e+00,1.000560000000000060e-01,-6.596569999999999483e-10
2.703860000000000152e+00,2.399300000000000044e-02,6.220700000000000035e-10
2.953860000000000152e+00,1.000159999999999938e-01,-6.447790000000000127e-10
3.203860000000000152e+00,2.797849999999999990e-02,5.974289999999999643e-10
3.453860000000000152e+00,1.000280000000000058e-01,-6.090759999999999965e-10
3.703860000000000152e+00,3.200809999999999766e-02,5.740520000000000149e-10
3.953860000000000152e+00,1.000250000000000028e-01,-5.801799999999999549e-10
4.203859999999999708e+00,3.600529999999999703e-02,5.438799999999999871e-10
4.453859999999999708e+00,1.000420000000000059e-01,-5.410790000000000503e-10
4.703859999999999708e+00,3.996109999999999940e-02,5.069019999999999935e-10
4.953859999999999708e+00,1.000189999999999968e-01,-4.934790000000000285e-10
5.203859999999999708e+00,4.400330000000000213e-02,4.648330000000000119e-10
5.453859999999999708e+00,1.000729999999999953e-01,-4.684090000000000314e-10
5.703859999999999708e+00,4.805990000000000262e-02,4.129889999999999787e-10
5.953859999999999708e+00,1.000550000000000050e-01,-4.110340000000000098e-10
6.203859999999999708e+00,5.198860000000000287e-02,3.755930000000000181e-10
6.453859999999999708e+00,9.999990000000000268e-02,-3.404859999999999965e-10
6.703859999999999708e+00,5.602179999999999660e-02,3.126979999999999990e-10
6.953859999999999708e+00,9.999629999999999630e-02,-2.712130000000000125e-10
7.203859999999999708e+00,5.997759999999999897e-02,2.336500000000000152e-10
7.453859999999999708e+00,1.000569999999999932e-01,-1.811149999999999996e-10
7.703859999999999708e+00,6.400630000000000208e-02,1.571540000000000035e-10
7.953859999999999708e+00,1.000329999999999969e-01,-9.356740000000000458e-11
8.203860000000000596e+00,6.800259999999999638e-02,4.836320000000000056e-11
8.453860000000000596e+00,1.000469999999999970e-01,7.748599999999999921e-13
8.703860000000000596e+00,7.204299999999999593e-02,-3.449920000000000066e-11
8.953860000000000596e+00,1.000150000000000067e-01,9.043219999999999508e-11
