# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.015390000000000000e+07,-2.712740000000000151e-01
2.037349999999999994e+01,1.014080000000000000e+07,-2.583219999999999961e-01
2.075260000000000105e+01,1.014810000000000000e+07,-3.039740000000000220e-01
2.114020000000000010e+01,1.015480000000000000e+07,-3.250720000000000276e-01
2.153320000000000078e+01,1.016350000000000000e+07,-3.780569999999999764e-01
2.193459999999999965e+01,1.016800000000000000e+07,-3.730999999999999872e-01
2.234299999999999997e+01,1.016690000000000000e+07,-2.723929999999999962e-01
2.275829999999999842e+01,1.015530000000000000e+07,-2.044610000000000039e-01
2.318209999999999837e+01,1.016040000000000000e+07,-1.779979999999999896e-01
2.361459999999999937e+01,1.016400000000000000e+07,-1.067120000000000013e-01
2.405580000000000140e+01,1.016650000000000000e+07,-3.340880000000000238e-02
2.450379999999999825e+01,1.016590000000000000e+07,-4.716259999999999897e-02
2.496049999999999969e+01,1.016980000000000000e+07,-6.763479999999999666e-03
2.542589999999999861e+01,1.016900000000000000e+07,8.319129999999999234e-03
2.589780000000000015e+01,1.017360000000000000e+07,7.304490000000000288e-03
2.638060000000000116e+01,1.017330000000000000e+07,7.797440000000000100e-03
2.687209999999999965e+01,1.017120000000000000e+07,3.969539999999999874e-02
2.737229999999999919e+01,1.018240000000000000e+07,-5.990290000000000198e-02
2.788360000000000127e+01,1.016130000000000000e+07,1.315909999999999996e-02
2.840099999999999980e+01,1.015900000000000000e+07,-1.046990000000000004e-01
2.893240000000000123e+01,1.018990000000000000e+07,-1.633110000000000117e-01
2.946950000000000003e+01,1.018990000000000000e+07,3.302019999999999955e-01
3.001800000000000068e+01,1.016320000000000000e+07,-4.570919999999999844e-02
3.057789999999999964e+01,1.016340000000000000e+07,8.240889999999999327e-02
3.114939999999999998e+01,1.015390000000000000e+07,9.004969999999999641e-02
3.172919999999999874e+01,1.016070000000000000e+07,1.384680000000000077e-01
3.232059999999999889e+01,1.013470000000000000e+07,6.066890000000000338e-01
3.292000000000000171e+01,1.018200000000000000e+07,3.746189999999999798e-01
3.353450000000000131e+01,1.008370000000000000e+07,8.348130000000000273e-01
3.416080000000000183e+01,1.010270000000000000e+07,-5.153819999999999929e-02
3.479869999999999663e+01,1.010050000000000000e+07,1.156839999999999952e-01
3.544420000000000215e+01,1.004900000000000000e+07,6.738110000000000488e-01
3.610540000000000305e+01,1.008450000000000000e+07,4.197810000000000152e-01
3.677819999999999823e+01,1.008360000000000000e+07,4.321160000000000001e-01
3.746249999999999858e+01,1.003940000000000000e+07,5.137289999999999912e-01
3.815820000000000078e+01,1.001340000000000000e+07,1.064500000000000002e+00
3.887019999999999698e+01,1.006330000000000000e+07,8.013080000000000203e-02
3.959349999999999881e+01,1.008240000000000000e+07,1.141229999999999967e+00
4.033339999999999748e+01,1.002550000000000000e+07,1.421939999999999982e+00
4.108460000000000178e+01,1.012870000000000000e+07,1.008659999999999890e+00
4.185269999999999868e+01,1.000610000000000000e+07,9.669600000000000417e-02
4.263179999999999836e+01,1.005190000000000000e+07,-2.320759999999999837e-02
4.342159999999999798e+01,1.015490000000000000e+07,3.666019999999999834e-01
4.423469999999999658e+01,1.015590000000000000e+07,6.560799999999999965e-02
4.505859999999999843e+01,1.016500000000000000e+07,-2.451490000000000058e-01
4.589959999999999951e+01,1.025500000000000000e+07,-1.387979999999999943e-02
4.675079999999999814e+01,1.030610000000000000e+07,1.472749999999999893e-01
4.761899999999999977e+01,1.036250000000000000e+07,1.962849999999999925e-03
4.851230000000000331e+01,1.041520000000000000e+07,-5.087990000000000013e-01
4.941530000000000200e+01,1.041440000000000000e+07,-1.280429999999999957e+00
5.033559999999999945e+01,1.029300000000000000e+07,-1.486289999999999889e+00
5.127329999999999899e+01,1.022410000000000000e+07,-2.835860000000000047e-01
5.222840000000000060e+01,1.042580000000000000e+07,-8.045759999999999579e-01
5.320089999999999719e+01,1.022700000000000000e+07,-7.416690000000000227e-01
5.419080000000000297e+01,1.023860000000000000e+07,-2.741469999999999740e-01
5.519780000000000086e+01,1.029360000000000000e+07,-6.035519999999999774e-01
5.623239999999999839e+01,1.023370000000000000e+07,-4.138939999999999841e-01
5.727380000000000138e+01,1.018440000000000000e+07,-2.245350000000000124e-01
5.834309999999999974e+01,1.013550000000000000e+07,-2.204110000000000097e-02
5.942949999999999733e+01,1.018680000000000000e+07,-2.490209999999999924e-01
6.054489999999999839e+01,1.021640000000000000e+07,-2.099239999999999995e-01
6.166499999999999915e+01,1.013400000000000000e+07,-2.880670000000000175e-01
6.281410000000000338e+01,1.025760000000000000e+07,-7.156809999999999561e-02
6.397950000000000159e+01,1.023890000000000000e+07,-4.313100000000000267e-01
6.517489999999999384e+01,1.020440000000000000e+07,4.690099999999999825e-01
6.638639999999999475e+01,1.026470000000000000e+07,-3.008839999999999848e-01
6.762850000000000250e+01,1.029090000000000000e+07,1.157149999999999984e-01
6.888630000000000564e+01,1.007030000000000000e+07,9.100759999999999406e-02
7.017539999999999623e+01,1.026030000000000000e+07,4.776850000000000263e-01
7.147960000000000491e+01,1.027130000000000000e+07,3.316589999999999816e-01
7.281550000000000011e+01,1.022680000000000000e+07,3.907610000000000250e-01
7.416559999999999775e+01,1.012600000000000000e+07,-3.081709999999999727e-01
7.554770000000000607e+01,1.023740000000000000e+07,1.773289999999999866e-01
7.696250000000000568e+01,1.015680000000000000e+07,-1.656169999999999864e-01
7.839039999999999964e+01,1.019550000000000000e+07,1.191849999999999993e-01
7.985089999999999577e+01,1.018080000000000000e+07,7.667319999999999691e-02
8.134489999999999554e+01,1.016610000000000000e+07,4.923990000000000311e-02
8.284999999999999432e+01,1.014970000000000000e+07,1.282699999999999986e-02
8.438819999999999766e+01,1.015280000000000000e+07,-3.033299999999999842e-04
8.598449999999999704e+01,1.022250000000000000e+07,4.328569999999999918e-01
8.756570000000000675e+01,1.011450000000000000e+07,1.393629999999999869e-01
8.920610000000000639e+01,1.023540000000000000e+07,6.487279999999999713e-01
9.085399999999999920e+01,1.023020000000000000e+07,4.541089999999999849e-01
9.256399999999999295e+01,1.024590000000000000e+07,7.274639999999999995e-01
9.428029999999999688e+01,1.006070000000000000e+07,2.961980000000000168e-01
9.603069999999999595e+01,1.019590000000000000e+07,8.479520000000000390e-01
9.784739999999999327e+01,1.016680000000000000e+07,1.858319999999999972e-01
9.966779999999999973e+01,1.012640000000000000e+07,1.884389999999999954e-01
1.015229999999999961e+02,1.024340000000000000e+07,6.774999999999999911e-01
1.034129999999999967e+02,1.020870000000000000e+07,7.185820000000000540e-01
1.053370000000000033e+02,1.007950000000000000e+07,1.699209999999999887e-01
1.072960000000000065e+02,1.005470000000000000e+07,2.524589999999999890e-01
1.092900000000000063e+02,1.020600000000000000e+07,1.282760000000000011e-01
1.113169999999999931e+02,1.010170000000000000e+07,6.442789999999999628e-02
1.134219999999999970e+02,1.022170000000000000e+07,7.418710000000000582e-02
1.155180000000000007e+02,1.014910000000000000e+07,-8.485189999999999400e-02
1.176470000000000056e+02,1.022030000000000000e+07,-3.112490000000000048e-02
1.198559999999999945e+02,1.022480000000000000e+07,-6.743140000000000245e-02
1.220999999999999943e+02,1.012540000000000000e+07,-1.060630000000000045e-01
1.243780000000000001e+02,1.019440000000000000e+07,-9.894490000000000229e-02
1.266889999999999930e+02,1.015690000000000000e+07,-7.674100000000000366e-02
1.290320000000000107e+02,1.017030000000000000e+07,-1.111930000000000002e-01
1.314639999999999986e+02,1.016410000000000000e+07,-1.323670000000000124e-01
1.339290000000000020e+02,1.016000000000000000e+07,-1.147119999999999945e-01
1.363640000000000043e+02,1.015030000000000000e+07,-1.295280000000000042e-01
1.389530000000000030e+02,1.015750000000000000e+07,-1.130250000000000005e-01
1.415089999999999861e+02,1.016410000000000000e+07,-1.433689999999999964e-01
1.441610000000000014e+02,1.012220000000000000e+07,-1.411890000000000089e-01
1.468429999999999893e+02,1.018530000000000000e+07,-1.011670000000000069e-01
1.495509999999999877e+02,1.016230000000000000e+07,-1.080639999999999934e-01
1.523619999999999948e+02,1.020030000000000000e+07,-5.997050000000000297e-02
1.551990000000000123e+02,1.019810000000000000e+07,-9.634230000000000571e-02
1.580610000000000070e+02,1.020660000000000000e+07,-7.556749999999999579e-02
1.610310000000000059e+02,1.014450000000000000e+07,-7.136779999999999513e-02
1.640240000000000009e+02,1.011950000000000000e+07,-3.142260000000000053e-01
1.671310000000000002e+02,1.021740000000000000e+07,-3.864229999999999748e-02
1.702609999999999957e+02,1.014120000000000000e+07,-1.074119999999999936e-01
1.734099999999999966e+02,1.011440000000000000e+07,-3.445320000000000049e-01
1.765740000000000123e+02,1.019770000000000000e+07,-1.491429999999999978e-01
1.799639999999999986e+02,1.019740000000000000e+07,-4.318509999999999710e-02
1.832620000000000005e+02,1.010840000000000000e+07,-3.106309999999999905e-01
1.866829999999999927e+02,1.016940000000000000e+07,-2.500800000000000245e-01
1.901140000000000043e+02,1.021250000000000000e+07,-4.262180000000000135e-02
1.936730000000000018e+02,1.011170000000000000e+07,-2.890440000000000231e-01
1.973679999999999950e+02,1.011870000000000000e+07,-3.353470000000000062e-01
2.009379999999999882e+02,1.016710000000000000e+07,-1.712400000000000033e-01
2.047779999999999916e+02,1.017330000000000000e+07,-2.108329999999999926e-01
2.086229999999999905e+02,1.018430000000000000e+07,-1.829280000000000073e-01
2.124650000000000034e+02,1.017490000000000000e+07,-1.966650000000000065e-01
2.164499999999999886e+02,1.016450000000000000e+07,-2.098420000000000007e-01
2.204259999999999877e+02,1.018930000000000000e+07,-1.655210000000000015e-01
2.245509999999999877e+02,1.016920000000000000e+07,-2.124709999999999932e-01
2.286589999999999918e+02,1.016310000000000000e+07,-2.027879999999999960e-01
2.329190000000000111e+02,1.019840000000000000e+07,-1.870600000000000041e-01
2.373420000000000130e+02,1.015890000000000000e+07,-2.130990000000000106e-01
2.417410000000000139e+02,1.017580000000000000e+07,-1.970159999999999967e-01
2.463050000000000068e+02,1.019180000000000000e+07,-1.811869999999999870e-01
2.508360000000000127e+02,1.017010000000000000e+07,-2.453269999999999895e-01
2.555370000000000061e+02,1.021530000000000000e+07,-2.025150000000000006e-01
2.601909999999999741e+02,1.019370000000000000e+07,-1.472719999999999863e-01
2.650179999999999723e+02,1.019350000000000000e+07,-1.866899999999999948e-01
2.700269999999999868e+02,1.020990000000000000e+07,-1.529399999999999926e-01
2.752289999999999850e+02,1.020770000000000000e+07,-2.378409999999999969e-01
2.801120000000000232e+02,1.013650000000000000e+07,-2.853180000000000160e-01
2.854420000000000073e+02,1.018700000000000000e+07,-2.502860000000000085e-01
2.906979999999999791e+02,1.013960000000000000e+07,-3.183279999999999998e-01
2.961499999999999773e+02,1.013380000000000000e+07,-2.759210000000000274e-01
3.018109999999999786e+02,1.015930000000000000e+07,-2.498670000000000058e-01
3.073770000000000095e+02,1.015980000000000000e+07,-3.534030000000000227e-01
3.131519999999999868e+02,1.018070000000000000e+07,-2.773630000000000262e-01
3.188100000000000023e+02,1.017160000000000000e+07,-2.407219999999999915e-01
3.250269999999999868e+02,1.016480000000000000e+07,-2.767760000000000220e-01
3.307610000000000241e+02,1.018280000000000000e+07,-2.477689999999999892e-01
3.370790000000000077e+02,1.013970000000000000e+07,-3.030950000000000033e-01
3.432490000000000236e+02,1.013640000000000000e+07,-3.371469999999999745e-01
3.496499999999999773e+02,1.016290000000000000e+07,-3.204890000000000239e-01
3.562950000000000159e+02,1.013540000000000000e+07,-3.288030000000000119e-01
3.627570000000000050e+02,1.017890000000000000e+07,-2.465990000000000126e-01
3.694580000000000268e+02,1.015430000000000000e+07,-2.791100000000000247e-01
3.764119999999999777e+02,1.015660000000000000e+07,-2.903890000000000082e-01
3.836320000000000050e+02,1.018060000000000000e+07,-2.529950000000000254e-01
3.906250000000000000e+02,1.017790000000000000e+07,-2.811009999999999898e-01
3.978779999999999859e+02,1.015820000000000000e+07,-3.353249999999999842e-01
4.054049999999999727e+02,1.014850000000000000e+07,-3.082219999999999960e-01
4.132230000000000132e+02,1.018190000000000000e+07,-2.300329999999999875e-01
4.207570000000000050e+02,1.015050000000000000e+07,-3.135939999999999839e-01
4.285710000000000264e+02,1.014550000000000000e+07,-3.523850000000000038e-01
4.366809999999999832e+02,1.016040000000000000e+07,-3.427700000000000191e-01
4.444440000000000168e+02,1.018420000000000000e+07,-3.059729999999999950e-01
4.531720000000000255e+02,1.014100000000000000e+07,-4.112149999999999972e-01
4.615380000000000109e+02,1.014640000000000000e+07,-4.374750000000000028e-01
4.702189999999999941e+02,1.015020000000000000e+07,-4.090010000000000034e-01
4.784689999999999941e+02,1.018400000000000000e+07,-3.807150000000000256e-01
4.878050000000000068e+02,1.016120000000000000e+07,-4.199049999999999727e-01
4.966890000000000214e+02,1.018880000000000000e+07,-4.020179999999999865e-01
5.059019999999999868e+02,1.015510000000000000e+07,-4.440540000000000043e-01
5.154640000000000555e+02,1.017250000000000000e+07,-4.485089999999999910e-01
5.253940000000000055e+02,1.017270000000000000e+07,-4.449640000000000262e-01
5.347590000000000146e+02,1.014860000000000000e+07,-4.820880000000000165e-01
5.444650000000000318e+02,1.015910000000000000e+07,-4.845309999999999895e-01
5.545289999999999964e+02,1.015830000000000000e+07,-4.513969999999999927e-01
5.649719999999999800e+02,1.016380000000000000e+07,-4.769260000000000166e-01
5.758160000000000309e+02,1.015930000000000000e+07,-4.910720000000000085e-01
5.870839999999999463e+02,1.015030000000000000e+07,-5.083170000000000188e-01
5.976100000000000136e+02,1.016860000000000000e+07,-4.831139999999999879e-01
6.085190000000000055e+02,1.017000000000000000e+07,-5.425090000000000190e-01
6.198350000000000364e+02,1.015290000000000000e+07,-5.709969999999999768e-01
6.315789999999999509e+02,1.014340000000000000e+07,-5.523940000000000516e-01
6.437770000000000437e+02,1.017160000000000000e+07,-4.922659999999999814e-01
6.550220000000000482e+02,1.016840000000000000e+07,-5.493879999999999875e-01
6.681509999999999536e+02,1.015190000000000000e+07,-5.992960000000000509e-01
6.802720000000000482e+02,1.014720000000000000e+07,-6.027500000000000080e-01
6.928410000000000082e+02,1.016920000000000000e+07,-5.851669999999999927e-01
7.058819999999999482e+02,1.016340000000000000e+07,-5.878649999999999709e-01
7.194239999999999782e+02,1.016040000000000000e+07,-6.555889999999999773e-01
7.317069999999999936e+02,1.015580000000000000e+07,-6.447850000000000525e-01
7.462690000000000055e+02,1.016710000000000000e+07,-6.480099999999999749e-01
7.594940000000000282e+02,1.016390000000000000e+07,-6.636020000000000252e-01
7.731960000000000264e+02,1.017420000000000000e+07,-6.389810000000000212e-01
7.894740000000000464e+02,1.017220000000000000e+07,-6.643740000000000201e-01
8.021390000000000100e+02,1.016890000000000000e+07,-6.689079999999999471e-01
8.174389999999999645e+02,1.016490000000000000e+07,-7.144359999999999600e-01
8.333329999999999700e+02,1.016400000000000000e+07,-7.259689999999999754e-01
8.498579999999999472e+02,1.016590000000000000e+07,-7.643370000000000442e-01
8.645529999999999973e+02,1.016730000000000000e+07,-7.115879999999999983e-01
8.797649999999999864e+02,1.017420000000000000e+07,-7.242650000000000476e-01
8.982039999999999509e+02,1.016450000000000000e+07,-8.062740000000000462e-01
9.146340000000000146e+02,1.016370000000000000e+07,-7.724370000000000402e-01
9.316770000000000209e+02,1.016740000000000000e+07,-7.814919999999999645e-01
9.493669999999999618e+02,1.016590000000000000e+07,-8.035660000000000025e-01
9.677419999999999618e+02,1.017310000000000000e+07,-7.942770000000000108e-01
9.836069999999999709e+02,1.016570000000000000e+07,-8.321859999999999813e-01
1.003340000000000032e+03,1.016250000000000000e+07,-8.551739999999999897e-01
1.020409999999999968e+03,1.017810000000000000e+07,-8.822830000000000394e-01
1.041670000000000073e+03,1.017090000000000000e+07,-9.234019999999999451e-01
1.060069999999999936e+03,1.017520000000000000e+07,-1.132579999999999920e+00
1.079140000000000100e+03,1.016530000000000000e+07,-9.330159999999999565e-01
1.098900000000000091e+03,1.016900000000000000e+07,-9.433120000000000394e-01
1.119400000000000091e+03,1.016620000000000000e+07,-9.827080000000000259e-01
1.140680000000000064e+03,1.017060000000000000e+07,-9.844519999999999937e-01
1.162789999999999964e+03,1.017570000000000000e+07,-1.006790000000000074e+00
1.185769999999999982e+03,1.017080000000000000e+07,-1.025930000000000009e+00
1.204819999999999936e+03,1.017750000000000000e+07,-1.025949999999999918e+00
1.229509999999999991e+03,1.017550000000000000e+07,-1.072689999999999921e+00
1.250000000000000000e+03,1.018170000000000000e+07,-1.116160000000000041e+00
