# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.482450000000000000e+04,-6.990019999999999811e+01
2.037349999999999994e+01,2.452370000000000073e+04,-6.992199999999999704e+01
2.075260000000000105e+01,2.422470000000000073e+04,-6.995140000000000668e+01
2.114020000000000010e+01,2.392890000000000146e+04,-6.998309999999999320e+01
2.153320000000000078e+01,2.363790000000000146e+04,-7.002020000000000266e+01
2.193459999999999965e+01,2.334829999999999927e+04,-7.006770000000000209e+01
2.234299999999999997e+01,2.306270000000000073e+04,-7.011490000000000578e+01
2.275829999999999842e+01,2.277990000000000146e+04,-7.017379999999999995e+01
2.318209999999999837e+01,2.249979999999999927e+04,-7.023640000000000327e+01
2.361459999999999937e+01,2.222040000000000146e+04,-7.030339999999999634e+01
2.405580000000000140e+01,2.194340000000000146e+04,-7.037699999999999534e+01
2.450379999999999825e+01,2.167070000000000073e+04,-7.045529999999999404e+01
2.496049999999999969e+01,2.139979999999999927e+04,-7.053950000000000387e+01
2.542589999999999861e+01,2.113100000000000000e+04,-7.062820000000000675e+01
2.589780000000000015e+01,2.086629999999999927e+04,-7.072259999999999991e+01
2.638060000000000116e+01,2.060209999999999854e+04,-7.082219999999999516e+01
2.687209999999999965e+01,2.034029999999999927e+04,-7.092529999999999291e+01
2.737229999999999919e+01,2.008029999999999927e+04,-7.103329999999999700e+01
2.788360000000000127e+01,1.982200000000000000e+04,-7.114520000000000266e+01
2.840099999999999980e+01,1.956720000000000073e+04,-7.126560000000000628e+01
2.893240000000000123e+01,1.931100000000000000e+04,-7.138880000000000337e+01
2.946950000000000003e+01,1.906059999999999854e+04,-7.151210000000000377e+01
3.001800000000000068e+01,1.881159999999999854e+04,-7.164249999999999829e+01
3.057789999999999964e+01,1.856370000000000073e+04,-7.177750000000000341e+01
3.114939999999999998e+01,1.831670000000000073e+04,-7.191400000000000148e+01
3.172919999999999874e+01,1.807140000000000146e+04,-7.205440000000000111e+01
3.232059999999999889e+01,1.782920000000000073e+04,-7.219589999999999463e+01
3.292000000000000171e+01,1.759109999999999854e+04,-7.234619999999999607e+01
3.353450000000000131e+01,1.735020000000000073e+04,-7.249909999999999854e+01
3.416080000000000183e+01,1.711259999999999854e+04,-7.265049999999999386e+01
3.479869999999999663e+01,1.687920000000000073e+04,-7.280079999999999529e+01
