# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm. Frecuencia fija en 1 kHz 
#  Z [Ohm], Fase [°]
2.807500000000000000e+04,-7.257149999999999990e-01
2.807520000000000073e+04,-7.256550000000000500e-01
2.807540000000000146e+04,-7.253889999999999505e-01
2.807559999999999854e+04,-7.254559999999999897e-01
2.807559999999999854e+04,-7.258719999999999617e-01
2.807540000000000146e+04,-7.260699999999999932e-01
2.807550000000000000e+04,-7.259299999999999642e-01
2.807559999999999854e+04,-7.252760000000000318e-01
2.807570000000000073e+04,-7.252399999999999958e-01
2.807559999999999854e+04,-7.256359999999999477e-01
2.807579999999999927e+04,-7.254580000000000473e-01
2.807550000000000000e+04,-7.250849999999999795e-01
2.807520000000000073e+04,-7.259590000000000209e-01
2.807550000000000000e+04,-7.259240000000000137e-01
2.807529999999999927e+04,-7.266829999999999679e-01
2.807559999999999854e+04,-7.257900000000000462e-01
2.807570000000000073e+04,-7.252800000000000358e-01
2.807540000000000146e+04,-7.253389999999999560e-01
2.807520000000000073e+04,-7.255340000000000122e-01
2.807529999999999927e+04,-7.258850000000000025e-01
2.807529999999999927e+04,-7.258099999999999552e-01
2.807540000000000146e+04,-7.257900000000000462e-01
2.807500000000000000e+04,-7.256700000000000372e-01
2.807540000000000146e+04,-7.259550000000000169e-01
2.807550000000000000e+04,-7.250710000000000210e-01
2.807550000000000000e+04,-7.252830000000000110e-01
2.807559999999999854e+04,-7.247829999999999551e-01
2.807529999999999927e+04,-7.249210000000000376e-01
2.807520000000000073e+04,-7.256340000000000012e-01
2.807520000000000073e+04,-7.255700000000000482e-01
2.807540000000000146e+04,-7.258310000000000040e-01
2.807550000000000000e+04,-7.255639999999999867e-01
2.807550000000000000e+04,-7.255770000000000275e-01
2.807540000000000146e+04,-7.256679999999999797e-01
2.807520000000000073e+04,-7.262669999999999959e-01
2.807570000000000073e+04,-7.260269999999999779e-01
2.807550000000000000e+04,-7.265800000000000036e-01
2.807550000000000000e+04,-7.264519999999999866e-01
2.807520000000000073e+04,-7.256089999999999485e-01
2.807550000000000000e+04,-7.255869999999999820e-01
2.807540000000000146e+04,-7.258710000000000440e-01
2.807540000000000146e+04,-7.258379999999999832e-01
2.807540000000000146e+04,-7.257139999999999702e-01
2.807559999999999854e+04,-7.253199999999999648e-01
2.807579999999999927e+04,-7.258080000000000087e-01
2.807540000000000146e+04,-7.252210000000000045e-01
2.807570000000000073e+04,-7.253239999999999688e-01
2.807540000000000146e+04,-7.257449999999999735e-01
2.807570000000000073e+04,-7.255139999999999922e-01
2.807579999999999927e+04,-7.254610000000000225e-01
2.807540000000000146e+04,-7.257740000000000302e-01
2.807570000000000073e+04,-7.258179999999999632e-01
2.807520000000000073e+04,-7.251889999999999725e-01
2.807590000000000146e+04,-7.255759999999999987e-01
2.807520000000000073e+04,-7.258569999999999744e-01
2.807540000000000146e+04,-7.259729999999999794e-01
2.807529999999999927e+04,-7.261009999999999964e-01
2.807570000000000073e+04,-7.257869999999999600e-01
2.807540000000000146e+04,-7.255939999999999612e-01
2.807590000000000146e+04,-7.254209999999999825e-01
2.807540000000000146e+04,-7.261389999999999789e-01
2.807559999999999854e+04,-7.250459999999999683e-01
2.807570000000000073e+04,-7.256029999999999980e-01
2.807559999999999854e+04,-7.255840000000000067e-01
2.807550000000000000e+04,-7.254119999999999457e-01
2.807559999999999854e+04,-7.260219999999999452e-01
2.807529999999999927e+04,-7.253669999999999840e-01
2.807570000000000073e+04,-7.257900000000000462e-01
2.807559999999999854e+04,-7.254850000000000465e-01
2.807529999999999927e+04,-7.258139999999999592e-01
2.807529999999999927e+04,-7.254300000000000193e-01
2.807559999999999854e+04,-7.249309999999999921e-01
2.807570000000000073e+04,-7.256979999999999542e-01
2.807540000000000146e+04,-7.248109999999999831e-01
2.807559999999999854e+04,-7.259090000000000265e-01
2.807550000000000000e+04,-7.255460000000000242e-01
2.807570000000000073e+04,-7.255139999999999922e-01
2.807550000000000000e+04,-7.253800000000000248e-01
2.807529999999999927e+04,-7.255770000000000275e-01
2.807529999999999927e+04,-7.256810000000000205e-01
2.807550000000000000e+04,-7.261959999999999527e-01
2.807509999999999854e+04,-7.256190000000000140e-01
2.807559999999999854e+04,-7.254599999999999937e-01
2.807550000000000000e+04,-7.258660000000000112e-01
2.807509999999999854e+04,-7.260480000000000267e-01
2.807550000000000000e+04,-7.259330000000000505e-01
2.807540000000000146e+04,-7.253479999999999928e-01
2.807570000000000073e+04,-7.254850000000000465e-01
2.807529999999999927e+04,-7.261600000000000277e-01
2.807550000000000000e+04,-7.249259999999999593e-01
2.807579999999999927e+04,-7.256869999999999710e-01
2.807550000000000000e+04,-7.257099999999999662e-01
2.807550000000000000e+04,-7.249910000000000521e-01
2.807529999999999927e+04,-7.255150000000000210e-01
2.807550000000000000e+04,-7.259529999999999594e-01
2.807540000000000146e+04,-7.263420000000000432e-01
2.807520000000000073e+04,-7.253530000000000255e-01
2.807550000000000000e+04,-7.259250000000000425e-01
2.807529999999999927e+04,-7.256669999999999510e-01
2.807540000000000146e+04,-7.258430000000000160e-01
2.807550000000000000e+04,-7.256359999999999477e-01
2.807559999999999854e+04,-7.254629999999999690e-01
2.807559999999999854e+04,-7.249999999999999778e-01
2.807550000000000000e+04,-7.260410000000000474e-01
2.807550000000000000e+04,-7.254920000000000258e-01
2.807559999999999854e+04,-7.258930000000000105e-01
2.807559999999999854e+04,-7.251339999999999453e-01
2.807550000000000000e+04,-7.256299999999999972e-01
2.807529999999999927e+04,-7.262600000000000167e-01
2.807570000000000073e+04,-7.251859999999999973e-01
2.807529999999999927e+04,-7.255420000000000202e-01
2.807529999999999927e+04,-7.258780000000000232e-01
2.807520000000000073e+04,-7.256029999999999980e-01
2.807550000000000000e+04,-7.253610000000000335e-01
2.807550000000000000e+04,-7.252030000000000420e-01
2.807559999999999854e+04,-7.258980000000000432e-01
2.807529999999999927e+04,-7.253100000000000103e-01
