# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,5.409540000000000000e+05,-3.946299999999999919e+00
2.037349999999999994e+01,6.330490000000000000e+05,-3.313610000000000166e+00
2.075260000000000105e+01,5.927330000000000000e+05,-2.573570000000000135e+00
2.114020000000000010e+01,6.846490000000000000e+05,-3.820019999999999971e+00
2.153320000000000078e+01,6.621370000000000000e+05,-4.025509999999999700e+00
2.193459999999999965e+01,6.127230000000000000e+05,-3.415570000000000217e+00
2.234299999999999997e+01,6.216240000000000000e+05,-3.770519999999999872e+00
2.275829999999999842e+01,6.733740000000000000e+05,-4.267339999999999911e+00
2.318209999999999837e+01,6.349610000000000000e+05,-3.962479999999999780e+00
2.361459999999999937e+01,6.823750000000000000e+05,-3.396710000000000118e+00
2.405580000000000140e+01,6.706720000000000000e+05,-3.799589999999999801e+00
2.450379999999999825e+01,4.833310000000000000e+05,-2.887900000000000134e+00
2.496049999999999969e+01,6.871610000000000000e+05,-4.307479999999999976e+00
2.542589999999999861e+01,6.461390000000000000e+05,-4.089559999999999640e+00
2.589780000000000015e+01,6.851050000000000000e+05,-4.203730000000000189e+00
2.638060000000000116e+01,6.499570000000000000e+05,-4.378090000000000259e+00
2.687209999999999965e+01,7.227800000000000000e+05,-4.433379999999999654e+00
2.737229999999999919e+01,6.145740000000000000e+05,-4.615230000000000388e+00
2.788360000000000127e+01,6.156000000000000000e+05,-3.840040000000000120e+00
2.840099999999999980e+01,7.243630000000000000e+05,-5.552760000000000140e+00
2.893240000000000123e+01,7.435270000000000000e+05,-5.159019999999999939e+00
2.946950000000000003e+01,7.245140000000000000e+05,-4.430139999999999745e+00
3.001800000000000068e+01,6.446720000000000000e+05,-4.544330000000000425e+00
3.057789999999999964e+01,6.200410000000000000e+05,-5.153209999999999624e+00
3.114939999999999998e+01,6.673390000000000000e+05,-4.928639999999999688e+00
3.172919999999999874e+01,6.857270000000000000e+05,-5.339719999999999800e+00
3.232059999999999889e+01,6.978290000000000000e+05,-6.056339999999999613e+00
3.292000000000000171e+01,6.713020000000000000e+05,-5.592480000000000118e+00
3.353450000000000131e+01,6.641050000000000000e+05,-5.994320000000000093e+00
3.416080000000000183e+01,6.998430000000000000e+05,-4.968770000000000131e+00
3.479869999999999663e+01,6.868200000000000000e+05,-5.676580000000000403e+00
3.544420000000000215e+01,6.933710000000000000e+05,-6.241050000000000431e+00
3.610540000000000305e+01,6.811150000000000000e+05,-6.082659999999999734e+00
3.677819999999999823e+01,6.655760000000000000e+05,-6.321329999999999671e+00
3.746249999999999858e+01,6.473820000000000000e+05,-6.124900000000000233e+00
3.815820000000000078e+01,6.395700000000000000e+05,-6.266770000000000174e+00
3.887019999999999698e+01,6.637140000000000000e+05,-6.214450000000000252e+00
3.959349999999999881e+01,7.021220000000000000e+05,-6.170939999999999870e+00
4.033339999999999748e+01,7.304980000000000000e+05,-7.981099999999999639e+00
4.108460000000000178e+01,6.887240000000000000e+05,-7.053729999999999833e+00
4.185269999999999868e+01,6.638080000000000000e+05,-6.098779999999999646e+00
4.263179999999999836e+01,6.599050000000000000e+05,-6.717929999999999957e+00
4.342159999999999798e+01,6.374130000000000000e+05,-7.647149999999999892e+00
4.423469999999999658e+01,6.742920000000000000e+05,-7.889170000000000016e+00
4.505859999999999843e+01,6.656560000000000000e+05,-8.021499999999999631e+00
4.589959999999999951e+01,6.649210000000000000e+05,-7.713610000000000078e+00
4.675079999999999814e+01,6.562960000000000000e+05,-8.230809999999999960e+00
4.761899999999999977e+01,6.432420000000000000e+05,-7.781920000000000393e+00
4.851230000000000331e+01,6.567850000000000000e+05,-8.352430000000000021e+00
4.941530000000000200e+01,6.047300000000000000e+05,-8.595200000000000173e+00
5.033559999999999945e+01,7.053440000000000000e+05,-9.535299999999999443e+00
5.127329999999999899e+01,6.832940000000000000e+05,-8.817669999999999675e+00
5.222840000000000060e+01,5.618380000000000000e+05,-7.329030000000000378e+00
5.320089999999999719e+01,5.440870000000000000e+05,-7.415060000000000429e+00
5.419080000000000297e+01,6.206290000000000000e+05,-8.702420000000000044e+00
5.519780000000000086e+01,5.548260000000000000e+05,-7.849120000000000097e+00
