# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.904500000000000000e+06,2.078759999999999941e+00
2.037349999999999994e+01,1.907950000000000000e+06,-2.811010000000000009e+00
2.075260000000000105e+01,1.894790000000000000e+06,5.609899999999999887e-01
2.114020000000000010e+01,1.907120000000000000e+06,-7.247470000000000301e-01
2.153320000000000078e+01,1.908390000000000000e+06,9.337609999999999522e-01
2.193459999999999965e+01,1.964180000000000000e+06,-7.715189999999999548e-01
2.234299999999999997e+01,1.939400000000000000e+06,1.248480000000000034e+00
2.275829999999999842e+01,1.914640000000000000e+06,2.962469999999999826e-01
2.318209999999999837e+01,1.960980000000000000e+06,3.229739999999999833e-01
2.361459999999999937e+01,1.945390000000000000e+06,-5.488629999999999898e-01
2.405580000000000140e+01,1.948120000000000000e+06,-6.813280000000000447e-01
2.450379999999999825e+01,1.947080000000000000e+06,8.901349999999999540e-02
2.496049999999999969e+01,1.944700000000000000e+06,-5.469559999999999977e-01
2.542589999999999861e+01,1.956280000000000000e+06,-8.468660000000000077e-01
2.589780000000000015e+01,1.944840000000000000e+06,-1.048159999999999981e+00
2.638060000000000116e+01,1.946750000000000000e+06,-6.197030000000000038e-01
2.687209999999999965e+01,1.949530000000000000e+06,-7.723400000000000265e-01
2.737229999999999919e+01,1.963920000000000000e+06,-1.609490000000000087e+00
2.788360000000000127e+01,1.908240000000000000e+06,1.912090000000000067e+00
2.840099999999999980e+01,2.005900000000000000e+06,-1.188730000000000064e+00
2.893240000000000123e+01,1.981510000000000000e+06,-4.105789999999999829e+00
2.946950000000000003e+01,1.941750000000000000e+06,-3.639429999999999943e+00
3.001800000000000068e+01,1.972720000000000000e+06,-8.113019999999999676e-01
3.057789999999999964e+01,1.953680000000000000e+06,-2.496480000000000140e-03
3.114939999999999998e+01,1.927090000000000000e+06,-2.336160000000000014e+00
3.172919999999999874e+01,1.960800000000000000e+06,-2.094629999999999992e+00
3.232059999999999889e+01,1.849120000000000000e+06,-4.248759999999999870e+00
3.292000000000000171e+01,1.948750000000000000e+06,-7.453129999999999811e+00
3.353450000000000131e+01,2.136980000000000000e+06,-5.365109999999999602e+00
3.416080000000000183e+01,1.899810000000000000e+06,-5.425670000000000215e+00
3.479869999999999663e+01,2.091060000000000000e+06,-1.544580000000000064e+00
3.544420000000000215e+01,1.949090000000000000e+06,3.038279999999999870e-01
3.610540000000000305e+01,1.963840000000000000e+06,-8.440280000000000005e-01
3.677819999999999823e+01,1.905750000000000000e+06,1.131180000000000074e+00
3.746249999999999858e+01,1.896650000000000000e+06,-1.084319999999999951e+00
3.815820000000000078e+01,2.111590000000000000e+06,-7.768709999999999560e+00
3.887019999999999698e+01,2.219760000000000000e+06,-2.703430000000000000e+00
3.959349999999999881e+01,2.243740000000000000e+06,6.597699999999999676e-01
4.033339999999999748e+01,2.048400000000000000e+06,-1.065799999999999947e+01
4.108460000000000178e+01,1.888590000000000000e+06,7.293319999999999581e+00
4.185269999999999868e+01,1.792710000000000000e+06,-9.581370000000000164e-01
4.263179999999999836e+01,2.051850000000000000e+06,4.947320000000000384e+00
4.342159999999999798e+01,1.919950000000000000e+06,-4.918540000000000134e-01
4.423469999999999658e+01,1.968010000000000000e+06,-1.796550000000000091e-01
4.505859999999999843e+01,1.964670000000000000e+06,-1.432949999999999946e+00
4.589959999999999951e+01,2.075100000000000000e+06,3.650869999999999838e+00
4.675079999999999814e+01,1.820850000000000000e+06,-2.216950000000000198e+00
4.761899999999999977e+01,1.863240000000000000e+06,-7.176470000000000127e+00
4.851230000000000331e+01,1.847060000000000000e+06,8.291420000000000456e+00
4.941530000000000200e+01,1.641090000000000000e+06,-7.873750000000000249e+00
5.033559999999999945e+01,2.097450000000000000e+06,-8.590960000000000818e+00
5.127329999999999899e+01,2.228030000000000000e+06,-5.077919999999999767e+00
5.222840000000000060e+01,2.194270000000000000e+06,-6.453969999999999985e+00
5.320089999999999719e+01,1.642720000000000000e+06,3.803300000000000125e+00
5.419080000000000297e+01,1.720750000000000000e+06,3.304149999999999920e+00
5.519780000000000086e+01,1.731250000000000000e+06,2.358429999999999804e+00
5.623239999999999839e+01,1.800360000000000000e+06,3.246729999999999894e-01
5.727380000000000138e+01,1.851490000000000000e+06,-7.221899999999999986e-01
5.834309999999999974e+01,1.890390000000000000e+06,-4.715360000000000107e-01
5.942949999999999733e+01,1.960400000000000000e+06,-3.003739999999999744e-01
6.054489999999999839e+01,1.766600000000000000e+06,1.755579999999999918e+00
6.166499999999999915e+01,1.735610000000000000e+06,-2.684959999999999791e+00
6.281410000000000338e+01,2.112890000000000000e+06,5.186800000000000299e-01
6.397950000000000159e+01,1.612270000000000000e+06,-2.376380000000000159e+00
6.517489999999999384e+01,2.297560000000000000e+06,-1.739549999999999930e+00
6.638639999999999475e+01,1.652990000000000000e+06,3.101799999999999891e+00
6.762850000000000250e+01,1.652760000000000000e+06,-7.742630000000000123e+00
6.888630000000000564e+01,1.704270000000000000e+06,-7.919979999999999798e+00
7.017539999999999623e+01,1.634560000000000000e+06,-3.229519999999999946e+00
7.147960000000000491e+01,2.113170000000000000e+06,1.014820000000000055e+00
7.281550000000000011e+01,2.081820000000000000e+06,4.016490000000000116e+00
7.416559999999999775e+01,1.836500000000000000e+06,-4.564569999999999794e+00
7.554770000000000607e+01,2.005480000000000000e+06,1.935449999999999893e+00
7.696250000000000568e+01,1.870880000000000000e+06,-2.386239999999999917e+00
7.839039999999999964e+01,1.859960000000000000e+06,-1.985470000000000068e+00
7.985089999999999577e+01,1.881730000000000000e+06,-1.338179999999999925e+00
8.134489999999999554e+01,1.868410000000000000e+06,-2.340069999999999872e+00
8.284999999999999432e+01,1.901750000000000000e+06,-1.104190000000000005e+00
8.438819999999999766e+01,1.865480000000000000e+06,-4.083660000000000068e+00
8.598449999999999704e+01,1.854720000000000000e+06,-5.939349999999999907e-01
8.756570000000000675e+01,1.902610000000000000e+06,-5.173960000000000115e+00
8.920610000000000639e+01,2.098030000000000000e+06,3.720289999999999875e+00
9.085399999999999920e+01,1.940590000000000000e+06,2.336339999999999861e+00
9.256399999999999295e+01,1.860700000000000000e+06,1.617569999999999952e+00
9.428029999999999688e+01,1.856770000000000000e+06,2.376300000000000079e+00
9.603069999999999595e+01,1.991010000000000000e+06,-5.502570000000000405e+00
9.784739999999999327e+01,2.185760000000000000e+06,-2.208870000000000000e-01
9.966779999999999973e+01,2.132900000000000000e+06,3.050260000000000193e+00
1.015229999999999961e+02,1.886370000000000000e+06,5.133020000000000138e+00
1.034129999999999967e+02,1.672810000000000000e+06,1.133920000000000039e+00
1.053370000000000033e+02,1.695760000000000000e+06,-3.842429999999999790e+00
1.072960000000000065e+02,2.094070000000000000e+06,-4.129669999999999952e+00
1.092900000000000063e+02,2.142630000000000000e+06,-9.948609999999999953e-01
1.113169999999999931e+02,2.037820000000000000e+06,-1.995120000000000005e+00
1.134219999999999970e+02,2.043860000000000000e+06,-1.669079999999999897e+00
1.155180000000000007e+02,1.817140000000000000e+06,-5.615149999999999864e+00
1.176470000000000056e+02,1.607990000000000000e+06,-2.066100000000000048e+00
1.198559999999999945e+02,1.750760000000000000e+06,1.962860000000000049e+00
1.220999999999999943e+02,1.984050000000000000e+06,1.045350000000000001e+00
1.243780000000000001e+02,1.760570000000000000e+06,-2.217699999999999783e+00
1.266889999999999930e+02,1.696500000000000000e+06,-3.914829999999999810e+00
