# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,3.497910000000000000e+05,-5.175560000000000160e-01
2.037209999999999965e+01,3.477700000000000000e+05,-5.071959999999999802e-01
2.075120000000000076e+01,3.249000000000000000e+05,-5.215629999999999988e-01
2.114020000000000010e+01,3.273540000000000000e+05,-4.552169999999999828e-01
2.153320000000000078e+01,3.235930000000000000e+05,-4.460549999999999793e-01
2.193299999999999983e+01,3.298560000000000000e+05,-6.452269999999999950e-01
2.234140000000000015e+01,3.380810000000000000e+05,-5.891549999999999843e-01
2.275829999999999842e+01,3.300750000000000000e+05,-8.388039999999999941e-01
2.318029999999999902e+01,3.223710000000000000e+05,-8.947589999999999710e-01
2.361280000000000001e+01,3.319980000000000000e+05,-5.604850000000000110e-01
2.405000000000000071e+01,3.349670000000000000e+05,-9.302650000000000086e-01
2.449980000000000047e+01,3.241180000000000000e+05,-1.026510000000000034e+00
2.495429999999999993e+01,3.318980000000000000e+05,-8.810160000000000213e-01
2.541939999999999955e+01,3.249230000000000000e+05,-1.075679999999999970e+00
2.589110000000000156e+01,3.289680000000000000e+05,-9.376390000000000002e-01
2.637590000000000146e+01,3.298780000000000000e+05,-1.062359999999999971e+00
2.686730000000000018e+01,3.207750000000000000e+05,-8.397160000000000180e-01
2.736730000000000018e+01,3.347610000000000000e+05,-1.086070000000000091e+00
2.787330000000000041e+01,3.274490000000000000e+05,-1.055190000000000072e+00
2.839560000000000173e+01,3.297350000000000000e+05,-1.190490000000000048e+00
2.892119999999999891e+01,3.245410000000000000e+05,-1.520559999999999912e+00
2.946379999999999910e+01,3.278160000000000000e+05,-1.427969999999999962e+00
3.000600000000000023e+01,3.266900000000000000e+05,-1.061879999999999935e+00
3.056859999999999999e+01,3.282230000000000000e+05,-9.905150000000000343e-01
3.113329999999999842e+01,3.271370000000000000e+05,-9.157980000000000009e-01
3.171249999999999858e+01,3.294720000000000000e+05,-1.182150000000000034e+00
3.230319999999999681e+01,3.303500000000000000e+05,-9.360469999999999624e-01
3.290919999999999845e+01,3.268320000000000000e+05,-9.780159999999999965e-01
3.352329999999999899e+01,3.219930000000000000e+05,-9.567999999999999838e-01
3.414130000000000109e+01,3.281920000000000000e+05,-1.084729999999999972e+00
3.478260000000000218e+01,3.318420000000000000e+05,-1.493260000000000032e+00
3.542329999999999757e+01,3.261480000000000000e+05,-1.284040000000000070e+00
3.608809999999999718e+01,3.273640000000000000e+05,-1.397890000000000077e+00
3.676019999999999754e+01,3.375250000000000000e+05,-9.015630000000000033e-01
3.743919999999999959e+01,3.310600000000000000e+05,-9.795960000000000223e-01
3.814370000000000260e+01,3.298590000000000000e+05,-1.332940000000000014e+00
3.884499999999999886e+01,3.229840000000000000e+05,-1.453060000000000018e+00
3.956739999999999924e+01,3.215320000000000000e+05,-1.315229999999999899e+00
4.030630000000000024e+01,3.266460000000000000e+05,-6.026310000000000278e-01
4.105649999999999977e+01,3.259960000000000000e+05,-1.730590000000000073e+00
4.182350000000000279e+01,3.340770000000000000e+05,-1.383960000000000079e+00
4.260150000000000148e+01,3.306140000000000000e+05,-1.294740000000000002e+00
4.339020000000000010e+01,3.340080000000000000e+05,-1.330780000000000074e+00
4.420219999999999771e+01,3.340540000000000000e+05,-1.968830000000000080e+00
4.501800000000000068e+01,3.372230000000000000e+05,-1.411129999999999995e+00
4.586449999999999960e+01,3.381600000000000000e+05,-1.328130000000000033e+00
4.671439999999999770e+01,3.461600000000000000e+05,-1.771689999999999987e+00
4.758129999999999882e+01,3.435280000000000000e+05,-1.309760000000000035e+00
4.846529999999999916e+01,3.360670000000000000e+05,-2.103450000000000042e+00
4.936650000000000205e+01,3.531820000000000000e+05,-1.720480000000000009e+00
5.029339999999999833e+01,3.437640000000000000e+05,-1.179329999999999989e+00
5.122950000000000159e+01,3.480010000000000000e+05,-1.602889999999999926e+00
5.218299999999999983e+01,3.514350000000000000e+05,-1.515849999999999920e+00
5.314439999999999742e+01,3.376510000000000000e+05,-2.159809999999999786e+00
