# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.964319999999999936e+03,8.784170000000000034e-01
2.037209999999999965e+01,1.950049999999999955e+03,8.393540000000000445e-01
2.075120000000000076e+01,1.865440000000000055e+03,1.014429999999999943e+00
2.114020000000000010e+01,1.841160000000000082e+03,9.793180000000000218e-01
2.153320000000000078e+01,1.780130000000000109e+03,8.469670000000000254e-01
2.193299999999999983e+01,1.786329999999999927e+03,7.579019999999999646e-01
2.234140000000000015e+01,1.763329999999999927e+03,1.004999999999999893e+00
2.275829999999999842e+01,1.760059999999999945e+03,8.723400000000000043e-01
2.318029999999999902e+01,1.747549999999999955e+03,1.032289999999999930e+00
2.361280000000000001e+01,1.732450000000000045e+03,7.759709999999999663e-01
2.405000000000000071e+01,1.711980000000000018e+03,1.037139999999999951e+00
2.449980000000000047e+01,1.714920000000000073e+03,7.841839999999999922e-01
2.495429999999999993e+01,1.693130000000000109e+03,9.410460000000000491e-01
2.541939999999999955e+01,1.672410000000000082e+03,6.773550000000000404e-01
2.589110000000000156e+01,1.652710000000000036e+03,1.095299999999999940e+00
2.637590000000000146e+01,1.644619999999999891e+03,9.694620000000000459e-01
2.686730000000000018e+01,1.656670000000000073e+03,8.269659999999999789e-01
2.736730000000000018e+01,1.643720000000000027e+03,8.513290000000000024e-01
2.787330000000000041e+01,1.620549999999999955e+03,9.284480000000000510e-01
2.839560000000000173e+01,1.608990000000000009e+03,6.803339999999999943e-01
2.892119999999999891e+01,1.622509999999999991e+03,5.991140000000000354e-01
2.946379999999999910e+01,1.619259999999999991e+03,1.035910000000000108e+00
3.000600000000000023e+01,1.611579999999999927e+03,5.498399999999999954e-01
3.056859999999999999e+01,1.610420000000000073e+03,7.385639999999999983e-01
3.113329999999999842e+01,1.617390000000000100e+03,8.208050000000000068e-01
3.171249999999999858e+01,1.585549999999999955e+03,8.551600000000000312e-01
3.230319999999999681e+01,1.599700000000000045e+03,8.940240000000000409e-01
3.290919999999999845e+01,1.596839999999999918e+03,9.084370000000000500e-01
3.352329999999999899e+01,1.598410000000000082e+03,7.853679999999999550e-01
3.414130000000000109e+01,1.582950000000000045e+03,9.167340000000000488e-01
3.478260000000000218e+01,1.575990000000000009e+03,5.852779999999999649e-01
3.542329999999999757e+01,1.578450000000000045e+03,6.293400000000000105e-01
3.608809999999999718e+01,1.560990000000000009e+03,7.476239999999999553e-01
3.676019999999999754e+01,1.574190000000000055e+03,6.996179999999999621e-01
3.743919999999999959e+01,1.556660000000000082e+03,6.667910000000000226e-01
3.814370000000000260e+01,1.559470000000000027e+03,8.811539999999999928e-01
3.884499999999999886e+01,1.547440000000000055e+03,8.911459999999999937e-01
3.956739999999999924e+01,1.547500000000000000e+03,5.335229999999999695e-01
4.030630000000000024e+01,1.547180000000000064e+03,7.868589999999999751e-01
4.105649999999999977e+01,1.540099999999999909e+03,6.658600000000000074e-01
4.182350000000000279e+01,1.529319999999999936e+03,7.819530000000000092e-01
4.260150000000000148e+01,1.541279999999999973e+03,8.920080000000000231e-01
4.339020000000000010e+01,1.526230000000000018e+03,7.583269999999999733e-01
4.420219999999999771e+01,1.533140000000000100e+03,6.730070000000000219e-01
4.501800000000000068e+01,1.530970000000000027e+03,5.951170000000000071e-01
4.586449999999999960e+01,1.527589999999999918e+03,5.914070000000000160e-01
4.671439999999999770e+01,1.532920000000000073e+03,6.814759999999999707e-01
4.758129999999999882e+01,1.538019999999999982e+03,6.824729999999999963e-01
4.846529999999999916e+01,1.525049999999999955e+03,5.526109999999999634e-01
4.936650000000000205e+01,1.518210000000000036e+03,7.478930000000000300e-01
5.029339999999999833e+01,1.514579999999999927e+03,6.643189999999999928e-01
5.122950000000000159e+01,1.511619999999999891e+03,7.325040000000000440e-01
5.218299999999999983e+01,1.521930000000000064e+03,7.520069999999999810e-01
5.314439999999999742e+01,1.515200000000000045e+03,6.963979999999999615e-01
5.415160000000000196e+01,1.514230000000000018e+03,6.182189999999999630e-01
5.514710000000000178e+01,1.527250000000000000e+03,6.435340000000000504e-01
5.616929999999999978e+01,1.517559999999999945e+03,6.842179999999999929e-01
5.721920000000000073e+01,1.520750000000000000e+03,7.435819999999999652e-01
5.828640000000000043e+01,1.519809999999999945e+03,7.389890000000000070e-01
5.938239999999999696e+01,1.496869999999999891e+03,7.220790000000000264e-01
6.048389999999999844e+01,1.512529999999999973e+03,6.885729999999999906e-01
6.161430000000000007e+01,1.513519999999999982e+03,7.104420000000000179e-01
6.274839999999999662e+01,1.517549999999999955e+03,7.267029999999999879e-01
6.391140000000000043e+01,1.505049999999999955e+03,5.186589999999999812e-01
6.510420000000000584e+01,1.511730000000000018e+03,5.766959999999999864e-01
6.632769999999999300e+01,1.510990000000000009e+03,6.559030000000000138e-01
6.755240000000000578e+01,1.523250000000000000e+03,7.149870000000000392e-01
6.880729999999999791e+01,1.515549999999999955e+03,7.955980000000000274e-01
7.007710000000000150e+01,1.497819999999999936e+03,6.957119999999999971e-01
7.141160000000000707e+01,1.506579999999999927e+03,5.912349999999999550e-01
7.272729999999999961e+01,1.504650000000000091e+03,6.343400000000000150e-01
7.407410000000000139e+01,1.493539999999999964e+03,6.040769999999999751e-01
7.547169999999999845e+01,1.509259999999999991e+03,6.344840000000000479e-01
7.688370000000000459e+01,1.504150000000000091e+03,6.305220000000000269e-01
7.828810000000000002e+01,1.508059999999999945e+03,5.708750000000000213e-01
7.976600000000000534e+01,1.503359999999999900e+03,5.529420000000000446e-01
8.125679999999999836e+01,1.500140000000000100e+03,7.806880000000000486e-01
8.275860000000000127e+01,1.492049999999999955e+03,5.156889999999999530e-01
8.429330000000000211e+01,1.494329999999999927e+03,6.474860000000000060e-01
8.586150000000000659e+01,1.494700000000000045e+03,6.613430000000000142e-01
8.743810000000000571e+01,1.501960000000000036e+03,3.541500000000000203e-01
8.910009999999999764e+01,1.489730000000000018e+03,5.785230000000000095e-01
9.074410000000000309e+01,1.485240000000000009e+03,5.483550000000000368e-01
9.242140000000000555e+01,1.479150000000000091e+03,5.919159999999999977e-01
9.413240000000000407e+01,1.485579999999999927e+03,6.208810000000000162e-01
9.587730000000000530e+01,1.480509999999999991e+03,4.918250000000000122e-01
9.768800000000000239e+01,1.484680000000000064e+03,5.963030000000000275e-01
9.950249999999999773e+01,1.484920000000000073e+03,5.185359999999999969e-01
1.013509999999999991e+02,1.482930000000000064e+03,4.675489999999999924e-01
1.032699999999999960e+02,1.478029999999999973e+03,6.673559999999999492e-01
1.051520000000000010e+02,1.473910000000000082e+03,4.821099999999999830e-01
1.071430000000000007e+02,1.477940000000000055e+03,5.141649999999999832e-01
1.091310000000000002e+02,1.477180000000000064e+03,5.024899999999999922e-01
1.111520000000000010e+02,1.472720000000000027e+03,6.660220000000000029e-01
1.132500000000000000e+02,1.472609999999999900e+03,5.862640000000000073e-01
1.153400000000000034e+02,1.476539999999999964e+03,5.395339999999999581e-01
1.175090000000000003e+02,1.477250000000000000e+03,6.756799999999999473e-01
1.197129999999999939e+02,1.474359999999999900e+03,5.803859999999999575e-01
1.218520000000000039e+02,1.470640000000000100e+03,4.436169999999999836e-01
1.241719999999999970e+02,1.468309999999999945e+03,4.968540000000000179e-01
1.265289999999999964e+02,1.465220000000000027e+03,5.887080000000000091e-01
1.288660000000000139e+02,1.461970000000000027e+03,5.857339999999999769e-01
1.311759999999999877e+02,1.463089999999999918e+03,4.932190000000000185e-01
1.336299999999999955e+02,1.466220000000000027e+03,3.930960000000000010e-01
1.361160000000000139e+02,1.471140000000000100e+03,5.466879999999999518e-01
1.386959999999999980e+02,1.459900000000000091e+03,5.232839999999999714e-01
1.413089999999999975e+02,1.464569999999999936e+03,4.717839999999999812e-01
1.439540000000000077e+02,1.458950000000000045e+03,4.267560000000000242e-01
1.466279999999999859e+02,1.464119999999999891e+03,5.518279999999999852e-01
1.493280000000000030e+02,1.463039999999999964e+03,3.542930000000000246e-01
1.521299999999999955e+02,1.459029999999999973e+03,4.243399999999999950e-01
1.549590000000000032e+02,1.464009999999999991e+03,4.205380000000000229e-01
1.578950000000000102e+02,1.454869999999999891e+03,5.270340000000000025e-01
1.607719999999999914e+02,1.473099999999999909e+03,3.493720000000000159e-01
1.636659999999999968e+02,1.470670000000000073e+03,4.789160000000000084e-01
1.667589999999999861e+02,1.467440000000000055e+03,4.027629999999999821e-01
1.698750000000000000e+02,1.469900000000000091e+03,4.674349999999999894e-01
1.730099999999999909e+02,1.468119999999999891e+03,4.599239999999999995e-01
1.762630000000000052e+02,1.466869999999999891e+03,4.820579999999999865e-01
1.795329999999999870e+02,1.461019999999999982e+03,5.314839999999999565e-01
1.828149999999999977e+02,1.457140000000000100e+03,5.261369999999999658e-01
1.863350000000000080e+02,1.460059999999999945e+03,4.056330000000000213e-01
1.897529999999999859e+02,1.453019999999999982e+03,5.271789999999999532e-01
1.934240000000000066e+02,1.459529999999999973e+03,5.793009999999999549e-01
1.968499999999999943e+02,1.453549999999999955e+03,4.689809999999999812e-01
2.006690000000000111e+02,1.459009999999999991e+03,3.853530000000000011e-01
2.043600000000000136e+02,1.462829999999999927e+03,3.406910000000000216e-01
2.080440000000000111e+02,1.463329999999999927e+03,5.605510000000000215e-01
2.118640000000000043e+02,1.458619999999999891e+03,4.445859999999999812e-01
2.158269999999999982e+02,1.458460000000000036e+03,3.777320000000000122e-01
2.199410000000000025e+02,1.456930000000000064e+03,4.567959999999999798e-01
2.242150000000000034e+02,1.462829999999999927e+03,3.638719999999999732e-01
2.283110000000000070e+02,1.464759999999999991e+03,3.005630000000000246e-01
2.323779999999999859e+02,1.465000000000000000e+03,4.108740000000000170e-01
2.369670000000000130e+02,1.454450000000000045e+03,2.896549999999999958e-01
2.413520000000000039e+02,1.457000000000000000e+03,3.906780000000000252e-01
2.456999999999999886e+02,1.455069999999999936e+03,2.962119999999999753e-01
2.504170000000000016e+02,1.454210000000000036e+03,3.620689999999999742e-01
2.548849999999999909e+02,1.451000000000000000e+03,4.609249999999999736e-01
2.597400000000000091e+02,1.456970000000000027e+03,3.938619999999999899e-01
2.645500000000000114e+02,1.453509999999999991e+03,4.105090000000000128e-01
2.695419999999999732e+02,1.463990000000000009e+03,3.789950000000000263e-01
2.747250000000000227e+02,1.460970000000000027e+03,3.158920000000000061e-01
2.798509999999999991e+02,1.449529999999999973e+03,4.305660000000000043e-01
2.848999999999999773e+02,1.449420000000000073e+03,3.711059999999999914e-01
2.901349999999999909e+02,1.447910000000000082e+03,3.015459999999999807e-01
2.955659999999999741e+02,1.450799999999999955e+03,3.780939999999999857e-01
3.012049999999999841e+02,1.456650000000000091e+03,3.616050000000000098e-01
3.064350000000000023e+02,1.456430000000000064e+03,3.870779999999999776e-01
3.125000000000000000e+02,1.457680000000000064e+03,3.428530000000000189e-01
3.184710000000000036e+02,1.454400000000000091e+03,3.863679999999999892e-01
3.239739999999999895e+02,1.448650000000000091e+03,3.937129999999999797e-01
3.300330000000000155e+02,1.458539999999999964e+03,3.221060000000000034e-01
3.359460000000000264e+02,1.455329999999999927e+03,3.634789999999999965e-01
3.428570000000000277e+02,1.457349999999999909e+03,2.789980000000000238e-01
3.488369999999999891e+02,1.457490000000000009e+03,3.573490000000000277e-01
3.554499999999999886e+02,1.456420000000000073e+03,3.251299999999999746e-01
3.623190000000000168e+02,1.457559999999999945e+03,3.224040000000000239e-01
3.685500000000000114e+02,1.457880000000000109e+03,3.095390000000000086e-01
3.754689999999999941e+02,1.455480000000000018e+03,3.015149999999999775e-01
3.826530000000000200e+02,1.451700000000000045e+03,3.707750000000000212e-01
3.896100000000000136e+02,1.451339999999999918e+03,3.626849999999999796e-01
3.968249999999999886e+02,1.449759999999999991e+03,3.049189999999999956e-01
4.048580000000000041e+02,1.453880000000000109e+03,3.572949999999999737e-01
4.120880000000000223e+02,1.450700000000000045e+03,3.476369999999999738e-01
4.195799999999999841e+02,1.443730000000000018e+03,3.511940000000000062e-01
4.273500000000000227e+02,1.447730000000000018e+03,3.395630000000000037e-01
4.360470000000000255e+02,1.442779999999999973e+03,3.134000000000000119e-01
4.431309999999999718e+02,1.452779999999999973e+03,3.284090000000000065e-01
4.518070000000000164e+02,1.444730000000000018e+03,3.135749999999999926e-01
4.608290000000000077e+02,1.449440000000000055e+03,2.591439999999999855e-01
4.687500000000000000e+02,1.449390000000000100e+03,3.115890000000000049e-01
4.777069999999999936e+02,1.449960000000000036e+03,2.342589999999999950e-01
4.870129999999999768e+02,1.445599999999999909e+03,2.801520000000000121e-01
4.950489999999999782e+02,1.446730000000000018e+03,3.767469999999999986e-01
5.050509999999999877e+02,1.445500000000000000e+03,3.601630000000000109e-01
5.145800000000000409e+02,1.443730000000000018e+03,3.334900000000000087e-01
5.235599999999999454e+02,1.445910000000000082e+03,2.972040000000000237e-01
5.338079999999999927e+02,1.444910000000000082e+03,3.490300000000000069e-01
5.434779999999999518e+02,1.449650000000000091e+03,2.853100000000000080e-01
5.545289999999999964e+02,1.451039999999999964e+03,2.488180000000000114e-01
5.649719999999999800e+02,1.448180000000000064e+03,2.965619999999999923e-01
5.747129999999999654e+02,1.449809999999999945e+03,3.014370000000000105e-01
5.847949999999999591e+02,1.450369999999999891e+03,3.335380000000000011e-01
5.952380000000000564e+02,1.447430000000000064e+03,3.103870000000000240e-01
6.072870000000000346e+02,1.451009999999999991e+03,3.091639999999999944e-01
6.198350000000000364e+02,1.453230000000000018e+03,3.541460000000000163e-01
6.302519999999999527e+02,1.453589999999999918e+03,2.999279999999999724e-01
6.423980000000000246e+02,1.452930000000000064e+03,2.819240000000000079e-01
6.550220000000000482e+02,1.447990000000000009e+03,3.161749999999999838e-01
6.651879999999999882e+02,1.444980000000000018e+03,3.177039999999999864e-01
6.787329999999999472e+02,1.440349999999999909e+03,3.203469999999999929e-01
6.896549999999999727e+02,1.443670000000000073e+03,3.423370000000000024e-01
7.025760000000000218e+02,1.445529999999999973e+03,2.893209999999999948e-01
7.159900000000000091e+02,1.445319999999999936e+03,2.666600000000000081e-01
7.299270000000000209e+02,1.442480000000000018e+03,2.703619999999999912e-01
7.425739999999999554e+02,1.446349999999999909e+03,2.648469999999999991e-01
7.594940000000000282e+02,1.447779999999999973e+03,2.408119999999999983e-01
7.712079999999999700e+02,1.441960000000000036e+03,2.328999999999999959e-01
7.853400000000000318e+02,1.447390000000000100e+03,2.823519999999999919e-01
8.000000000000000000e+02,1.447099999999999909e+03,2.525549999999999740e-01
8.152169999999999845e+02,1.442069999999999936e+03,2.505080000000000084e-01
8.333329999999999700e+02,1.443609999999999900e+03,2.371320000000000094e-01
8.450700000000000500e+02,1.439960000000000036e+03,2.599600000000000244e-01
8.620689999999999600e+02,1.441940000000000055e+03,2.353419999999999956e-01
8.771929999999999836e+02,1.432519999999999982e+03,3.175799999999999734e-01
8.928569999999999709e+02,1.442210000000000036e+03,3.044660000000000144e-01
9.118540000000000418e+02,1.440130000000000109e+03,2.585480000000000000e-01
9.316770000000000209e+02,1.443069999999999936e+03,2.908049999999999802e-01
9.463719999999999573e+02,1.443710000000000036e+03,2.560839999999999783e-01
9.615380000000000109e+02,1.436519999999999982e+03,2.705560000000000187e-01
9.803920000000000528e+02,1.433450000000000045e+03,2.565430000000000210e-01
1.000000000000000000e+03,1.443049999999999955e+03,2.018119999999999914e-01
1.020409999999999968e+03,1.443309999999999945e+03,1.874129999999999963e-01
1.038059999999999945e+03,1.436490000000000009e+03,2.135809999999999931e-01
1.060069999999999936e+03,1.431390000000000100e+03,2.395589999999999942e-01
1.079140000000000100e+03,1.425509999999999991e+03,2.770659999999999790e-01
1.094890000000000100e+03,1.436240000000000009e+03,2.782169999999999921e-01
1.115240000000000009e+03,1.436859999999999900e+03,2.329990000000000117e-01
1.136359999999999900e+03,1.433299999999999955e+03,2.294299999999999951e-01
1.158299999999999955e+03,1.435240000000000009e+03,2.102660000000000085e-01
1.181099999999999909e+03,1.431450000000000045e+03,2.328759999999999997e-01
1.200000000000000000e+03,1.435109999999999900e+03,2.314930000000000043e-01
1.229509999999999991e+03,1.433339999999999918e+03,2.511300000000000199e-01
1.244809999999999945e+03,1.433509999999999991e+03,2.530800000000000272e-01
1.276599999999999909e+03,1.435940000000000055e+03,2.449590000000000101e-01
1.293099999999999909e+03,1.428160000000000082e+03,2.377819999999999934e-01
1.321589999999999918e+03,1.429630000000000109e+03,1.845650000000000068e-01
1.345289999999999964e+03,1.432079999999999927e+03,2.000099999999999933e-01
1.369859999999999900e+03,1.430750000000000000e+03,2.255769999999999997e-01
1.401869999999999891e+03,1.432119999999999891e+03,2.410940000000000027e-01
1.421799999999999955e+03,1.434220000000000027e+03,1.860519999999999952e-01
1.449279999999999973e+03,1.432740000000000009e+03,1.899260000000000115e-01
1.477829999999999927e+03,1.435079999999999927e+03,2.132799999999999974e-01
1.500000000000000000e+03,1.426819999999999936e+03,1.971169999999999867e-01
1.530609999999999900e+03,1.427720000000000027e+03,1.887780000000000014e-01
1.554400000000000091e+03,1.425680000000000064e+03,1.823130000000000028e-01
1.587299999999999955e+03,1.430089999999999918e+03,1.548509999999999887e-01
1.612900000000000091e+03,1.426759999999999991e+03,1.931549999999999934e-01
1.648349999999999909e+03,1.430750000000000000e+03,1.456310000000000104e-01
1.685390000000000100e+03,1.428769999999999982e+03,1.947240000000000082e-01
1.714289999999999964e+03,1.429359999999999900e+03,1.820950000000000069e-01
1.734099999999999909e+03,1.430720000000000027e+03,1.922419999999999962e-01
1.785710000000000036e+03,1.430369999999999891e+03,1.838019999999999932e-01
1.818180000000000064e+03,1.430400000000000091e+03,1.629079999999999973e-01
1.840490000000000009e+03,1.436059999999999945e+03,1.423310000000000131e-01
1.875000000000000000e+03,1.431539999999999964e+03,1.672750000000000070e-01
1.923079999999999927e+03,1.436119999999999891e+03,1.577369999999999883e-01
1.948049999999999955e+03,1.434170000000000073e+03,1.370109999999999939e-01
1.973680000000000064e+03,1.432029999999999973e+03,1.213759999999999978e-01
2.013420000000000073e+03,1.436470000000000027e+03,1.392349999999999977e-01
2.054789999999999964e+03,1.428990000000000009e+03,1.485609999999999986e-01
2.097900000000000091e+03,1.432000000000000000e+03,1.516409999999999980e-01
2.142860000000000127e+03,1.433920000000000073e+03,1.726830000000000032e-01
2.173909999999999854e+03,1.435210000000000036e+03,1.369450000000000112e-01
2.205880000000000109e+03,1.437900000000000091e+03,1.737289999999999945e-01
2.272730000000000018e+03,1.434180000000000064e+03,1.640969999999999929e-01
2.307690000000000055e+03,1.432359999999999900e+03,1.713979999999999948e-01
2.343750000000000000e+03,1.432470000000000027e+03,1.435909999999999964e-01
2.380949999999999818e+03,1.435069999999999936e+03,1.549480000000000024e-01
2.419349999999999909e+03,1.435039999999999964e+03,1.312079999999999913e-01
2.500000000000000000e+03,1.438309999999999945e+03,1.397819999999999896e-01
2.542369999999999891e+03,1.443910000000000082e+03,1.319110000000000005e-01
2.564099999999999909e+03,1.437960000000000036e+03,1.323779999999999957e-01
2.631579999999999927e+03,1.441269999999999982e+03,1.203240000000000004e-01
2.678570000000000164e+03,1.441150000000000091e+03,1.405760000000000065e-01
2.702699999999999818e+03,1.436599999999999909e+03,1.470079999999999998e-01
2.752289999999999964e+03,1.444670000000000073e+03,1.140810000000000018e-01
