# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.701510000000000218e+03,3.674810000000000021e-01
2.037209999999999965e+01,2.459780000000000200e+03,9.172770000000000229e-03
2.075120000000000076e+01,2.322440000000000055e+03,3.560349999999999904e-01
2.114020000000000010e+01,2.235590000000000146e+03,4.480959999999999943e-01
2.153320000000000078e+01,2.182130000000000109e+03,2.013880000000000114e-01
2.193299999999999983e+01,2.153440000000000055e+03,5.360740000000000505e-01
2.234140000000000015e+01,2.102769999999999982e+03,3.243980000000000197e-01
2.275829999999999842e+01,2.093170000000000073e+03,2.391439999999999885e-02
2.318029999999999902e+01,2.096239999999999782e+03,2.185449999999999893e-01
2.361280000000000001e+01,2.059670000000000073e+03,2.811109999999999998e-01
2.405000000000000071e+01,2.042599999999999909e+03,2.963640000000000163e-01
2.449980000000000047e+01,2.018529999999999973e+03,1.953910000000000091e-01
2.495429999999999993e+01,2.003039999999999964e+03,3.229540000000000188e-01
2.541939999999999955e+01,2.015420000000000073e+03,2.580979999999999941e-01
2.589110000000000156e+01,2.030490000000000009e+03,3.474000000000000005e-02
2.637590000000000146e+01,1.980569999999999936e+03,1.694050000000000000e-01
2.686730000000000018e+01,1.960650000000000091e+03,2.883680000000000132e-01
2.736730000000000018e+01,1.976650000000000091e+03,2.554390000000000271e-01
2.787330000000000041e+01,1.964460000000000036e+03,4.632000000000000006e-01
2.839560000000000173e+01,1.944690000000000055e+03,2.789119999999999933e-01
2.892119999999999891e+01,1.965359999999999900e+03,3.432580000000000076e-01
2.946379999999999910e+01,1.934410000000000082e+03,2.507269999999999777e-01
3.000600000000000023e+01,1.938750000000000000e+03,3.152010000000000089e-01
3.056859999999999999e+01,1.944839999999999918e+03,4.745039999999999814e-01
3.113329999999999842e+01,1.946789999999999964e+03,3.164009999999999878e-01
3.171249999999999858e+01,1.932099999999999909e+03,4.413770000000000193e-01
3.230319999999999681e+01,1.938289999999999964e+03,3.831180000000000141e-01
3.290919999999999845e+01,1.934750000000000000e+03,1.127139999999999947e-01
3.352329999999999899e+01,1.930259999999999991e+03,2.513099999999999778e-01
3.414130000000000109e+01,1.917839999999999918e+03,2.688999999999999724e-01
3.478260000000000218e+01,1.912119999999999891e+03,3.545200000000000018e-01
3.542329999999999757e+01,1.921049999999999955e+03,3.014879999999999782e-01
3.608809999999999718e+01,1.897720000000000027e+03,2.928129999999999900e-01
3.676019999999999754e+01,1.898660000000000082e+03,4.945579999999999976e-01
3.743919999999999959e+01,1.892589999999999918e+03,2.453549999999999898e-01
3.814370000000000260e+01,1.886970000000000027e+03,2.624679999999999791e-01
3.884499999999999886e+01,1.888319999999999936e+03,4.855059999999999931e-01
3.956739999999999924e+01,1.868480000000000018e+03,3.519430000000000058e-01
4.030630000000000024e+01,1.870890000000000100e+03,2.386800000000000033e-01
4.105649999999999977e+01,1.861480000000000018e+03,4.155820000000000070e-01
4.182350000000000279e+01,1.858400000000000091e+03,1.825180000000000136e-01
4.260150000000000148e+01,1.847160000000000082e+03,4.821990000000000304e-02
