# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.564450000000000000e+05,-2.735299999999999954e-01
2.037209999999999965e+01,1.556740000000000000e+05,-2.233169999999999877e-01
2.075120000000000076e+01,1.554160000000000000e+05,-4.254479999999999928e-01
2.114020000000000010e+01,1.575140000000000000e+05,-2.605450000000000266e-01
2.153320000000000078e+01,1.571800000000000000e+05,-2.158009999999999928e-01
2.193299999999999983e+01,1.576570000000000000e+05,-2.646470000000000211e-01
2.234140000000000015e+01,1.609120000000000000e+05,-3.531960000000000099e-01
2.275829999999999842e+01,1.601460000000000000e+05,-2.476039999999999908e-01
2.318029999999999902e+01,1.595440000000000000e+05,-4.111529999999999907e-01
2.361280000000000001e+01,1.587400000000000000e+05,-4.530020000000000158e-01
2.405000000000000071e+01,1.612550000000000000e+05,-3.248869999999999814e-01
2.449980000000000047e+01,1.625120000000000000e+05,-2.977690000000000059e-01
2.495429999999999993e+01,1.592190000000000000e+05,-2.603509999999999991e-01
2.541939999999999955e+01,1.614490000000000000e+05,-4.857770000000000143e-01
2.589110000000000156e+01,1.611600000000000000e+05,-4.803310000000000080e-01
2.637590000000000146e+01,1.619570000000000000e+05,-4.161889999999999756e-01
2.686730000000000018e+01,1.613850000000000000e+05,-3.073299999999999921e-01
2.736730000000000018e+01,1.607850000000000000e+05,-4.281869999999999843e-01
2.787330000000000041e+01,1.601910000000000000e+05,-3.732949999999999879e-01
2.839560000000000173e+01,1.639980000000000000e+05,-5.243459999999999788e-01
2.892119999999999891e+01,1.620940000000000000e+05,-4.075779999999999959e-01
2.946379999999999910e+01,1.619700000000000000e+05,-3.930359999999999965e-01
3.000600000000000023e+01,1.611440000000000000e+05,-5.080029999999999824e-01
3.056859999999999999e+01,1.608000000000000000e+05,-3.654080000000000106e-01
3.113329999999999842e+01,1.616250000000000000e+05,-3.825979999999999936e-01
3.171249999999999858e+01,1.610000000000000000e+05,-6.041590000000000016e-01
3.230319999999999681e+01,1.639350000000000000e+05,-3.212499999999999800e-01
3.290919999999999845e+01,1.598670000000000000e+05,-6.419660000000000366e-01
3.352329999999999899e+01,1.599300000000000000e+05,-4.820360000000000200e-01
3.414130000000000109e+01,1.617190000000000000e+05,-5.704939999999999456e-01
3.478260000000000218e+01,1.591370000000000000e+05,-4.996880000000000210e-01
3.542329999999999757e+01,1.606310000000000000e+05,-5.567790000000000239e-01
3.608809999999999718e+01,1.617150000000000000e+05,-6.142069999999999474e-01
3.676019999999999754e+01,1.599530000000000000e+05,-6.308500000000000218e-01
3.743919999999999959e+01,1.618190000000000000e+05,-5.731260000000000243e-01
3.814370000000000260e+01,1.621580000000000000e+05,-7.088179999999999481e-01
3.884499999999999886e+01,1.600920000000000000e+05,-2.763720000000000065e-01
3.956739999999999924e+01,1.576720000000000000e+05,-8.232120000000000548e-01
4.030630000000000024e+01,1.617040000000000000e+05,-9.950740000000000141e-01
4.105649999999999977e+01,1.611700000000000000e+05,-7.260320000000000107e-01
4.182350000000000279e+01,1.605160000000000000e+05,-4.861920000000000130e-01
4.260150000000000148e+01,1.625560000000000000e+05,-5.418530000000000291e-01
4.339020000000000010e+01,1.608120000000000000e+05,-7.733970000000000011e-01
4.420219999999999771e+01,1.621370000000000000e+05,-8.347780000000000200e-01
4.501800000000000068e+01,1.630210000000000000e+05,-8.445780000000000509e-01
4.586449999999999960e+01,1.623800000000000000e+05,-7.389369999999999550e-01
4.671439999999999770e+01,1.619690000000000000e+05,-9.356670000000000265e-01
4.758129999999999882e+01,1.621200000000000000e+05,-9.851060000000000372e-01
4.846529999999999916e+01,1.621100000000000000e+05,-5.965559999999999752e-01
4.936650000000000205e+01,1.642700000000000000e+05,-4.955700000000000105e-01
5.029339999999999833e+01,1.646440000000000000e+05,-8.347280000000000255e-01
5.122950000000000159e+01,1.643150000000000000e+05,-1.085199999999999942e+00
5.218299999999999983e+01,1.616600000000000000e+05,-8.286160000000000192e-01
5.314439999999999742e+01,1.628390000000000000e+05,-1.013970000000000038e+00
5.415160000000000196e+01,1.614350000000000000e+05,-9.479840000000000488e-01
5.514710000000000178e+01,1.600350000000000000e+05,-1.072210000000000107e+00
5.616929999999999978e+01,1.638380000000000000e+05,-1.107939999999999925e+00
5.721920000000000073e+01,1.621110000000000000e+05,-1.308070000000000066e+00
5.828640000000000043e+01,1.658840000000000000e+05,-1.101860000000000062e+00
5.938239999999999696e+01,1.655300000000000000e+05,-1.192420000000000035e+00
6.048389999999999844e+01,1.621080000000000000e+05,-1.208050000000000068e+00
6.161430000000000007e+01,1.610300000000000000e+05,-1.185489999999999933e+00
6.274839999999999662e+01,1.603840000000000000e+05,-1.373990000000000045e+00
6.391140000000000043e+01,1.612650000000000000e+05,-1.368530000000000024e+00
6.510420000000000584e+01,1.610610000000000000e+05,-1.217929999999999957e+00
6.632769999999999300e+01,1.609740000000000000e+05,-1.369229999999999947e+00
6.755240000000000578e+01,1.608940000000000000e+05,-1.147610000000000019e+00
6.880729999999999791e+01,1.616560000000000000e+05,-1.220359999999999889e+00
7.007710000000000150e+01,1.601360000000000000e+05,-9.252660000000000329e-01
7.141160000000000707e+01,1.621860000000000000e+05,-9.967660000000000409e-01
7.272729999999999961e+01,1.623820000000000000e+05,-9.363219999999999876e-01
7.407410000000000139e+01,1.603670000000000000e+05,-1.154029999999999889e+00
7.547169999999999845e+01,1.615010000000000000e+05,-1.344859999999999944e+00
7.688370000000000459e+01,1.608070000000000000e+05,-1.025460000000000038e+00
7.828810000000000002e+01,1.616570000000000000e+05,-1.423480000000000079e+00
7.976600000000000534e+01,1.622260000000000000e+05,-9.986730000000000329e-01
8.125679999999999836e+01,1.596540000000000000e+05,-1.388810000000000100e+00
8.275860000000000127e+01,1.611230000000000000e+05,-1.336289999999999978e+00
8.429330000000000211e+01,1.620490000000000000e+05,-1.303279999999999994e+00
8.586150000000000659e+01,1.628490000000000000e+05,-1.572419999999999929e+00
8.743810000000000571e+01,1.614090000000000000e+05,-1.625999999999999890e+00
8.910009999999999764e+01,1.604850000000000000e+05,-1.418970000000000065e+00
9.074410000000000309e+01,1.623200000000000000e+05,-1.457140000000000102e+00
9.242140000000000555e+01,1.624520000000000000e+05,-1.613779999999999992e+00
9.413240000000000407e+01,1.622280000000000000e+05,-1.791809999999999903e+00
9.587730000000000530e+01,1.636070000000000000e+05,-2.271939999999999849e+00
9.768800000000000239e+01,1.627980000000000000e+05,-1.887860000000000094e+00
9.950249999999999773e+01,1.634960000000000000e+05,-1.760860000000000092e+00
1.013509999999999991e+02,1.639120000000000000e+05,-1.921259999999999968e+00
1.032699999999999960e+02,1.614460000000000000e+05,-1.977710000000000079e+00
1.051520000000000010e+02,1.577900000000000000e+05,-1.913939999999999975e+00
1.071430000000000007e+02,1.605220000000000000e+05,-2.159250000000000114e+00
1.091310000000000002e+02,1.611920000000000000e+05,-2.120109999999999939e+00
1.111520000000000010e+02,1.612050000000000000e+05,-2.052869999999999973e+00
1.132500000000000000e+02,1.626040000000000000e+05,-2.297390000000000043e+00
1.153400000000000034e+02,1.610150000000000000e+05,-2.328559999999999963e+00
