# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,5.235119999999999436e+02,3.099430000000000240e-01
2.037209999999999965e+01,5.254070000000000391e+02,3.661869999999999847e-01
2.075120000000000076e+01,5.267340000000000373e+02,3.581869999999999776e-01
2.114020000000000010e+01,5.273200000000000500e+02,3.283530000000000060e-01
2.153320000000000078e+01,5.271109999999999900e+02,3.302419999999999800e-01
2.193299999999999983e+01,5.277190000000000509e+02,3.239199999999999857e-01
2.234140000000000015e+01,5.277939999999999827e+02,3.345150000000000068e-01
2.275829999999999842e+01,5.266480000000000246e+02,3.352769999999999917e-01
2.318029999999999902e+01,5.265529999999999973e+02,3.577949999999999742e-01
2.361280000000000001e+01,5.273680000000000518e+02,3.265199999999999769e-01
2.405000000000000071e+01,5.274339999999999691e+02,3.270359999999999934e-01
2.449980000000000047e+01,5.267150000000000318e+02,3.264759999999999884e-01
2.495429999999999993e+01,5.271230000000000473e+02,3.175529999999999742e-01
2.541939999999999955e+01,5.265499999999999545e+02,3.272990000000000066e-01
2.589110000000000156e+01,5.266480000000000246e+02,3.342399999999999816e-01
2.637590000000000146e+01,5.263540000000000418e+02,3.237900000000000222e-01
2.686730000000000018e+01,5.273170000000000073e+02,3.007000000000000228e-01
2.736730000000000018e+01,5.272670000000000528e+02,3.334900000000000087e-01
2.787330000000000041e+01,5.250960000000000036e+02,3.136539999999999884e-01
2.839560000000000173e+01,5.273210000000000264e+02,3.178710000000000147e-01
2.892119999999999891e+01,5.275979999999999563e+02,2.922179999999999778e-01
2.946379999999999910e+01,5.264080000000000155e+02,3.350310000000000232e-01
3.000600000000000023e+01,5.260289999999999964e+02,3.261339999999999795e-01
3.056859999999999999e+01,5.264529999999999745e+02,3.087630000000000097e-01
3.113329999999999842e+01,5.258020000000000209e+02,3.022349999999999759e-01
3.171249999999999858e+01,5.258139999999999645e+02,3.161249999999999893e-01
3.230319999999999681e+01,5.251219999999999573e+02,3.228949999999999876e-01
3.290919999999999845e+01,5.248220000000000027e+02,3.222300000000000164e-01
3.352329999999999899e+01,5.248840000000000146e+02,3.015140000000000042e-01
3.414130000000000109e+01,5.250819999999999936e+02,3.072819999999999996e-01
3.478260000000000218e+01,5.245320000000000391e+02,3.344380000000000130e-01
3.542329999999999757e+01,5.243239999999999554e+02,3.245640000000000192e-01
3.608809999999999718e+01,5.240499999999999545e+02,3.263280000000000070e-01
3.676019999999999754e+01,5.231630000000000109e+02,3.497859999999999858e-01
3.743919999999999959e+01,5.234120000000000346e+02,3.193429999999999880e-01
3.814370000000000260e+01,5.232780000000000200e+02,3.328409999999999980e-01
3.884499999999999886e+01,5.243959999999999582e+02,3.292439999999999811e-01
3.956739999999999924e+01,5.239009999999999536e+02,3.318079999999999918e-01
4.030630000000000024e+01,5.239710000000000036e+02,3.448519999999999919e-01
4.105649999999999977e+01,5.246929999999999836e+02,3.323160000000000003e-01
4.182350000000000279e+01,5.244500000000000455e+02,3.202150000000000274e-01
4.260150000000000148e+01,5.241069999999999709e+02,3.433209999999999873e-01
4.339020000000000010e+01,5.244420000000000073e+02,3.510269999999999779e-01
4.420219999999999771e+01,5.249360000000000355e+02,3.448370000000000046e-01
4.501800000000000068e+01,5.242859999999999445e+02,3.228130000000000166e-01
4.586449999999999960e+01,5.239379999999999882e+02,3.135359999999999814e-01
4.671439999999999770e+01,5.240330000000000155e+02,2.989310000000000023e-01
4.758129999999999882e+01,5.239450000000000500e+02,3.153940000000000077e-01
4.846529999999999916e+01,5.236140000000000327e+02,3.051280000000000103e-01
4.936650000000000205e+01,5.244049999999999727e+02,3.660030000000000228e-01
