# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.211310000000000000e+08,2.787699999999999889e+01
2.037349999999999994e+01,1.467270000000000000e+08,5.228900000000000325e+00
2.075260000000000105e+01,1.406500000000000000e+08,-3.186899999999999977e+01
2.114020000000000010e+01,1.334260000000000000e+08,-2.974589999999999890e+01
2.153320000000000078e+01,1.057530000000000000e+08,-5.582970000000000255e+01
2.193459999999999965e+01,1.264180000000000000e+08,-3.692229999999999990e+01
2.234299999999999997e+01,1.529640000000000000e+08,-3.711350000000000193e+01
2.275829999999999842e+01,9.654760000000000000e+07,-4.347180000000000177e+01
2.318209999999999837e+01,1.472740000000000000e+08,-3.202400000000000091e+01
2.361459999999999937e+01,1.202420000000000000e+08,-3.644680000000000319e+01
2.405580000000000140e+01,1.513850000000000000e+08,-2.186779999999999902e+01
2.450379999999999825e+01,1.274600000000000000e+08,-3.505709999999999837e+01
2.496049999999999969e+01,1.292030000000000000e+08,-3.514209999999999923e+01
2.542589999999999861e+01,1.278360000000000000e+08,-3.173250000000000171e+01
2.589780000000000015e+01,1.243380000000000000e+08,-2.283279999999999887e+01
2.638060000000000116e+01,1.280120000000000000e+08,-2.509600000000000009e+01
2.687209999999999965e+01,1.233660000000000000e+08,-2.973489999999999966e+01
2.737229999999999919e+01,1.149000000000000000e+08,-5.597229999999999706e+00
2.788360000000000127e+01,1.003390000000000000e+08,-4.670479999999999876e+01
2.840099999999999980e+01,1.123800000000000000e+08,3.149080000000000013e+01
2.893240000000000123e+01,1.698760000000000000e+08,-1.492009999999999970e+01
2.946950000000000003e+01,7.885930000000000000e+07,-3.106009999999999849e+01
3.001800000000000068e+01,8.931190000000000000e+07,-4.454180000000000206e+01
3.057789999999999964e+01,1.001760000000000000e+08,-4.296070000000000277e+01
3.114939999999999998e+01,1.113320000000000000e+08,-3.550010000000000332e+01
3.172919999999999874e+01,1.106770000000000000e+08,-5.874150000000000205e+01
3.232059999999999889e+01,4.161390000000000000e+08,-6.906770000000000209e+01
3.292000000000000171e+01,6.857720000000000000e+07,-8.256879999999999598e+01
3.353450000000000131e+01,1.296490000000000000e+08,-1.291419999999999959e+02
3.416080000000000183e+01,8.524030000000000000e+07,-8.073139999999999361e+01
3.479869999999999663e+01,6.134960000000000000e+07,-6.605490000000000350e+01
3.544420000000000215e+01,1.147150000000000000e+08,-3.877029999999999887e+01
3.610540000000000305e+01,1.059180000000000000e+08,-5.813980000000000103e+01
3.677819999999999823e+01,1.138090000000000000e+08,-2.913909999999999911e+01
3.746249999999999858e+01,8.578010000000000000e+07,-3.623400000000000176e+01
3.815820000000000078e+01,3.951720000000000000e+07,2.493680000000000163e+01
3.887019999999999698e+01,1.052040000000000000e+08,-7.573999999999999488e+01
3.959349999999999881e+01,3.397130000000000000e+07,-7.193930000000000291e+01
4.033339999999999748e+01,3.050400000000000000e+07,-6.128670000000000329e+01
4.108460000000000178e+01,7.205500000000000000e+07,-4.943710000000000093e+01
4.185269999999999868e+01,3.343380000000000000e+07,-4.115780000000000172e+01
4.263179999999999836e+01,3.856370000000000000e+07,-5.628390000000000271e+01
4.342159999999999798e+01,8.399540000000000000e+07,-3.815200000000000102e+01
4.423469999999999658e+01,1.141260000000000000e+08,-4.000150000000000006e+01
4.505859999999999843e+01,1.743700000000000000e+08,-2.127370000000000161e+01
4.589959999999999951e+01,1.498310000000000000e+08,-2.335739999999999839e+01
4.675079999999999814e+01,8.692230000000000000e+07,-9.172549999999999670e+01
4.761899999999999977e+01,4.269090000000000000e+07,-7.430889999999999418e+01
4.851230000000000331e+01,8.669680000000000000e+07,-4.418849999999999767e+01
4.941530000000000200e+01,2.986510000000000000e+07,-6.939379999999999882e+01
5.033559999999999945e+01,6.473260000000000000e+07,1.354099999999999966e+02
5.127329999999999899e+01,6.854620000000000000e+07,-6.957030000000000314e+01
5.222840000000000060e+01,6.273090000000000000e+07,2.598529999999999873e+01
5.320089999999999719e+01,4.497660000000000000e+07,-7.968250000000000455e+01
5.419080000000000297e+01,6.749620000000000000e+07,-7.786509999999999820e+01
5.519780000000000086e+01,1.043510000000000000e+08,-6.343860000000000099e+01
5.623239999999999839e+01,8.720240000000000000e+07,-4.181219999999999715e+01
5.727380000000000138e+01,8.559220000000000000e+07,-4.780919999999999703e+01
5.834309999999999974e+01,8.021720000000000000e+07,-5.213280000000000314e+01
5.942949999999999733e+01,6.838340000000000000e+07,-1.444289999999999985e+01
6.054489999999999839e+01,3.904370000000000000e+07,-1.924699999999999989e+01
6.166499999999999915e+01,3.663810000000000000e+07,-1.619510000000000116e-01
6.281410000000000338e+01,9.373010000000000000e+07,-4.555349999999999966e+01
6.397950000000000159e+01,4.773240000000000000e+08,-1.411839999999999975e+02
6.517489999999999384e+01,4.248190000000000000e+07,2.049729999999999919e+01
6.638639999999999475e+01,1.138470000000000000e+08,1.484739999999999895e+02
6.762850000000000250e+01,5.860780000000000000e+07,-3.534749999999999659e+01
6.888630000000000564e+01,5.980400000000000000e+07,-8.241259999999999764e+01
7.017539999999999623e+01,6.939470000000000000e+07,1.740490000000000066e+02
7.147960000000000491e+01,2.678330000000000000e+07,-3.889880000000000138e+01
7.281550000000000011e+01,6.251210000000000000e+07,-3.346999999999999886e+01
7.416559999999999775e+01,8.331310000000000000e+07,-5.363569999999999993e+01
7.554770000000000607e+01,1.073970000000000000e+08,-3.587449999999999761e+01
7.696250000000000568e+01,4.850590000000000000e+07,-5.199660000000000082e+01
7.839039999999999964e+01,5.138990000000000000e+07,-5.059599999999999653e+01
7.985089999999999577e+01,6.919020000000000000e+07,-4.975789999999999935e+01
8.134489999999999554e+01,7.491440000000000000e+07,-5.040070000000000050e+01
8.284999999999999432e+01,6.839870000000000000e+07,-5.838660000000000139e+01
8.438819999999999766e+01,4.901870000000000000e+07,-6.126100000000000279e+01
8.598449999999999704e+01,3.233300000000000000e+07,-4.550900000000000034e+01
8.756570000000000675e+01,4.283200000000000000e+07,-4.042099999999999937e+01
8.920610000000000639e+01,6.201040000000000000e+07,-4.616969999999999885e+01
9.085399999999999920e+01,4.426170000000000000e+07,-4.126480000000000103e+01
9.256399999999999295e+01,3.935530000000000000e+07,-3.051050000000000040e+01
9.428029999999999688e+01,9.774090000000000000e+07,2.000540000000000163e+01
9.603069999999999595e+01,3.074870000000000000e+07,-5.857920000000000016e+01
9.784739999999999327e+01,1.673510000000000000e+08,-5.756350000000000300e+00
9.966779999999999973e+01,5.051990000000000000e+07,-1.265900000000000034e+02
1.015229999999999961e+02,6.205190000000000000e+07,-5.259459999999999980e+01
1.034129999999999967e+02,5.632050000000000000e+07,-5.323910000000000053e+01
1.053370000000000033e+02,5.970840000000000000e+07,-5.331230000000000047e+01
1.072960000000000065e+02,5.416420000000000000e+07,-4.904789999999999850e+01
1.092900000000000063e+02,4.879670000000000000e+07,-5.574300000000000210e+01
1.113169999999999931e+02,7.078180000000000000e+07,-5.747310000000000230e+01
1.134219999999999970e+02,5.615590000000000000e+07,-5.850540000000000163e+01
1.155180000000000007e+02,5.706040000000000000e+07,-7.021320000000000050e+01
1.176470000000000056e+02,4.986380000000000000e+07,-4.355969999999999942e+01
1.198559999999999945e+02,5.503130000000000000e+07,-5.404480000000000217e+01
1.220999999999999943e+02,5.377630000000000000e+07,-6.893680000000000518e+01
1.243780000000000001e+02,5.121310000000000000e+07,-6.526170000000000471e+01
1.266889999999999930e+02,4.111200000000000000e+07,-7.162489999999999668e+01
1.290320000000000107e+02,6.967450000000000000e+07,-2.419539999999999935e+01
1.314639999999999986e+02,4.470650000000000000e+07,-3.818919999999999959e+01
1.339290000000000020e+02,4.254290000000000000e+07,-6.784510000000000218e+01
1.363640000000000043e+02,4.658930000000000000e+07,-5.597990000000000066e+01
1.389530000000000030e+02,5.482430000000000000e+07,-5.242309999999999803e+01
1.415089999999999861e+02,6.463500000000000000e+07,-6.436560000000000059e+01
1.441610000000000014e+02,3.434670000000000000e+07,-7.091009999999999991e+01
1.468429999999999893e+02,4.546690000000000000e+07,-6.510989999999999611e+01
1.495509999999999877e+02,6.530890000000000000e+07,-7.460290000000000532e+01
1.523619999999999948e+02,4.747620000000000000e+07,-5.693970000000000198e+01
1.551990000000000123e+02,3.656220000000000000e+07,-4.348040000000000305e+01
1.580610000000000070e+02,4.774420000000000000e+07,-6.261820000000000164e+01
1.610310000000000059e+02,4.593860000000000000e+07,-5.757059999999999889e+01
1.640240000000000009e+02,4.797660000000000000e+07,-8.010989999999999611e+01
1.671310000000000002e+02,4.594720000000000000e+07,-5.734409999999999741e+01
1.702609999999999957e+02,3.187570000000000000e+07,-3.938380000000000081e+01
1.734099999999999966e+02,5.160190000000000000e+07,-6.303860000000000241e+01
1.765740000000000123e+02,3.456210000000000000e+07,-6.230310000000000059e+01
1.799639999999999986e+02,3.754810000000000000e+07,-5.832959999999999923e+01
