# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.017090000000000000e+07,1.307689999999999964e-01
2.075120000000000076e+01,1.016610000000000000e+07,4.193709999999999799e-02
2.153320000000000078e+01,1.016910000000000000e+07,-5.139869999999999856e-02
2.234140000000000015e+01,1.016650000000000000e+07,6.147190000000000293e-02
2.318029999999999902e+01,1.016980000000000000e+07,-3.098640000000000162e-03
2.405000000000000071e+01,1.016560000000000000e+07,-7.822850000000000636e-02
2.495429999999999993e+01,1.016860000000000000e+07,-6.931120000000000336e-02
2.589110000000000156e+01,1.016830000000000000e+07,-1.005349999999999994e-01
2.686730000000000018e+01,1.016780000000000000e+07,-9.269090000000000662e-02
2.787330000000000041e+01,1.016980000000000000e+07,-2.029559999999999975e-01
2.892119999999999891e+01,1.015510000000000000e+07,4.745000000000000086e-03
3.000600000000000023e+01,1.017460000000000000e+07,-2.699630000000000085e-02
3.113329999999999842e+01,1.017180000000000000e+07,-1.035879999999999995e-01
3.230319999999999681e+01,1.017220000000000000e+07,6.043169999999999792e-02
3.352329999999999899e+01,1.019390000000000000e+07,-5.206840000000000357e-01
3.478260000000000218e+01,1.014380000000000000e+07,-1.067599999999999938e-01
3.608809999999999718e+01,1.017340000000000000e+07,-2.323800000000000032e-01
3.743919999999999959e+01,1.017910000000000000e+07,-3.370909999999999740e-01
3.884499999999999886e+01,1.020080000000000000e+07,-5.200869999999999799e-02
4.030630000000000024e+01,1.023700000000000000e+07,-1.002829999999999971e-01
4.182350000000000279e+01,1.018960000000000000e+07,-4.857730000000000103e-01
4.339020000000000010e+01,1.015350000000000000e+07,-3.066499999999999782e-01
4.501800000000000068e+01,1.015320000000000000e+07,-2.767589999999999772e-01
4.671439999999999770e+01,1.012900000000000000e+07,-4.827469999999999817e-01
4.846529999999999916e+01,1.009990000000000000e+07,6.818259999999999599e-02
5.029339999999999833e+01,1.020220000000000000e+07,-3.885589999999999877e-01
5.218299999999999983e+01,1.021530000000000000e+07,-1.871220000000000105e-01
5.415160000000000196e+01,1.019710000000000000e+07,-3.070800000000000196e-01
5.616929999999999978e+01,1.012700000000000000e+07,-8.218449999999999367e-02
5.828640000000000043e+01,1.016450000000000000e+07,-2.244379999999999986e-01
6.048389999999999844e+01,1.011070000000000000e+07,-1.317659999999999942e-01
6.274839999999999662e+01,1.008520000000000000e+07,7.675290000000000411e-03
6.510420000000000584e+01,1.019150000000000000e+07,5.861960000000000087e-02
6.755240000000000578e+01,1.014170000000000000e+07,-5.890980000000000105e-01
7.007710000000000150e+01,1.021300000000000000e+07,-3.561019999999999741e-01
7.272729999999999961e+01,1.010440000000000000e+07,-5.043640000000000345e-01
7.547169999999999845e+01,1.013630000000000000e+07,-3.714779999999999749e-01
7.828810000000000002e+01,1.015630000000000000e+07,-3.167740000000000000e-01
8.125679999999999836e+01,1.014910000000000000e+07,-4.105380000000000140e-01
8.429330000000000211e+01,1.015660000000000000e+07,-3.855310000000000126e-01
8.743810000000000571e+01,1.011070000000000000e+07,-5.788090000000000179e-01
9.074410000000000309e+01,1.020070000000000000e+07,-2.594369999999999732e-01
9.413240000000000407e+01,1.018070000000000000e+07,-1.290020000000000056e-01
9.768800000000000239e+01,1.012950000000000000e+07,-1.747980000000000089e-01
1.013509999999999991e+02,1.007910000000000000e+07,-4.042689999999999895e-01
1.051520000000000010e+02,1.019890000000000000e+07,-4.000480000000000147e-01
1.091310000000000002e+02,1.015470000000000000e+07,-2.453380000000000005e-01
1.132500000000000000e+02,1.012950000000000000e+07,-3.576349999999999807e-01
1.175090000000000003e+02,1.016720000000000000e+07,-3.373459999999999792e-01
1.218520000000000039e+02,1.017380000000000000e+07,-4.328640000000000265e-01
1.265289999999999964e+02,1.018140000000000000e+07,-4.427740000000000009e-01
1.311759999999999877e+02,1.016270000000000000e+07,-5.172189999999999843e-01
1.361160000000000139e+02,1.016400000000000000e+07,-5.044159999999999755e-01
1.413089999999999975e+02,1.018360000000000000e+07,-5.201559999999999517e-01
1.466279999999999859e+02,1.018550000000000000e+07,-5.387079999999999647e-01
1.521299999999999955e+02,1.017620000000000000e+07,-5.217950000000000088e-01
1.578950000000000102e+02,1.014140000000000000e+07,-5.575010000000000243e-01
1.636659999999999968e+02,1.020030000000000000e+07,-5.727919999999999678e-01
1.698750000000000000e+02,1.013300000000000000e+07,-7.282300000000000439e-01
1.762630000000000052e+02,1.018430000000000000e+07,-5.345800000000000551e-01
1.828149999999999977e+02,1.013070000000000000e+07,-7.426739999999999453e-01
1.897529999999999859e+02,1.014140000000000000e+07,-6.854489999999999750e-01
1.968499999999999943e+02,1.014240000000000000e+07,-6.794540000000000024e-01
2.043600000000000136e+02,1.016430000000000000e+07,-7.406049999999999578e-01
2.118640000000000043e+02,1.017190000000000000e+07,-7.345549999999999580e-01
2.199410000000000025e+02,1.016910000000000000e+07,-7.894250000000000433e-01
2.283110000000000070e+02,1.017270000000000000e+07,-7.737699999999999578e-01
2.369670000000000130e+02,1.018250000000000000e+07,-8.575829999999999842e-01
2.456999999999999886e+02,1.015410000000000000e+07,-9.394000000000000128e-01
2.548849999999999909e+02,1.015090000000000000e+07,-9.039169999999999705e-01
2.645500000000000114e+02,1.015160000000000000e+07,-9.352970000000000450e-01
2.747250000000000227e+02,1.015700000000000000e+07,-1.006399999999999961e+00
2.848999999999999773e+02,1.015710000000000000e+07,-1.069309999999999983e+00
2.955659999999999741e+02,1.015550000000000000e+07,-1.077490000000000059e+00
3.064350000000000023e+02,1.016900000000000000e+07,-1.104090000000000016e+00
3.184710000000000036e+02,1.018030000000000000e+07,-1.101599999999999913e+00
3.300330000000000155e+02,1.017010000000000000e+07,-1.153210000000000068e+00
