# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.187010000000000000e+05,2.203600000000000003e-02
2.075120000000000076e+01,1.186740000000000000e+05,2.759889999999999913e-02
2.153320000000000078e+01,1.186340000000000000e+05,4.130450000000000094e-02
2.234140000000000015e+01,1.186190000000000000e+05,1.386240000000000042e-02
2.318029999999999902e+01,1.186380000000000000e+05,2.807499999999999926e-02
2.405000000000000071e+01,1.186360000000000000e+05,3.181849999999999956e-02
2.495429999999999993e+01,1.186380000000000000e+05,2.629410000000000081e-02
2.589110000000000156e+01,1.186430000000000000e+05,2.814929999999999863e-02
2.686730000000000018e+01,1.186560000000000000e+05,2.965699999999999933e-02
2.787330000000000041e+01,1.186550000000000000e+05,3.917160000000000086e-02
2.892119999999999891e+01,1.186790000000000000e+05,7.882909999999999917e-03
3.000600000000000023e+01,1.186730000000000000e+05,3.481460000000000023e-03
3.113329999999999842e+01,1.186840000000000000e+05,2.310639999999999916e-02
3.230319999999999681e+01,1.187280000000000000e+05,4.599210000000000104e-02
3.352329999999999899e+01,1.186940000000000000e+05,-2.918190000000000020e-02
3.478260000000000218e+01,1.186610000000000000e+05,2.226600000000000107e-02
3.608809999999999718e+01,1.187110000000000000e+05,2.263180000000000053e-02
3.743919999999999959e+01,1.186960000000000000e+05,2.438999999999999849e-02
3.884499999999999886e+01,1.188130000000000000e+05,3.292760000000000045e-03
4.030630000000000024e+01,1.187870000000000000e+05,6.162100000000000216e-02
4.182350000000000279e+01,1.186610000000000000e+05,-3.297930000000000306e-02
4.339020000000000010e+01,1.187250000000000000e+05,3.914080000000000337e-02
4.501800000000000068e+01,1.187120000000000000e+05,2.112320000000000170e-02
4.671439999999999770e+01,1.187620000000000000e+05,2.308369999999999866e-02
4.846529999999999916e+01,1.186130000000000000e+05,-3.894770000000000176e-02
5.029339999999999833e+01,1.187780000000000000e+05,6.228149999999999659e-02
5.218299999999999983e+01,1.185770000000000000e+05,2.410879999999999967e-02
5.415160000000000196e+01,1.187610000000000000e+05,-2.165349999999999914e-02
5.616929999999999978e+01,1.186770000000000000e+05,1.777449999999999863e-02
5.828640000000000043e+01,1.187040000000000000e+05,7.966060000000000502e-03
6.048389999999999844e+01,1.186250000000000000e+05,3.620410000000000295e-02
6.274839999999999662e+01,1.187980000000000000e+05,3.515480000000000081e-03
6.510420000000000584e+01,1.188110000000000000e+05,-2.398590000000000097e-02
6.755240000000000578e+01,1.186950000000000000e+05,4.875030000000000335e-02
7.007710000000000150e+01,1.187150000000000000e+05,3.811309999999999698e-02
7.272729999999999961e+01,1.185860000000000000e+05,-1.470040000000000062e-02
7.547169999999999845e+01,1.186510000000000000e+05,1.287400000000000003e-02
7.828810000000000002e+01,1.186730000000000000e+05,9.277040000000000286e-03
8.125679999999999836e+01,1.186580000000000000e+05,-4.683409999999999830e-03
