# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,9.423069999999999879e+01,4.163229999999999709e-02
2.075120000000000076e+01,9.399269999999999925e+01,4.135869999999999824e-02
2.153320000000000078e+01,9.434850000000000136e+01,3.793980000000000269e-02
2.234140000000000015e+01,9.423730000000000473e+01,3.522349999999999787e-02
2.318029999999999902e+01,9.454139999999999588e+01,3.540150000000000241e-02
2.405000000000000071e+01,9.453919999999999391e+01,3.291750000000000231e-02
2.495429999999999993e+01,9.446030000000000371e+01,3.168220000000000064e-02
2.589110000000000156e+01,9.449070000000000391e+01,3.133319999999999855e-02
2.686730000000000018e+01,9.451099999999999568e+01,2.997359999999999955e-02
2.787330000000000041e+01,9.447679999999999723e+01,2.879529999999999937e-02
2.892119999999999891e+01,9.431560000000000343e+01,2.782029999999999920e-02
3.000600000000000023e+01,9.418970000000000198e+01,2.511930000000000066e-02
3.113329999999999842e+01,9.405949999999999989e+01,2.545149999999999843e-02
3.230319999999999681e+01,9.400900000000000034e+01,2.625800000000000009e-02
3.352329999999999899e+01,9.406140000000000612e+01,2.283340000000000022e-02
3.478260000000000218e+01,9.415670000000000073e+01,2.367029999999999829e-02
3.608809999999999718e+01,9.426670000000000016e+01,2.097629999999999981e-02
3.743919999999999959e+01,9.431220000000000425e+01,2.052469999999999989e-02
3.884499999999999886e+01,9.433899999999999864e+01,1.766799999999999968e-02
4.030630000000000024e+01,9.435529999999999973e+01,1.793830000000000077e-02
4.182350000000000279e+01,9.436849999999999739e+01,1.611299999999999885e-02
4.339020000000000010e+01,9.432240000000000180e+01,1.651599999999999943e-02
4.501800000000000068e+01,9.422050000000000125e+01,1.769489999999999952e-02
4.671439999999999770e+01,9.417220000000000368e+01,1.904290000000000149e-02
4.846529999999999916e+01,9.408369999999999322e+01,1.794360000000000052e-02
5.029339999999999833e+01,9.411129999999999995e+01,1.638239999999999835e-02
5.218299999999999983e+01,9.419710000000000605e+01,1.234520000000000062e-02
5.415160000000000196e+01,9.421469999999999345e+01,1.572410000000000127e-02
5.616929999999999978e+01,9.422329999999999472e+01,1.551620000000000082e-02
5.828640000000000043e+01,9.424190000000000111e+01,1.258399999999999970e-02
6.048389999999999844e+01,9.423380000000000223e+01,1.454259999999999928e-02
6.274839999999999662e+01,9.421290000000000475e+01,1.159840000000000003e-02
6.510420000000000584e+01,9.419899999999999807e+01,1.534620000000000081e-02
6.755240000000000578e+01,9.413729999999999620e+01,1.221949999999999946e-02
7.007710000000000150e+01,9.406440000000000623e+01,9.824090000000000600e-03
7.272729999999999961e+01,9.402790000000000248e+01,8.767360000000000084e-03
7.547169999999999845e+01,9.404250000000000398e+01,9.921660000000000548e-03
7.828810000000000002e+01,9.409749999999999659e+01,9.442030000000000561e-03
8.125679999999999836e+01,9.408950000000000102e+01,9.482320000000000679e-03
8.429330000000000211e+01,9.404279999999999973e+01,7.525480000000000190e-03
8.743810000000000571e+01,9.400979999999999848e+01,1.093180000000000020e-02
9.074410000000000309e+01,9.401260000000000616e+01,1.018289999999999994e-02
9.413240000000000407e+01,9.404080000000000439e+01,6.521599999999999793e-03
9.768800000000000239e+01,9.407380000000000564e+01,1.499950000000000068e-02
1.013509999999999991e+02,9.407699999999999818e+01,6.839500000000000093e-03
1.051520000000000010e+02,9.411830000000000496e+01,8.053549999999999598e-03
1.091310000000000002e+02,9.412009999999999366e+01,7.159360000000000029e-03
1.132500000000000000e+02,9.414170000000000016e+01,5.096070000000000287e-03
1.175090000000000003e+02,9.414039999999999964e+01,9.217160000000000500e-04
1.218520000000000039e+02,9.416889999999999361e+01,1.665320000000000081e-03
