# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.015160000000000000e+07,5.737140000000000295e-02
2.037349999999999994e+01,1.014160000000000000e+07,1.205190000000000081e-02
2.075260000000000105e+01,1.015280000000000000e+07,-4.250430000000000041e-01
2.114020000000000010e+01,1.015780000000000000e+07,-3.594729999999999870e-01
2.153320000000000078e+01,1.016590000000000000e+07,-2.402150000000000118e-01
2.193459999999999965e+01,1.013350000000000000e+07,-1.554329999999999878e-01
2.234299999999999997e+01,1.014910000000000000e+07,-5.421970000000000400e-01
2.275829999999999842e+01,1.015890000000000000e+07,-4.195450000000000013e-01
2.318209999999999837e+01,1.016030000000000000e+07,-2.241519999999999901e-01
2.361459999999999937e+01,1.016420000000000000e+07,-8.865180000000000282e-02
2.405580000000000140e+01,1.016940000000000000e+07,1.923350000000000060e-02
2.450379999999999825e+01,1.016500000000000000e+07,-9.578979999999999440e-02
2.496049999999999969e+01,1.017180000000000000e+07,4.151389999999999594e-03
2.542589999999999861e+01,1.016810000000000000e+07,-2.296209999999999918e-03
2.589780000000000015e+01,1.017520000000000000e+07,-6.645739999999999981e-02
2.638060000000000116e+01,1.017580000000000000e+07,-8.657060000000000493e-04
2.687209999999999965e+01,1.017140000000000000e+07,2.133799999999999933e-02
2.737229999999999919e+01,1.016570000000000000e+07,-1.592230000000000034e-04
2.788360000000000127e+01,1.020590000000000000e+07,-2.108200000000000005e-02
2.840099999999999980e+01,1.020250000000000000e+07,-3.910049999999999915e-01
2.893240000000000123e+01,1.021590000000000000e+07,-1.710599999999999898e-01
2.946950000000000003e+01,1.021500000000000000e+07,4.218720000000000248e-01
3.001800000000000068e+01,1.020160000000000000e+07,4.186130000000000129e-01
3.057789999999999964e+01,1.017390000000000000e+07,2.082799999999999929e-01
3.114939999999999998e+01,1.012670000000000000e+07,-5.996510000000000035e-02
3.172919999999999874e+01,1.018690000000000000e+07,7.337139999999999773e-01
