# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.762370000000000073e+04,-8.996290000000000475e+01
2.037349999999999994e+01,1.729929999999999927e+04,-8.996259999999999479e+01
2.075260000000000105e+01,1.698250000000000000e+04,-8.996059999999999945e+01
2.114020000000000010e+01,1.667120000000000073e+04,-8.995839999999999748e+01
2.153320000000000078e+01,1.636670000000000073e+04,-8.995560000000000400e+01
2.193459999999999965e+01,1.606739999999999964e+04,-8.995470000000000255e+01
2.234299999999999997e+01,1.577320000000000073e+04,-8.995369999999999777e+01
2.275829999999999842e+01,1.548520000000000073e+04,-8.995310000000000628e+01
2.318209999999999837e+01,1.520210000000000036e+04,-8.994880000000000564e+01
2.361459999999999937e+01,1.492329999999999927e+04,-8.994809999999999661e+01
2.405580000000000140e+01,1.465010000000000036e+04,-8.994629999999999370e+01
2.450379999999999825e+01,1.438150000000000000e+04,-8.994549999999999557e+01
2.496049999999999969e+01,1.411829999999999927e+04,-8.994429999999999836e+01
2.542589999999999861e+01,1.385960000000000036e+04,-8.994360000000000355e+01
2.589780000000000015e+01,1.360660000000000036e+04,-8.994159999999999400e+01
2.638060000000000116e+01,1.335850000000000000e+04,-8.994110000000000582e+01
2.687209999999999965e+01,1.311400000000000000e+04,-8.993770000000000664e+01
2.737229999999999919e+01,1.287379999999999927e+04,-8.993590000000000373e+01
2.788360000000000127e+01,1.263800000000000000e+04,-8.993429999999999325e+01
2.840099999999999980e+01,1.240750000000000000e+04,-8.993380000000000507e+01
2.893240000000000123e+01,1.218020000000000073e+04,-8.993210000000000548e+01
2.946950000000000003e+01,1.195739999999999964e+04,-8.993210000000000548e+01
3.001800000000000068e+01,1.173910000000000036e+04,-8.992910000000000537e+01
3.057789999999999964e+01,1.152439999999999964e+04,-8.992690000000000339e+01
3.114939999999999998e+01,1.131300000000000000e+04,-8.992749999999999488e+01
3.172919999999999874e+01,1.110620000000000073e+04,-8.992659999999999343e+01
3.232059999999999889e+01,1.090320000000000073e+04,-8.992440000000000566e+01
3.292000000000000171e+01,1.070450000000000000e+04,-8.992419999999999902e+01
3.353450000000000131e+01,1.050789999999999964e+04,-8.992149999999999466e+01
3.416080000000000183e+01,1.031589999999999964e+04,-8.992069999999999652e+01
3.479869999999999663e+01,1.012660000000000036e+04,-8.992019999999999413e+01
3.544420000000000215e+01,9.942190000000000509e+03,-8.992069999999999652e+01
3.610540000000000305e+01,9.760340000000000146e+03,-8.991710000000000491e+01
3.677819999999999823e+01,9.581809999999999491e+03,-8.991750000000000398e+01
3.746249999999999858e+01,9.406239999999999782e+03,-8.991259999999999764e+01
3.815820000000000078e+01,9.234600000000000364e+03,-8.991240000000000521e+01
3.887019999999999698e+01,9.066290000000000873e+03,-8.991009999999999991e+01
3.959349999999999881e+01,8.900850000000000364e+03,-8.990860000000000696e+01
4.033339999999999748e+01,8.737329999999999927e+03,-8.990779999999999461e+01
4.108460000000000178e+01,8.577680000000000291e+03,-8.990919999999999845e+01
4.185269999999999868e+01,8.420309999999999491e+03,-8.990930000000000177e+01
4.263179999999999836e+01,8.266579999999999927e+03,-8.990890000000000271e+01
4.342159999999999798e+01,8.116739999999999782e+03,-8.990840000000000032e+01
4.423469999999999658e+01,7.967260000000000218e+03,-8.990680000000000405e+01
4.505859999999999843e+01,7.821619999999999891e+03,-8.990819999999999368e+01
4.589959999999999951e+01,7.678090000000000146e+03,-8.990810000000000457e+01
4.675079999999999814e+01,7.538529999999999745e+03,-8.990829999999999700e+01
4.761899999999999977e+01,7.401289999999999964e+03,-8.990689999999999316e+01
4.851230000000000331e+01,7.264819999999999709e+03,-8.990779999999999461e+01
4.941530000000000200e+01,7.132239999999999782e+03,-8.990689999999999316e+01
5.033559999999999945e+01,7.002100000000000364e+03,-8.990709999999999980e+01
5.127329999999999899e+01,6.874369999999999891e+03,-8.990739999999999554e+01
5.222840000000000060e+01,6.748479999999999563e+03,-8.990730000000000643e+01
5.320089999999999719e+01,6.624720000000000255e+03,-8.990699999999999648e+01
5.419080000000000297e+01,6.504250000000000000e+03,-8.990439999999999543e+01
5.519780000000000086e+01,6.385649999999999636e+03,-8.990500000000000114e+01
5.623239999999999839e+01,6.268100000000000364e+03,-8.990569999999999595e+01
5.727380000000000138e+01,6.154170000000000073e+03,-8.990489999999999782e+01
5.834309999999999974e+01,6.041399999999999636e+03,-8.990470000000000539e+01
5.942949999999999733e+01,5.930779999999999745e+03,-8.990579999999999927e+01
6.054489999999999839e+01,5.822100000000000364e+03,-8.990449999999999875e+01
6.166499999999999915e+01,5.716100000000000364e+03,-8.990470000000000539e+01
6.281410000000000338e+01,5.611710000000000036e+03,-8.990510000000000446e+01
6.397950000000000159e+01,5.509920000000000073e+03,-8.990529999999999688e+01
6.517489999999999384e+01,5.408920000000000073e+03,-8.990749999999999886e+01
6.638639999999999475e+01,5.310109999999999673e+03,-8.990779999999999461e+01
6.762850000000000250e+01,5.212510000000000218e+03,-8.990529999999999688e+01
6.888630000000000564e+01,5.117439999999999600e+03,-8.990860000000000696e+01
7.017539999999999623e+01,5.023770000000000437e+03,-8.991039999999999566e+01
7.147960000000000491e+01,4.932060000000000400e+03,-8.991129999999999711e+01
7.281550000000000011e+01,4.841850000000000364e+03,-8.991070000000000562e+01
7.416559999999999775e+01,4.753770000000000437e+03,-8.991070000000000562e+01
7.554770000000000607e+01,4.666800000000000182e+03,-8.991140000000000043e+01
7.696250000000000568e+01,4.581289999999999964e+03,-8.991129999999999711e+01
7.839039999999999964e+01,4.497750000000000000e+03,-8.991110000000000468e+01
7.985089999999999577e+01,4.415460000000000036e+03,-8.991110000000000468e+01
8.134489999999999554e+01,4.334460000000000036e+03,-8.991070000000000562e+01
8.284999999999999432e+01,4.255640000000000327e+03,-8.991240000000000521e+01
8.438819999999999766e+01,4.178239999999999782e+03,-8.991289999999999338e+01
8.598449999999999704e+01,4.100560000000000400e+03,-8.991060000000000230e+01
8.756570000000000675e+01,4.026750000000000000e+03,-8.991140000000000043e+01
8.920610000000000639e+01,3.952750000000000000e+03,-8.991089999999999804e+01
9.085399999999999920e+01,3.881170000000000073e+03,-8.991089999999999804e+01
9.256399999999999295e+01,3.809369999999999891e+03,-8.990970000000000084e+01
9.428029999999999688e+01,3.740070000000000164e+03,-8.990980000000000416e+01
9.603069999999999595e+01,3.672050000000000182e+03,-8.991039999999999566e+01
9.784739999999999327e+01,3.603800000000000182e+03,-8.991140000000000043e+01
9.966779999999999973e+01,3.538039999999999964e+03,-8.991079999999999472e+01
1.015229999999999961e+02,3.473489999999999782e+03,-8.991119999999999379e+01
1.034129999999999967e+02,3.410079999999999927e+03,-8.991270000000000095e+01
1.053370000000000033e+02,3.347829999999999927e+03,-8.990739999999999554e+01
1.072960000000000065e+02,3.286690000000000055e+03,-8.990890000000000271e+01
1.092900000000000063e+02,3.226780000000000200e+03,-8.990930000000000177e+01
1.113169999999999931e+02,3.168039999999999964e+03,-8.990930000000000177e+01
1.134219999999999970e+02,3.109409999999999854e+03,-8.990749999999999886e+01
1.155180000000000007e+02,3.052880000000000109e+03,-8.990909999999999513e+01
1.176470000000000056e+02,2.997780000000000200e+03,-8.990959999999999752e+01
1.198559999999999945e+02,2.942559999999999945e+03,-8.991219999999999857e+01
1.220999999999999943e+02,2.888610000000000127e+03,-8.990709999999999980e+01
1.243780000000000001e+02,2.835429999999999836e+03,-8.990279999999999916e+01
1.266889999999999930e+02,2.783929999999999836e+03,-8.990510000000000446e+01
1.290320000000000107e+02,2.733289999999999964e+03,-8.990479999999999450e+01
1.314639999999999986e+02,2.682849999999999909e+03,-8.990380000000000393e+01
1.339290000000000020e+02,2.633469999999999800e+03,-8.990439999999999543e+01
1.363640000000000043e+02,2.586480000000000018e+03,-8.990439999999999543e+01
1.389530000000000030e+02,2.538219999999999800e+03,-8.990449999999999875e+01
1.415089999999999861e+02,2.492280000000000200e+03,-8.990279999999999916e+01
1.441610000000000014e+02,2.446659999999999854e+03,-8.990470000000000539e+01
1.468429999999999893e+02,2.401929999999999836e+03,-8.990460000000000207e+01
1.495509999999999877e+02,2.358570000000000164e+03,-8.990109999999999957e+01
1.523619999999999948e+02,2.315010000000000218e+03,-8.990340000000000487e+01
1.551990000000000123e+02,2.272829999999999927e+03,-8.989900000000000091e+01
1.580610000000000070e+02,2.231679999999999836e+03,-8.989820000000000277e+01
1.610310000000000059e+02,2.190619999999999891e+03,-8.990080000000000382e+01
1.640240000000000009e+02,2.150599999999999909e+03,-8.989730000000000132e+01
1.671310000000000002e+02,2.110610000000000127e+03,-8.989610000000000412e+01
1.702609999999999957e+02,2.071900000000000091e+03,-8.989820000000000277e+01
1.734099999999999966e+02,2.034230000000000018e+03,-8.989929999999999666e+01
1.765740000000000123e+02,1.997819999999999936e+03,-8.989669999999999561e+01
1.799639999999999986e+02,1.960240000000000009e+03,-8.989759999999999707e+01
1.832620000000000005e+02,1.925089999999999918e+03,-8.989459999999999695e+01
1.866829999999999927e+02,1.889710000000000036e+03,-8.989589999999999748e+01
1.901140000000000043e+02,1.855650000000000091e+03,-8.989660000000000650e+01
1.936730000000000018e+02,1.821549999999999955e+03,-8.989490000000000691e+01
1.973679999999999950e+02,1.787579999999999927e+03,-8.989520000000000266e+01
2.009379999999999882e+02,1.755819999999999936e+03,-8.989419999999999789e+01
2.047779999999999916e+02,1.722980000000000018e+03,-8.989199999999999591e+01
2.086229999999999905e+02,1.691210000000000036e+03,-8.989289999999999736e+01
2.124650000000000034e+02,1.660700000000000045e+03,-8.988909999999999911e+01
2.164499999999999886e+02,1.630200000000000045e+03,-8.989220000000000255e+01
2.204259999999999877e+02,1.600710000000000036e+03,-8.989130000000000109e+01
2.245509999999999877e+02,1.571369999999999891e+03,-8.989190000000000680e+01
2.286589999999999918e+02,1.543170000000000073e+03,-8.989209999999999923e+01
2.329190000000000111e+02,1.514920000000000073e+03,-8.987160000000000082e+01
2.373420000000000130e+02,1.486720000000000027e+03,-8.987109999999999843e+01
2.417410000000000139e+02,1.459730000000000018e+03,-8.986889999999999645e+01
2.463050000000000068e+02,1.432660000000000082e+03,-8.987059999999999604e+01
2.508360000000000127e+02,1.406799999999999955e+03,-8.987009999999999366e+01
2.555370000000000061e+02,1.380980000000000018e+03,-8.987069999999999936e+01
2.601909999999999741e+02,1.356279999999999973e+03,-8.987090000000000600e+01
2.650179999999999723e+02,1.331619999999999891e+03,-8.986860000000000070e+01
2.700269999999999868e+02,1.306920000000000073e+03,-8.986870000000000402e+01
2.752289999999999850e+02,1.282259999999999991e+03,-8.986860000000000070e+01
2.801120000000000232e+02,1.259950000000000045e+03,-8.986830000000000496e+01
2.854420000000000073e+02,1.236440000000000055e+03,-8.986709999999999354e+01
2.906979999999999791e+02,1.214130000000000109e+03,-8.986790000000000589e+01
