# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm. Frecuencia fija en 1 kHz 
#  Z [Ohm], Fase [°]
2.807559999999999854e+04,-7.256209999999999605e-01
2.807540000000000146e+04,-7.256219999999999892e-01
2.807550000000000000e+04,-7.256420000000000092e-01
2.807550000000000000e+04,-7.255540000000000322e-01
2.807550000000000000e+04,-7.255869999999999820e-01
2.807550000000000000e+04,-7.256089999999999485e-01
2.807550000000000000e+04,-7.257050000000000445e-01
2.807550000000000000e+04,-7.255200000000000538e-01
2.807559999999999854e+04,-7.256050000000000555e-01
2.807550000000000000e+04,-7.255770000000000275e-01
2.807550000000000000e+04,-7.257310000000000150e-01
2.807559999999999854e+04,-7.255800000000000027e-01
2.807559999999999854e+04,-7.255040000000000378e-01
2.807550000000000000e+04,-7.255359999999999587e-01
2.807550000000000000e+04,-7.255470000000000530e-01
2.807559999999999854e+04,-7.256500000000000172e-01
2.807559999999999854e+04,-7.256479999999999597e-01
2.807550000000000000e+04,-7.256470000000000420e-01
2.807559999999999854e+04,-7.257670000000000510e-01
2.807559999999999854e+04,-7.256110000000000060e-01
2.807559999999999854e+04,-7.255190000000000250e-01
2.807570000000000073e+04,-7.256780000000000452e-01
2.807570000000000073e+04,-7.256439999999999557e-01
2.807559999999999854e+04,-7.257240000000000357e-01
2.807570000000000073e+04,-7.255249999999999755e-01
2.807570000000000073e+04,-7.256369999999999765e-01
2.807570000000000073e+04,-7.257230000000000070e-01
2.807570000000000073e+04,-7.255759999999999987e-01
2.807570000000000073e+04,-7.256150000000000100e-01
2.807579999999999927e+04,-7.254570000000000185e-01
2.807570000000000073e+04,-7.255570000000000075e-01
2.807559999999999854e+04,-7.254979999999999762e-01
2.807559999999999854e+04,-7.256120000000000347e-01
2.807559999999999854e+04,-7.256059999999999732e-01
2.807559999999999854e+04,-7.255679999999999907e-01
2.807550000000000000e+04,-7.256359999999999477e-01
2.807550000000000000e+04,-7.256639999999999757e-01
2.807550000000000000e+04,-7.256259999999999932e-01
2.807550000000000000e+04,-7.256550000000000500e-01
2.807550000000000000e+04,-7.255460000000000242e-01
2.807550000000000000e+04,-7.255979999999999652e-01
2.807540000000000146e+04,-7.255549999999999500e-01
2.807540000000000146e+04,-7.258409999999999584e-01
2.807529999999999927e+04,-7.255960000000000187e-01
2.807540000000000146e+04,-7.255779999999999452e-01
2.807540000000000146e+04,-7.256620000000000292e-01
2.807550000000000000e+04,-7.255949999999999900e-01
2.807550000000000000e+04,-7.255200000000000538e-01
2.807550000000000000e+04,-7.256909999999999750e-01
2.807559999999999854e+04,-7.256780000000000452e-01
2.807550000000000000e+04,-7.256320000000000547e-01
2.807559999999999854e+04,-7.255660000000000442e-01
2.807550000000000000e+04,-7.257569999999999855e-01
2.807550000000000000e+04,-7.256869999999999710e-01
2.807559999999999854e+04,-7.256479999999999597e-01
2.807570000000000073e+04,-7.257190000000000030e-01
2.807559999999999854e+04,-7.255460000000000242e-01
2.807559999999999854e+04,-7.257010000000000405e-01
2.807559999999999854e+04,-7.257310000000000150e-01
2.807559999999999854e+04,-7.256240000000000467e-01
2.807559999999999854e+04,-7.255770000000000275e-01
2.807559999999999854e+04,-7.255089999999999595e-01
2.807570000000000073e+04,-7.255359999999999587e-01
2.807570000000000073e+04,-7.256960000000000077e-01
2.807570000000000073e+04,-7.256270000000000220e-01
2.807570000000000073e+04,-7.257230000000000070e-01
2.807570000000000073e+04,-7.256590000000000540e-01
2.807570000000000073e+04,-7.255800000000000027e-01
2.807559999999999854e+04,-7.256059999999999732e-01
2.807570000000000073e+04,-7.256799999999999917e-01
2.807570000000000073e+04,-7.255139999999999922e-01
2.807570000000000073e+04,-7.255599999999999827e-01
2.807559999999999854e+04,-7.256470000000000420e-01
2.807559999999999854e+04,-7.255989999999999940e-01
2.807570000000000073e+04,-7.255190000000000250e-01
2.807570000000000073e+04,-7.256989999999999830e-01
2.807579999999999927e+04,-7.255559999999999787e-01
2.807570000000000073e+04,-7.255530000000000035e-01
2.807579999999999927e+04,-7.257059999999999622e-01
2.807570000000000073e+04,-7.255920000000000147e-01
2.807570000000000073e+04,-7.256559999999999677e-01
2.807570000000000073e+04,-7.254829999999999890e-01
2.807570000000000073e+04,-7.256110000000000060e-01
2.807550000000000000e+04,-7.255530000000000035e-01
2.807559999999999854e+04,-7.255650000000000155e-01
2.807559999999999854e+04,-7.255709999999999660e-01
2.807550000000000000e+04,-7.255859999999999532e-01
2.807559999999999854e+04,-7.255460000000000242e-01
2.807559999999999854e+04,-7.256399999999999517e-01
2.807559999999999854e+04,-7.255979999999999652e-01
2.807550000000000000e+04,-7.257529999999999815e-01
2.807570000000000073e+04,-7.255650000000000155e-01
2.807570000000000073e+04,-7.256169999999999565e-01
2.807559999999999854e+04,-7.255489999999999995e-01
2.807559999999999854e+04,-7.256390000000000340e-01
2.807559999999999854e+04,-7.257350000000000190e-01
2.807570000000000073e+04,-7.256949999999999790e-01
2.807559999999999854e+04,-7.256120000000000347e-01
2.807570000000000073e+04,-7.255920000000000147e-01
2.807559999999999854e+04,-7.256420000000000092e-01
2.807559999999999854e+04,-7.256230000000000180e-01
2.807570000000000073e+04,-7.255859999999999532e-01
2.807570000000000073e+04,-7.256939999999999502e-01
2.807570000000000073e+04,-7.256780000000000452e-01
2.807579999999999927e+04,-7.257550000000000390e-01
2.807570000000000073e+04,-7.255819999999999492e-01
2.807570000000000073e+04,-7.256249999999999645e-01
2.807570000000000073e+04,-7.257679999999999687e-01
2.807559999999999854e+04,-7.255489999999999995e-01
2.807570000000000073e+04,-7.254909999999999970e-01
2.807559999999999854e+04,-7.254800000000000137e-01
2.807559999999999854e+04,-7.256179999999999852e-01
2.807550000000000000e+04,-7.257860000000000422e-01
2.807550000000000000e+04,-7.256010000000000515e-01
2.807559999999999854e+04,-7.256099999999999772e-01
2.807559999999999854e+04,-7.257400000000000517e-01
2.807559999999999854e+04,-7.256449999999999845e-01
2.807550000000000000e+04,-7.255700000000000482e-01
2.807559999999999854e+04,-7.256580000000000252e-01
2.807559999999999854e+04,-7.256000000000000227e-01
2.807559999999999854e+04,-7.255709999999999660e-01
2.807559999999999854e+04,-7.257130000000000525e-01
2.807570000000000073e+04,-7.254990000000000050e-01
2.807550000000000000e+04,-7.256249999999999645e-01
2.807559999999999854e+04,-7.256869999999999710e-01
2.807559999999999854e+04,-7.255430000000000490e-01
2.807570000000000073e+04,-7.256559999999999677e-01
2.807559999999999854e+04,-7.255840000000000067e-01
2.807570000000000073e+04,-7.254850000000000465e-01
2.807559999999999854e+04,-7.256110000000000060e-01
2.807570000000000073e+04,-7.255489999999999995e-01
2.807559999999999854e+04,-7.255989999999999940e-01
2.807570000000000073e+04,-7.255409999999999915e-01
2.807570000000000073e+04,-7.255989999999999940e-01
2.807559999999999854e+04,-7.254709999999999770e-01
2.807570000000000073e+04,-7.256160000000000387e-01
2.807570000000000073e+04,-7.256709999999999550e-01
2.807559999999999854e+04,-7.256329999999999725e-01
2.807570000000000073e+04,-7.255819999999999492e-01
2.807570000000000073e+04,-7.256899999999999462e-01
2.807570000000000073e+04,-7.256209999999999605e-01
2.807570000000000073e+04,-7.256829999999999670e-01
2.807570000000000073e+04,-7.257630000000000470e-01
2.807570000000000073e+04,-7.256780000000000452e-01
2.807570000000000073e+04,-7.257780000000000342e-01
2.807570000000000073e+04,-7.254770000000000385e-01
2.807579999999999927e+04,-7.256529999999999925e-01
2.807570000000000073e+04,-7.256200000000000427e-01
2.807579999999999927e+04,-7.256559999999999677e-01
2.807590000000000146e+04,-7.255460000000000242e-01
2.807590000000000146e+04,-7.255519999999999747e-01
2.807579999999999927e+04,-7.255840000000000067e-01
2.807579999999999927e+04,-7.256799999999999917e-01
2.807590000000000146e+04,-7.255639999999999867e-01
2.807590000000000146e+04,-7.255439999999999667e-01
2.807590000000000146e+04,-7.256650000000000045e-01
2.807590000000000146e+04,-7.256029999999999980e-01
2.807579999999999927e+04,-7.256139999999999812e-01
2.807579999999999927e+04,-7.256240000000000467e-01
2.807579999999999927e+04,-7.254960000000000298e-01
2.807590000000000146e+04,-7.255239999999999467e-01
2.807590000000000146e+04,-7.256590000000000540e-01
2.807579999999999927e+04,-7.255120000000000458e-01
2.807570000000000073e+04,-7.256660000000000332e-01
2.807590000000000146e+04,-7.256650000000000045e-01
2.807579999999999927e+04,-7.256869999999999710e-01
2.807590000000000146e+04,-7.255690000000000195e-01
2.807579999999999927e+04,-7.256420000000000092e-01
2.807590000000000146e+04,-7.256989999999999830e-01
2.807579999999999927e+04,-7.255749999999999700e-01
2.807579999999999927e+04,-7.255880000000000107e-01
2.807579999999999927e+04,-7.256010000000000515e-01
2.807579999999999927e+04,-7.256620000000000292e-01
2.807579999999999927e+04,-7.256179999999999852e-01
2.807579999999999927e+04,-7.256989999999999830e-01
2.807590000000000146e+04,-7.257959999999999967e-01
2.807590000000000146e+04,-7.257940000000000502e-01
2.807579999999999927e+04,-7.256679999999999797e-01
2.807590000000000146e+04,-7.256110000000000060e-01
2.807590000000000146e+04,-7.256040000000000267e-01
2.807590000000000146e+04,-7.256329999999999725e-01
2.807579999999999927e+04,-7.256620000000000292e-01
2.807590000000000146e+04,-7.256839999999999957e-01
2.807579999999999927e+04,-7.255730000000000235e-01
2.807579999999999927e+04,-7.255289999999999795e-01
2.807579999999999927e+04,-7.255570000000000075e-01
2.807590000000000146e+04,-7.255800000000000027e-01
2.807590000000000146e+04,-7.255789999999999740e-01
2.807590000000000146e+04,-7.256500000000000172e-01
2.807590000000000146e+04,-7.256029999999999980e-01
2.807590000000000146e+04,-7.256070000000000020e-01
2.807590000000000146e+04,-7.255160000000000498e-01
2.807590000000000146e+04,-7.255690000000000195e-01
2.807590000000000146e+04,-7.255249999999999755e-01
2.807590000000000146e+04,-7.254730000000000345e-01
2.807600000000000000e+04,-7.256420000000000092e-01
2.807600000000000000e+04,-7.256420000000000092e-01
2.807590000000000146e+04,-7.256099999999999772e-01
2.807590000000000146e+04,-7.255460000000000242e-01
2.807600000000000000e+04,-7.257890000000000175e-01
