# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.010710000000000000e+07,-2.094910000000000105e-01
2.075120000000000076e+01,1.011130000000000000e+07,7.940170000000000517e-04
2.153320000000000078e+01,1.011280000000000000e+07,-4.088649999999999923e-02
2.234140000000000015e+01,1.011200000000000000e+07,-1.779330000000000078e-01
2.318029999999999902e+01,1.011000000000000000e+07,-5.106320000000000303e-02
2.405000000000000071e+01,1.011080000000000000e+07,-5.854100000000000276e-02
2.495429999999999993e+01,1.010240000000000000e+07,-8.815209999999999713e-02
2.589110000000000156e+01,1.010340000000000000e+07,-9.739319999999999922e-02
2.686730000000000018e+01,1.010120000000000000e+07,-1.324410000000000032e-01
2.787330000000000041e+01,1.009780000000000000e+07,7.957699999999999843e-03
2.892119999999999891e+01,1.011420000000000000e+07,-7.070809999999999595e-02
3.000600000000000023e+01,1.010440000000000000e+07,-6.025699999999999806e-02
3.113329999999999842e+01,1.009150000000000000e+07,-1.894889999999999908e-01
3.230319999999999681e+01,1.009160000000000000e+07,7.740890000000000271e-02
3.352329999999999899e+01,1.010400000000000000e+07,-6.001020000000000243e-01
3.478260000000000218e+01,1.008930000000000000e+07,1.552669999999999884e-01
3.608809999999999718e+01,1.009320000000000000e+07,-1.755099999999999993e-01
3.743919999999999959e+01,1.010370000000000000e+07,-2.072090000000000043e-01
3.884499999999999886e+01,1.005840000000000000e+07,1.771850000000000092e-01
4.030630000000000024e+01,1.014010000000000000e+07,3.592429999999999790e-01
4.182350000000000279e+01,1.006900000000000000e+07,-3.969400000000000150e-01
4.339020000000000010e+01,1.009740000000000000e+07,-1.240590000000000026e-01
4.501800000000000068e+01,1.008420000000000000e+07,-2.381540000000000046e-01
4.671439999999999770e+01,1.005440000000000000e+07,-1.997780000000000111e-01
4.846529999999999916e+01,1.008170000000000000e+07,1.712289999999999923e-01
5.029339999999999833e+01,1.019370000000000000e+07,-6.536699999999999733e-01
5.218299999999999983e+01,1.008650000000000000e+07,9.618559999999999610e-02
5.415160000000000196e+01,1.004690000000000000e+07,-2.110710000000000086e-01
5.616929999999999978e+01,1.009070000000000000e+07,-2.365389999999999993e-01
5.828640000000000043e+01,1.008000000000000000e+07,-2.271749999999999881e-01
6.048389999999999844e+01,1.018500000000000000e+07,-4.603200000000000069e-01
6.274839999999999662e+01,1.011710000000000000e+07,-5.421479999999999633e-01
6.510420000000000584e+01,1.001140000000000000e+07,-7.991679999999999895e-01
6.755240000000000578e+01,1.015420000000000000e+07,-2.545930000000000068e-02
7.007710000000000150e+01,1.005990000000000000e+07,-3.498350000000000071e-01
7.272729999999999961e+01,1.013790000000000000e+07,-2.951139999999999874e-01
7.547169999999999845e+01,1.009020000000000000e+07,-4.585449999999999804e-01
7.828810000000000002e+01,1.008800000000000000e+07,-4.499119999999999786e-01
8.125679999999999836e+01,1.009600000000000000e+07,-3.447749999999999981e-01
8.429330000000000211e+01,1.006480000000000000e+07,-5.479509999999999659e-01
8.743810000000000571e+01,1.012410000000000000e+07,-2.294720000000000093e-01
9.074410000000000309e+01,1.004170000000000000e+07,-5.680340000000000389e-01
9.413240000000000407e+01,1.008510000000000000e+07,-7.421640000000000459e-01
9.768800000000000239e+01,1.008430000000000000e+07,-5.979210000000000358e-01
1.013509999999999991e+02,1.015890000000000000e+07,-6.023239999999999705e-01
1.051520000000000010e+02,1.006150000000000000e+07,-6.292079999999999895e-01
1.091310000000000002e+02,1.014840000000000000e+07,-3.665129999999999777e-01
1.132500000000000000e+02,1.015480000000000000e+07,-5.678299999999999459e-01
1.175090000000000003e+02,1.010630000000000000e+07,-5.136579999999999480e-01
1.218520000000000039e+02,1.011000000000000000e+07,-5.302470000000000239e-01
1.265289999999999964e+02,1.011180000000000000e+07,-5.952610000000000401e-01
1.311759999999999877e+02,1.011490000000000000e+07,-5.216800000000000326e-01
1.361160000000000139e+02,1.012220000000000000e+07,-5.971549999999999914e-01
1.413089999999999975e+02,1.010960000000000000e+07,-5.199690000000000145e-01
1.466279999999999859e+02,1.011150000000000000e+07,-6.101429999999999909e-01
1.521299999999999955e+02,1.009400000000000000e+07,-6.486560000000000104e-01
1.578950000000000102e+02,1.014040000000000000e+07,-5.946270000000000167e-01
1.636659999999999968e+02,1.006120000000000000e+07,-8.013940000000000508e-01
1.698750000000000000e+02,1.013210000000000000e+07,-5.469589999999999730e-01
1.762630000000000052e+02,1.008550000000000000e+07,-8.618440000000000545e-01
1.828149999999999977e+02,1.012430000000000000e+07,-7.579639999999999711e-01
1.897529999999999859e+02,1.012030000000000000e+07,-8.983170000000000321e-01
1.968499999999999943e+02,1.008850000000000000e+07,-9.232280000000000486e-01
2.043600000000000136e+02,1.012930000000000000e+07,-7.913689999999999891e-01
2.118640000000000043e+02,1.013770000000000000e+07,-9.211380000000000123e-01
2.199410000000000025e+02,1.013850000000000000e+07,-8.256179999999999630e-01
2.283110000000000070e+02,1.013700000000000000e+07,-8.172220000000000040e-01
2.369670000000000130e+02,1.011760000000000000e+07,-7.761860000000000426e-01
2.456999999999999886e+02,1.014510000000000000e+07,-8.212009999999999588e-01
2.548849999999999909e+02,1.013920000000000000e+07,-8.693899999999999961e-01
2.645500000000000114e+02,1.014660000000000000e+07,-8.360429999999999806e-01
2.747250000000000227e+02,1.011540000000000000e+07,-8.680799999999999628e-01
2.848999999999999773e+02,1.014300000000000000e+07,-9.885749999999999815e-01
2.955659999999999741e+02,1.014700000000000000e+07,-9.620140000000000358e-01
3.064350000000000023e+02,1.015350000000000000e+07,-1.086940000000000017e+00
3.184710000000000036e+02,1.013330000000000000e+07,-1.063790000000000013e+00
3.300330000000000155e+02,1.012860000000000000e+07,-1.106579999999999897e+00
3.428570000000000277e+02,1.014720000000000000e+07,-1.172889999999999988e+00
3.554499999999999886e+02,1.015740000000000000e+07,-1.126840000000000064e+00
3.685500000000000114e+02,1.013900000000000000e+07,-1.236369999999999969e+00
3.826530000000000200e+02,1.016430000000000000e+07,-1.338009999999999922e+00
3.968249999999999886e+02,1.015360000000000000e+07,-1.281479999999999952e+00
4.120880000000000223e+02,1.012110000000000000e+07,-1.381320000000000103e+00
4.273500000000000227e+02,1.015710000000000000e+07,-1.407289999999999930e+00
4.431309999999999718e+02,1.013290000000000000e+07,-1.430449999999999999e+00
4.608290000000000077e+02,1.016040000000000000e+07,-1.507030000000000092e+00
4.777069999999999936e+02,1.014350000000000000e+07,-1.582810000000000050e+00
4.950489999999999782e+02,1.012050000000000000e+07,-1.642470000000000097e+00
5.145800000000000409e+02,1.015540000000000000e+07,-1.768769999999999953e+00
5.338079999999999927e+02,1.016840000000000000e+07,-1.717030000000000056e+00
5.545289999999999964e+02,1.014160000000000000e+07,-1.820719999999999894e+00
5.747129999999999654e+02,1.014760000000000000e+07,-1.901699999999999946e+00
5.952380000000000564e+02,1.015540000000000000e+07,-1.914130000000000109e+00
6.198350000000000364e+02,1.015160000000000000e+07,-2.072179999999999911e+00
6.423980000000000246e+02,1.017350000000000000e+07,-2.082250000000000156e+00
6.651879999999999882e+02,1.015330000000000000e+07,-2.162900000000000045e+00
6.896549999999999727e+02,1.014200000000000000e+07,-2.193330000000000002e+00
7.159900000000000091e+02,1.014170000000000000e+07,-2.380459999999999798e+00
7.425739999999999554e+02,1.013710000000000000e+07,-2.433840000000000003e+00
7.712079999999999700e+02,1.014390000000000000e+07,-2.519600000000000062e+00
8.000000000000000000e+02,1.013770000000000000e+07,-2.611359999999999904e+00
8.333329999999999700e+02,1.014810000000000000e+07,-2.677200000000000024e+00
8.620689999999999600e+02,1.014230000000000000e+07,-2.867999999999999883e+00
8.928569999999999709e+02,1.013870000000000000e+07,-2.907230000000000203e+00
9.316770000000000209e+02,1.014660000000000000e+07,-3.023179999999999978e+00
9.615380000000000109e+02,1.015180000000000000e+07,-3.111489999999999867e+00
1.000000000000000000e+03,1.015390000000000000e+07,-3.226080000000000059e+00
1.038059999999999945e+03,1.014380000000000000e+07,-3.404700000000000060e+00
1.079140000000000100e+03,1.015100000000000000e+07,-3.561539999999999928e+00
1.115240000000000009e+03,1.013060000000000000e+07,-3.501180000000000181e+00
1.158299999999999955e+03,1.014210000000000000e+07,-3.761979999999999880e+00
1.200000000000000000e+03,1.013550000000000000e+07,-3.821530000000000094e+00
1.244809999999999945e+03,1.013190000000000000e+07,-4.016659999999999897e+00
1.293099999999999909e+03,1.013030000000000000e+07,-4.217559999999999754e+00
1.345289999999999964e+03,1.012910000000000000e+07,-4.377659999999999663e+00
1.401869999999999891e+03,1.011220000000000000e+07,-4.402180000000000426e+00
1.449279999999999973e+03,1.012480000000000000e+07,-4.666629999999999612e+00
1.500000000000000000e+03,1.011590000000000000e+07,-4.850060000000000038e+00
1.554400000000000091e+03,1.012800000000000000e+07,-4.974859999999999616e+00
1.612900000000000091e+03,1.012120000000000000e+07,-5.177179999999999893e+00
1.685390000000000100e+03,1.012880000000000000e+07,-5.358139999999999681e+00
1.734099999999999909e+03,1.010430000000000000e+07,-5.604059999999999597e+00
1.818180000000000064e+03,1.010640000000000000e+07,-5.818360000000000198e+00
1.875000000000000000e+03,1.009730000000000000e+07,-5.987840000000000273e+00
1.948049999999999955e+03,1.010470000000000000e+07,-6.197449999999999903e+00
2.013420000000000073e+03,1.008470000000000000e+07,-6.388560000000000016e+00
