# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.793840000000000146e+03,3.849230000000000013e-02
2.075120000000000076e+01,2.793619999999999891e+03,3.608200000000000296e-02
2.153320000000000078e+01,2.793300000000000182e+03,3.665820000000000189e-02
2.234140000000000015e+01,2.793090000000000146e+03,3.420820000000000111e-02
2.318029999999999902e+01,2.792960000000000036e+03,3.227789999999999826e-02
2.405000000000000071e+01,2.792800000000000182e+03,3.074750000000000053e-02
2.495429999999999993e+01,2.792659999999999854e+03,2.944739999999999858e-02
2.589110000000000156e+01,2.793090000000000146e+03,2.873679999999999984e-02
2.686730000000000018e+01,2.793550000000000182e+03,2.773190000000000030e-02
2.787330000000000041e+01,2.793820000000000164e+03,2.703950000000000103e-02
2.892119999999999891e+01,2.793860000000000127e+03,2.583989999999999898e-02
3.000600000000000023e+01,2.793929999999999836e+03,2.338109999999999841e-02
3.113329999999999842e+01,2.794030000000000200e+03,2.351670000000000149e-02
3.230319999999999681e+01,2.794130000000000109e+03,2.135060000000000083e-02
3.352329999999999899e+01,2.794050000000000182e+03,2.166790000000000035e-02
3.478260000000000218e+01,2.794130000000000109e+03,2.199519999999999947e-02
3.608809999999999718e+01,2.794250000000000000e+03,2.034969999999999835e-02
3.743919999999999959e+01,2.794159999999999854e+03,1.886349999999999832e-02
3.884499999999999886e+01,2.794250000000000000e+03,1.412710000000000007e-02
4.030630000000000024e+01,2.794099999999999909e+03,1.744340000000000127e-02
4.182350000000000279e+01,2.793900000000000091e+03,1.754100000000000104e-02
4.339020000000000010e+01,2.793849999999999909e+03,1.742109999999999839e-02
4.501800000000000068e+01,2.793869999999999891e+03,1.677510000000000112e-02
4.671439999999999770e+01,2.793929999999999836e+03,1.733209999999999959e-02
4.846529999999999916e+01,2.794070000000000164e+03,1.682900000000000021e-02
5.029339999999999833e+01,2.794059999999999945e+03,1.210549999999999994e-02
5.218299999999999983e+01,2.794090000000000146e+03,1.199779999999999944e-02
5.415160000000000196e+01,2.793860000000000127e+03,1.122770000000000018e-02
5.616929999999999978e+01,2.793900000000000091e+03,1.070429999999999993e-02
5.828640000000000043e+01,2.793789999999999964e+03,1.081739999999999959e-02
6.048389999999999844e+01,2.793699999999999818e+03,1.130089999999999914e-02
6.274839999999999662e+01,2.793710000000000036e+03,8.061330000000000232e-03
6.510420000000000584e+01,2.793630000000000109e+03,1.326409999999999915e-02
6.755240000000000578e+01,2.793670000000000073e+03,1.044229999999999985e-02
7.007710000000000150e+01,2.793630000000000109e+03,9.298350000000000365e-03
7.272729999999999961e+01,2.793550000000000182e+03,6.301730000000000179e-03
7.547169999999999845e+01,2.793400000000000091e+03,6.106780000000000021e-03
7.828810000000000002e+01,2.793400000000000091e+03,5.232950000000000101e-03
8.125679999999999836e+01,2.793440000000000055e+03,6.000270000000000256e-03
8.429330000000000211e+01,2.793559999999999945e+03,8.760300000000000378e-03
8.743810000000000571e+01,2.793650000000000091e+03,7.342989999999999760e-03
9.074410000000000309e+01,2.793260000000000218e+03,2.108309999999999958e-03
9.413240000000000407e+01,2.793420000000000073e+03,3.738149999999999980e-03
9.768800000000000239e+01,2.793440000000000055e+03,1.206310000000000021e-02
1.013509999999999991e+02,2.793360000000000127e+03,6.548439999999999990e-03
1.051520000000000010e+02,2.793050000000000182e+03,9.311550000000000035e-03
1.091310000000000002e+02,2.793409999999999854e+03,4.579429999999999785e-03
1.132500000000000000e+02,2.793539999999999964e+03,2.686440000000000008e-03
