# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,2.780619999999999891e+03,3.719390000000000196e-02
2.075120000000000076e+01,2.780769999999999982e+03,3.581100000000000255e-02
2.153320000000000078e+01,2.780889999999999873e+03,3.349930000000000269e-02
2.234140000000000015e+01,2.781039999999999964e+03,3.179499999999999688e-02
2.318029999999999902e+01,2.780820000000000164e+03,3.166859999999999814e-02
2.405000000000000071e+01,2.780940000000000055e+03,2.989719999999999878e-02
2.495429999999999993e+01,2.780989999999999782e+03,2.896999999999999922e-02
2.589110000000000156e+01,2.780869999999999891e+03,2.877050000000000093e-02
2.686730000000000018e+01,2.780849999999999909e+03,2.692570000000000033e-02
2.787330000000000041e+01,2.780889999999999873e+03,2.480539999999999828e-02
2.892119999999999891e+01,2.780860000000000127e+03,2.397919999999999913e-02
3.000600000000000023e+01,2.780789999999999964e+03,2.276780000000000123e-02
3.113329999999999842e+01,2.780909999999999854e+03,2.239849999999999827e-02
3.230319999999999681e+01,2.780980000000000018e+03,1.909370000000000164e-02
3.352329999999999899e+01,2.781030000000000200e+03,1.778439999999999882e-02
3.478260000000000218e+01,2.781110000000000127e+03,2.292430000000000162e-02
3.608809999999999718e+01,2.781230000000000018e+03,1.987790000000000043e-02
3.743919999999999959e+01,2.781110000000000127e+03,2.124180000000000165e-02
3.884499999999999886e+01,2.781210000000000036e+03,1.404940000000000008e-02
4.030630000000000024e+01,2.781489999999999782e+03,1.735779999999999962e-02
4.182350000000000279e+01,2.781349999999999909e+03,1.736940000000000012e-02
4.339020000000000010e+01,2.781360000000000127e+03,1.352480000000000002e-02
4.501800000000000068e+01,2.781210000000000036e+03,1.504340000000000017e-02
4.671439999999999770e+01,2.781110000000000127e+03,1.262590000000000066e-02
4.846529999999999916e+01,2.781320000000000164e+03,1.801260000000000014e-02
5.029339999999999833e+01,2.781369999999999891e+03,1.247479999999999943e-02
5.218299999999999983e+01,2.781599999999999909e+03,1.025249999999999946e-02
5.415160000000000196e+01,2.781289999999999964e+03,1.452239999999999955e-02
5.616929999999999978e+01,2.781510000000000218e+03,1.031450000000000075e-02
