# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,9.534029999999999916e+01,4.178740000000000232e-02
2.075120000000000076e+01,9.536419999999999675e+01,3.915269999999999861e-02
2.153320000000000078e+01,9.544790000000000418e+01,3.879090000000000316e-02
2.234140000000000015e+01,9.556210000000000093e+01,3.662889999999999896e-02
2.318029999999999902e+01,9.560609999999999786e+01,3.532729999999999898e-02
2.405000000000000071e+01,9.561079999999999757e+01,3.426939999999999847e-02
2.495429999999999993e+01,9.561440000000000339e+01,3.203709999999999891e-02
2.589110000000000156e+01,9.561939999999999884e+01,3.147080000000000016e-02
2.686730000000000018e+01,9.561809999999999832e+01,2.943000000000000130e-02
2.787330000000000041e+01,9.562839999999999918e+01,2.944050000000000139e-02
2.892119999999999891e+01,9.563339999999999463e+01,2.869620000000000157e-02
3.000600000000000023e+01,9.559080000000000155e+01,2.495230000000000017e-02
3.113329999999999842e+01,9.553669999999999618e+01,2.543540000000000037e-02
3.230319999999999681e+01,9.551239999999999952e+01,2.416269999999999876e-02
3.352329999999999899e+01,9.601049999999999329e+01,2.355470000000000133e-02
3.478260000000000218e+01,9.603260000000000218e+01,2.083870000000000167e-02
3.608809999999999718e+01,9.603589999999999804e+01,2.097219999999999987e-02
3.743919999999999959e+01,9.603449999999999420e+01,1.955689999999999859e-02
3.884499999999999886e+01,9.605150000000000432e+01,1.960119999999999918e-02
4.030630000000000024e+01,9.604760000000000275e+01,1.834819999999999854e-02
4.182350000000000279e+01,9.603969999999999629e+01,1.670879999999999935e-02
4.339020000000000010e+01,9.601839999999999975e+01,1.941910000000000164e-02
4.501800000000000068e+01,9.591509999999999536e+01,1.707229999999999859e-02
4.671439999999999770e+01,9.581719999999999970e+01,1.951910000000000103e-02
4.846529999999999916e+01,9.574559999999999604e+01,1.841519999999999962e-02
5.029339999999999833e+01,9.570019999999999527e+01,1.546630000000000053e-02
5.218299999999999983e+01,9.569979999999999620e+01,1.324189999999999916e-02
5.415160000000000196e+01,9.573690000000000566e+01,1.417509999999999951e-02
5.616929999999999978e+01,9.577939999999999543e+01,1.388580000000000023e-02
5.828640000000000043e+01,9.580429999999999779e+01,1.319320000000000041e-02
6.048389999999999844e+01,9.581059999999999377e+01,1.319460000000000077e-02
6.274839999999999662e+01,9.582940000000000680e+01,1.362999999999999975e-02
6.510420000000000584e+01,9.581629999999999825e+01,1.167009999999999922e-02
6.755240000000000578e+01,9.583050000000000068e+01,1.231379999999999975e-02
7.007710000000000150e+01,9.583199999999999363e+01,9.955349999999999963e-03
7.272729999999999961e+01,9.579999999999999716e+01,8.874969999999999387e-03
7.547169999999999845e+01,9.575799999999999557e+01,9.837500000000000758e-03
7.828810000000000002e+01,9.571359999999999957e+01,8.857860000000000386e-03
8.125679999999999836e+01,9.565579999999999927e+01,9.845730000000000454e-03
8.429330000000000211e+01,9.562770000000000437e+01,5.588280000000000157e-03
8.743810000000000571e+01,9.560009999999999764e+01,7.149110000000000187e-03
9.074410000000000309e+01,9.557620000000000005e+01,5.540970000000000097e-03
9.413240000000000407e+01,9.553539999999999566e+01,8.746270000000000433e-03
9.768800000000000239e+01,9.549930000000000518e+01,1.359469999999999993e-03
1.013509999999999991e+02,9.545210000000000150e+01,8.103600000000000733e-03
1.051520000000000010e+02,9.538150000000000261e+01,7.456520000000000335e-03
1.091310000000000002e+02,9.530889999999999418e+01,7.700700000000000427e-03
1.132500000000000000e+02,9.523369999999999891e+01,2.079310000000000012e-03
1.175090000000000003e+02,9.519089999999999918e+01,6.539239999999999983e-03
1.218520000000000039e+02,9.514449999999999363e+01,1.008700000000000048e-02
1.265289999999999964e+02,9.511329999999999529e+01,1.292139999999999955e-02
1.311759999999999877e+02,9.508689999999999998e+01,6.056790000000000264e-03
1.361160000000000139e+02,9.507240000000000180e+01,6.172659999999999952e-03
1.413089999999999975e+02,9.507080000000000553e+01,8.892459999999999601e-03
1.466279999999999859e+02,9.508329999999999416e+01,9.222299999999999248e-03
1.521299999999999955e+02,9.509239999999999782e+01,6.256409999999999576e-03
1.578950000000000102e+02,9.510039999999999338e+01,-1.372069999999999974e-03
1.636659999999999968e+02,9.511709999999999354e+01,-1.482119999999999965e-03
1.698750000000000000e+02,9.511209999999999809e+01,4.412130000000000218e-03
1.762630000000000052e+02,9.512600000000000477e+01,6.745890000000000046e-03
1.828149999999999977e+02,9.513899999999999579e+01,6.058069999999999601e-03
1.897529999999999859e+02,9.512779999999999347e+01,1.224620000000000049e-03
1.968499999999999943e+02,9.514669999999999561e+01,1.970949999999999959e-03
2.043600000000000136e+02,9.515879999999999939e+01,5.450439999999999972e-03
2.118640000000000043e+02,9.518099999999999739e+01,7.660529999999999597e-03
2.199410000000000025e+02,9.519819999999999993e+01,-6.198939999999999572e-04
2.283110000000000070e+02,9.520749999999999602e+01,4.586770000000000430e-03
2.369670000000000130e+02,9.519750000000000512e+01,8.072460000000000052e-03
2.456999999999999886e+02,9.518540000000000134e+01,2.656720000000000002e-03
2.548849999999999909e+02,9.520210000000000150e+01,5.284960000000000005e-03
2.645500000000000114e+02,9.519020000000000437e+01,3.469410000000000029e-03
2.747250000000000227e+02,9.517130000000000223e+01,6.237440000000000345e-03
2.848999999999999773e+02,9.515999999999999659e+01,8.087129999999999666e-03
2.955659999999999741e+02,9.514600000000000080e+01,7.984939999999999399e-03
3.064350000000000023e+02,9.516670000000000584e+01,7.627229999999999600e-03
3.184710000000000036e+02,9.517109999999999559e+01,6.558969999999999904e-03
3.300330000000000155e+02,9.518420000000000414e+01,7.412270000000000317e-03
3.428570000000000277e+02,9.520420000000000016e+01,4.155329999999999614e-03
3.554499999999999886e+02,9.522969999999999402e+01,6.137219999999999655e-03
3.685500000000000114e+02,9.525809999999999889e+01,6.146859999999999651e-03
3.826530000000000200e+02,9.526579999999999870e+01,7.587169999999999852e-03
3.968249999999999886e+02,9.528900000000000148e+01,3.725000000000000012e-03
4.120880000000000223e+02,9.529770000000000607e+01,5.807159999999999579e-03
4.273500000000000227e+02,9.532250000000000512e+01,8.392059999999999798e-03
4.431309999999999718e+02,9.531929999999999836e+01,1.122420000000000015e-02
4.608290000000000077e+02,9.532269999999999754e+01,8.747440000000000423e-03
4.777069999999999936e+02,9.532550000000000523e+01,9.182819999999999525e-03
4.950489999999999782e+02,9.534130000000000393e+01,5.942059999999999877e-03
5.145800000000000409e+02,9.534810000000000230e+01,9.270040000000000224e-03
