# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.009860000000000000e+07,-3.528360000000000163e+00
2.037349999999999994e+01,1.006140000000000000e+07,-2.561030000000000140e+00
2.075260000000000105e+01,1.009510000000000000e+07,-2.980809999999999960e+00
2.114020000000000010e+01,1.007400000000000000e+07,-2.455560000000000187e+00
2.153320000000000078e+01,1.012480000000000000e+07,-2.058600000000000207e+00
2.193459999999999965e+01,1.014360000000000000e+07,-3.626170000000000115e+00
2.234299999999999997e+01,1.010160000000000000e+07,-1.569169999999999954e+00
2.275829999999999842e+01,1.005740000000000000e+07,-2.332430000000000003e+00
2.318209999999999837e+01,1.013400000000000000e+07,-3.161919999999999842e+00
2.361459999999999937e+01,1.011740000000000000e+07,-2.921190000000000175e+00
2.405580000000000140e+01,1.008770000000000000e+07,-3.070689999999999920e+00
2.450379999999999825e+01,1.009680000000000000e+07,-2.958120000000000083e+00
2.496049999999999969e+01,1.009170000000000000e+07,-3.156660000000000021e+00
2.542589999999999861e+01,1.009770000000000000e+07,-3.200699999999999878e+00
2.589780000000000015e+01,1.008090000000000000e+07,-2.966709999999999958e+00
2.638060000000000116e+01,1.010500000000000000e+07,-3.078349999999999920e+00
2.687209999999999965e+01,1.009390000000000000e+07,-3.383449999999999847e+00
2.737229999999999919e+01,1.014380000000000000e+07,-4.085869999999999891e+00
2.788360000000000127e+01,1.000350000000000000e+07,-3.272619999999999862e+00
2.840099999999999980e+01,1.000270000000000000e+07,-2.192480000000000206e+00
2.893240000000000123e+01,9.931940000000000000e+06,-3.490870000000000140e+00
2.946950000000000003e+01,1.008510000000000000e+07,-5.026760000000000339e+00
3.001800000000000068e+01,1.017980000000000000e+07,-2.757319999999999993e+00
3.057789999999999964e+01,1.010430000000000000e+07,-3.533879999999999910e+00
3.114939999999999998e+01,1.003740000000000000e+07,-4.556639999999999802e+00
3.172919999999999874e+01,1.021110000000000000e+07,-2.192330000000000112e+00
3.232059999999999889e+01,1.022130000000000000e+07,-4.969590000000000174e+00
3.292000000000000171e+01,1.035500000000000000e+07,-5.369080000000000297e+00
3.353450000000000131e+01,1.028170000000000000e+07,-6.529919999999999725e+00
3.416080000000000183e+01,1.004590000000000000e+07,-1.960809999999999942e+00
3.479869999999999663e+01,1.001210000000000000e+07,-2.666650000000000187e+00
3.544420000000000215e+01,1.028040000000000000e+07,-4.202890000000000015e+00
3.610540000000000305e+01,1.007510000000000000e+07,-4.843709999999999738e+00
3.677819999999999823e+01,1.053930000000000000e+07,-5.450109999999999566e+00
3.746249999999999858e+01,1.269510000000000000e+07,-2.502889999999999837e+00
3.815820000000000078e+01,1.043950000000000000e+07,-6.024639999999999773e+00
3.887019999999999698e+01,9.610660000000000000e+06,-2.643489999999999895e+00
3.959349999999999881e+01,9.679970000000000000e+06,-7.155439999999999579e+00
4.033339999999999748e+01,9.547860000000000000e+06,-6.614639999999999631e+00
4.108460000000000178e+01,1.047230000000000000e+07,-1.571430000000000105e+00
4.185269999999999868e+01,1.017010000000000000e+07,-2.141550000000000065e+00
4.263179999999999836e+01,1.020340000000000000e+07,-5.950569999999999915e+00
4.342159999999999798e+01,1.020730000000000000e+07,-4.237490000000000201e+00
4.423469999999999658e+01,9.999320000000000000e+06,-5.777479999999999727e+00
4.505859999999999843e+01,1.009910000000000000e+07,-5.005390000000000228e+00
4.589959999999999951e+01,1.029690000000000000e+07,-3.874010000000000176e+00
4.675079999999999814e+01,9.695860000000000000e+06,-8.207399999999999807e+00
4.761899999999999977e+01,9.913140000000000000e+06,-3.298249999999999904e+00
4.851230000000000331e+01,1.019780000000000000e+07,-1.755139999999999922e+00
4.941530000000000200e+01,9.394370000000000000e+06,-4.757139999999999702e+00
5.033559999999999945e+01,1.031550000000000000e+07,-1.006060000000000088e+01
5.127329999999999899e+01,9.326760000000000000e+06,-4.623190000000000133e+00
5.222840000000000060e+01,9.790700000000000000e+06,-3.068249999999999922e+00
5.320089999999999719e+01,9.711890000000000000e+06,-7.285940000000000083e+00
5.419080000000000297e+01,9.579050000000000000e+06,-5.242009999999999614e+00
5.519780000000000086e+01,1.011640000000000000e+07,-7.320310000000000095e+00
5.623239999999999839e+01,9.906540000000000000e+06,-6.918169999999999931e+00
5.727380000000000138e+01,9.980260000000000000e+06,-6.849689999999999834e+00
5.834309999999999974e+01,1.009900000000000000e+07,-6.842109999999999914e+00
5.942949999999999733e+01,9.686230000000000000e+06,-5.270710000000000228e+00
6.054489999999999839e+01,9.980560000000000000e+06,-7.836850000000000094e+00
6.166499999999999915e+01,1.023420000000000000e+07,-6.843989999999999796e+00
6.281410000000000338e+01,9.607090000000000000e+06,-8.713889999999999247e+00
6.397950000000000159e+01,1.046330000000000000e+07,-5.886790000000000411e+00
6.517489999999999384e+01,9.276260000000000000e+06,-8.694559999999999178e+00
6.638639999999999475e+01,1.047500000000000000e+07,-1.068520000000000003e+01
6.762850000000000250e+01,1.076050000000000000e+07,-6.404189999999999827e+00
6.888630000000000564e+01,1.071390000000000000e+07,-7.727149999999999963e+00
7.017539999999999623e+01,9.503110000000000000e+06,-1.111839999999999939e+01
7.147960000000000491e+01,1.052370000000000000e+07,-7.833639999999999937e+00
7.281550000000000011e+01,1.039420000000000000e+07,-8.174549999999999983e+00
7.416559999999999775e+01,9.523380000000000000e+06,-1.030729999999999968e+01
7.554770000000000607e+01,9.654540000000000000e+06,-1.051740000000000030e+01
7.696250000000000568e+01,9.720150000000000000e+06,-1.029020000000000046e+01
7.839039999999999964e+01,1.003630000000000000e+07,-8.960480000000000445e+00
7.985089999999999577e+01,9.888060000000000000e+06,-9.570550000000000779e+00
8.134489999999999554e+01,9.898560000000000000e+06,-9.314149999999999707e+00
8.284999999999999432e+01,9.666960000000000000e+06,-1.049339999999999939e+01
8.438819999999999766e+01,9.551490000000000000e+06,-1.120369999999999955e+01
8.598449999999999704e+01,9.838420000000000000e+06,-8.912810000000000343e+00
8.756570000000000675e+01,9.954300000000000000e+06,-1.174089999999999989e+01
8.920610000000000639e+01,9.959050000000000000e+06,-9.647809999999999775e+00
9.085399999999999920e+01,9.344680000000000000e+06,-1.219270000000000032e+01
9.256399999999999295e+01,9.480750000000000000e+06,-1.272359999999999935e+01
9.428029999999999688e+01,9.753950000000000000e+06,-1.338589999999999947e+01
9.603069999999999595e+01,1.032150000000000000e+07,-1.117510000000000048e+01
9.784739999999999327e+01,9.331150000000000000e+06,-1.213870000000000005e+01
9.966779999999999973e+01,1.034770000000000000e+07,-1.158300000000000018e+01
1.015229999999999961e+02,9.828600000000000000e+06,-8.947919999999999874e+00
1.034129999999999967e+02,9.203480000000000000e+06,-1.121969999999999956e+01
1.053370000000000033e+02,9.247740000000000000e+06,-1.226479999999999926e+01
1.072960000000000065e+02,1.026350000000000000e+07,-1.252560000000000073e+01
1.092900000000000063e+02,9.333460000000000000e+06,-1.228580000000000005e+01
1.113169999999999931e+02,9.186680000000000000e+06,-1.196669999999999945e+01
1.134219999999999970e+02,9.650780000000000000e+06,-1.212279999999999980e+01
1.155180000000000007e+02,9.659250000000000000e+06,-1.161350000000000016e+01
1.176470000000000056e+02,9.975260000000000000e+06,-1.558810000000000073e+01
1.198559999999999945e+02,9.867600000000000000e+06,-1.215970000000000084e+01
