# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm 
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,3.314690000000000146e+04,-3.206040000000000134e+01
2.037349999999999994e+01,3.297580000000000291e+04,-3.158889999999999887e+01
2.075260000000000105e+01,3.281140000000000146e+04,-3.111949999999999861e+01
2.114020000000000010e+01,3.265140000000000146e+04,-3.065230000000000032e+01
2.153320000000000078e+01,3.249700000000000000e+04,-3.019050000000000011e+01
2.193459999999999965e+01,3.234759999999999854e+04,-2.973260000000000147e+01
2.234299999999999997e+01,3.220290000000000146e+04,-2.927990000000000137e+01
2.275829999999999842e+01,3.206159999999999854e+04,-2.883589999999999876e+01
2.318209999999999837e+01,3.192579999999999927e+04,-2.839189999999999969e+01
2.361459999999999937e+01,3.179459999999999854e+04,-2.795100000000000051e+01
2.405580000000000140e+01,3.166690000000000146e+04,-2.751559999999999917e+01
2.450379999999999825e+01,3.154370000000000073e+04,-2.708439999999999870e+01
2.496049999999999969e+01,3.142459999999999854e+04,-2.665889999999999915e+01
2.542589999999999861e+01,3.130929999999999927e+04,-2.623710000000000164e+01
2.589780000000000015e+01,3.119850000000000000e+04,-2.582199999999999918e+01
2.638060000000000116e+01,3.109090000000000146e+04,-2.540990000000000038e+01
2.687209999999999965e+01,3.098640000000000146e+04,-2.500329999999999941e+01
2.737229999999999919e+01,3.088559999999999854e+04,-2.460219999999999985e+01
2.788360000000000127e+01,3.078840000000000146e+04,-2.420139999999999958e+01
2.840099999999999980e+01,3.069520000000000073e+04,-2.381159999999999854e+01
2.893240000000000123e+01,3.060350000000000000e+04,-2.342010000000000147e+01
2.946950000000000003e+01,3.051440000000000146e+04,-2.304360000000000142e+01
3.001800000000000068e+01,3.043059999999999854e+04,-2.266489999999999938e+01
3.057789999999999964e+01,3.034870000000000073e+04,-2.229040000000000177e+01
3.114939999999999998e+01,3.026840000000000146e+04,-2.192160000000000153e+01
3.172919999999999874e+01,3.019300000000000000e+04,-2.155709999999999837e+01
3.232059999999999889e+01,3.011609999999999854e+04,-2.120159999999999911e+01
3.292000000000000171e+01,3.004500000000000000e+04,-2.084700000000000131e+01
3.353450000000000131e+01,2.997770000000000073e+04,-2.049419999999999931e+01
3.416080000000000183e+01,2.990929999999999927e+04,-2.015909999999999869e+01
3.479869999999999663e+01,2.984650000000000000e+04,-1.981879999999999953e+01
3.544420000000000215e+01,2.978409999999999854e+04,-1.948519999999999897e+01
3.610540000000000305e+01,2.972290000000000146e+04,-1.915109999999999957e+01
3.677819999999999823e+01,2.966520000000000073e+04,-1.882590000000000074e+01
3.746249999999999858e+01,2.960840000000000146e+04,-1.850779999999999959e+01
3.815820000000000078e+01,2.955540000000000146e+04,-1.818850000000000122e+01
3.887019999999999698e+01,2.949990000000000146e+04,-1.788220000000000098e+01
3.959349999999999881e+01,2.945300000000000000e+04,-1.758269999999999911e+01
4.033339999999999748e+01,2.940400000000000000e+04,-1.727819999999999823e+01
4.108460000000000178e+01,2.935270000000000073e+04,-1.697850000000000037e+01
4.185269999999999868e+01,2.931179999999999927e+04,-1.668390000000000128e+01
4.263179999999999836e+01,2.926540000000000146e+04,-1.639699999999999847e+01
4.342159999999999798e+01,2.922590000000000146e+04,-1.610950000000000060e+01
4.423469999999999658e+01,2.918309999999999854e+04,-1.583089999999999975e+01
4.505859999999999843e+01,2.914390000000000146e+04,-1.555610000000000070e+01
4.589959999999999951e+01,2.910459999999999854e+04,-1.528509999999999991e+01
4.675079999999999814e+01,2.906879999999999927e+04,-1.502360000000000007e+01
4.761899999999999977e+01,2.903709999999999854e+04,-1.475600000000000023e+01
4.851230000000000331e+01,2.900220000000000073e+04,-1.449080000000000013e+01
4.941530000000000200e+01,2.896759999999999854e+04,-1.423719999999999963e+01
5.033559999999999945e+01,2.893690000000000146e+04,-1.399029999999999951e+01
5.127329999999999899e+01,2.890679999999999927e+04,-1.375380000000000003e+01
5.222840000000000060e+01,2.887320000000000073e+04,-1.351149999999999984e+01
5.320089999999999719e+01,2.884220000000000073e+04,-1.326559999999999917e+01
5.419080000000000297e+01,2.881509999999999854e+04,-1.303069999999999951e+01
5.519780000000000086e+01,2.878940000000000146e+04,-1.280189999999999984e+01
5.623239999999999839e+01,2.876450000000000000e+04,-1.257719999999999949e+01
5.727380000000000138e+01,2.874040000000000146e+04,-1.235609999999999964e+01
5.834309999999999974e+01,2.871670000000000073e+04,-1.213640000000000008e+01
5.942949999999999733e+01,2.869150000000000000e+04,-1.191849999999999987e+01
6.054489999999999839e+01,2.866859999999999854e+04,-1.170400000000000063e+01
6.166499999999999915e+01,2.865220000000000073e+04,-1.150769999999999982e+01
6.281410000000000338e+01,2.863229999999999927e+04,-1.129969999999999963e+01
6.397950000000000159e+01,2.860590000000000146e+04,-1.109909999999999997e+01
6.517489999999999384e+01,2.858829999999999927e+04,-1.090349999999999930e+01
6.638639999999999475e+01,2.857170000000000073e+04,-1.069890000000000008e+01
6.762850000000000250e+01,2.855550000000000000e+04,-1.050810000000000066e+01
6.888630000000000564e+01,2.853329999999999927e+04,-1.032130000000000081e+01
7.017539999999999623e+01,2.852150000000000000e+04,-1.013879999999999981e+01
7.147960000000000491e+01,2.850200000000000000e+04,-9.962960000000000704e+00
7.281550000000000011e+01,2.848650000000000000e+04,-9.783530000000000726e+00
7.416559999999999775e+01,2.847440000000000146e+04,-9.603369999999999962e+00
7.554770000000000607e+01,2.845790000000000146e+04,-9.431340000000000501e+00
7.696250000000000568e+01,2.844309999999999854e+04,-9.264400000000000190e+00
7.839039999999999964e+01,2.842970000000000073e+04,-9.097630000000000550e+00
7.985089999999999577e+01,2.841729999999999927e+04,-8.933109999999999218e+00
8.134489999999999554e+01,2.840500000000000000e+04,-8.771160000000000068e+00
8.284999999999999432e+01,2.839279999999999927e+04,-8.614620000000000388e+00
8.438819999999999766e+01,2.837940000000000146e+04,-8.461510000000000531e+00
8.598449999999999704e+01,2.837059999999999854e+04,-8.305699999999999861e+00
8.756570000000000675e+01,2.835770000000000073e+04,-8.158960000000000434e+00
8.920610000000000639e+01,2.835079999999999927e+04,-8.007179999999999964e+00
9.085399999999999920e+01,2.834159999999999854e+04,-7.863059999999999938e+00
9.256399999999999295e+01,2.832829999999999927e+04,-7.720690000000000275e+00
9.428029999999999688e+01,2.832070000000000073e+04,-7.588289999999999758e+00
9.603069999999999595e+01,2.831359999999999854e+04,-7.444530000000000314e+00
9.784739999999999327e+01,2.830000000000000000e+04,-7.310360000000000191e+00
9.966779999999999973e+01,2.829620000000000073e+04,-7.179400000000000226e+00
1.015229999999999961e+02,2.828529999999999927e+04,-7.053539999999999921e+00
1.034129999999999967e+02,2.827959999999999854e+04,-6.918650000000000411e+00
1.053370000000000033e+02,2.826709999999999854e+04,-6.797060000000000102e+00
1.072960000000000065e+02,2.825959999999999854e+04,-6.674159999999999648e+00
1.092900000000000063e+02,2.825900000000000000e+04,-6.554660000000000153e+00
