# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm 
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,3.314630000000000291e+04,-3.205989999999999895e+01
2.037349999999999994e+01,3.297600000000000000e+04,-3.158650000000000091e+01
2.075260000000000105e+01,3.281069999999999709e+04,-3.111749999999999972e+01
2.114020000000000010e+01,3.265100000000000000e+04,-3.065080000000000027e+01
2.153320000000000078e+01,3.249740000000000146e+04,-3.019030000000000058e+01
2.193459999999999965e+01,3.234670000000000073e+04,-2.973499999999999943e+01
2.234299999999999997e+01,3.220170000000000073e+04,-2.928040000000000020e+01
2.275829999999999842e+01,3.206229999999999927e+04,-2.883269999999999911e+01
2.318209999999999837e+01,3.192629999999999927e+04,-2.838990000000000080e+01
2.361459999999999937e+01,3.179529999999999927e+04,-2.794879999999999853e+01
2.405580000000000140e+01,3.166779999999999927e+04,-2.751239999999999952e+01
2.450379999999999825e+01,3.154450000000000000e+04,-2.708259999999999934e+01
2.496049999999999969e+01,3.142550000000000000e+04,-2.665670000000000073e+01
2.542589999999999861e+01,3.131029999999999927e+04,-2.623509999999999920e+01
2.589780000000000015e+01,3.119940000000000146e+04,-2.582010000000000005e+01
2.638060000000000116e+01,3.109179999999999927e+04,-2.540830000000000055e+01
2.687209999999999965e+01,3.098759999999999854e+04,-2.500130000000000052e+01
2.737229999999999919e+01,3.088690000000000146e+04,-2.460050000000000026e+01
2.788360000000000127e+01,3.078959999999999854e+04,-2.420060000000000144e+01
2.840099999999999980e+01,3.069579999999999927e+04,-2.381230000000000047e+01
2.893240000000000123e+01,3.060470000000000073e+04,-2.342139999999999844e+01
2.946950000000000003e+01,3.051740000000000146e+04,-2.303750000000000142e+01
3.001800000000000068e+01,3.043190000000000146e+04,-2.266120000000000090e+01
3.057789999999999964e+01,3.034929999999999927e+04,-2.228869999999999862e+01
3.114939999999999998e+01,3.026950000000000000e+04,-2.191890000000000072e+01
3.172919999999999874e+01,3.019209999999999854e+04,-2.155819999999999936e+01
3.232059999999999889e+01,3.011879999999999927e+04,-2.119369999999999976e+01
3.292000000000000171e+01,3.004700000000000000e+04,-2.084100000000000108e+01
3.353450000000000131e+01,2.997779999999999927e+04,-2.050090000000000146e+01
3.416080000000000183e+01,2.991240000000000146e+04,-2.015409999999999968e+01
3.479869999999999663e+01,2.984679999999999927e+04,-1.981629999999999825e+01
3.544420000000000215e+01,2.978320000000000073e+04,-1.947449999999999903e+01
3.610540000000000305e+01,2.972359999999999854e+04,-1.914720000000000155e+01
3.677819999999999823e+01,2.966559999999999854e+04,-1.882120000000000104e+01
3.746249999999999858e+01,2.961009999999999854e+04,-1.850560000000000116e+01
3.815820000000000078e+01,2.955629999999999927e+04,-1.818629999999999924e+01
3.887019999999999698e+01,2.950059999999999854e+04,-1.787049999999999983e+01
3.959349999999999881e+01,2.944970000000000073e+04,-1.756899999999999906e+01
4.033339999999999748e+01,2.940290000000000146e+04,-1.726249999999999929e+01
4.108460000000000178e+01,2.935800000000000000e+04,-1.697409999999999997e+01
4.185269999999999868e+01,2.931270000000000073e+04,-1.667330000000000112e+01
4.263179999999999836e+01,2.926879999999999927e+04,-1.638690000000000069e+01
4.342159999999999798e+01,2.922409999999999854e+04,-1.611100000000000065e+01
4.423469999999999658e+01,2.918409999999999854e+04,-1.582890000000000086e+01
4.505859999999999843e+01,2.914579999999999927e+04,-1.555369999999999919e+01
4.589959999999999951e+01,2.910600000000000000e+04,-1.528599999999999959e+01
4.675079999999999814e+01,2.907320000000000073e+04,-1.501759999999999984e+01
4.761899999999999977e+01,2.903870000000000073e+04,-1.475280000000000058e+01
4.851230000000000331e+01,2.900300000000000000e+04,-1.449249999999999972e+01
4.941530000000000200e+01,2.897100000000000000e+04,-1.424109999999999943e+01
5.033559999999999945e+01,2.894029999999999927e+04,-1.399949999999999939e+01
5.127329999999999899e+01,2.890440000000000146e+04,-1.375309999999999988e+01
5.222840000000000060e+01,2.887700000000000000e+04,-1.350300000000000011e+01
5.320089999999999719e+01,2.885000000000000000e+04,-1.327539999999999942e+01
5.419080000000000297e+01,2.881870000000000073e+04,-1.303519999999999968e+01
5.519780000000000086e+01,2.879140000000000146e+04,-1.280259999999999998e+01
5.623239999999999839e+01,2.876620000000000073e+04,-1.257680000000000042e+01
5.727380000000000138e+01,2.874200000000000000e+04,-1.235640000000000072e+01
5.834309999999999974e+01,2.871740000000000146e+04,-1.213579999999999970e+01
5.942949999999999733e+01,2.869600000000000000e+04,-1.192270000000000074e+01
6.054489999999999839e+01,2.867440000000000146e+04,-1.170930000000000071e+01
6.166499999999999915e+01,2.865120000000000073e+04,-1.150249999999999950e+01
6.281410000000000338e+01,2.863379999999999927e+04,-1.129809999999999981e+01
6.397950000000000159e+01,2.861079999999999927e+04,-1.110079999999999956e+01
6.517489999999999384e+01,2.859390000000000146e+04,-1.089969999999999928e+01
6.638639999999999475e+01,2.856970000000000073e+04,-1.070839999999999925e+01
6.762850000000000250e+01,2.855259999999999854e+04,-1.051510000000000034e+01
6.888630000000000564e+01,2.853959999999999854e+04,-1.032060000000000066e+01
7.017539999999999623e+01,2.851900000000000000e+04,-1.014300000000000068e+01
7.147960000000000491e+01,2.850129999999999927e+04,-9.961859999999999715e+00
7.281550000000000011e+01,2.848690000000000146e+04,-9.782149999999999679e+00
7.416559999999999775e+01,2.847529999999999927e+04,-9.603529999999999234e+00
7.554770000000000607e+01,2.845959999999999854e+04,-9.431100000000000705e+00
7.696250000000000568e+01,2.844490000000000146e+04,-9.262679999999999580e+00
7.839039999999999964e+01,2.843200000000000000e+04,-9.095670000000000144e+00
7.985089999999999577e+01,2.841890000000000146e+04,-8.932620000000000005e+00
8.134489999999999554e+01,2.840640000000000146e+04,-8.770419999999999661e+00
8.284999999999999432e+01,2.839400000000000000e+04,-8.614950000000000330e+00
8.438819999999999766e+01,2.838400000000000000e+04,-8.458569999999999922e+00
8.598449999999999704e+01,2.837159999999999854e+04,-8.302789999999999893e+00
8.756570000000000675e+01,2.836050000000000000e+04,-8.160149999999999793e+00
8.920610000000000639e+01,2.834829999999999927e+04,-8.010949999999999349e+00
9.085399999999999920e+01,2.833929999999999927e+04,-7.862499999999999822e+00
9.256399999999999295e+01,2.832740000000000146e+04,-7.723040000000000127e+00
9.428029999999999688e+01,2.832200000000000000e+04,-7.582609999999999850e+00
9.603069999999999595e+01,2.830809999999999854e+04,-7.447390000000000398e+00
9.784739999999999327e+01,2.830359999999999854e+04,-7.304330000000000211e+00
9.966779999999999973e+01,2.829579999999999927e+04,-7.174590000000000245e+00
1.015229999999999961e+02,2.828279999999999927e+04,-7.047579999999999956e+00
1.034129999999999967e+02,2.827979999999999927e+04,-6.921050000000000146e+00
1.053370000000000033e+02,2.827320000000000073e+04,-6.796420000000000350e+00
1.072960000000000065e+02,2.826000000000000000e+04,-6.672570000000000334e+00
1.092900000000000063e+02,2.825829999999999927e+04,-6.553469999999999906e+00
1.113169999999999931e+02,2.825000000000000000e+04,-6.436469999999999914e+00
1.134219999999999970e+02,2.824259999999999854e+04,-6.313279999999999781e+00
1.155180000000000007e+02,2.823850000000000000e+04,-6.205720000000000347e+00
1.176470000000000056e+02,2.822809999999999854e+04,-6.089080000000000048e+00
1.198559999999999945e+02,2.822400000000000000e+04,-5.980199999999999960e+00
1.220999999999999943e+02,2.821870000000000073e+04,-5.872779999999999667e+00
1.243780000000000001e+02,2.821229999999999927e+04,-5.769540000000000113e+00
1.266889999999999930e+02,2.820900000000000000e+04,-5.658330000000000304e+00
1.290320000000000107e+02,2.820370000000000073e+04,-5.556600000000000428e+00
1.314639999999999986e+02,2.819879999999999927e+04,-5.457410000000000316e+00
1.339290000000000020e+02,2.819420000000000073e+04,-5.357470000000000176e+00
1.363640000000000043e+02,2.818979999999999927e+04,-5.261269999999999669e+00
1.389530000000000030e+02,2.818550000000000000e+04,-5.168999999999999595e+00
1.415089999999999861e+02,2.818029999999999927e+04,-5.076819999999999666e+00
1.441610000000000014e+02,2.817879999999999927e+04,-4.983819999999999695e+00
1.468429999999999893e+02,2.817340000000000146e+04,-4.893869999999999720e+00
1.495509999999999877e+02,2.817070000000000073e+04,-4.803580000000000183e+00
1.523619999999999948e+02,2.816600000000000000e+04,-4.714419999999999611e+00
1.551990000000000123e+02,2.816350000000000000e+04,-4.631599999999999717e+00
1.580610000000000070e+02,2.815900000000000000e+04,-4.548420000000000130e+00
1.610310000000000059e+02,2.815940000000000146e+04,-4.460650000000000226e+00
1.640240000000000009e+02,2.815150000000000000e+04,-4.378800000000000026e+00
1.671310000000000002e+02,2.814940000000000146e+04,-4.299529999999999852e+00
1.702609999999999957e+02,2.814890000000000146e+04,-4.219310000000000116e+00
1.734099999999999966e+02,2.814209999999999854e+04,-4.143970000000000375e+00
1.765740000000000123e+02,2.814390000000000146e+04,-4.069960000000000022e+00
1.799639999999999986e+02,2.813779999999999927e+04,-3.995260000000000034e+00
1.832620000000000005e+02,2.813470000000000073e+04,-3.924230000000000107e+00
1.866829999999999927e+02,2.813529999999999927e+04,-3.847379999999999800e+00
1.901140000000000043e+02,2.813300000000000000e+04,-3.781299999999999883e+00
1.936730000000000018e+02,2.812840000000000146e+04,-3.715930000000000177e+00
1.973679999999999950e+02,2.812850000000000000e+04,-3.642259999999999831e+00
2.009379999999999882e+02,2.812550000000000000e+04,-3.578590000000000160e+00
2.047779999999999916e+02,2.812290000000000146e+04,-3.512010000000000076e+00
2.086229999999999905e+02,2.812290000000000146e+04,-3.449209999999999887e+00
2.124650000000000034e+02,2.811890000000000146e+04,-3.388700000000000045e+00
2.164499999999999886e+02,2.811800000000000000e+04,-3.320689999999999920e+00
2.204259999999999877e+02,2.811559999999999854e+04,-3.262560000000000127e+00
