# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm 
#  Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,3.314700000000000000e+04,-3.206400000000000006e+01
2.037349999999999994e+01,3.297700000000000000e+04,-3.158790000000000120e+01
2.075260000000000105e+01,3.281259999999999854e+04,-3.111809999999999832e+01
2.114020000000000010e+01,3.265259999999999854e+04,-3.065180000000000149e+01
2.153320000000000078e+01,3.249820000000000073e+04,-3.019310000000000116e+01
2.193459999999999965e+01,3.234879999999999927e+04,-2.973349999999999937e+01
2.234299999999999997e+01,3.220290000000000146e+04,-2.928190000000000026e+01
2.275829999999999842e+01,3.206329999999999927e+04,-2.883500000000000085e+01
2.318209999999999837e+01,3.192750000000000000e+04,-2.839089999999999847e+01
2.361459999999999937e+01,3.179579999999999927e+04,-2.795060000000000144e+01
2.405580000000000140e+01,3.166820000000000073e+04,-2.751439999999999841e+01
2.450379999999999825e+01,3.154509999999999854e+04,-2.708380000000000010e+01
2.496049999999999969e+01,3.142620000000000073e+04,-2.665790000000000148e+01
2.542589999999999861e+01,3.131109999999999854e+04,-2.623639999999999972e+01
2.589780000000000015e+01,3.120050000000000000e+04,-2.582049999999999912e+01
2.638060000000000116e+01,3.109250000000000000e+04,-2.540909999999999869e+01
2.687209999999999965e+01,3.098820000000000073e+04,-2.500219999999999843e+01
2.737229999999999919e+01,3.088750000000000000e+04,-2.460079999999999956e+01
2.788360000000000127e+01,3.078979999999999927e+04,-2.420019999999999882e+01
2.840099999999999980e+01,3.069520000000000073e+04,-2.381210000000000093e+01
2.893240000000000123e+01,3.060540000000000146e+04,-2.342040000000000077e+01
2.946950000000000003e+01,3.051759999999999854e+04,-2.304100000000000037e+01
3.001800000000000068e+01,3.043170000000000073e+04,-2.266460000000000008e+01
3.057789999999999964e+01,3.034920000000000073e+04,-2.229029999999999845e+01
3.114939999999999998e+01,3.026950000000000000e+04,-2.192060000000000031e+01
3.172919999999999874e+01,3.019359999999999854e+04,-2.155499999999999972e+01
3.232059999999999889e+01,3.011809999999999854e+04,-2.119689999999999941e+01
3.292000000000000171e+01,3.004859999999999854e+04,-2.084189999999999898e+01
3.353450000000000131e+01,2.997740000000000146e+04,-2.050280000000000058e+01
3.416080000000000183e+01,2.991109999999999854e+04,-2.015180000000000149e+01
3.479869999999999663e+01,2.984559999999999854e+04,-1.980440000000000111e+01
3.544420000000000215e+01,2.978409999999999854e+04,-1.948069999999999879e+01
3.610540000000000305e+01,2.972400000000000000e+04,-1.914740000000000109e+01
3.677819999999999823e+01,2.966640000000000146e+04,-1.882440000000000069e+01
3.746249999999999858e+01,2.961020000000000073e+04,-1.850349999999999895e+01
3.815820000000000078e+01,2.955640000000000146e+04,-1.819470000000000098e+01
3.887019999999999698e+01,2.950379999999999927e+04,-1.787900000000000134e+01
3.959349999999999881e+01,2.945520000000000073e+04,-1.757600000000000051e+01
4.033339999999999748e+01,2.940709999999999854e+04,-1.726180000000000092e+01
4.108460000000000178e+01,2.935740000000000146e+04,-1.697149999999999892e+01
4.185269999999999868e+01,2.931179999999999927e+04,-1.668359999999999843e+01
4.263179999999999836e+01,2.926550000000000000e+04,-1.639389999999999858e+01
4.342159999999999798e+01,2.922590000000000146e+04,-1.610970000000000013e+01
4.423469999999999658e+01,2.918490000000000146e+04,-1.582980000000000054e+01
4.505859999999999843e+01,2.914640000000000146e+04,-1.555499999999999972e+01
4.589959999999999951e+01,2.910829999999999927e+04,-1.528420000000000023e+01
4.675079999999999814e+01,2.906959999999999854e+04,-1.502480000000000082e+01
4.761899999999999977e+01,2.904070000000000073e+04,-1.475339999999999918e+01
4.851230000000000331e+01,2.900279999999999927e+04,-1.449980000000000047e+01
4.941530000000000200e+01,2.896800000000000000e+04,-1.425309999999999988e+01
5.033559999999999945e+01,2.893670000000000073e+04,-1.398840000000000039e+01
5.127329999999999899e+01,2.890650000000000000e+04,-1.374789999999999957e+01
5.222840000000000060e+01,2.887879999999999927e+04,-1.350730000000000075e+01
5.320089999999999719e+01,2.885179999999999927e+04,-1.327689999999999948e+01
5.419080000000000297e+01,2.881909999999999854e+04,-1.303330000000000055e+01
5.519780000000000086e+01,2.879370000000000073e+04,-1.280669999999999931e+01
5.623239999999999839e+01,2.876679999999999927e+04,-1.257779999999999987e+01
5.727380000000000138e+01,2.874229999999999927e+04,-1.235660000000000025e+01
5.834309999999999974e+01,2.871820000000000073e+04,-1.213799999999999990e+01
5.942949999999999733e+01,2.869379999999999927e+04,-1.192040000000000077e+01
6.054489999999999839e+01,2.867190000000000146e+04,-1.170570000000000022e+01
6.166499999999999915e+01,2.865409999999999854e+04,-1.150559999999999938e+01
6.281410000000000338e+01,2.862959999999999854e+04,-1.129570000000000007e+01
6.397950000000000159e+01,2.861109999999999854e+04,-1.109249999999999936e+01
6.517489999999999384e+01,2.859479999999999927e+04,-1.089250000000000007e+01
6.638639999999999475e+01,2.856909999999999854e+04,-1.070519999999999960e+01
6.762850000000000250e+01,2.855390000000000146e+04,-1.051190000000000069e+01
6.888630000000000564e+01,2.853620000000000073e+04,-1.032440000000000069e+01
7.017539999999999623e+01,2.851740000000000146e+04,-1.014370000000000083e+01
7.147960000000000491e+01,2.850890000000000146e+04,-9.954530000000000101e+00
7.281550000000000011e+01,2.848909999999999854e+04,-9.781409999999999272e+00
7.416559999999999775e+01,2.847520000000000073e+04,-9.604179999999999495e+00
7.554770000000000607e+01,2.846000000000000000e+04,-9.432389999999999830e+00
7.696250000000000568e+01,2.844620000000000073e+04,-9.263289999999999580e+00
7.839039999999999964e+01,2.843440000000000146e+04,-9.094450000000000145e+00
7.985089999999999577e+01,2.842070000000000073e+04,-8.931850000000000733e+00
8.134489999999999554e+01,2.840800000000000000e+04,-8.770459999999999923e+00
8.284999999999999432e+01,2.839509999999999854e+04,-8.615320000000000533e+00
8.438819999999999766e+01,2.838570000000000073e+04,-8.458239999999999981e+00
8.598449999999999704e+01,2.837050000000000000e+04,-8.307169999999999277e+00
8.756570000000000675e+01,2.836070000000000073e+04,-8.156950000000000145e+00
8.920610000000000639e+01,2.835100000000000000e+04,-8.007970000000000255e+00
9.085399999999999920e+01,2.834040000000000146e+04,-7.864790000000000170e+00
9.256399999999999295e+01,2.833220000000000073e+04,-7.717590000000000394e+00
9.428029999999999688e+01,2.831879999999999927e+04,-7.584410000000000096e+00
9.603069999999999595e+01,2.831279999999999927e+04,-7.442639999999999922e+00
9.784739999999999327e+01,2.830409999999999854e+04,-7.310769999999999769e+00
9.966779999999999973e+01,2.829679999999999927e+04,-7.172039999999999971e+00
1.015229999999999961e+02,2.828790000000000146e+04,-7.047769999999999868e+00
1.034129999999999967e+02,2.827979999999999927e+04,-6.920119999999999827e+00
1.053370000000000033e+02,2.827250000000000000e+04,-6.795539999999999914e+00
1.072960000000000065e+02,2.826520000000000073e+04,-6.672990000000000421e+00
1.092900000000000063e+02,2.825740000000000146e+04,-6.554330000000000211e+00
1.113169999999999931e+02,2.825100000000000000e+04,-6.435520000000000351e+00
1.134219999999999970e+02,2.824409999999999854e+04,-6.316779999999999617e+00
1.155180000000000007e+02,2.823800000000000000e+04,-6.201939999999999564e+00
1.176470000000000056e+02,2.823140000000000146e+04,-6.091879999999999740e+00
1.198559999999999945e+02,2.822579999999999927e+04,-5.981189999999999785e+00
1.220999999999999943e+02,2.822009999999999854e+04,-5.872539999999999871e+00
1.243780000000000001e+02,2.821440000000000146e+04,-5.765460000000000029e+00
1.266889999999999930e+02,2.820900000000000000e+04,-5.664460000000000051e+00
1.290320000000000107e+02,2.820459999999999854e+04,-5.557890000000000441e+00
