# Frecuencia [Hz], Resistencia [Ohm], Reactancia [Ohm]
2.000000000000000000e+01,8.531098712054284988e+03,-2.331257504041940047e+04
2.037349999999999994e+01,8.418963720631385513e+03,-2.303330005797459671e+04
2.075260000000000105e+01,8.304641297635756928e+03,-2.275673577224120891e+04
2.114020000000000010e+01,8.190797880722363516e+03,-2.248339576859229783e+04
2.153320000000000078e+01,8.076806331468692406e+03,-2.221520911209136466e+04
2.193459999999999965e+01,7.959659039184122776e+03,-2.194964557504139884e+04
2.234299999999999997e+01,7.844431763451636471e+03,-2.168762369644381033e+04
2.275829999999999842e+01,7.726216022122203867e+03,-2.142963905411153246e+04
2.318209999999999837e+01,7.608084858631688803e+03,-2.117446681321301003e+04
2.361459999999999937e+01,7.489150058063299184e+03,-2.092029654588601989e+04
2.405580000000000140e+01,7.369245632325306360e+03,-2.066898697010703472e+04
2.450379999999999825e+01,7.249763020960095673e+03,-2.042205118566496094e+04
2.496049999999999969e+01,7.129491417046177048e+03,-2.017725928302119064e+04
2.542589999999999861e+01,7.009086214591093267e+03,-1.993469015150296036e+04
2.589780000000000015e+01,6.888843892581689033e+03,-1.969635259416422923e+04
2.638060000000000116e+01,6.767804499565992046e+03,-1.945876015232353529e+04
2.687209999999999965e+01,6.647222398895044535e+03,-1.922348143468367562e+04
2.737229999999999919e+01,6.526470374558429285e+03,-1.899009301030437564e+04
2.788360000000000127e+01,6.405894795228359726e+03,-1.875836335804555711e+04
2.840099999999999980e+01,6.284625218607161514e+03,-1.853048304015971735e+04
2.893240000000000123e+01,6.163000791485347690e+03,-1.830115139121446191e+04
2.946950000000000003e+01,6.044199702578423967e+03,-1.807689470886387790e+04
3.001800000000000068e+01,5.924621379052231532e+03,-1.785427556847034793e+04
3.057789999999999964e+01,5.805016526341088138e+03,-1.763271790788098588e+04
3.114939999999999998e+01,5.686312647148877659e+03,-1.741170144956760851e+04
3.172919999999999874e+01,5.568048917110665570e+03,-1.719221711172421055e+04
3.232059999999999889e+01,5.451517473294016781e+03,-1.697531531013105996e+04
3.292000000000000171e+01,5.334761266655048530e+03,-1.676267047453349369e+04
3.353450000000000131e+01,5.217565684408468769e+03,-1.654709788358318838e+04
3.416080000000000183e+01,5.102970767804414209e+03,-1.633403710363526625e+04
3.479869999999999663e+01,4.991090179635149070e+03,-1.612440422027274690e+04
3.544420000000000215e+01,4.878855826254527528e+03,-1.591548705119080660e+04
3.610540000000000305e+01,4.766243702921855402e+03,-1.570696923675467588e+04
3.677819999999999823e+01,4.655419523962486892e+03,-1.550090504021971174e+04
3.746249999999999858e+01,4.546226515742881020e+03,-1.529661390234964165e+04
3.815820000000000078e+01,4.438692975304225001e+03,-1.509461229581551561e+04
3.887019999999999698e+01,4.331943491588088364e+03,-1.489182488467036819e+04
3.959349999999999881e+01,4.225669777243457247e+03,-1.469136086050884660e+04
4.033339999999999748e+01,4.122647839085590022e+03,-1.449013546640896493e+04
4.108460000000000178e+01,4.019636604528531279e+03,-1.429427903944561876e+04
4.185269999999999868e+01,3.918043895326903566e+03,-1.409704926551267999e+04
4.263179999999999836e+01,3.819673649959201612e+03,-1.390096815505335144e+04
4.342159999999999798e+01,3.722324867993530006e+03,-1.370903668158769506e+04
4.423469999999999658e+01,3.625135994511786066e+03,-1.351692339925380475e+04
4.505859999999999843e+01,3.530230601967326493e+03,-1.332644082667736984e+04
4.589959999999999951e+01,3.437023749819511067e+03,-1.313692599328993128e+04
4.675079999999999814e+01,3.346281081123816875e+03,-1.294973756244167271e+04
4.761899999999999977e+01,3.256445389393151800e+03,-1.276549035156503669e+04
4.851230000000000331e+01,3.166763446423046389e+03,-1.257962589604312598e+04
