# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm. Frecuencia fija en 1 kHz 
#  Z [Ohm], Fase [°]
2.807479999999999927e+04,-7.248559999999999448e-01
2.807490000000000146e+04,-7.241830000000000211e-01
2.807470000000000073e+04,-7.246799999999999908e-01
2.807470000000000073e+04,-7.248970000000000136e-01
2.807429999999999927e+04,-7.245559999999999778e-01
2.807479999999999927e+04,-7.244950000000000001e-01
2.807459999999999854e+04,-7.248569999999999736e-01
2.807470000000000073e+04,-7.246409999999999796e-01
2.807459999999999854e+04,-7.246529999999999916e-01
2.807470000000000073e+04,-7.244249999999999856e-01
2.807490000000000146e+04,-7.248430000000000151e-01
2.807450000000000000e+04,-7.245700000000000474e-01
2.807500000000000000e+04,-7.242359999999999909e-01
2.807479999999999927e+04,-7.248430000000000151e-01
2.807440000000000146e+04,-7.244169999999999776e-01
2.807459999999999854e+04,-7.246369999999999756e-01
2.807479999999999927e+04,-7.246660000000000323e-01
2.807470000000000073e+04,-7.245719999999999938e-01
2.807470000000000073e+04,-7.243469999999999631e-01
2.807490000000000146e+04,-7.246439999999999548e-01
2.807490000000000146e+04,-7.242769999999999486e-01
2.807490000000000146e+04,-7.241180000000000394e-01
2.807500000000000000e+04,-7.245580000000000354e-01
2.807479999999999927e+04,-7.248660000000000103e-01
2.807470000000000073e+04,-7.244580000000000464e-01
2.807479999999999927e+04,-7.242429999999999701e-01
2.807500000000000000e+04,-7.244110000000000271e-01
2.807500000000000000e+04,-7.249839999999999618e-01
2.807490000000000146e+04,-7.241610000000000547e-01
2.807479999999999927e+04,-7.243309999999999471e-01
2.807490000000000146e+04,-7.242239999999999789e-01
2.807490000000000146e+04,-7.249790000000000401e-01
2.807470000000000073e+04,-7.246000000000000218e-01
2.807470000000000073e+04,-7.246240000000000459e-01
2.807470000000000073e+04,-7.248449999999999616e-01
2.807459999999999854e+04,-7.248259999999999703e-01
2.807479999999999927e+04,-7.244669999999999721e-01
2.807490000000000146e+04,-7.244570000000000176e-01
2.807509999999999854e+04,-7.245260000000000034e-01
2.807470000000000073e+04,-7.250799999999999468e-01
2.807470000000000073e+04,-7.243119999999999559e-01
2.807479999999999927e+04,-7.247510000000000341e-01
2.807500000000000000e+04,-7.245049999999999546e-01
2.807470000000000073e+04,-7.246420000000000083e-01
2.807479999999999927e+04,-7.244329999999999936e-01
2.807500000000000000e+04,-7.245829999999999771e-01
2.807509999999999854e+04,-7.243300000000000294e-01
2.807490000000000146e+04,-7.243169999999999886e-01
2.807500000000000000e+04,-7.244369999999999976e-01
2.807479999999999927e+04,-7.247639999999999638e-01
2.807470000000000073e+04,-7.248010000000000286e-01
2.807459999999999854e+04,-7.244930000000000536e-01
2.807500000000000000e+04,-7.241640000000000299e-01
2.807500000000000000e+04,-7.250259999999999483e-01
2.807490000000000146e+04,-7.245009999999999506e-01
2.807479999999999927e+04,-7.242370000000000196e-01
2.807490000000000146e+04,-7.243939999999999824e-01
2.807490000000000146e+04,-7.246860000000000523e-01
2.807470000000000073e+04,-7.244190000000000351e-01
2.807470000000000073e+04,-7.249419999999999753e-01
2.807459999999999854e+04,-7.246019999999999683e-01
2.807470000000000073e+04,-7.247440000000000548e-01
2.807509999999999854e+04,-7.245150000000000201e-01
2.807459999999999854e+04,-7.247919999999999918e-01
2.807459999999999854e+04,-7.244310000000000471e-01
2.807509999999999854e+04,-7.243180000000000174e-01
2.807470000000000073e+04,-7.247329999999999606e-01
2.807479999999999927e+04,-7.241300000000000514e-01
2.807479999999999927e+04,-7.252119999999999678e-01
2.807459999999999854e+04,-7.245759999999999978e-01
2.807479999999999927e+04,-7.247240000000000348e-01
2.807470000000000073e+04,-7.249120000000000008e-01
2.807459999999999854e+04,-7.245869999999999811e-01
2.807479999999999927e+04,-7.244420000000000304e-01
2.807490000000000146e+04,-7.244009999999999616e-01
2.807490000000000146e+04,-7.246979999999999533e-01
2.807500000000000000e+04,-7.242870000000000141e-01
2.807490000000000146e+04,-7.247259999999999813e-01
2.807479999999999927e+04,-7.242809999999999526e-01
2.807470000000000073e+04,-7.249940000000000273e-01
2.807459999999999854e+04,-7.243699999999999584e-01
2.807500000000000000e+04,-7.245239999999999458e-01
2.807440000000000146e+04,-7.249320000000000208e-01
2.807500000000000000e+04,-7.243509999999999671e-01
2.807470000000000073e+04,-7.247890000000000166e-01
2.807500000000000000e+04,-7.240459999999999674e-01
2.807509999999999854e+04,-7.245430000000000481e-01
2.807479999999999927e+04,-7.243899999999999784e-01
2.807479999999999927e+04,-7.247130000000000516e-01
2.807490000000000146e+04,-7.242439999999999989e-01
2.807500000000000000e+04,-7.249069999999999681e-01
2.807479999999999927e+04,-7.247789999999999511e-01
2.807450000000000000e+04,-7.247649999999999926e-01
2.807479999999999927e+04,-7.245120000000000449e-01
