# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.036990000000000009e+03,4.211689999999999878e-02
2.018570000000000064e+01,1.036299999999999955e+03,4.091000000000000192e-02
2.037209999999999965e+01,1.036680000000000064e+03,4.087110000000000049e-02
2.056200000000000117e+01,1.036660000000000082e+03,4.142189999999999761e-02
2.075120000000000076e+01,1.036589999999999918e+03,4.041240000000000110e-02
2.094529999999999959e+01,1.037250000000000000e+03,4.019140000000000212e-02
2.113870000000000005e+01,1.037359999999999900e+03,3.882859999999999784e-02
2.133409999999999940e+01,1.037029999999999973e+03,3.866540000000000254e-02
2.153160000000000096e+01,1.037390000000000100e+03,3.878349999999999853e-02
2.173130000000000095e+01,1.037420000000000073e+03,3.872169999999999779e-02
2.193299999999999983e+01,1.037339999999999918e+03,3.946319999999999689e-02
2.213530000000000086e+01,1.037519999999999982e+03,3.970219999999999999e-02
2.234140000000000015e+01,1.037960000000000036e+03,3.752899999999999986e-02
2.254789999999999850e+01,1.038359999999999900e+03,3.822169999999999734e-02
2.275659999999999883e+01,1.038789999999999964e+03,3.713230000000000003e-02
2.296740000000000137e+01,1.039759999999999991e+03,3.688919999999999699e-02
2.318029999999999902e+01,1.040940000000000055e+03,3.458959999999999813e-02
2.339549999999999841e+01,1.042160000000000082e+03,3.633410000000000112e-02
2.361090000000000089e+01,1.042849999999999909e+03,3.275229999999999808e-02
2.383030000000000115e+01,1.040660000000000082e+03,3.636299999999999949e-02
2.405000000000000071e+01,1.039450000000000045e+03,3.439699999999999702e-02
2.427380000000000138e+01,1.036980000000000018e+03,3.510959999999999775e-02
2.449780000000000157e+01,1.036250000000000000e+03,3.496889999999999721e-02
2.472599999999999909e+01,1.035279999999999973e+03,3.277900000000000258e-02
2.495429999999999993e+01,1.034700000000000045e+03,3.421010000000000023e-02
2.518469999999999942e+01,1.034089999999999918e+03,3.352360000000000062e-02
2.541939999999999955e+01,1.033240000000000009e+03,3.310110000000000136e-02
2.565419999999999945e+01,1.032269999999999982e+03,3.229189999999999838e-02
2.589110000000000156e+01,1.031630000000000109e+03,3.194919999999999705e-02
2.613009999999999877e+01,1.031559999999999945e+03,3.139870000000000161e-02
2.637359999999999971e+01,1.031279999999999973e+03,3.145810000000000273e-02
2.661929999999999907e+01,1.031049999999999955e+03,3.057649999999999951e-02
2.686489999999999867e+01,1.031170000000000073e+03,3.149539999999999978e-02
2.711250000000000071e+01,1.030859999999999900e+03,3.276699999999999752e-02
2.736479999999999890e+01,1.030970000000000027e+03,3.068080000000000113e-02
