# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.469019999999999982e+03,5.574040000000000245e-02
2.018570000000000064e+01,1.469519999999999982e+03,5.826529999999999904e-02
2.037209999999999965e+01,1.468970000000000027e+03,6.014640000000000264e-02
2.056200000000000117e+01,1.467269999999999982e+03,5.444349999999999884e-02
2.075120000000000076e+01,1.467400000000000091e+03,5.428380000000000011e-02
2.094529999999999959e+01,1.466519999999999982e+03,5.399690000000000045e-02
2.113870000000000005e+01,1.466329999999999927e+03,5.508190000000000308e-02
2.133409999999999940e+01,1.465720000000000027e+03,5.672699999999999965e-02
2.153160000000000096e+01,1.466410000000000082e+03,5.340929999999999983e-02
2.173130000000000095e+01,1.464619999999999891e+03,5.377080000000000054e-02
2.193299999999999983e+01,1.467420000000000073e+03,5.475479999999999930e-02
2.213530000000000086e+01,1.466569999999999936e+03,4.668180000000000246e-02
2.234140000000000015e+01,1.466779999999999973e+03,5.199170000000000180e-02
2.254789999999999850e+01,1.468549999999999955e+03,4.880940000000000278e-02
2.275659999999999883e+01,1.468359999999999900e+03,4.954469999999999708e-02
2.296740000000000137e+01,1.467710000000000036e+03,4.925439999999999680e-02
2.318029999999999902e+01,1.467329999999999927e+03,4.757490000000000330e-02
2.339549999999999841e+01,1.466990000000000009e+03,5.334529999999999827e-02
2.361090000000000089e+01,1.467779999999999973e+03,4.746260000000000062e-02
2.383030000000000115e+01,1.467559999999999945e+03,4.666429999999999884e-02
2.405000000000000071e+01,1.467549999999999955e+03,4.775390000000000190e-02
2.427380000000000138e+01,1.468339999999999918e+03,4.730890000000000095e-02
2.449780000000000157e+01,1.465900000000000091e+03,4.849450000000000288e-02
2.472599999999999909e+01,1.466380000000000109e+03,5.070140000000000063e-02
2.495429999999999993e+01,1.467170000000000073e+03,4.175249999999999795e-02
2.518469999999999942e+01,1.467839999999999918e+03,4.915710000000000218e-02
2.541939999999999955e+01,1.467519999999999982e+03,4.563140000000000251e-02
2.565419999999999945e+01,1.466619999999999891e+03,4.809410000000000074e-02
2.589110000000000156e+01,1.466299999999999955e+03,4.439819999999999878e-02
2.613009999999999877e+01,1.466690000000000055e+03,4.622729999999999895e-02
2.637359999999999971e+01,1.466119999999999891e+03,4.457540000000000113e-02
2.661929999999999907e+01,1.466140000000000100e+03,4.504709999999999964e-02
2.686489999999999867e+01,1.465960000000000036e+03,4.377160000000000079e-02
2.711250000000000071e+01,1.466710000000000036e+03,4.665819999999999690e-02
2.736479999999999890e+01,1.466859999999999900e+03,4.506559999999999733e-02
2.761919999999999931e+01,1.466660000000000082e+03,4.312139999999999723e-02
2.787330000000000041e+01,1.467400000000000091e+03,4.506319999999999770e-02
2.813200000000000145e+01,1.467569999999999936e+03,4.155749999999999722e-02
2.839300000000000068e+01,1.469440000000000055e+03,4.208300000000000235e-02
2.865599999999999881e+01,1.469109999999999900e+03,4.072619999999999713e-02
2.892119999999999891e+01,1.468509999999999991e+03,4.270729999999999665e-02
2.918860000000000099e+01,1.470230000000000018e+03,4.508360000000000145e-02
2.946089999999999876e+01,1.470819999999999936e+03,4.672520000000000145e-02
2.973239999999999839e+01,1.470160000000000082e+03,4.142019999999999730e-02
3.000600000000000023e+01,1.469990000000000009e+03,4.427500000000000185e-02
3.028470000000000084e+01,1.470089999999999918e+03,4.294230000000000269e-02
3.056550000000000011e+01,1.469609999999999900e+03,4.042199999999999960e-02
3.084829999999999828e+01,1.470980000000000018e+03,3.833740000000000064e-02
3.113329999999999842e+01,1.470940000000000055e+03,4.025220000000000187e-02
3.142350000000000065e+01,1.469970000000000027e+03,4.182040000000000063e-02
3.171249999999999858e+01,1.468799999999999955e+03,4.005849999999999689e-02
3.200679999999999836e+01,1.469500000000000000e+03,3.531320000000000292e-02
3.230319999999999681e+01,1.470000000000000000e+03,3.883629999999999721e-02
3.260520000000000351e+01,1.469690000000000055e+03,3.788799999999999807e-02
