# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.657820000000000073e+04,-4.559759999999999813e+00
2.037349999999999994e+01,9.585139999999999418e+03,-1.663849999999999909e+02
2.075260000000000105e+01,1.600950000000000000e+04,1.441779999999999973e+02
2.114020000000000010e+01,2.773909999999999854e+03,-1.348129999999999882e+02
2.153320000000000078e+01,1.934829999999999927e+04,-1.500629999999999882e+02
2.193459999999999965e+01,5.266090000000000146e+04,-1.044699999999999989e+02
2.234299999999999997e+01,1.386520000000000073e+04,-9.415050000000000807e+00
2.275829999999999842e+01,9.807649999999999636e+03,-6.753220000000000312e+01
2.318209999999999837e+01,6.089880000000000109e+03,1.087180000000000035e+01
2.361459999999999937e+01,6.926199999999999818e+03,-1.270749999999999957e+01
2.405580000000000140e+01,1.581809999999999945e+03,9.810980000000000700e+01
2.450379999999999825e+01,1.091679999999999927e+04,-1.394190000000000111e+02
2.496049999999999969e+01,5.265019999999999709e+04,-1.449569999999999936e+02
2.542589999999999861e+01,5.819069999999999965e+01,-6.254829999999999757e+01
2.589780000000000015e+01,4.697760000000000218e+03,1.164459999999999980e+02
2.638060000000000116e+01,3.983790000000000191e+02,4.015279999999999960e-01
2.687209999999999965e+01,3.634599999999999909e+03,1.758919999999999959e+02
2.737229999999999919e+01,6.951789999999999964e+03,-3.381929999999999836e+01
2.788360000000000127e+01,1.039339999999999964e+04,1.371479999999999961e+02
2.840099999999999980e+01,3.807130000000000291e+04,4.025160000000000338e+01
2.893240000000000123e+01,1.506800000000000000e+04,-1.811890000000000001e+01
2.946950000000000003e+01,8.108410000000000582e+04,-1.109459999999999980e+02
3.001800000000000068e+01,3.212670000000000073e+04,1.809270000000000067e+01
3.057789999999999964e+01,2.853350000000000000e+04,-1.776040000000000134e+02
3.114939999999999998e+01,1.318029999999999927e+04,1.218140000000000001e+01
3.172919999999999874e+01,1.388560000000000036e+04,1.783410000000000082e+02
3.232059999999999889e+01,2.375790000000000146e+04,-1.333460000000000036e+02
3.292000000000000171e+01,1.840790000000000146e+04,-1.056700000000000017e+02
3.353450000000000131e+01,1.434029999999999927e+04,2.576190000000000069e+01
3.416080000000000183e+01,1.658340000000000146e+04,1.171050000000000040e+02
3.479869999999999663e+01,2.066679999999999927e+04,1.598209999999999980e+02
3.544420000000000215e+01,2.713179999999999927e+04,-9.460209999999999297e+01
3.610540000000000305e+01,2.621699999999999818e+03,1.230769999999999982e+02
3.677819999999999823e+01,7.148500000000000000e+03,3.061960000000000015e+00
3.746249999999999858e+01,2.216700000000000000e+04,-1.888190000000000168e+01
3.815820000000000078e+01,1.149000000000000000e+04,-7.776309999999999434e+01
3.887019999999999698e+01,1.634450000000000000e+04,1.464960000000000093e+02
3.959349999999999881e+01,1.728659999999999854e+04,2.625120000000000076e+01
4.033339999999999748e+01,2.843479999999999927e+04,-4.120350000000000179e+00
4.108460000000000178e+01,2.364409999999999854e+04,-7.213840000000000430e+01
4.185269999999999868e+01,2.309359999999999854e+04,-1.477580000000000098e+02
4.263179999999999836e+01,1.821959999999999854e+04,1.740749999999999886e+02
4.342159999999999798e+01,6.235579999999999927e+03,3.641349999999999909e+01
4.423469999999999658e+01,3.367030000000000200e+03,4.415070000000000050e+01
4.505859999999999843e+01,9.372799999999999272e+03,-4.181680000000000064e+01
4.589959999999999951e+01,8.443149999999999636e+03,3.077880000000000038e+01
4.675079999999999814e+01,2.768340000000000146e+04,1.761080000000000041e+02
4.761899999999999977e+01,1.967529999999999927e+04,-1.715529999999999973e+02
4.851230000000000331e+01,1.433820000000000073e+04,-5.874969999999999715e+01
4.941530000000000200e+01,2.209579999999999927e+04,-3.565330000000000155e+01
5.033559999999999945e+01,1.736450000000000000e+04,2.383279999999999887e+01
5.127329999999999899e+01,2.121240000000000146e+04,6.789960000000000662e+01
5.222840000000000060e+01,1.258010000000000036e+04,1.280910000000000082e+02
5.320089999999999719e+01,1.755940000000000146e+04,1.628480000000000132e+02
5.419080000000000297e+01,5.555380000000000291e+04,-1.516020000000000039e+02
5.519780000000000086e+01,7.545560000000000400e+02,-4.686319999999999908e+01
5.623239999999999839e+01,8.198090000000000146e+03,-7.758429999999999715e+00
5.727380000000000138e+01,6.573799999999999955e+02,6.337500000000000000e+01
5.834309999999999974e+01,8.709170000000000300e+02,1.297599999999999909e+02
5.942949999999999733e+01,1.174700000000000045e+03,-9.120860000000000412e+00
6.054489999999999839e+01,2.829279999999999927e+04,1.075409999999999933e+01
6.166499999999999915e+01,9.831620000000000800e+03,-1.716779999999999973e+02
6.281410000000000338e+01,8.465770000000000437e+03,1.252609999999999957e+02
