# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.382330000000000000e+08,-6.735920000000000130e+01
2.037349999999999994e+01,7.952340000000000000e+07,-7.267780000000000484e+01
2.075260000000000105e+01,1.540260000000000000e+08,-1.079250000000000043e+00
2.114020000000000010e+01,1.346570000000000000e+08,-2.521529999999999916e+01
2.153320000000000078e+01,1.177120000000000000e+08,-7.000300000000000011e+01
2.193459999999999965e+01,1.592260000000000000e+08,-1.012139999999999951e+01
2.234299999999999997e+01,9.461700000000000000e+07,4.163530000000000086e+01
2.275829999999999842e+01,1.650040000000000000e+08,-4.337689999999999912e+01
2.318209999999999837e+01,1.378680000000000000e+08,-1.030030000000000001e+01
2.361459999999999937e+01,1.374450000000000000e+08,-2.648059999999999903e+01
2.405580000000000140e+01,1.005010000000000000e+08,-4.202089999999999748e+01
2.450379999999999825e+01,1.154880000000000000e+08,-3.143499999999999872e+01
2.496049999999999969e+01,1.289800000000000000e+08,-3.353690000000000282e+01
2.542589999999999861e+01,1.363400000000000000e+08,-2.419869999999999877e+01
2.589780000000000015e+01,1.358040000000000000e+08,-3.919200000000000017e+01
2.638060000000000116e+01,1.343690000000000000e+08,-3.004119999999999990e+01
2.687209999999999965e+01,1.185100000000000000e+08,-3.053620000000000090e+01
2.737229999999999919e+01,1.093840000000000000e+08,-1.014380000000000059e+01
2.788360000000000127e+01,7.874960000000000000e+07,-2.853379999999999939e+01
2.840099999999999980e+01,7.490020000000000000e+07,4.711410000000000053e+01
2.893240000000000123e+01,8.422700000000000000e+07,3.079289999999999949e+01
2.946950000000000003e+01,4.933810000000000000e+07,-6.188340000000000174e+01
3.001800000000000068e+01,2.200410000000000000e+08,4.997670000000000101e+01
3.057789999999999964e+01,1.053030000000000000e+08,-3.595479999999999876e+01
3.114939999999999998e+01,1.817530000000000000e+08,5.503130000000000521e-01
3.172919999999999874e+01,1.057310000000000000e+08,-1.289450000000000074e+01
3.232059999999999889e+01,6.310480000000000000e+07,-8.670900000000000318e+01
3.292000000000000171e+01,3.700440000000000000e+07,-8.675430000000000064e+01
3.353450000000000131e+01,4.971950000000000000e+07,8.363960000000000150e+01
3.416080000000000183e+01,4.233140000000000000e+07,-3.547959999999999781e+01
3.479869999999999663e+01,5.872990000000000000e+07,-4.201769999999999783e+01
3.544420000000000215e+01,5.518370000000000000e+07,2.401760000000000161e+01
3.610540000000000305e+01,9.330280000000000000e+07,-6.769809999999999661e+01
3.677819999999999823e+01,7.468340000000000000e+07,-7.501170000000000471e+01
3.746249999999999858e+01,5.632190000000000000e+07,2.594279999999999831e+01
3.815820000000000078e+01,4.313750000000000000e+07,-1.238429999999999964e+01
3.887019999999999698e+01,3.148030000000000000e+07,-7.915879999999999939e+01
3.959349999999999881e+01,2.452140000000000000e+07,-7.317350000000000421e+01
4.033339999999999748e+01,2.708110000000000000e+07,-1.988329999999999842e+01
4.108460000000000178e+01,3.968850000000000000e+07,1.181610000000000014e+02
4.185269999999999868e+01,5.035410000000000000e+07,1.322519999999999918e+01
4.263179999999999836e+01,7.227350000000000000e+07,1.026749999999999972e+02
4.342159999999999798e+01,1.108360000000000000e+08,-7.920340000000000158e-01
4.423469999999999658e+01,8.231480000000000000e+07,-4.715630000000000166e+01
4.505859999999999843e+01,3.112890000000000000e+08,-3.947159999999999780e+00
4.589959999999999951e+01,8.518040000000000000e+07,-7.134900000000000375e+01
4.675079999999999814e+01,6.477560000000000000e+07,2.157590000000000074e+01
4.761899999999999977e+01,2.135600000000000000e+07,-5.381869999999999976e+01
4.851230000000000331e+01,4.276350000000000000e+07,-1.290850000000000080e+02
4.941530000000000200e+01,3.805690000000000000e+07,1.386080000000000041e+02
5.033559999999999945e+01,3.598280000000000000e+07,8.197610000000000241e+01
5.127329999999999899e+01,4.705440000000000000e+07,8.430190000000000339e+01
5.222840000000000060e+01,4.259440000000000000e+07,-1.578810000000000002e+02
5.320089999999999719e+01,3.019230000000000000e+07,-1.107660000000000053e+02
5.419080000000000297e+01,4.982490000000000000e+07,-3.979639999999999844e+01
5.519780000000000086e+01,1.141600000000000000e+08,-1.141110000000000042e+02
5.623239999999999839e+01,1.285200000000000000e+08,-4.737129999999999797e+01
5.727380000000000138e+01,8.624260000000000000e+07,-4.614840000000000231e+01
5.834309999999999974e+01,5.664960000000000000e+07,-8.929380000000000095e-01
5.942949999999999733e+01,3.870280000000000000e+07,1.047400000000000020e+01
6.054489999999999839e+01,3.611070000000000000e+07,1.845459999999999923e+01
6.166499999999999915e+01,4.350160000000000000e+07,-7.457429999999999382e+01
6.281410000000000338e+01,1.212470000000000000e+08,7.476609999999999445e+01
6.397950000000000159e+01,2.589080000000000000e+07,-4.607759999999999678e+01
6.517489999999999384e+01,3.775560000000000000e+07,1.780250000000000057e+02
6.638639999999999475e+01,2.617400000000000000e+07,1.558370000000000033e+01
6.762850000000000250e+01,1.898140000000000000e+07,-3.436800000000000210e+01
6.888630000000000564e+01,1.941440000000000000e+07,-3.798190000000000310e+01
7.017539999999999623e+01,3.301690000000000000e+07,-5.428619999999999557e+00
7.147960000000000491e+01,6.088230000000000000e+07,-1.768400000000000034e+02
7.281550000000000011e+01,1.046560000000000000e+08,7.375320000000000675e+01
7.416559999999999775e+01,8.447880000000000000e+07,1.234800000000000040e+02
7.554770000000000607e+01,3.029890000000000000e+07,-4.298290000000000077e+01
7.696250000000000568e+01,3.800320000000000000e+07,-4.079579999999999984e+01
7.839039999999999964e+01,1.182240000000000000e+08,-4.748169999999999646e+01
7.985089999999999577e+01,7.338370000000000000e+07,-4.744089999999999918e+01
8.134489999999999554e+01,6.250650000000000000e+07,-5.274569999999999936e+01
8.284999999999999432e+01,5.696860000000000000e+07,-6.103209999999999980e+01
8.438819999999999766e+01,2.985760000000000000e+07,-4.782390000000000185e+01
8.598449999999999704e+01,1.717110000000000000e+08,1.083389999999999986e+02
8.756570000000000675e+01,1.747100000000000000e+08,-3.227040000000000219e+01
8.920610000000000639e+01,7.152600000000000000e+07,1.673550000000000038e-01
9.085399999999999920e+01,1.558610000000000000e+08,1.683899999999999864e+01
9.256399999999999295e+01,7.094460000000000000e+07,1.550910000000000082e+02
9.428029999999999688e+01,6.744850000000000000e+07,-1.416069999999999993e+02
9.603069999999999595e+01,5.543180000000000000e+07,5.104659999999999798e+01
9.784739999999999327e+01,2.357910000000000000e+07,-3.510719999999999885e+01
9.966779999999999973e+01,2.674090000000000000e+07,-3.170349999999999824e+01
1.015229999999999961e+02,2.194740000000000000e+07,-2.857300000000000040e+01
1.034129999999999967e+02,2.377820000000000000e+07,2.372380000000000155e+00
1.053370000000000033e+02,2.859880000000000000e+07,5.583849999999999980e+00
1.072960000000000065e+02,2.484380000000000000e+07,-2.680239999999999867e+01
1.092900000000000063e+02,3.079110000000000000e+07,-4.542360000000000042e+01
1.113169999999999931e+02,4.006100000000000000e+07,-1.431550000000000011e+02
