# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.012880000000000000e+07,2.341060000000000085e-01
2.037349999999999994e+01,1.013140000000000000e+07,2.295399999999999940e-01
2.075260000000000105e+01,1.016180000000000000e+07,-9.703570000000000251e-02
2.114020000000000010e+01,1.015760000000000000e+07,5.455970000000000264e-02
2.153320000000000078e+01,1.013830000000000000e+07,3.292120000000000046e-01
2.193459999999999965e+01,1.014940000000000000e+07,4.411970000000000058e-01
2.234299999999999997e+01,1.016530000000000000e+07,3.791749999999999843e-01
2.275829999999999842e+01,1.017480000000000000e+07,2.684939999999999896e-02
2.318209999999999837e+01,1.015990000000000000e+07,-8.196570000000000245e-02
2.361459999999999937e+01,1.016420000000000000e+07,2.071040000000000034e-02
2.405580000000000140e+01,1.016840000000000000e+07,-1.963410000000000155e-02
2.450379999999999825e+01,1.016370000000000000e+07,-2.421490000000000101e-02
2.496049999999999969e+01,1.017210000000000000e+07,6.632440000000000080e-04
2.542589999999999861e+01,1.017260000000000000e+07,-5.951000000000000040e-02
2.589780000000000015e+01,1.017300000000000000e+07,3.537269999999999998e-02
2.638060000000000116e+01,1.016650000000000000e+07,2.044790000000000149e-02
2.687209999999999965e+01,1.017310000000000000e+07,-2.823639999999999831e-02
2.737229999999999919e+01,1.019210000000000000e+07,-2.198269999999999946e-01
2.788360000000000127e+01,1.016880000000000000e+07,3.147960000000000202e-01
2.840099999999999980e+01,1.018470000000000000e+07,4.943509999999999849e-01
2.893240000000000123e+01,1.011980000000000000e+07,-4.839010000000000256e-01
2.946950000000000003e+01,1.022040000000000000e+07,3.776100000000000012e-01
3.001800000000000068e+01,1.014500000000000000e+07,-1.077069999999999972e-01
3.057789999999999964e+01,1.016790000000000000e+07,-1.835749999999999882e-01
3.114939999999999998e+01,1.018020000000000000e+07,-1.270620000000000083e-01
3.172919999999999874e+01,1.023100000000000000e+07,1.211419999999999997e-01
3.232059999999999889e+01,1.009420000000000000e+07,-6.239700000000000246e-01
3.292000000000000171e+01,1.014210000000000000e+07,-1.349399999999999933e+00
3.353450000000000131e+01,1.033940000000000000e+07,-8.727120000000000433e-01
3.416080000000000183e+01,1.026350000000000000e+07,-1.418690000000000007e+00
3.479869999999999663e+01,1.008760000000000000e+07,7.170109999999999539e-01
3.544420000000000215e+01,1.030780000000000000e+07,-8.586390000000000411e-01
3.610540000000000305e+01,1.019310000000000000e+07,-1.447980000000000100e-01
3.677819999999999823e+01,1.022930000000000000e+07,-2.877109999999999945e-01
3.746249999999999858e+01,1.012110000000000000e+07,3.305549999999999877e-01
3.815820000000000078e+01,1.006530000000000000e+07,3.083110000000000017e-01
3.887019999999999698e+01,1.024060000000000000e+07,8.289929999999999799e-01
3.959349999999999881e+01,1.004320000000000000e+07,4.115830000000000183e-02
4.033339999999999748e+01,1.027470000000000000e+07,1.095490000000000075e+00
4.108460000000000178e+01,1.006560000000000000e+07,-9.378279999999999950e-02
4.185269999999999868e+01,1.037550000000000000e+07,3.535849999999999826e-01
4.263179999999999836e+01,1.024790000000000000e+07,-4.971260000000000123e-01
4.342159999999999798e+01,1.021220000000000000e+07,-1.907409999999999939e-01
4.423469999999999658e+01,1.018600000000000000e+07,-1.290919999999999915e-02
4.505859999999999843e+01,1.012270000000000000e+07,-3.304670000000000107e-01
4.589959999999999951e+01,1.011760000000000000e+07,1.774959999999999871e-01
4.675079999999999814e+01,1.008400000000000000e+07,6.052070000000000505e-01
4.761899999999999977e+01,9.904540000000000000e+06,-6.830019999999999980e-01
4.851230000000000331e+01,1.025420000000000000e+07,1.518119999999999914e+00
4.941530000000000200e+01,1.022620000000000000e+07,1.573970000000000091e+00
5.033559999999999945e+01,9.836820000000000000e+06,9.506660000000000110e-01
5.127329999999999899e+01,1.029160000000000000e+07,-8.328750000000000320e-01
5.222840000000000060e+01,9.922500000000000000e+06,-1.332800000000000096e-01
5.320089999999999719e+01,1.012400000000000000e+07,-6.060100000000000486e-01
5.419080000000000297e+01,9.980640000000000000e+06,8.621299999999999519e-01
5.519780000000000086e+01,1.001500000000000000e+07,5.605459999999999887e-01
5.623239999999999839e+01,1.020900000000000000e+07,-1.350949999999999929e-01
5.727380000000000138e+01,1.015830000000000000e+07,2.360750000000000001e-02
5.834309999999999974e+01,1.016180000000000000e+07,7.359580000000000288e-02
5.942949999999999733e+01,1.009270000000000000e+07,5.683320000000000038e-02
6.054489999999999839e+01,1.025740000000000000e+07,1.489890000000000103e-01
6.166499999999999915e+01,1.034710000000000000e+07,-8.689109999999999889e-01
6.281410000000000338e+01,9.965420000000000000e+06,-1.521190000000000042e-01
6.397950000000000159e+01,1.004760000000000000e+07,9.723950000000000093e-01
6.517489999999999384e+01,1.051510000000000000e+07,-2.738490000000000021e-02
6.638639999999999475e+01,9.921440000000000000e+06,-8.897789999999999866e-01
6.762850000000000250e+01,1.048790000000000000e+07,6.162590000000000012e-01
6.888630000000000564e+01,1.010730000000000000e+07,1.021640000000000104e+00
7.017539999999999623e+01,1.010930000000000000e+07,8.236639999999999517e-01
7.147960000000000491e+01,1.040950000000000000e+07,6.334910000000000263e-01
7.281550000000000011e+01,1.008720000000000000e+07,1.978209999999999968e-01
7.416559999999999775e+01,1.015890000000000000e+07,3.761459999999999804e-01
7.554770000000000607e+01,1.017080000000000000e+07,-2.963779999999999748e-01
7.696250000000000568e+01,1.018320000000000000e+07,-1.241680000000000006e-01
7.839039999999999964e+01,1.014570000000000000e+07,-2.607829999999999870e-01
7.985089999999999577e+01,1.018520000000000000e+07,-6.174149999999999777e-02
8.134489999999999554e+01,1.020590000000000000e+07,2.741040000000000143e-02
8.284999999999999432e+01,1.022710000000000000e+07,6.989889999999999992e-02
8.438819999999999766e+01,1.009890000000000000e+07,-6.376389999999999558e-01
8.598449999999999704e+01,1.032130000000000000e+07,4.851790000000000269e-01
8.756570000000000675e+01,1.020140000000000000e+07,2.877120000000000233e-01
8.920610000000000639e+01,1.013760000000000000e+07,9.800630000000000452e-02
9.085399999999999920e+01,1.019860000000000000e+07,4.267500000000000182e-01
9.256399999999999295e+01,1.038920000000000000e+07,7.471820000000000128e-01
9.428029999999999688e+01,1.037390000000000000e+07,-3.808349999999999791e-01
9.603069999999999595e+01,1.034130000000000000e+07,6.441099999999999604e-01
9.784739999999999327e+01,1.046350000000000000e+07,4.980620000000000186e-02
9.966779999999999973e+01,1.031890000000000000e+07,-7.891359999999999486e-01
1.015229999999999961e+02,1.009050000000000000e+07,-9.690689999999999582e-01
1.034129999999999967e+02,9.979720000000000000e+06,-5.570950000000000069e-01
1.053370000000000033e+02,9.987950000000000000e+06,-2.097009999999999985e-01
1.072960000000000065e+02,9.989390000000000000e+06,-2.161569999999999880e-01
1.092900000000000063e+02,1.002530000000000000e+07,-5.023840000000000527e-01
1.113169999999999931e+02,1.034780000000000000e+07,-3.748020000000000240e-01
1.134219999999999970e+02,1.008770000000000000e+07,5.794719999999999732e-02
1.155180000000000007e+02,1.034850000000000000e+07,-6.580690000000000150e-02
1.176470000000000056e+02,1.032320000000000000e+07,-7.256329999999999725e-02
1.198559999999999945e+02,1.018950000000000000e+07,4.446399999999999658e-02
1.220999999999999943e+02,1.021190000000000000e+07,-1.318509999999999995e-02
1.243780000000000001e+02,1.009680000000000000e+07,-1.162460000000000021e-01
1.266889999999999930e+02,1.019400000000000000e+07,-5.649210000000000342e-02
1.290320000000000107e+02,1.016380000000000000e+07,-7.088099999999999956e-02
