# Frecuencia [Hz], Z [Ohm], Fase [°]
2.000000000000000000e+01,1.016040000000000000e+07,2.859780000000000100e-01
2.037349999999999994e+01,1.017740000000000000e+07,1.116680000000000034e-01
2.075260000000000105e+01,1.017810000000000000e+07,-8.853270000000000584e-02
2.114020000000000010e+01,1.017490000000000000e+07,-1.986359999999999862e-02
2.153320000000000078e+01,1.016110000000000000e+07,1.025599999999999984e-01
2.193459999999999965e+01,1.018320000000000000e+07,-2.214009999999999867e-01
2.234299999999999997e+01,1.017530000000000000e+07,-2.242190000000000016e-01
2.275829999999999842e+01,1.016530000000000000e+07,9.044720000000000537e-02
2.318209999999999837e+01,1.016870000000000000e+07,-5.428850000000000342e-02
2.361459999999999937e+01,1.017090000000000000e+07,-2.559770000000000101e-02
2.405580000000000140e+01,1.017330000000000000e+07,1.474450000000000066e-02
2.450379999999999825e+01,1.017130000000000000e+07,2.513750000000000012e-02
2.496049999999999969e+01,1.016960000000000000e+07,-2.780389999999999945e-02
2.542589999999999861e+01,1.017470000000000000e+07,-3.237389999999999712e-02
2.589780000000000015e+01,1.016390000000000000e+07,2.258819999999999925e-02
2.638060000000000116e+01,1.017280000000000000e+07,-6.226489999999999803e-02
2.687209999999999965e+01,1.016980000000000000e+07,-3.191879999999999717e-02
2.737229999999999919e+01,1.016580000000000000e+07,-1.128630000000000050e-01
2.788360000000000127e+01,1.014350000000000000e+07,-8.930340000000000153e-03
2.840099999999999980e+01,1.018650000000000000e+07,-4.857060000000000266e-01
2.893240000000000123e+01,1.016740000000000000e+07,3.868809999999999749e-01
2.946950000000000003e+01,1.017520000000000000e+07,-3.891260000000000274e-01
3.001800000000000068e+01,1.016320000000000000e+07,1.543570000000000011e-02
3.057789999999999964e+01,1.016830000000000000e+07,-1.072469999999999951e-01
3.114939999999999998e+01,1.015780000000000000e+07,-2.787270000000000025e-01
3.172919999999999874e+01,1.013180000000000000e+07,-4.461860000000000270e-01
3.232059999999999889e+01,1.021630000000000000e+07,-4.297050000000000036e-01
3.292000000000000171e+01,1.010480000000000000e+07,-7.293979999999999908e-01
3.353450000000000131e+01,1.016260000000000000e+07,7.521130000000000315e-01
3.416080000000000183e+01,1.007400000000000000e+07,4.041350000000000220e-01
3.479869999999999663e+01,1.010190000000000000e+07,4.840380000000000238e-01
3.544420000000000215e+01,1.021680000000000000e+07,-2.699810000000000265e-01
3.610540000000000305e+01,1.017760000000000000e+07,-1.812310000000000032e-01
3.677819999999999823e+01,1.018140000000000000e+07,-1.572520000000000029e-01
3.746249999999999858e+01,1.020950000000000000e+07,-5.679629999999999956e-01
3.815820000000000078e+01,1.011930000000000000e+07,5.331789999999999585e-01
3.887019999999999698e+01,1.023860000000000000e+07,-1.222930000000000073e+00
3.959349999999999881e+01,1.029860000000000000e+07,4.058829999999999938e-01
4.033339999999999748e+01,1.027150000000000000e+07,-1.201249999999999929e+00
4.108460000000000178e+01,1.007190000000000000e+07,-1.199910000000000032e+00
4.185269999999999868e+01,1.029760000000000000e+07,2.727289999999999992e-01
4.263179999999999836e+01,1.024390000000000000e+07,3.486770000000000147e-02
4.342159999999999798e+01,1.018550000000000000e+07,-1.836869999999999892e-01
4.423469999999999658e+01,1.017130000000000000e+07,-1.183180000000000065e-01
4.505859999999999843e+01,1.013360000000000000e+07,-3.756820000000000159e-01
4.589959999999999951e+01,1.009470000000000000e+07,-5.130209999999999493e-01
4.675079999999999814e+01,1.005110000000000000e+07,-8.851750000000000451e-01
4.761899999999999977e+01,1.005610000000000000e+07,-1.107129999999999947e+00
4.851230000000000331e+01,1.009700000000000000e+07,8.784269999999999579e-01
4.941530000000000200e+01,1.014890000000000000e+07,1.140989999999999949e+00
5.033559999999999945e+01,9.942460000000000000e+06,3.416460000000000052e-01
5.127329999999999899e+01,1.032090000000000000e+07,-8.186280000000000223e-01
5.222840000000000060e+01,1.011350000000000000e+07,-7.215129999999999599e-01
5.320089999999999719e+01,9.985290000000000000e+06,5.393010000000000304e-01
5.419080000000000297e+01,1.021920000000000000e+07,-1.895049999999999903e-03
5.519780000000000086e+01,1.011610000000000000e+07,1.814290000000000069e-01
5.623239999999999839e+01,1.019230000000000000e+07,-1.866720000000000046e-01
5.727380000000000138e+01,1.015380000000000000e+07,-6.280429999999999346e-02
5.834309999999999974e+01,1.020300000000000000e+07,-2.163920000000000010e-01
5.942949999999999733e+01,1.023460000000000000e+07,-3.747420000000000195e-01
6.054489999999999839e+01,1.029100000000000000e+07,-3.269670000000000076e-01
6.166499999999999915e+01,1.003070000000000000e+07,4.758589999999999764e-01
6.281410000000000338e+01,1.026730000000000000e+07,-7.830080000000000373e-01
6.397950000000000159e+01,1.001650000000000000e+07,5.812230000000000452e-01
6.517489999999999384e+01,1.026980000000000000e+07,-8.989639999999999853e-01
6.638639999999999475e+01,1.018350000000000000e+07,7.686250000000000027e-01
6.762850000000000250e+01,9.957270000000000000e+06,-2.712979999999999836e-01
6.888630000000000564e+01,9.976620000000000000e+06,-7.156940000000000524e-01
7.017539999999999623e+01,1.006630000000000000e+07,1.732080000000000009e-01
7.147960000000000491e+01,1.021060000000000000e+07,-6.063809999999999478e-01
7.281550000000000011e+01,1.027860000000000000e+07,4.224180000000000296e-02
7.416559999999999775e+01,1.011780000000000000e+07,-7.115829999999999655e-01
7.554770000000000607e+01,1.024060000000000000e+07,1.826750000000000040e-01
7.696250000000000568e+01,1.016430000000000000e+07,-1.531879999999999908e-01
7.839039999999999964e+01,1.018740000000000000e+07,-8.428130000000000344e-02
7.985089999999999577e+01,1.016430000000000000e+07,-2.393520000000000092e-01
8.134489999999999554e+01,1.017250000000000000e+07,-1.861750000000000071e-01
8.284999999999999432e+01,1.019980000000000000e+07,-3.124359999999999984e-02
8.438819999999999766e+01,1.017060000000000000e+07,-2.932130000000000014e-01
8.598449999999999704e+01,1.009790000000000000e+07,-3.823300000000000032e-01
8.756570000000000675e+01,1.015410000000000000e+07,-4.783499999999999974e-01
8.920610000000000639e+01,1.018630000000000000e+07,-4.264709999999999890e-01
9.085399999999999920e+01,1.025450000000000000e+07,-1.196539999999999965e-01
9.256399999999999295e+01,1.002580000000000000e+07,-7.239769999999999817e-01
9.428029999999999688e+01,1.024000000000000000e+07,3.059810000000000030e-01
9.603069999999999595e+01,1.001050000000000000e+07,-5.208340000000000192e-01
9.784739999999999327e+01,1.020110000000000000e+07,-5.758510000000000018e-01
9.966779999999999973e+01,1.027980000000000000e+07,-3.053190000000000071e-01
1.015229999999999961e+02,1.030560000000000000e+07,-1.140869999999999940e-01
1.034129999999999967e+02,1.008840000000000000e+07,-6.305389999999999606e-01
1.053370000000000033e+02,1.026710000000000000e+07,5.222809999999999953e-02
1.072960000000000065e+02,1.012760000000000000e+07,5.108050000000000090e-02
1.092900000000000063e+02,1.012720000000000000e+07,-1.339150000000000063e-02
1.113169999999999931e+02,1.023530000000000000e+07,-3.957680000000000226e-02
1.134219999999999970e+02,1.026460000000000000e+07,-3.072969999999999868e-01
1.155180000000000007e+02,1.009360000000000000e+07,-3.285330000000000195e-01
1.176470000000000056e+02,1.014600000000000000e+07,-1.356940000000000091e-01
1.198559999999999945e+02,1.025270000000000000e+07,-2.160249999999999948e-01
1.220999999999999943e+02,1.021810000000000000e+07,-2.106000000000000094e-01
1.243780000000000001e+02,1.015390000000000000e+07,-2.332889999999999964e-01
1.266889999999999930e+02,1.015020000000000000e+07,-2.865240000000000009e-01
1.290320000000000107e+02,1.019930000000000000e+07,-2.786899999999999933e-01
1.314639999999999986e+02,1.016630000000000000e+07,-2.993999999999999995e-01
1.339290000000000020e+02,1.017180000000000000e+07,-2.963850000000000096e-01
1.363640000000000043e+02,1.016390000000000000e+07,-3.039850000000000052e-01
1.389530000000000030e+02,1.019570000000000000e+07,-3.008419999999999983e-01
1.415089999999999861e+02,1.013980000000000000e+07,-3.475710000000000188e-01
1.441610000000000014e+02,1.014910000000000000e+07,-3.483339999999999770e-01
1.468429999999999893e+02,1.020540000000000000e+07,-3.285870000000000180e-01
1.495509999999999877e+02,1.018590000000000000e+07,-2.797169999999999934e-01
1.523619999999999948e+02,1.017430000000000000e+07,-3.862389999999999990e-01
1.551990000000000123e+02,1.019200000000000000e+07,-2.658769999999999745e-01
1.580610000000000070e+02,1.008340000000000000e+07,-4.498199999999999976e-01
1.610310000000000059e+02,1.008240000000000000e+07,-5.054889999999999661e-01
1.640240000000000009e+02,1.016680000000000000e+07,-4.977699999999999902e-01
1.671310000000000002e+02,1.023190000000000000e+07,-3.662619999999999765e-01
1.702609999999999957e+02,1.024400000000000000e+07,-3.604180000000000161e-01
1.734099999999999966e+02,1.009060000000000000e+07,-6.838760000000000394e-01
1.765740000000000123e+02,1.025850000000000000e+07,-3.010669999999999735e-01
1.799639999999999986e+02,1.024780000000000000e+07,-1.511170000000000013e-01
1.832620000000000005e+02,1.015950000000000000e+07,-6.411639999999999562e-01
1.866829999999999927e+02,1.024250000000000000e+07,-3.468939999999999801e-01
1.901140000000000043e+02,1.012480000000000000e+07,-4.810440000000000271e-01
1.936730000000000018e+02,1.020400000000000000e+07,-5.257469999999999644e-01
1.973679999999999950e+02,1.015340000000000000e+07,-6.840880000000000294e-01
2.009379999999999882e+02,1.017600000000000000e+07,-4.756710000000000105e-01
2.047779999999999916e+02,1.017820000000000000e+07,-4.535730000000000040e-01
2.086229999999999905e+02,1.016630000000000000e+07,-5.206680000000000197e-01
2.124650000000000034e+02,1.019800000000000000e+07,-4.714349999999999929e-01
2.164499999999999886e+02,1.020340000000000000e+07,-4.495190000000000019e-01
2.204259999999999877e+02,1.015430000000000000e+07,-5.969710000000000294e-01
2.245509999999999877e+02,1.014990000000000000e+07,-6.237639999999999851e-01
2.286589999999999918e+02,1.018370000000000000e+07,-5.665430000000000188e-01
2.329190000000000111e+02,1.017230000000000000e+07,-5.939790000000000347e-01
2.373420000000000130e+02,1.018800000000000000e+07,-5.238890000000000491e-01
2.417410000000000139e+02,1.022580000000000000e+07,-5.885700000000000376e-01
2.463050000000000068e+02,1.020770000000000000e+07,-5.359880000000000200e-01
2.508360000000000127e+02,1.021020000000000000e+07,-5.497400000000000064e-01
2.555370000000000061e+02,1.012630000000000000e+07,-6.312200000000000033e-01
2.601909999999999741e+02,1.020500000000000000e+07,-5.778609999999999580e-01
2.650179999999999723e+02,1.018170000000000000e+07,-6.941249999999999920e-01
2.700269999999999868e+02,1.015110000000000000e+07,-6.019600000000000506e-01
2.752289999999999850e+02,1.023860000000000000e+07,-6.054800000000000182e-01
2.801120000000000232e+02,1.018570000000000000e+07,-6.105080000000000506e-01
2.854420000000000073e+02,1.019610000000000000e+07,-7.205789999999999695e-01
2.906979999999999791e+02,1.012340000000000000e+07,-7.659799999999999942e-01
2.961499999999999773e+02,1.012330000000000000e+07,-7.787920000000000398e-01
3.018109999999999786e+02,1.019470000000000000e+07,-7.330510000000000081e-01
3.073770000000000095e+02,1.015440000000000000e+07,-7.402039999999999731e-01
3.131519999999999868e+02,1.016360000000000000e+07,-7.796030000000000459e-01
3.188100000000000023e+02,1.020200000000000000e+07,-7.550740000000000229e-01
3.250269999999999868e+02,1.017050000000000000e+07,-8.075670000000000348e-01
3.307610000000000241e+02,1.014180000000000000e+07,-8.286080000000000112e-01
3.370790000000000077e+02,1.021440000000000000e+07,-8.006360000000000143e-01
3.432490000000000236e+02,1.021550000000000000e+07,-8.047269999999999701e-01
3.496499999999999773e+02,1.013650000000000000e+07,-8.493840000000000279e-01
3.562950000000000159e+02,1.013610000000000000e+07,-9.075760000000000494e-01
3.627570000000000050e+02,1.016770000000000000e+07,-8.862879999999999647e-01
3.694580000000000268e+02,1.019620000000000000e+07,-9.052480000000000526e-01
3.764119999999999777e+02,1.017290000000000000e+07,-8.894330000000000291e-01
3.836320000000000050e+02,1.015010000000000000e+07,-9.347539999999999738e-01
3.906250000000000000e+02,1.020740000000000000e+07,-9.099159999999999471e-01
3.978779999999999859e+02,1.020520000000000000e+07,-9.046290000000000164e-01
4.054049999999999727e+02,1.018540000000000000e+07,-9.686040000000000205e-01
4.132230000000000132e+02,1.018700000000000000e+07,-9.990099999999999536e-01
4.207570000000000050e+02,1.015730000000000000e+07,-1.071129999999999916e+00
4.285710000000000264e+02,1.019680000000000000e+07,-1.006979999999999986e+00
4.366809999999999832e+02,1.019230000000000000e+07,-1.035670000000000091e+00
4.444440000000000168e+02,1.018100000000000000e+07,-1.075979999999999936e+00
4.531720000000000255e+02,1.018950000000000000e+07,-1.085709999999999953e+00
4.615380000000000109e+02,1.018600000000000000e+07,-1.108719999999999928e+00
4.702189999999999941e+02,1.021340000000000000e+07,-1.107029999999999959e+00
4.784689999999999941e+02,1.021260000000000000e+07,-1.125950000000000006e+00
4.878050000000000068e+02,1.017680000000000000e+07,-1.195810000000000040e+00
4.966890000000000214e+02,1.020720000000000000e+07,-1.093380000000000019e+00
5.059019999999999868e+02,1.020120000000000000e+07,-1.192160000000000108e+00
5.154640000000000555e+02,1.020290000000000000e+07,-1.209449999999999914e+00
5.253940000000000055e+02,1.019670000000000000e+07,-1.228159999999999918e+00
5.347590000000000146e+02,1.016130000000000000e+07,-1.325299999999999923e+00
5.444650000000000318e+02,1.020040000000000000e+07,-1.257859999999999978e+00
5.545289999999999964e+02,1.021100000000000000e+07,-1.318500000000000005e+00
5.649719999999999800e+02,1.017000000000000000e+07,-1.402190000000000047e+00
5.758160000000000309e+02,1.016230000000000000e+07,-1.437820000000000098e+00
5.870839999999999463e+02,1.021100000000000000e+07,-1.376740000000000075e+00
5.976100000000000136e+02,1.021140000000000000e+07,-1.387979999999999992e+00
6.085190000000000055e+02,1.016310000000000000e+07,-1.501419999999999977e+00
6.198350000000000364e+02,1.019290000000000000e+07,-1.472120000000000095e+00
6.315789999999999509e+02,1.020500000000000000e+07,-1.500820000000000043e+00
6.437770000000000437e+02,1.019160000000000000e+07,-1.513540000000000108e+00
6.550220000000000482e+02,1.016270000000000000e+07,-1.623040000000000038e+00
6.681509999999999536e+02,1.020240000000000000e+07,-1.596659999999999968e+00
6.802720000000000482e+02,1.020480000000000000e+07,-1.613939999999999930e+00
6.928410000000000082e+02,1.020310000000000000e+07,-1.638929999999999998e+00
7.058819999999999482e+02,1.019370000000000000e+07,-1.710849999999999982e+00
7.194239999999999782e+02,1.019110000000000000e+07,-1.737239999999999895e+00
7.317069999999999936e+02,1.017110000000000000e+07,-1.835769999999999902e+00
7.462690000000000055e+02,1.016690000000000000e+07,-1.907960000000000100e+00
7.594940000000000282e+02,1.016980000000000000e+07,-1.939610000000000056e+00
7.731960000000000264e+02,1.018650000000000000e+07,-1.905019999999999936e+00
7.894740000000000464e+02,1.019550000000000000e+07,-1.906160000000000077e+00
8.021390000000000100e+02,1.017210000000000000e+07,-2.000690000000000079e+00
8.174389999999999645e+02,1.019610000000000000e+07,-1.986229999999999940e+00
8.333329999999999700e+02,1.019560000000000000e+07,-2.021770000000000067e+00
