# Tue Oct 10 15:17:54 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=6, Vmin=-6, Npos=50, Nneg=50, pw=0.1, cycles=20, hslV=0.4, T1 = 0.01, T2 = 0.01, nplc=0.5
5.696654319763183594e-02,-2.384189999999999953e-04,-1.056429999999999965e-10,2.928328514099121094e-01,3.997160000000000157e-01,2.021519999999999959e-07
4.537417888641357422e-01,2.396439999999999959e-01,6.300809999999999628e-08,6.560010910034179688e-01,3.997180000000000177e-01,2.024109999999999984e-07
8.085367679595947266e-01,4.796529999999999960e-01,1.911860000000000022e-07,9.504556655883789062e-01,3.995989999999999820e-01,1.345400000000000123e-07
1.089926004409790039e+00,7.196879999999999944e-01,3.919420000000000033e-07,1.233295679092407227e+00,3.996350000000000180e-01,1.331909999999999914e-07
1.375214815139770508e+00,9.600070000000000547e-01,6.720890000000000038e-07,1.518131256103515625e+00,3.996279999999999832e-01,1.445829999999999918e-07
1.658059120178222656e+00,1.199980000000000047e+00,1.021679999999999974e-06,1.813966274261474609e+00,3.996469999999999745e-01,1.481739999999999873e-07
1.971279382705688477e+00,1.439969999999999972e+00,2.248769999999999986e-06,2.127788543701171875e+00,3.996160000000000267e-01,1.180789999999999948e-07
2.281699180603027344e+00,1.679840000000000000e+00,3.257799999999999962e-06,2.438609600067138672e+00,3.996279999999999832e-01,1.778199999999999869e-07
2.594521760940551758e+00,1.920250000000000012e+00,7.510860000000000117e-06,2.749625682830810547e+00,3.995850000000000235e-01,2.240610000000000103e-07
2.905515193939208984e+00,2.160079999999999778e+00,1.186899999999999936e-05,3.078431129455566406e+00,3.995609999999999995e-01,1.808319999999999877e-07
3.233327388763427734e+00,2.400110000000000188e+00,1.135609999999999957e-05,3.406229972839355469e+00,3.996609999999999885e-01,1.577089999999999996e-07
3.561140537261962891e+00,2.640109999999999957e+00,1.349820000000000063e-05,3.735041141510009766e+00,3.996899999999999897e-01,1.672430000000000107e-07
3.893952369689941406e+00,2.880329999999999835e+00,1.802340000000000094e-05,4.071848154067993164e+00,3.997109999999999830e-01,1.471729999999999905e-07
4.225760936737060547e+00,3.120369999999999866e+00,1.881229999999999944e-05,4.399662256240844727e+00,3.996830000000000105e-01,1.432470000000000121e-07
4.556611061096191406e+00,3.360310000000000130e+00,2.494080000000000014e-05,4.731545925140380859e+00,3.996089999999999920e-01,1.646369999999999938e-07
4.889456748962402344e+00,3.600649999999999906e+00,2.381719999999999958e-05,5.063355684280395508e+00,3.995989999999999820e-01,1.647400000000000048e-07
5.220268011093139648e+00,3.840640000000000054e+00,2.628599999999999871e-05,5.396092653274536133e+00,3.995940000000000047e-01,1.518150000000000131e-07
5.555004119873046875e+00,4.080610000000000070e+00,2.950769999999999871e-05,5.727904081344604492e+00,3.995509999999999895e-01,1.659290000000000030e-07
5.885812759399414062e+00,4.320590000000000153e+00,3.759460000000000086e-05,6.060786962509155273e+00,3.994539999999999758e-01,7.833699999999999532e-08
6.266956329345703125e+00,4.560970000000000191e+00,5.170890000000000225e-05,6.439569473266601562e+00,3.995299999999999963e-01,1.653510000000000094e-07
6.598716497421264648e+00,4.801029999999999909e+00,7.127080000000000210e-05,6.788369894027709961e+00,3.996589999999999865e-01,1.515080000000000091e-07
7.009244203567504883e+00,5.041039999999999743e+00,1.076640000000000046e-04,7.184070110321044922e+00,3.993249999999999855e-01,1.769030000000000059e-07
7.341053962707519531e+00,5.281019999999999825e+00,1.411480000000000113e-04,7.515954256057739258e+00,3.993579999999999908e-01,1.719889999999999924e-07
7.671788692474365234e+00,5.521340000000000359e+00,1.971909999999999896e-04,7.846765279769897461e+00,3.993990000000000040e-01,1.716760000000000081e-07
8.000676870346069336e+00,5.761359999999999815e+00,2.656579999999999966e-04,8.169505596160888672e+00,3.993110000000000270e-01,1.721009999999999871e-07
8.326491117477416992e+00,6.001360000000000028e+00,4.084639999999999842e-04,8.499327659606933594e+00,3.991819999999999813e-01,2.166249999999999959e-07
8.653303861618041992e+00,5.761339999999999684e+00,4.723980000000000128e-04,8.826202869415283203e+00,3.991750000000000020e-01,3.151619999999999736e-07
8.981115818023681641e+00,5.521329999999999849e+00,4.421040000000000213e-04,9.153018474578857422e+00,3.992319999999999758e-01,3.483029999999999922e-07
9.308929443359375000e+00,5.280979999999999563e+00,4.196229999999999904e-04,9.480828762054443359e+00,3.992629999999999790e-01,3.878029999999999952e-07
9.636741638183593750e+00,5.041000000000000369e+00,3.848149999999999943e-04,9.806643724441528320e+00,3.993249999999999855e-01,3.723619999999999828e-07
9.962555646896362305e+00,4.800980000000000025e+00,3.215580000000000001e-04,1.013445687294006348e+01,3.993059999999999943e-01,4.078749999999999912e-07
1.029336595535278320e+01,4.560999999999999943e+00,2.736999999999999850e-04,1.046626687049865723e+01,3.993320000000000203e-01,4.551350000000000054e-07
1.062410378456115723e+01,4.320750000000000313e+00,2.282230000000000001e-04,1.079807519912719727e+01,3.993869999999999920e-01,4.391670000000000043e-07
1.095698666572570801e+01,4.080689999999999706e+00,1.859390000000000099e-04,1.113088703155517578e+01,3.993769999999999820e-01,4.385360000000000035e-07
1.128772187232971191e+01,3.840730000000000199e+00,1.479309999999999902e-04,1.147469067573547363e+01,3.994679999999999898e-01,4.373070000000000128e-07
1.163452410697937012e+01,3.600769999999999804e+00,1.204219999999999932e-04,1.180949902534484863e+01,3.994770000000000265e-01,4.268669999999999802e-07
1.196540999412536621e+01,3.360339999999999883e+00,9.630030000000000361e-05,1.213831090927124023e+01,3.994849999999999790e-01,4.224940000000000244e-07
1.229422163963317871e+01,3.120400000000000063e+00,7.581599999999999375e-05,1.246412539482116699e+01,3.995130000000000070e-01,4.316490000000000028e-07
1.262103581428527832e+01,2.880310000000000148e+00,5.899119999999999857e-05,1.279193854331970215e+01,3.995199999999999863e-01,4.040610000000000075e-07
1.294784855842590332e+01,2.640000000000000124e+00,4.489899999999999821e-05,1.311775135993957520e+01,3.995059999999999722e-01,4.249450000000000243e-07
1.327466177940368652e+01,2.399999999999999911e+00,3.399669999999999927e-05,1.344756269454956055e+01,3.995469999999999855e-01,4.085349999999999984e-07
1.360248303413391113e+01,2.160109999999999975e+00,2.458649999999999914e-05,1.377438449859619141e+01,3.996160000000000267e-01,3.964059999999999829e-07
1.393328070640563965e+01,1.920179999999999998e+00,1.736630000000000007e-05,1.410819387435913086e+01,3.996520000000000072e-01,3.856259999999999883e-07
1.426309633255004883e+01,1.679899999999999949e+00,1.186240000000000013e-05,1.443607664108276367e+01,3.996370000000000200e-01,3.903770000000000022e-07
1.459398841857910156e+01,1.439910000000000023e+00,7.764369999999999321e-06,1.475189733505249023e+01,3.996060000000000167e-01,3.960669999999999956e-07
1.490980768203735352e+01,1.199980000000000047e+00,4.780139999999999604e-06,1.506771731376647949e+01,3.995870000000000255e-01,3.854580000000000096e-07
1.522562718391418457e+01,9.600159999999999805e-01,2.689280000000000110e-06,1.539852833747863770e+01,3.996179999999999732e-01,3.712510000000000201e-07
1.555343937873840332e+01,7.197259999999999769e-01,1.333240000000000046e-06,1.570853447914123535e+01,3.996419999999999972e-01,3.775910000000000093e-07
1.586622548103332520e+01,4.796670000000000100e-01,5.330850000000000384e-07,1.600717973709106445e+01,3.995989999999999820e-01,3.762519999999999998e-07
1.614643359184265137e+01,2.397819999999999951e-01,1.568589999999999887e-07,1.628602027893066406e+01,3.995850000000000235e-01,3.755249999999999960e-07
1.642794036865234375e+01,-2.312659999999999911e-04,1.667739999999999919e-10,1.662882399559020996e+01,3.996629999999999905e-01,4.215440000000000059e-07
1.678573465347290039e+01,-2.400090000000000001e-01,-1.577660000000000113e-07,1.694064664840698242e+01,3.995940000000000047e-01,3.750359999999999974e-07
1.708056759834289551e+01,-4.800030000000000130e-01,-5.221589999999999841e-07,1.722348451614379883e+01,3.996350000000000180e-01,3.867589999999999760e-07
1.736536455154418945e+01,-7.200879999999999503e-01,-1.283279999999999934e-06,1.752331280708312988e+01,3.996250000000000080e-01,3.658100000000000179e-07
1.768160963058471680e+01,-9.600570000000000492e-01,-2.559899999999999834e-06,1.783913278579711914e+01,3.995850000000000235e-01,3.609330000000000199e-07
1.799504303932189941e+01,-1.200390000000000068e+00,-5.762450000000000199e-06,1.815195393562316895e+01,3.996660000000000212e-01,3.605170000000000247e-07
1.830986404418945312e+01,-1.440209999999999990e+00,-1.523049999999999927e-05,1.848476314544677734e+01,3.997399999999999842e-01,3.515879999999999849e-07
1.864168667793273926e+01,-1.680150000000000032e+00,-3.022710000000000067e-05,1.881450033187866211e+01,3.996990000000000265e-01,3.357239999999999958e-07
1.897148776054382324e+01,-1.920129999999999892e+00,-5.036969999999999989e-05,1.914638781547546387e+01,3.997490000000000210e-01,3.373930000000000090e-07
1.930191850662231445e+01,-2.160130000000000106e+00,-7.428370000000000166e-05,1.947489309310913086e+01,3.997330000000000050e-01,3.252190000000000219e-07
1.963180279731750488e+01,-2.400500000000000078e+00,-1.026029999999999933e-04,1.980370259284973145e+01,3.997829999999999995e-01,3.153369999999999867e-07
1.996061563491821289e+01,-2.640509999999999913e+00,-1.339629999999999912e-04,2.013651442527770996e+01,3.998019999999999907e-01,2.963670000000000226e-07
2.029542088508605957e+01,-2.880520000000000191e+00,-1.692320000000000087e-04,2.046998500823974609e+01,3.997919999999999807e-01,2.852660000000000081e-07
2.062789368629455566e+01,-3.120550000000000157e+00,-2.062079999999999881e-04,2.080279302597045898e+01,3.998450000000000060e-01,2.605959999999999864e-07
2.096070098876953125e+01,-3.360840000000000050e+00,-2.465440000000000166e-04,2.113360428810119629e+01,3.998880000000000212e-01,2.493530000000000227e-07
2.129251337051391602e+01,-3.600849999999999884e+00,-2.878199999999999921e-04,2.146641397476196289e+01,3.999190000000000245e-01,2.537140000000000178e-07
2.162449550628662109e+01,-3.840800000000000214e+00,-3.292780000000000143e-04,2.179930353164672852e+01,3.999159999999999937e-01,2.129910000000000045e-07
2.195705032348632812e+01,-4.080729999999999968e+00,-3.744420000000000040e-04,2.212991452217102051e+01,3.999380000000000157e-01,3.128229999999999948e-06
